Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,60.55,60.55,60.55,60.55,1,0
2012-07-03,1,63.2,63.2,63.2,63.2,1,0
2012-07-04,2,62.65,62.65,62.65,62.65,1,0
2012-07-05,3,63.8,63.8,63.8,63.8,1,0
2012-07-06,4,62.8,62.8,62.8,62.8,1,0
2012-07-09,7,62.1,62.1,62.1,62.1,1,0
2012-07-10,8,62.6,62.6,62.6,62.6,1,0
2012-07-11,9,63.0,63.0,63.0,63.0,1,0
2012-07-12,10,66.5,66.5,66.5,66.5,1,0
2012-07-13,11,67.95,67.95,67.95,67.95,1,0
2012-07-16,14,65.9,65.9,65.9,65.9,1,0
2012-07-17,15,66.2,66.2,66.2,66.2,1,0
2012-07-18,16,68.05,68.05,68.05,68.05,1,0
2012-07-19,17,68.9,68.9,68.9,68.9,1,0
2012-07-20,18,68.45,68.45,68.45,68.45,1,0
2012-07-23,21,68.2,68.2,68.2,68.2,1,0
2012-07-24,22,68.1,68.1,68.1,68.1,1,0
2012-07-25,23,66.9,66.9,66.9,66.9,1,0
2012-07-26,24,67.4,67.4,67.4,67.4,1,0
2012-07-27,25,69.55,69.55,69.55,69.55,1,0
2012-07-30,28,68.35,68.35,68.35,68.35,1,0
2012-07-31,29,67.2,67.2,67.2,67.2,1,0
2012-08-01,30,67.1,67.1,67.1,67.1,1,0
2012-08-02,31,66.25,66.25,66.25,66.25,1,0
2012-08-03,32,66.5,66.5,66.5,66.5,1,0
2012-08-06,35,66.1,66.1,66.1,66.1,1,0
2012-08-07,36,68.55,68.55,68.55,68.55,1,0
2012-08-08,37,67.6,67.6,67.6,67.6,1,0
2012-08-09,38,65.4,65.4,65.4,65.4,1,0
2012-08-10,39,65.0,65.0,65.0,65.0,1,0
2012-08-13,42,66.05,66.05,66.05,66.05,1,0
2012-08-14,43,67.15,67.15,67.15,67.15,1,0
2012-08-16,45,67.0,67.0,67.0,67.0,1,0
2012-08-17,46,66.55,66.55,66.55,66.55,1,0
2012-08-21,50,67.25,67.25,67.25,67.25,1,0
2012-08-22,51,66.25,66.25,66.25,66.25,1,0
2012-08-23,52,67.05,67.05,67.05,67.05,1,0
2012-08-24,53,66.05,66.05,66.05,66.05,1,0
2012-08-27,56,66.45,66.45,66.45,66.45,1,0
2012-08-28,57,63.55,63.55,63.55,63.55,1,0
2012-08-29,58,62.25,62.25,62.25,62.25,1,0
2012-08-30,59,64.2,64.2,64.2,64.2,1,0
2012-08-31,60,62.55,62.55,62.55,62.55,1,0
2012-09-03,63,64.1,64.1,64.1,64.1,1,0
2012-09-04,64,64.85,64.85,64.85,64.85,1,0
2012-09-05,65,63.05,63.05,63.05,63.05,1,0
2012-09-06,66,64.0,64.0,64.0,64.0,1,0
2012-09-07,67,63.1,63.1,63.1,63.1,1,0
2012-09-10,70,62.9,62.9,62.9,62.9,1,0
2012-09-11,71,62.85,62.85,62.85,62.85,1,0
2012-09-12,72,64.0,64.0,64.0,64.0,1,0
2012-09-13,73,61.65,61.65,61.65,61.65,1,0
2012-09-14,74,62.3,62.3,62.3,62.3,1,0
2012-09-17,77,61.85,61.85,61.85,61.85,1,0
2012-09-18,78,61.8,61.8,61.8,61.8,1,0
2012-09-20,80,62.15,62.15,62.15,62.15,1,0
2012-09-21,81,65.85,65.85,65.85,65.85,1,0
2012-09-24,84,62.5,62.5,62.5,62.5,1,0
2012-09-25,85,63.9,63.9,63.9,63.9,1,0
2012-09-26,86,63.15,63.15,63.15,63.15,1,0
2012-09-27,87,62.0,62.0,62.0,62.0,1,0
2012-09-28,88,63.0,63.0,63.0,63.0,1,0
2012-10-01,91,63.8,63.8,63.8,63.8,1,0
2012-10-03,93,63.1,63.1,63.1,63.1,1,0
2012-10-04,94,66.5,66.5,66.5,66.5,1,0
2012-10-05,95,64.75,64.75,64.75,64.75,1,0
2012-10-08,98,64.95,64.95,64.95,64.95,1,0
2012-10-09,99,64.95,64.95,64.95,64.95,1,0
2012-10-10,100,64.1,64.1,64.1,64.1,1,0
2012-10-11,101,64.8,64.8,64.8,64.8,1,0
2012-10-12,102,64.5,64.5,64.5,64.5,1,0
2012-10-15,105,64.2,64.2,64.2,64.2,1,0
2012-10-16,106,64.45,64.45,64.45,64.45,1,0
2012-10-17,107,64.65,64.65,64.65,64.65,1,0
2012-10-18,108,64.15,64.15,64.15,64.15,1,0
2012-10-19,109,65.6,65.6,65.6,65.6,1,0
2012-10-22,112,64.95,64.95,64.95,64.95,1,0
2012-10-23,113,64.9,64.9,64.9,64.9,1,0
2012-10-25,115,65.0,65.0,65.0,65.0,1,0
2012-10-26,116,62.9,62.9,62.9,62.9,1,0
2012-10-29,119,63.05,63.05,63.05,63.05,1,0
2012-10-30,120,63.0,63.0,63.0,63.0,1,0
2012-10-31,121,62.8,62.8,62.8,62.8,1,0
2012-11-01,122,62.9,62.9,62.9,62.9,1,0
2012-11-02,123,64.45,64.45,64.45,64.45,1,0
2012-11-05,126,63.0,63.0,63.0,63.0,1,0
2012-11-06,127,64.95,64.95,64.95,64.95,1,0
2012-11-07,128,65.5,65.5,65.5,65.5,1,0
2012-11-08,129,67.3,67.3,67.3,67.3,1,0
2012-11-09,130,67.0,67.0,67.0,67.0,1,0
2012-11-12,133,67.35,67.35,67.35,67.35,1,0
2012-11-13,134,67.9,67.9,67.9,67.9,1,0
2012-11-15,136,75.0,75.0,75.0,75.0,1,0
2012-11-16,137,70.1,70.1,70.1,70.1,1,0
2012-11-19,140,73.2,73.2,73.2,73.2,1,0
2012-11-20,141,72.45,72.45,72.45,72.45,1,0
2012-11-21,142,73.95,73.95,73.95,73.95,1,0
2012-11-22,143,71.6,71.6,71.6,71.6,1,0
2012-11-23,144,70.7,70.7,70.7,70.7,1,0
2012-11-26,147,70.85,70.85,70.85,70.85,1,0
2012-11-27,148,71.6,71.6,71.6,71.6,1,0
2012-11-29,150,72.5,72.5,72.5,72.5,1,0
2012-11-30,151,72.05,72.05,72.05,72.05,1,0
2012-12-03,154,74.05,74.05,74.05,74.05,1,0
2012-12-04,155,73.15,73.15,73.15,73.15,1,0
2012-12-05,156,72.85,72.85,72.85,72.85,1,0
2012-12-06,157,73.8,73.8,73.8,73.8,1,0
2012-12-07,158,73.25,73.25,73.25,73.25,1,0
2012-12-10,161,75.15,75.15,75.15,75.15,1,0
2012-12-11,162,72.95,72.95,72.95,72.95,1,0
2012-12-12,163,73.05,73.05,73.05,73.05,1,0
2012-12-13,164,73.0,73.0,73.0,73.0,1,0
2012-12-14,165,73.0,73.0,73.0,73.0,1,0
2012-12-17,168,73.65,73.65,73.65,73.65,1,0
2012-12-18,169,76.0,76.0,76.0,76.0,1,0
2012-12-19,170,75.65,75.65,75.65,75.65,1,0
2012-12-20,171,76.6,76.6,76.6,76.6,1,0
2012-12-21,172,82.35,82.35,82.35,82.35,1,0
2012-12-24,175,81.0,81.0,81.0,81.0,1,0
2012-12-26,177,79.9,79.9,79.9,79.9,1,0
2012-12-27,178,80.0,80.0,80.0,80.0,1,0
2012-12-28,179,79.9,79.9,79.9,79.9,1,0
2012-12-31,182,79.95,79.95,79.95,79.95,1,0
2013-01-01,183,83.9,83.9,83.9,83.9,1,0
2013-01-02,183,83.9,83.9,83.9,83.9,1,0
2013-01-03,183,83.9,83.9,83.9,83.9,1,0
2013-01-04,183,83.9,83.9,83.9,83.9,1,0
2013-01-07,183,83.9,83.9,83.9,83.9,1,0
2013-01-08,183,83.9,83.9,83.9,83.9,1,0
2013-01-09,183,83.9,83.9,83.9,83.9,1,0
2013-01-10,183,83.9,83.9,83.9,83.9,1,0
2013-01-11,183,83.9,83.9,83.9,83.9,1,0
2013-01-14,183,83.9,83.9,83.9,83.9,1,0
2013-01-15,183,83.9,83.9,83.9,83.9,1,0
2013-01-16,183,83.9,83.9,83.9,83.9,1,0
2013-01-17,183,83.9,83.9,83.9,83.9,1,0
2013-01-18,183,83.9,83.9,83.9,83.9,1,0
2013-01-21,183,83.9,83.9,83.9,83.9,1,0
2013-01-22,183,83.9,83.9,83.9,83.9,1,0
2013-01-23,183,83.9,83.9,83.9,83.9,1,0
2013-01-24,183,83.9,83.9,83.9,83.9,1,0
2013-01-25,183,83.9,83.9,83.9,83.9,1,0
2013-01-28,183,83.9,83.9,83.9,83.9,1,0
2013-01-29,183,83.9,83.9,83.9,83.9,1,0
2013-01-30,183,83.9,83.9,83.9,83.9,1,0
2013-01-31,183,83.9,83.9,83.9,83.9,1,0
2013-02-01,183,83.9,83.9,83.9,83.9,1,0
2013-02-04,183,83.9,83.9,83.9,83.9,1,0
2013-02-05,183,83.9,83.9,83.9,83.9,1,0
2013-02-06,183,83.9,83.9,83.9,83.9,1,0
2013-02-07,183,83.9,83.9,83.9,83.9,1,0
2013-02-08,183,83.9,83.9,83.9,83.9,1,0
2013-02-11,183,83.9,83.9,83.9,83.9,1,0
2013-02-12,183,83.9,83.9,83.9,83.9,1,0
2013-02-13,183,83.9,83.9,83.9,83.9,1,0
2013-02-14,183,83.9,83.9,83.9,83.9,1,0
2013-02-15,183,83.9,83.9,83.9,83.9,1,0
2013-02-18,183,83.9,83.9,83.9,83.9,1,0
2013-02-19,183,83.9,83.9,83.9,83.9,1,0
2013-02-20,183,83.9,83.9,83.9,83.9,1,0
2013-02-21,183,83.9,83.9,83.9,83.9,1,0
2013-02-22,183,83.9,83.9,83.9,83.9,1,0
2013-02-25,183,83.9,83.9,83.9,83.9,1,0
2013-02-26,183,83.9,83.9,83.9,83.9,1,0
2013-02-27,183,83.9,83.9,83.9,83.9,1,0
2013-02-28,183,83.9,83.9,83.9,83.9,1,0
2013-03-01,183,83.9,83.9,83.9,83.9,1,0
2013-03-04,183,83.9,83.9,83.9,83.9,1,0
2013-03-05,183,83.9,83.9,83.9,83.9,1,0
2013-03-06,183,83.9,83.9,83.9,83.9,1,0
2013-03-07,183,83.9,83.9,83.9,83.9,1,0
2013-03-08,183,83.9,83.9,83.9,83.9,1,0
2013-03-11,183,83.9,83.9,83.9,83.9,1,0
2013-03-12,183,83.9,83.9,83.9,83.9,1,0
2013-03-13,183,83.9,83.9,83.9,83.9,1,0
2013-03-14,183,83.9,83.9,83.9,83.9,1,0
