Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-03,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-04,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-05,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-06,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-09,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-10,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-11,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-12,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-13,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-16,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-17,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-18,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-19,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-20,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-23,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-24,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-25,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-26,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-27,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-30,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-07-31,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-01,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-02,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-03,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-06,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-07,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-08,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-09,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-10,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-13,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-14,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-16,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-17,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-21,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-22,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-23,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-24,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-27,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-28,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-29,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-30,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-08-31,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-03,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-04,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-05,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-06,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-07,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-10,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-11,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-12,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-13,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-14,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-17,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-18,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-20,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-21,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-24,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-25,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-26,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-27,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-09-28,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-10-01,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-10-03,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-10-04,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
2012-10-05,2830.0,787.15,787.15,787.15,787.15,1000000.0,0.0
