Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,88.825,88.825,88.825,88.825,1000000,0
2012-07-03,1,88.625,88.625,88.625,88.625,1000000,0
2012-07-04,2,90.15,90.15,90.15,90.15,1000000,0
2012-07-05,3,92.85,92.85,92.85,92.85,1000000,0
2012-07-06,4,93.55,93.55,93.55,93.55,1000000,0
2012-07-09,7,92.425,92.425,92.425,92.425,1000000,0
2012-07-10,8,94.35,94.35,94.35,94.35,1000000,0
2012-07-11,9,92.475,92.475,92.475,92.475,1000000,0
2012-07-12,10,92.0,92.0,92.0,92.0,1000000,0
2012-07-13,11,92.55,92.55,92.55,92.55,1000000,0
2012-07-16,14,92.1,92.1,92.1,92.1,1000000,0
2012-07-17,15,92.325,92.325,92.325,92.325,1000000,0
2012-07-18,16,90.5,90.5,90.5,90.5,1000000,0
2012-07-19,17,89.025,89.025,89.025,89.025,1000000,0
2012-07-20,18,86.775,86.775,86.775,86.775,1000000,0
2012-07-23,21,84.525,84.525,84.525,84.525,1000000,0
2012-07-24,22,86.9,86.9,86.9,86.9,1000000,0
2012-07-25,23,87.75,87.75,87.75,87.75,1000000,0
2012-07-26,24,85.675,85.675,85.675,85.675,1000000,0
2012-07-27,25,85.95,85.95,85.95,85.95,1000000,0
2012-07-30,28,87.325,87.325,87.325,87.325,1000000,0
2012-07-31,29,86.575,86.575,86.575,86.575,1000000,0
2012-08-01,30,89.65,89.65,89.65,89.65,1000000,0
2012-08-02,31,90.3,90.3,90.3,90.3,1000000,0
2012-08-03,32,87.85,87.85,87.85,87.85,1000000,0
2012-08-06,35,90.825,90.825,90.825,90.825,1000000,0
2012-08-07,36,92.775,92.775,92.775,92.775,1000000,0
2012-08-08,37,93.05,93.05,93.05,93.05,1000000,0
2012-08-09,38,95.65,95.65,95.65,95.65,1000000,0
2012-08-10,39,91.425,91.425,91.425,91.425,1000000,0
2012-08-13,42,92.675,92.675,92.675,92.675,1000000,0
2012-08-14,43,92.425,92.425,92.425,92.425,1000000,0
2012-08-16,45,92.8,92.8,92.8,92.8,1000000,0
2012-08-17,46,93.725,93.725,93.725,93.725,1000000,0
2012-08-21,50,92.1,92.1,92.1,92.1,1000000,0
2012-08-22,51,91.025,91.025,91.025,91.025,1000000,0
2012-08-23,52,88.175,88.175,88.175,88.175,1000000,0
2012-08-24,53,85.25,85.25,85.25,85.25,1000000,0
2012-08-27,56,84.575,84.575,84.575,84.575,1000000,0
2012-08-28,57,80.225,80.225,80.225,80.225,1000000,0
2012-08-29,58,77.975,77.975,77.975,77.975,1000000,0
2012-08-30,59,78.475,78.475,78.475,78.475,1000000,0
2012-08-31,60,80.15,80.15,80.15,80.15,1000000,0
2012-09-03,63,78.15,78.15,78.15,78.15,1000000,0
2012-09-04,64,80.7,80.7,80.7,80.7,1000000,0
2012-09-05,65,78.05,78.05,78.05,78.05,1000000,0
2012-09-06,66,77.25,77.25,77.25,77.25,1000000,0
2012-09-07,67,80.3,80.3,80.3,80.3,1000000,0
2012-09-10,70,81.875,81.875,81.875,81.875,1000000,0
2012-09-11,71,81.7,81.7,81.7,81.7,1000000,0
2012-09-12,72,80.225,80.225,80.225,80.225,1000000,0
2012-09-13,73,80.175,80.175,80.175,80.175,1000000,0
2012-09-14,74,83.25,83.25,83.25,83.25,1000000,0
2012-09-17,77,90.675,90.675,90.675,90.675,1000000,0
2012-09-18,78,97.725,97.725,97.725,97.725,1000000,0
2012-09-20,80,97.975,97.975,97.975,97.975,1000000,0
2012-09-21,81,97.2,97.2,97.2,97.2,1000000,0
2012-09-24,84,99.975,99.975,99.975,99.975,1000000,0
2012-09-25,85,98.875,98.875,98.875,98.875,1000000,0
2012-09-26,86,94.3,94.3,94.3,94.3,1000000,0
2012-09-27,87,94.925,94.925,94.925,94.925,1000000,0
2012-09-28,88,94.475,94.475,94.475,94.475,1000000,0
2012-10-01,91,93.8,93.8,93.8,93.8,1000000,0
2012-10-03,93,97.975,97.975,97.975,97.975,1000000,0
2012-10-04,94,98.075,98.075,98.075,98.075,1000000,0
2012-10-05,95,97.95,97.95,97.95,97.95,1000000,0
2012-10-08,98,97.75,97.75,97.75,97.75,1000000,0
2012-10-09,99,101.175,101.175,101.175,101.175,1000000,0
2012-10-10,100,100.125,100.125,100.125,100.125,1000000,0
2012-10-11,101,103.975,103.975,103.975,103.975,1000000,0
2012-10-12,102,104.025,104.025,104.025,104.025,1000000,0
2012-10-15,105,102.825,102.825,102.825,102.825,1000000,0
2012-10-16,106,98.425,98.425,98.425,98.425,1000000,0
2012-10-17,107,98.55,98.55,98.55,98.55,1000000,0
2012-10-18,108,101.025,101.025,101.025,101.025,1000000,0
2012-10-19,109,99.575,99.575,99.575,99.575,1000000,0
2012-10-22,112,97.975,97.975,97.975,97.975,1000000,0
2012-10-23,113,96.25,96.25,96.25,96.25,1000000,0
2012-10-25,115,94.175,94.175,94.175,94.175,1000000,0
2012-10-26,116,91.25,91.25,91.25,91.25,1000000,0
2012-10-29,119,92.1,92.1,92.1,92.1,1000000,0
2012-10-30,120,89.075,89.075,89.075,89.075,1000000,0
2012-10-31,121,92.675,92.675,92.675,92.675,1000000,0
2012-11-01,122,93.0,93.0,93.0,93.0,1000000,0
2012-11-02,123,94.5,94.5,94.5,94.5,1000000,0
2012-11-05,126,94.15,94.15,94.15,94.15,1000000,0
2012-11-06,127,94.325,94.325,94.325,94.325,1000000,0
2012-11-07,128,95.95,95.95,95.95,95.95,1000000,0
2012-11-08,129,95.025,95.025,95.025,95.025,1000000,0
2012-11-09,130,93.4,93.4,93.4,93.4,1000000,0
2012-11-12,133,95.2,95.2,95.2,95.2,1000000,0
2012-11-13,134,94.375,94.375,94.375,94.375,1000000,0
2012-11-15,136,93.275,93.275,93.275,93.275,1000000,0
2012-11-16,137,90.675,90.675,90.675,90.675,1000000,0
2012-11-19,140,88.15,88.15,88.15,88.15,1000000,0
2012-11-20,141,88.575,88.575,88.575,88.575,1000000,0
2012-11-21,142,91.0,91.0,91.0,91.0,1000000,0
2012-11-22,143,91.5,91.5,91.5,91.5,1000000,0
2012-11-23,144,91.525,91.525,91.525,91.525,1000000,0
2012-11-26,147,90.2,90.2,90.2,90.2,1000000,0
2012-11-27,148,91.35,91.35,91.35,91.35,1000000,0
2012-11-29,150,94.75,94.75,94.75,94.75,1000000,0
2012-11-30,151,96.225,96.225,96.225,96.225,1000000,0
2012-12-03,154,97.025,97.025,97.025,97.025,1000000,0
2012-12-04,155,96.55,96.55,96.55,96.55,1000000,0
2012-12-05,156,97.225,97.225,97.225,97.225,1000000,0
2012-12-06,157,100.625,100.625,100.625,100.625,1000000,0
2012-12-07,158,98.775,98.775,98.775,98.775,1000000,0
2012-12-10,161,101.175,101.175,101.175,101.175,1000000,0
2012-12-11,162,98.2,98.2,98.2,98.2,1000000,0
2012-12-12,163,97.425,97.425,97.425,97.425,1000000,0
2012-12-13,164,96.9,96.9,96.9,96.9,1000000,0
2012-12-14,165,95.5,95.5,95.5,95.5,1000000,0
2012-12-17,168,97.525,97.525,97.525,97.525,1000000,0
2012-12-18,169,100.55,100.55,100.55,100.55,1000000,0
2012-12-19,170,102.0,102.0,102.0,102.0,1000000,0
2012-12-20,171,102.175,102.175,102.175,102.175,1000000,0
2012-12-21,172,100.575,100.575,100.575,100.575,1000000,0
2012-12-24,175,101.15,101.15,101.15,101.15,1000000,0
2012-12-26,177,100.125,100.125,100.125,100.125,1000000,0
2012-12-27,178,99.075,99.075,99.075,99.075,1000000,0
2012-12-28,179,101.45,101.45,101.45,101.45,1000000,0
2012-12-31,182,101.85,101.85,101.85,101.85,1000000,0
2013-01-01,183,103.65,103.65,103.65,103.65,1000000,0
2013-01-02,184,103.725,103.725,103.725,103.725,1000000,0
2013-01-03,185,106.1,106.1,106.1,106.1,1000000,0
2013-01-04,186,105.9,105.9,105.9,105.9,1000000,0
2013-01-07,189,103.8,103.8,103.8,103.8,1000000,0
2013-01-08,190,103.15,103.15,103.15,103.15,1000000,0
2013-01-09,191,103.55,103.55,103.55,103.55,1000000,0
2013-01-10,192,104.35,104.35,104.35,104.35,1000000,0
2013-01-11,193,101.675,101.675,101.675,101.675,1000000,0
2013-01-14,196,103.575,103.575,103.575,103.575,1000000,0
2013-01-15,197,103.75,103.75,103.75,103.75,1000000,0
2013-01-16,198,102.475,102.475,102.475,102.475,1000000,0
2013-01-17,199,102.625,102.625,102.625,102.625,1000000,0
2013-01-18,200,103.625,103.625,103.625,103.625,1000000,0
2013-01-21,203,105.925,105.925,105.925,105.925,1000000,0
2013-01-22,204,102.325,102.325,102.325,102.325,1000000,0
2013-01-23,205,100.4,100.4,100.4,100.4,1000000,0
2013-01-24,206,98.2,98.2,98.2,98.2,1000000,0
2013-01-25,207,103.1,103.1,103.1,103.1,1000000,0
2013-01-28,210,105.0,105.0,105.0,105.0,1000000,0
2013-01-29,211,101.6,101.6,101.6,101.6,1000000,0
2013-01-30,212,103.3,103.3,103.3,103.3,1000000,0
2013-01-31,213,105.55,105.55,105.55,105.55,1000000,0
2013-02-01,214,103.65,103.65,103.65,103.65,1000000,0
2013-02-04,217,107.325,107.325,107.325,107.325,1000000,0
2013-02-05,218,106.025,106.025,106.025,106.025,1000000,0
2013-02-06,219,110.925,110.925,110.925,110.925,1000000,0
2013-02-07,220,110.325,110.325,110.325,110.325,1000000,0
2013-02-08,221,111.425,111.425,111.425,111.425,1000000,0
2013-02-11,224,109.9,109.9,109.9,109.9,1000000,0
2013-02-12,225,108.875,108.875,108.875,108.875,1000000,0
2013-02-13,226,108.275,108.275,108.275,108.275,1000000,0
2013-02-14,227,106.95,106.95,106.95,106.95,1000000,0
2013-02-15,228,108.675,108.675,108.675,108.675,1000000,0
2013-02-18,231,107.325,107.325,107.325,107.325,1000000,0
2013-02-19,232,109.025,109.025,109.025,109.025,1000000,0
2013-02-20,233,107.425,107.425,107.425,107.425,1000000,0
2013-02-21,234,104.675,104.675,104.675,104.675,1000000,0
2013-02-22,235,102.2,102.2,102.2,102.2,1000000,0
2013-02-25,238,102.85,102.85,102.85,102.85,1000000,0
2013-02-26,239,99.4,99.4,99.4,99.4,1000000,0
2013-02-27,240,102.525,102.525,102.525,102.525,1000000,0
2013-02-28,241,100.725,100.725,100.725,100.725,1000000,0
2013-03-01,242,95.825,95.825,95.825,95.825,1000000,0
2013-03-04,245,94.0,94.0,94.0,94.0,1000000,0
2013-03-05,246,99.6,99.6,99.6,99.6,1000000,0
2013-03-06,247,101.725,101.725,101.725,101.725,1000000,0
2013-03-07,248,102.25,102.25,102.25,102.25,1000000,0
2013-03-08,249,101.4,101.4,101.4,101.4,1000000,0
2013-03-11,252,102.0,102.0,102.0,102.0,1000000,0
2013-03-12,253,99.625,99.625,99.625,99.625,1000000,0
2013-03-13,254,94.9,94.9,94.9,94.9,1000000,0
2013-03-14,255,99.225,99.225,99.225,99.225,1000000,0
2013-03-15,256,100.05,100.05,100.05,100.05,1000000,0
2013-03-18,259,97.0,97.0,97.0,97.0,1000000,0
2013-03-19,260,91.675,91.675,91.675,91.675,1000000,0
2013-03-20,261,88.675,88.675,88.675,88.675,1000000,0
2013-03-21,262,87.775,87.775,87.775,87.775,1000000,0
2013-03-22,263,89.075,89.075,89.075,89.075,1000000,0
2013-03-25,266,89.05,89.05,89.05,89.05,1000000,0
2013-03-26,267,91.1,91.1,91.1,91.1,1000000,0
2013-03-28,269,90.35,90.35,90.35,90.35,1000000,0
2013-04-01,273,91.6,91.6,91.6,91.6,1000000,0
2013-04-02,274,93.85,93.85,93.85,93.85,1000000,0
2013-04-03,275,91.35,91.35,91.35,91.35,1000000,0
2013-04-04,276,92.45,92.45,92.45,92.45,1000000,0
2013-04-05,277,93.775,93.775,93.775,93.775,1000000,0
2013-04-08,280,95.825,95.825,95.825,95.825,1000000,0
2013-04-09,281,94.25,94.25,94.25,94.25,1000000,0
2013-04-10,282,95.325,95.325,95.325,95.325,1000000,0
2013-04-11,283,94.65,94.65,94.65,94.65,1000000,0
2013-04-12,284,95.15,95.15,95.15,95.15,1000000,0
2013-04-15,287,97.275,97.275,97.275,97.275,1000000,0
2013-04-16,288,100.15,100.15,100.15,100.15,1000000,0
2013-04-17,289,96.4,96.4,96.4,96.4,1000000,0
2013-04-18,290,98.075,98.075,98.075,98.075,1000000,0
2013-04-22,294,97.475,97.475,97.475,97.475,1000000,0
2013-04-23,295,99.55,99.55,99.55,99.55,1000000,0
2013-04-25,297,99.325,99.325,99.325,99.325,1000000,0
2013-04-26,298,96.475,96.475,96.475,96.475,1000000,0
2013-04-29,301,98.6,98.6,98.6,98.6,1000000,0
2013-04-30,302,97.425,97.425,97.425,97.425,1000000,0
2013-05-02,304,99.15,99.15,99.15,99.15,1000000,0
2013-05-03,305,95.225,95.225,95.225,95.225,1000000,0
