Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,165.65,165.65,165.65,165.65,1,0
2012-07-03,1,170.55,170.55,170.55,170.55,1,0
2012-07-04,2,170.3,170.3,170.3,170.3,1,0
2012-07-05,3,173.1,173.1,173.1,173.1,1,0
2012-07-06,4,172.2,172.2,172.2,172.2,1,0
2012-07-09,7,172.4,172.4,172.4,172.4,1,0
2012-07-10,8,174.15,174.15,174.15,174.15,1,0
2012-07-11,9,172.85,172.85,172.85,172.85,1,0
2012-07-12,10,168.35,168.35,168.35,168.35,1,0
2012-07-13,11,170.3,170.3,170.3,170.3,1,0
2012-07-16,14,169.65,169.65,169.65,169.65,1,0
2012-07-17,15,167.15,167.15,167.15,167.15,1,0
2012-07-18,16,168.45,168.45,168.45,168.45,1,0
2012-07-19,17,167.45,167.45,167.45,167.45,1,0
2012-07-20,18,168.05,168.05,168.05,168.05,1,0
2012-07-23,21,159.75,159.75,159.75,159.75,1,0
2012-07-24,22,159.95,159.95,159.95,159.95,1,0
2012-07-25,23,160.45,160.45,160.45,160.45,1,0
2012-07-26,24,156.6,156.6,156.6,156.6,1,0
2012-07-27,25,157.05,157.05,157.05,157.05,1,0
2012-07-30,28,157.2,157.2,157.2,157.2,1,0
2012-07-31,29,157.75,157.75,157.75,157.75,1,0
2012-08-01,30,159.9,159.9,159.9,159.9,1,0
2012-08-02,31,160.35,160.35,160.35,160.35,1,0
2012-08-03,32,160.0,160.0,160.0,160.0,1,0
2012-08-06,35,163.65,163.65,163.65,163.65,1,0
2012-08-07,36,162.75,162.75,162.75,162.75,1,0
2012-08-08,37,162.15,162.15,162.15,162.15,1,0
2012-08-09,38,158.85,158.85,158.85,158.85,1,0
2012-08-10,39,158.85,158.85,158.85,158.85,1,0
2012-08-13,42,153.8,153.8,153.8,153.8,1,0
2012-08-14,43,150.7,150.7,150.7,150.7,1,0
2012-08-16,45,154.05,154.05,154.05,154.05,1,0
2012-08-17,46,156.25,156.25,156.25,156.25,1,0
2012-08-21,50,159.75,159.75,159.75,159.75,1,0
2012-08-22,51,158.5,158.5,158.5,158.5,1,0
2012-08-23,52,156.2,156.2,156.2,156.2,1,0
2012-08-24,53,157.35,157.35,157.35,157.35,1,0
2012-08-27,56,155.15,155.15,155.15,155.15,1,0
2012-08-28,57,155.05,155.05,155.05,155.05,1,0
2012-08-29,58,157.6,157.6,157.6,157.6,1,0
2012-08-30,59,157.05,157.05,157.05,157.05,1,0
2012-08-31,60,156.6,156.6,156.6,156.6,1,0
2012-09-03,63,156.7,156.7,156.7,156.7,1,0
2012-09-04,64,158.05,158.05,158.05,158.05,1,0
2012-09-05,65,158.45,158.45,158.45,158.45,1,0
2012-09-06,66,158.4,158.4,158.4,158.4,1,0
2012-09-07,67,160.4,160.4,160.4,160.4,1,0
2012-09-10,70,163.1,163.1,163.1,163.1,1,0
2012-09-11,71,164.95,164.95,164.95,164.95,1,0
2012-09-12,72,166.4,166.4,166.4,166.4,1,0
2012-09-13,73,165.15,165.15,165.15,165.15,1,0
2012-09-14,74,168.3,168.3,168.3,168.3,1,0
2012-09-17,77,171.1,171.1,171.1,171.1,1,0
2012-09-18,78,177.45,177.45,177.45,177.45,1,0
2012-09-20,80,171.9,171.9,171.9,171.9,1,0
2012-09-21,81,173.15,173.15,173.15,173.15,1,0
2012-09-24,84,175.2,175.2,175.2,175.2,1,0
2012-09-25,85,176.8,176.8,176.8,176.8,1,0
2012-09-26,86,179.05,179.05,179.05,179.05,1,0
2012-09-27,87,180.2,180.2,180.2,180.2,1,0
2012-09-28,88,180.9,180.9,180.9,180.9,1,0
2012-10-01,91,186.9,186.9,186.9,186.9,1,0
2012-10-03,93,194.15,194.15,194.15,194.15,1,0
2012-10-04,94,195.55,195.55,195.55,195.55,1,0
2012-10-05,95,203.2,203.2,203.2,203.2,1,0
2012-10-08,98,205.6,205.6,205.6,205.6,1,0
2012-10-09,99,204.9,204.9,204.9,204.9,1,0
2012-10-10,100,200.65,200.65,200.65,200.65,1,0
2012-10-11,101,207.7,207.7,207.7,207.7,1,0
2012-10-12,102,212.55,212.55,212.55,212.55,1,0
2012-10-15,105,210.75,210.75,210.75,210.75,1,0
2012-10-16,106,209.05,209.05,209.05,209.05,1,0
2012-10-17,107,210.85,210.85,210.85,210.85,1,0
2012-10-18,108,210.8,210.8,210.8,210.8,1,0
2012-10-19,109,211.9,211.9,211.9,211.9,1,0
2012-10-22,112,214.2,214.2,214.2,214.2,1,0
2012-10-23,113,213.85,213.85,213.85,213.85,1,0
2012-10-25,115,215.0,215.0,215.0,215.0,1,0
2012-10-26,116,213.2,213.2,213.2,213.2,1,0
2012-10-29,119,213.85,213.85,213.85,213.85,1,0
2012-10-30,120,210.8,210.8,210.8,210.8,1,0
2012-10-31,121,208.05,208.05,208.05,208.05,1,0
2012-11-01,122,210.05,210.05,210.05,210.05,1,0
2012-11-02,123,210.55,210.55,210.55,210.55,1,0
2012-11-05,126,210.85,210.85,210.85,210.85,1,0
2012-11-06,127,209.15,209.15,209.15,209.15,1,0
2012-11-07,128,209.6,209.6,209.6,209.6,1,0
2012-11-08,129,210.2,210.2,210.2,210.2,1,0
2012-11-09,130,207.95,207.95,207.95,207.95,1,0
2012-11-12,133,204.75,204.75,204.75,204.75,1,0
2012-11-13,134,206.2,206.2,206.2,206.2,1,0
2012-11-15,136,200.1,200.1,200.1,200.1,1,0
2012-11-16,137,196.75,196.75,196.75,196.75,1,0
2012-11-19,140,195.0,195.0,195.0,195.0,1,0
2012-11-20,141,194.2,194.2,194.2,194.2,1,0
2012-11-21,142,193.8,193.8,193.8,193.8,1,0
2012-11-22,143,194.15,194.15,194.15,194.15,1,0
2012-11-23,144,197.9,197.9,197.9,197.9,1,0
2012-11-26,147,196.25,196.25,196.25,196.25,1,0
2012-11-27,148,197.65,197.65,197.65,197.65,1,0
2012-11-29,150,198.05,198.05,198.05,198.05,1,0
2012-11-30,151,202.45,202.45,202.45,202.45,1,0
2012-12-03,154,204.8,204.8,204.8,204.8,1,0
2012-12-04,155,205.0,205.0,205.0,205.0,1,0
2012-12-05,156,206.35,206.35,206.35,206.35,1,0
2012-12-06,157,206.95,206.95,206.95,206.95,1,0
2012-12-07,158,205.2,205.2,205.2,205.2,1,0
2012-12-10,161,204.8,204.8,204.8,204.8,1,0
2012-12-11,162,203.45,203.45,203.45,203.45,1,0
2012-12-12,163,202.85,202.85,202.85,202.85,1,0
2012-12-13,164,200.4,200.4,200.4,200.4,1,0
2012-12-14,165,203.05,203.05,203.05,203.05,1,0
2012-12-17,168,205.7,205.7,205.7,205.7,1,0
2012-12-18,169,207.7,207.7,207.7,207.7,1,0
