Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,64.85,64.85,64.85,64.85,1000000,0
2012-07-03,1,63.25,63.25,63.25,63.25,1000000,0
2012-07-04,2,64.55,64.55,64.55,64.55,1000000,0
2012-07-05,3,64.9,64.9,64.9,64.9,1000000,0
2012-07-06,4,64.15,64.15,64.15,64.15,1000000,0
2012-07-09,7,62.15,62.15,62.15,62.15,1000000,0
2012-07-10,8,64.8,64.8,64.8,64.8,1000000,0
2012-07-11,9,64.5,64.5,64.5,64.5,1000000,0
2012-07-12,10,63.2,63.2,63.2,63.2,1000000,0
2012-07-13,11,62.3,62.3,62.3,62.3,1000000,0
2012-07-16,14,61.7,61.7,61.7,61.7,1000000,0
2012-07-17,15,60.0,60.0,60.0,60.0,1000000,0
2012-07-18,16,60.85,60.85,60.85,60.85,1000000,0
2012-07-19,17,61.25,61.25,61.25,61.25,1000000,0
2012-07-20,18,59.35,59.35,59.35,59.35,1000000,0
2012-07-23,21,58.2,58.2,58.2,58.2,1000000,0
2012-07-24,22,58.0,58.0,58.0,58.0,1000000,0
2012-07-25,23,56.3,56.3,56.3,56.3,1000000,0
2012-07-26,24,56.1,56.1,56.1,56.1,1000000,0
2012-07-27,25,54.95,54.95,54.95,54.95,1000000,0
2012-07-30,28,57.55,57.55,57.55,57.55,1000000,0
2012-07-31,29,56.65,56.65,56.65,56.65,1000000,0
2012-08-01,30,58.55,58.55,58.55,58.55,1000000,0
2012-08-02,31,59.55,59.55,59.55,59.55,1000000,0
2012-08-03,32,59.1,59.1,59.1,59.1,1000000,0
2012-08-06,35,60.25,60.25,60.25,60.25,1000000,0
2012-08-07,36,61.0,61.0,61.0,61.0,1000000,0
2012-08-08,37,60.45,60.45,60.45,60.45,1000000,0
2012-08-09,38,59.5,59.5,59.5,59.5,1000000,0
2012-08-10,39,60.7,60.7,60.7,60.7,1000000,0
2012-08-13,42,61.25,61.25,61.25,61.25,1000000,0
2012-08-14,43,59.8,59.8,59.8,59.8,1000000,0
2012-08-16,45,59.9,59.9,59.9,59.9,1000000,0
2012-08-17,46,58.3,58.3,58.3,58.3,1000000,0
2012-08-21,50,57.95,57.95,57.95,57.95,1000000,0
2012-08-22,51,58.15,58.15,58.15,58.15,1000000,0
2012-08-23,52,58.15,58.15,58.15,58.15,1000000,0
2012-08-24,53,58.0,58.0,58.0,58.0,1000000,0
2012-08-27,56,57.15,57.15,57.15,57.15,1000000,0
2012-08-28,57,56.4,56.4,56.4,56.4,1000000,0
2012-08-29,58,55.7,55.7,55.7,55.7,1000000,0
2012-08-30,59,55.15,55.15,55.15,55.15,1000000,0
2012-08-31,60,55.65,55.65,55.65,55.65,1000000,0
2012-09-03,63,55.55,55.55,55.55,55.55,1000000,0
2012-09-04,64,56.35,56.35,56.35,56.35,1000000,0
2012-09-05,65,54.9,54.9,54.9,54.9,1000000,0
2012-09-06,66,53.85,53.85,53.85,53.85,1000000,0
2012-09-07,67,55.05,55.05,55.05,55.05,1000000,0
2012-09-10,70,55.3,55.3,55.3,55.3,1000000,0
2012-09-11,71,54.2,54.2,54.2,54.2,1000000,0
2012-09-12,72,53.65,53.65,53.65,53.65,1000000,0
2012-09-13,73,53.2,53.2,53.2,53.2,1000000,0
2012-09-14,74,55.2,55.2,55.2,55.2,1000000,0
2012-09-17,77,58.6,58.6,58.6,58.6,1000000,0
2012-09-18,78,61.1,61.1,61.1,61.1,1000000,0
2012-09-20,80,61.95,61.95,61.95,61.95,1000000,0
2012-09-21,81,66.35,66.35,66.35,66.35,1000000,0
2012-09-24,84,67.9,67.9,67.9,67.9,1000000,0
2012-09-25,85,69.0,69.0,69.0,69.0,1000000,0
2012-09-26,86,68.9,68.9,68.9,68.9,1000000,0
2012-09-27,87,68.2,68.2,68.2,68.2,1000000,0
2012-09-28,88,70.9,70.9,70.9,70.9,1000000,0
2012-10-01,91,70.25,70.25,70.25,70.25,1000000,0
2012-10-03,93,71.8,71.8,71.8,71.8,1000000,0
2012-10-04,94,71.2,71.2,71.2,71.2,1000000,0
2012-10-05,95,70.2,70.2,70.2,70.2,1000000,0
2012-10-08,98,69.0,69.0,69.0,69.0,1000000,0
2012-10-09,99,70.9,70.9,70.9,70.9,1000000,0
2012-10-10,100,68.05,68.05,68.05,68.05,1000000,0
2012-10-11,101,69.45,69.45,69.45,69.45,1000000,0
2012-10-12,102,70.3,70.3,70.3,70.3,1000000,0
2012-10-15,105,69.35,69.35,69.35,69.35,1000000,0
2012-10-16,106,67.65,67.65,67.65,67.65,1000000,0
2012-10-17,107,67.2,67.2,67.2,67.2,1000000,0
2012-10-18,108,68.0,68.0,68.0,68.0,1000000,0
2012-10-19,109,67.7,67.7,67.7,67.7,1000000,0
2012-10-22,112,67.5,67.5,67.5,67.5,1000000,0
2012-10-23,113,66.4,66.4,66.4,66.4,1000000,0
2012-10-25,115,64.75,64.75,64.75,64.75,1000000,0
2012-10-26,116,63.8,63.8,63.8,63.8,1000000,0
2012-10-29,119,63.6,63.6,63.6,63.6,1000000,0
2012-10-30,120,62.55,62.55,62.55,62.55,1000000,0
2012-10-31,121,63.85,63.85,63.85,63.85,1000000,0
2012-11-01,122,65.05,65.05,65.05,65.05,1000000,0
2012-11-02,123,68.45,68.45,68.45,68.45,1000000,0
2012-11-05,126,68.6,68.6,68.6,68.6,1000000,0
2012-11-06,127,69.75,69.75,69.75,69.75,1000000,0
2012-11-07,128,69.55,69.55,69.55,69.55,1000000,0
2012-11-08,129,70.0,70.0,70.0,70.0,1000000,0
2012-11-09,130,68.7,68.7,68.7,68.7,1000000,0
2012-11-12,133,70.2,70.2,70.2,70.2,1000000,0
2012-11-13,134,69.75,69.75,69.75,69.75,1000000,0
2012-11-15,136,71.5,71.5,71.5,71.5,1000000,0
2012-11-16,137,70.55,70.55,70.55,70.55,1000000,0
2012-11-19,140,68.45,68.45,68.45,68.45,1000000,0
2012-11-20,141,68.4,68.4,68.4,68.4,1000000,0
2012-11-21,142,68.05,68.05,68.05,68.05,1000000,0
2012-11-22,143,70.5,70.5,70.5,70.5,1000000,0
2012-11-23,144,70.65,70.65,70.65,70.65,1000000,0
