Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,64.95,64.95,64.95,64.95,1000000,0
2012-07-03,1,67.05,67.05,67.05,67.05,1000000,0
2012-07-04,2,67.25,67.25,67.25,67.25,1000000,0
2012-07-05,3,67.25,67.25,67.25,67.25,1000000,0
2012-07-06,4,67.9,67.9,67.9,67.9,1000000,0
2012-07-09,7,66.5,66.5,66.5,66.5,1000000,0
2012-07-10,8,67.3,67.3,67.3,67.3,1000000,0
2012-07-11,9,67.15,67.15,67.15,67.15,1000000,0
2012-07-12,10,66.9,66.9,66.9,66.9,1000000,0
2012-07-13,11,66.2,66.2,66.2,66.2,1000000,0
2012-07-16,14,64.9,64.9,64.9,64.9,1000000,0
2012-07-17,15,63.55,63.55,63.55,63.55,1000000,0
2012-07-18,16,62.3,62.3,62.3,62.3,1000000,0
2012-07-19,17,62.55,62.55,62.55,62.55,1000000,0
2012-07-20,18,63.1,63.1,63.1,63.1,1000000,0
2012-07-23,21,66.05,66.05,66.05,66.05,1000000,0
2012-07-24,22,67.25,67.25,67.25,67.25,1000000,0
2012-07-25,23,67.3,67.3,67.3,67.3,1000000,0
2012-07-26,24,72.25,72.25,72.25,72.25,1000000,0
2012-07-27,25,67.05,67.05,67.05,67.05,1000000,0
2012-07-30,28,63.95,63.95,63.95,63.95,1000000,0
2012-07-31,29,64.2,64.2,64.2,64.2,1000000,0
2012-08-01,30,64.7,64.7,64.7,64.7,1000000,0
2012-08-02,31,64.65,64.65,64.65,64.65,1000000,0
2012-08-03,32,64.9,64.9,64.9,64.9,1000000,0
2012-08-06,35,72.0,72.0,72.0,72.0,1000000,0
2012-08-07,36,70.25,70.25,70.25,70.25,1000000,0
2012-08-08,37,72.25,72.25,72.25,72.25,1000000,0
2012-08-09,38,70.7,70.7,70.7,70.7,1000000,0
2012-08-10,39,68.9,68.9,68.9,68.9,1000000,0
2012-08-13,42,69.4,69.4,69.4,69.4,1000000,0
2012-08-14,43,70.55,70.55,70.55,70.55,1000000,0
2012-08-16,45,68.6,68.6,68.6,68.6,1000000,0
2012-08-17,46,67.6,67.6,67.6,67.6,1000000,0
2012-08-21,50,68.5,68.5,68.5,68.5,1000000,0
2012-08-22,51,67.6,67.6,67.6,67.6,1000000,0
2012-08-23,52,66.8,66.8,66.8,66.8,1000000,0
2012-08-24,53,65.3,65.3,65.3,65.3,1000000,0
2012-08-27,56,63.65,63.65,63.65,63.65,1000000,0
2012-08-28,57,62.15,62.15,62.15,62.15,1000000,0
2012-08-29,58,61.0,61.0,61.0,61.0,1000000,0
2012-08-30,59,60.25,60.25,60.25,60.25,1000000,0
2012-08-31,60,61.05,61.05,61.05,61.05,1000000,0
2012-09-03,63,61.5,61.5,61.5,61.5,1000000,0
2012-09-04,64,61.2,61.2,61.2,61.2,1000000,0
2012-09-05,65,61.75,61.75,61.75,61.75,1000000,0
2012-09-06,66,63.95,63.95,63.95,63.95,1000000,0
2012-09-07,67,65.25,65.25,65.25,65.25,1000000,0
2012-09-10,70,64.5,64.5,64.5,64.5,1000000,0
2012-09-11,71,64.65,64.65,64.65,64.65,1000000,0
2012-09-12,72,63.6,63.6,63.6,63.6,1000000,0
2012-09-13,73,64.1,64.1,64.1,64.1,1000000,0
2012-09-14,74,64.85,64.85,64.85,64.85,1000000,0
2012-09-17,77,66.5,66.5,66.5,66.5,1000000,0
2012-09-18,78,68.75,68.75,68.75,68.75,1000000,0
2012-09-20,80,66.8,66.8,66.8,66.8,1000000,0
2012-09-21,81,68.0,68.0,68.0,68.0,1000000,0
2012-09-24,84,68.6,68.6,68.6,68.6,1000000,0
2012-09-25,85,71.8,71.8,71.8,71.8,1000000,0
2012-09-26,86,71.25,71.25,71.25,71.25,1000000,0
2012-09-27,87,71.75,71.75,71.75,71.75,1000000,0
2012-09-28,88,69.75,69.75,69.75,69.75,1000000,0
2012-10-01,91,70.75,70.75,70.75,70.75,1000000,0
2012-10-03,93,72.0,72.0,72.0,72.0,1000000,0
2012-10-04,94,76.85,76.85,76.85,76.85,1000000,0
2012-10-05,95,74.85,74.85,74.85,74.85,1000000,0
2012-10-08,98,74.55,74.55,74.55,74.55,1000000,0
2012-10-09,99,75.8,75.8,75.8,75.8,1000000,0
2012-10-10,100,72.05,72.05,72.05,72.05,1000000,0
2012-10-11,101,72.9,72.9,72.9,72.9,1000000,0
2012-10-12,102,75.0,75.0,75.0,75.0,1000000,0
2012-10-15,105,75.6,75.6,75.6,75.6,1000000,0
2012-10-16,106,72.75,72.75,72.75,72.75,1000000,0
2012-10-17,107,71.85,71.85,71.85,71.85,1000000,0
2012-10-18,108,73.3,73.3,73.3,73.3,1000000,0
2012-10-19,109,72.55,72.55,72.55,72.55,1000000,0
2012-10-22,112,73.5,73.5,73.5,73.5,1000000,0
2012-10-23,113,78.2,78.2,78.2,78.2,1000000,0
2012-10-25,115,74.9,74.9,74.9,74.9,1000000,0
2012-10-26,116,72.55,72.55,72.55,72.55,1000000,0
2012-10-29,119,75.65,75.65,75.65,75.65,1000000,0
2012-10-30,120,75.55,75.55,75.55,75.55,1000000,0
2012-10-31,121,73.85,73.85,73.85,73.85,1000000,0
2012-11-01,122,75.15,75.15,75.15,75.15,1000000,0
2012-11-02,123,75.5,75.5,75.5,75.5,1000000,0
2012-11-05,126,76.15,76.15,76.15,76.15,1000000,0
2012-11-06,127,76.5,76.5,76.5,76.5,1000000,0
2012-11-07,128,87.2,87.2,87.2,87.2,1000000,0
2012-11-08,129,85.25,85.25,85.25,85.25,1000000,0
2012-11-09,130,83.35,83.35,83.35,83.35,1000000,0
2012-11-12,133,82.25,82.25,82.25,82.25,1000000,0
2012-11-13,134,81.95,81.95,81.95,81.95,1000000,0
2012-11-15,136,82.8,82.8,82.8,82.8,1000000,0
2012-11-16,137,80.6,80.6,80.6,80.6,1000000,0
2012-11-19,140,77.75,77.75,77.75,77.75,1000000,0
2012-11-20,141,79.0,79.0,79.0,79.0,1000000,0
2012-11-21,142,82.85,82.85,82.85,82.85,1000000,0
2012-11-22,143,83.6,83.6,83.6,83.6,1000000,0
2012-11-23,144,83.2,83.2,83.2,83.2,1000000,0
2012-11-26,147,85.1,85.1,85.1,85.1,1000000,0
2012-11-27,148,86.8,86.8,86.8,86.8,1000000,0
2012-11-29,150,86.35,86.35,86.35,86.35,1000000,0
2012-11-30,151,86.7,86.7,86.7,86.7,1000000,0
2012-12-03,154,88.75,88.75,88.75,88.75,1000000,0
2012-12-04,155,87.95,87.95,87.95,87.95,1000000,0
2012-12-05,156,94.45,94.45,94.45,94.45,1000000,0
2012-12-06,157,100.3,100.3,100.3,100.3,1000000,0
2012-12-07,158,102.9,102.9,102.9,102.9,1000000,0
2012-12-10,161,102.7,102.7,102.7,102.7,1000000,0
2012-12-11,162,95.95,95.95,95.95,95.95,1000000,0
2012-12-12,163,95.8,95.8,95.8,95.8,1000000,0
2012-12-13,164,96.25,96.25,96.25,96.25,1000000,0
2012-12-14,165,94.05,94.05,94.05,94.05,1000000,0
2012-12-17,168,95.55,95.55,95.55,95.55,1000000,0
2012-12-18,169,98.45,98.45,98.45,98.45,1000000,0
2012-12-19,170,101.4,101.4,101.4,101.4,1000000,0
2012-12-20,171,100.65,100.65,100.65,100.65,1000000,0
2012-12-21,172,99.15,99.15,99.15,99.15,1000000,0
2012-12-24,175,97.55,97.55,97.55,97.55,1000000,0
2012-12-26,177,98.5,98.5,98.5,98.5,1000000,0
2012-12-27,178,97.7,97.7,97.7,97.7,1000000,0
2012-12-28,179,95.05,95.05,95.05,95.05,1000000,0
2012-12-31,182,100.55,100.55,100.55,100.55,1000000,0
2013-01-01,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-02,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-03,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-04,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-07,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-08,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-09,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-10,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-11,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-14,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-15,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-16,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-17,183,100.5,100.5,100.5,100.5,1000000,0
2013-01-18,183,100.5,100.5,100.5,100.5,1000000,0
