Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,11.0,11.0,11.0,11.0,1,0
2012-07-03,1,10.85,10.85,10.85,10.85,1,0
2012-07-04,2,11.1,11.1,11.1,11.1,1,0
2012-07-05,3,11.3,11.3,11.3,11.3,1,0
2012-07-06,4,11.2,11.2,11.2,11.2,1,0
2012-07-09,7,11.0,11.0,11.0,11.0,1,0
2012-07-10,8,10.95,10.95,10.95,10.95,1,0
2012-07-11,9,10.8,10.8,10.8,10.8,1,0
2012-07-12,10,10.7,10.7,10.7,10.7,1,0
2012-07-13,11,10.55,10.55,10.55,10.55,1,0
2012-07-16,14,10.1,10.1,10.1,10.1,1,0
2012-07-17,15,10.0,10.0,10.0,10.0,1,0
2012-07-18,16,9.85,9.85,9.85,9.85,1,0
2012-07-19,17,9.95,9.95,9.95,9.95,1,0
2012-07-20,18,9.85,9.85,9.85,9.85,1,0
2012-07-23,21,9.6,9.6,9.6,9.6,1,0
2012-07-24,22,9.75,9.75,9.75,9.75,1,0
2012-07-25,23,9.6,9.6,9.6,9.6,1,0
2012-07-26,24,9.45,9.45,9.45,9.45,1,0
2012-07-27,25,9.25,9.25,9.25,9.25,1,0
2012-07-30,28,9.15,9.15,9.15,9.15,1,0
2012-07-31,29,9.1,9.1,9.1,9.1,1,0
2012-08-01,30,9.25,9.25,9.25,9.25,1,0
2012-08-02,31,9.3,9.3,9.3,9.3,1,0
2012-08-03,32,9.2,9.2,9.2,9.2,1,0
2012-08-06,35,9.45,9.45,9.45,9.45,1,0
2012-08-07,36,9.2,9.2,9.2,9.2,1,0
2012-08-08,37,9.1,9.1,9.1,9.1,1,0
2012-08-09,38,9.1,9.1,9.1,9.1,1,0
2012-08-10,39,9.0,9.0,9.0,9.0,1,0
2012-08-13,42,9.15,9.15,9.15,9.15,1,0
2012-08-14,43,9.55,9.55,9.55,9.55,1,0
2012-08-16,45,9.5,9.5,9.5,9.5,1,0
2012-08-17,46,9.5,9.5,9.5,9.5,1,0
2012-08-21,50,9.3,9.3,9.3,9.3,1,0
2012-08-22,51,9.65,9.65,9.65,9.65,1,0
2012-08-23,52,9.6,9.6,9.6,9.6,1,0
2012-08-24,53,9.3,9.3,9.3,9.3,1,0
2012-08-27,56,9.35,9.35,9.35,9.35,1,0
2012-08-28,57,9.1,9.1,9.1,9.1,1,0
2012-08-29,58,8.95,8.95,8.95,8.95,1,0
2012-08-30,59,8.7,8.7,8.7,8.7,1,0
2012-08-31,60,8.6,8.6,8.6,8.6,1,0
2012-09-03,63,8.75,8.75,8.75,8.75,1,0
2012-09-04,64,8.85,8.85,8.85,8.85,1,0
2012-09-05,65,8.8,8.8,8.8,8.8,1,0
2012-09-06,66,8.8,8.8,8.8,8.8,1,0
2012-09-07,67,8.9,8.9,8.9,8.9,1,0
2012-09-10,70,8.8,8.8,8.8,8.8,1,0
2012-09-11,71,8.95,8.95,8.95,8.95,1,0
2012-09-12,72,9.05,9.05,9.05,9.05,1,0
2012-09-13,73,9.15,9.15,9.15,9.15,1,0
2012-09-14,74,9.2,9.2,9.2,9.2,1,0
2012-09-17,77,9.3,9.3,9.3,9.3,1,0
2012-09-18,78,9.45,9.45,9.45,9.45,1,0
2012-09-20,80,9.15,9.15,9.15,9.15,1,0
2012-09-21,81,9.8,9.8,9.8,9.8,1,0
2012-09-24,84,9.45,9.45,9.45,9.45,1,0
2012-09-25,85,9.3,9.3,9.3,9.3,1,0
2012-09-26,86,9.6,9.6,9.6,9.6,1,0
2012-09-27,87,9.45,9.45,9.45,9.45,1,0
2012-09-28,88,9.5,9.5,9.5,9.5,1,0
2012-10-01,91,9.15,9.15,9.15,9.15,1,0
2012-10-03,93,9.5,9.5,9.5,9.5,1,0
2012-10-04,94,9.5,9.5,9.5,9.5,1,0
2012-10-05,95,9.7,9.7,9.7,9.7,1,0
2012-10-08,98,9.55,9.55,9.55,9.55,1,0
2012-10-09,99,9.5,9.5,9.5,9.5,1,0
2012-10-10,100,9.5,9.5,9.5,9.5,1,0
2012-10-11,101,9.7,9.7,9.7,9.7,1,0
2012-10-12,102,10.55,10.55,10.55,10.55,1,0
2012-10-15,105,11.25,11.25,11.25,11.25,1,0
2012-10-16,106,11.0,11.0,11.0,11.0,1,0
2012-10-17,107,10.75,10.75,10.75,10.75,1,0
2012-10-18,108,10.6,10.6,10.6,10.6,1,0
2012-10-19,109,11.05,11.05,11.05,11.05,1,0
2012-10-22,112,11.45,11.45,11.45,11.45,1,0
2012-10-23,113,11.55,11.55,11.55,11.55,1,0
2012-10-25,115,11.55,11.55,11.55,11.55,1,0
2012-10-26,116,11.2,11.2,11.2,11.2,1,0
2012-10-29,119,11.05,11.05,11.05,11.05,1,0
2012-10-30,120,10.9,10.9,10.9,10.9,1,0
2012-10-31,121,10.95,10.95,10.95,10.95,1,0
2012-11-01,122,11.3,11.3,11.3,11.3,1,0
2012-11-02,123,11.75,11.75,11.75,11.75,1,0
2012-11-05,126,11.25,11.25,11.25,11.25,1,0
2012-11-06,127,11.4,11.4,11.4,11.4,1,0
2012-11-07,128,11.25,11.25,11.25,11.25,1,0
2012-11-08,129,11.5,11.5,11.5,11.5,1,0
2012-11-09,130,11.55,11.55,11.55,11.55,1,0
2012-11-12,133,11.05,11.05,11.05,11.05,1,0
2012-11-13,134,11.2,11.2,11.2,11.2,1,0
2012-11-15,136,11.05,11.05,11.05,11.05,1,0
2012-11-16,137,11.05,11.05,11.05,11.05,1,0
2012-11-19,140,10.95,10.95,10.95,10.95,1,0
2012-11-20,141,10.6,10.6,10.6,10.6,1,0
2012-11-21,142,10.6,10.6,10.6,10.6,1,0
2012-11-22,143,10.4,10.4,10.4,10.4,1,0
2012-11-23,144,10.15,10.15,10.15,10.15,1,0
2012-11-26,147,10.25,10.25,10.25,10.25,1,0
2012-11-27,148,10.25,10.25,10.25,10.25,1,0
2012-11-29,150,10.4,10.4,10.4,10.4,1,0
2012-11-30,151,10.35,10.35,10.35,10.35,1,0
2012-12-03,154,10.25,10.25,10.25,10.25,1,0
2012-12-04,155,10.3,10.3,10.3,10.3,1,0
2012-12-05,156,10.3,10.3,10.3,10.3,1,0
2012-12-06,157,10.3,10.3,10.3,10.3,1,0
2012-12-07,158,10.3,10.3,10.3,10.3,1,0
2012-12-10,161,10.15,10.15,10.15,10.15,1,0
2012-12-11,162,10.15,10.15,10.15,10.15,1,0
2012-12-12,163,9.8,9.8,9.8,9.8,1,0
2012-12-13,164,9.8,9.8,9.8,9.8,1,0
2012-12-14,165,9.85,9.85,9.85,9.85,1,0
2012-12-17,168,9.8,9.8,9.8,9.8,1,0
2012-12-18,169,9.9,9.9,9.9,9.9,1,0
2012-12-19,170,9.75,9.75,9.75,9.75,1,0
2012-12-20,171,9.7,9.7,9.7,9.7,1,0
2012-12-21,172,9.5,9.5,9.5,9.5,1,0
2012-12-24,175,9.45,9.45,9.45,9.45,1,0
2012-12-26,177,9.45,9.45,9.45,9.45,1,0
2012-12-27,178,9.35,9.35,9.35,9.35,1,0
2012-12-28,179,9.3,9.3,9.3,9.3,1,0
2012-12-31,182,9.5,9.5,9.5,9.5,1,0
2013-01-01,183,9.5,9.5,9.5,9.5,1,0
2013-01-02,183,9.5,9.5,9.5,9.5,1,0
2013-01-03,183,9.5,9.5,9.5,9.5,1,0
2013-01-04,183,9.5,9.5,9.5,9.5,1,0
2013-01-07,183,9.5,9.5,9.5,9.5,1,0
2013-01-08,183,9.5,9.5,9.5,9.5,1,0
2013-01-09,183,9.5,9.5,9.5,9.5,1,0
2013-01-10,183,9.5,9.5,9.5,9.5,1,0
2013-01-11,183,9.5,9.5,9.5,9.5,1,0
2013-01-14,183,9.5,9.5,9.5,9.5,1,0
2013-01-15,183,9.5,9.5,9.5,9.5,1,0
2013-01-16,183,9.5,9.5,9.5,9.5,1,0
2013-01-17,183,9.5,9.5,9.5,9.5,1,0
2013-01-18,183,9.5,9.5,9.5,9.5,1,0
2013-01-21,183,9.5,9.5,9.5,9.5,1,0
2013-01-22,183,9.5,9.5,9.5,9.5,1,0
2013-01-23,183,9.5,9.5,9.5,9.5,1,0
2013-01-24,183,9.5,9.5,9.5,9.5,1,0
2013-01-25,183,9.5,9.5,9.5,9.5,1,0
2013-01-28,183,9.5,9.5,9.5,9.5,1,0
2013-01-29,183,9.5,9.5,9.5,9.5,1,0
2013-01-30,183,9.5,9.5,9.5,9.5,1,0
2013-01-31,183,9.5,9.5,9.5,9.5,1,0
2013-02-01,183,9.5,9.5,9.5,9.5,1,0
2013-02-04,183,9.5,9.5,9.5,9.5,1,0
2013-02-05,183,9.5,9.5,9.5,9.5,1,0
2013-02-06,183,9.5,9.5,9.5,9.5,1,0
2013-02-07,183,9.5,9.5,9.5,9.5,1,0
2013-02-08,183,9.5,9.5,9.5,9.5,1,0
2013-02-11,183,9.5,9.5,9.5,9.5,1,0
2013-02-12,183,9.5,9.5,9.5,9.5,1,0
2013-02-13,183,9.5,9.5,9.5,9.5,1,0
2013-02-14,183,9.5,9.5,9.5,9.5,1,0
2013-02-15,183,9.5,9.5,9.5,9.5,1,0
2013-02-18,183,9.5,9.5,9.5,9.5,1,0
2013-02-19,183,9.5,9.5,9.5,9.5,1,0
2013-02-20,183,9.5,9.5,9.5,9.5,1,0
2013-02-21,183,9.5,9.5,9.5,9.5,1,0
2013-02-22,183,9.5,9.5,9.5,9.5,1,0
2013-02-25,183,9.5,9.5,9.5,9.5,1,0
2013-02-26,183,9.5,9.5,9.5,9.5,1,0
2013-02-27,183,9.5,9.5,9.5,9.5,1,0
2013-02-28,183,9.5,9.5,9.5,9.5,1,0
2013-03-01,183,9.5,9.5,9.5,9.5,1,0
2013-03-04,183,9.5,9.5,9.5,9.5,1,0
2013-03-05,183,9.5,9.5,9.5,9.5,1,0
2013-03-06,183,9.5,9.5,9.5,9.5,1,0
2013-03-07,183,9.5,9.5,9.5,9.5,1,0
2013-03-08,183,9.5,9.5,9.5,9.5,1,0
2013-03-11,183,9.5,9.5,9.5,9.5,1,0
2013-03-12,183,9.5,9.5,9.5,9.5,1,0
2013-03-13,183,9.5,9.5,9.5,9.5,1,0
2013-03-14,183,9.5,9.5,9.5,9.5,1,0
2013-03-15,183,9.5,9.5,9.5,9.5,1,0
2013-03-18,183,9.5,9.5,9.5,9.5,1,0
2013-03-19,183,9.5,9.5,9.5,9.5,1,0
2013-03-20,183,9.5,9.5,9.5,9.5,1,0
2013-03-21,183,9.5,9.5,9.5,9.5,1,0
2013-03-22,183,9.5,9.5,9.5,9.5,1,0
2013-03-25,183,9.5,9.5,9.5,9.5,1,0
2013-03-26,183,9.5,9.5,9.5,9.5,1,0
2013-03-28,183,9.5,9.5,9.5,9.5,1,0
2013-04-01,183,9.5,9.5,9.5,9.5,1,0
2013-04-02,183,9.5,9.5,9.5,9.5,1,0
2013-04-03,183,9.5,9.5,9.5,9.5,1,0
2013-04-04,183,9.5,9.5,9.5,9.5,1,0
2013-04-05,183,9.5,9.5,9.5,9.5,1,0
2013-04-08,183,9.5,9.5,9.5,9.5,1,0
2013-04-09,183,9.5,9.5,9.5,9.5,1,0
2013-04-10,183,9.5,9.5,9.5,9.5,1,0
2013-04-11,183,9.5,9.5,9.5,9.5,1,0
2013-04-12,183,9.5,9.5,9.5,9.5,1,0
2013-04-15,183,9.5,9.5,9.5,9.5,1,0
2013-04-16,183,9.5,9.5,9.5,9.5,1,0
2013-04-17,183,9.5,9.5,9.5,9.5,1,0
2013-04-18,183,9.5,9.5,9.5,9.5,1,0
2013-04-22,183,9.5,9.5,9.5,9.5,1,0
2013-04-23,183,9.5,9.5,9.5,9.5,1,0
2013-04-25,183,9.5,9.5,9.5,9.5,1,0
2013-04-26,183,9.5,9.5,9.5,9.5,1,0
2013-04-29,183,9.5,9.5,9.5,9.5,1,0
2013-04-30,183,9.5,9.5,9.5,9.5,1,0
2013-05-02,183,9.5,9.5,9.5,9.5,1,0
2013-05-03,183,9.5,9.5,9.5,9.5,1,0
2013-05-06,183,9.5,9.5,9.5,9.5,1,0
2013-05-07,183,9.5,9.5,9.5,9.5,1,0
2013-05-08,183,9.5,9.5,9.5,9.5,1,0
2013-05-09,183,9.5,9.5,9.5,9.5,1,0
2013-05-10,183,9.5,9.5,9.5,9.5,1,0
2013-05-13,183,9.5,9.5,9.5,9.5,1,0
2013-05-14,183,9.5,9.5,9.5,9.5,1,0
2013-05-15,183,9.5,9.5,9.5,9.5,1,0
2013-05-16,183,9.5,9.5,9.5,9.5,1,0
2013-05-17,183,9.5,9.5,9.5,9.5,1,0
2013-05-20,183,9.5,9.5,9.5,9.5,1,0
2013-05-21,183,9.5,9.5,9.5,9.5,1,0
2013-05-22,183,9.5,9.5,9.5,9.5,1,0
2013-05-23,183,9.5,9.5,9.5,9.5,1,0
2013-05-24,183,9.5,9.5,9.5,9.5,1,0
2013-05-27,183,9.5,9.5,9.5,9.5,1,0
2013-05-28,183,9.5,9.5,9.5,9.5,1,0
2013-05-29,183,9.5,9.5,9.5,9.5,1,0
2013-05-30,183,9.5,9.5,9.5,9.5,1,0
2013-05-31,183,9.5,9.5,9.5,9.5,1,0
2013-06-03,183,9.5,9.5,9.5,9.5,1,0
2013-06-04,183,9.5,9.5,9.5,9.5,1,0
2013-06-05,183,9.5,9.5,9.5,9.5,1,0
2013-06-06,183,9.5,9.5,9.5,9.5,1,0
2013-06-07,183,9.5,9.5,9.5,9.5,1,0
2013-06-10,183,9.5,9.5,9.5,9.5,1,0
2013-06-11,183,9.5,9.5,9.5,9.5,1,0
2013-06-12,183,9.5,9.5,9.5,9.5,1,0
2013-06-13,183,9.5,9.5,9.5,9.5,1,0
2013-06-14,183,9.5,9.5,9.5,9.5,1,0
2013-06-17,183,9.5,9.5,9.5,9.5,1,0
2013-06-18,183,9.5,9.5,9.5,9.5,1,0
2013-06-19,183,9.5,9.5,9.5,9.5,1,0
2013-06-20,183,9.5,9.5,9.5,9.5,1,0
2013-06-21,183,9.5,9.5,9.5,9.5,1,0
2013-06-24,183,9.5,9.5,9.5,9.5,1,0
2013-06-25,183,9.5,9.5,9.5,9.5,1,0
2013-06-26,183,9.5,9.5,9.5,9.5,1,0
2013-06-27,183,9.5,9.5,9.5,9.5,1,0
2013-06-28,183,9.5,9.5,9.5,9.5,1,0
2013-07-01,364,6.5,6.5,6.5,6.5,1,0
2013-07-02,365,6.65,6.65,6.65,6.65,1,0
2013-07-03,366,6.65,6.65,6.65,6.65,1,0
2013-07-04,367,6.55,6.55,6.55,6.55,1,0
2013-07-05,368,6.8,6.8,6.8,6.8,1,0
2013-07-08,371,6.6,6.6,6.6,6.6,1,0
2013-07-09,372,6.65,6.65,6.65,6.65,1,0
2013-07-10,373,6.6,6.6,6.6,6.6,1,0
2013-07-11,374,6.7,6.7,6.7,6.7,1,0
2013-07-12,375,6.6,6.6,6.6,6.6,1,0
2013-07-15,378,6.6,6.6,6.6,6.6,1,0
2013-07-16,379,6.5,6.5,6.5,6.5,1,0
2013-07-17,380,6.5,6.5,6.5,6.5,1,0
2013-07-18,381,6.5,6.5,6.5,6.5,1,0
2013-07-19,382,6.3,6.3,6.3,6.3,1,0
2013-07-22,385,6.0,6.0,6.0,6.0,1,0
2013-07-23,386,6.05,6.05,6.05,6.05,1,0
2013-07-24,387,5.75,5.75,5.75,5.75,1,0
2013-07-25,388,5.7,5.7,5.7,5.7,1,0
2013-07-26,389,5.6,5.6,5.6,5.6,1,0
2013-07-29,392,5.3,5.3,5.3,5.3,1,0
2013-07-30,393,5.2,5.2,5.2,5.2,1,0
2013-07-31,394,5.0,5.0,5.0,5.0,1,0
2013-08-01,395,4.95,4.95,4.95,4.95,1,0
2013-08-02,396,4.75,4.75,4.75,4.75,1,0
2013-08-05,399,4.9,4.9,4.9,4.9,1,0
2013-08-06,400,4.95,4.95,4.95,4.95,1,0
2013-08-07,401,5.2,5.2,5.2,5.2,1,0
2013-08-08,402,5.05,5.05,5.05,5.05,1,0
2013-08-12,406,5.1,5.1,5.1,5.1,1,0
2013-08-13,407,5.2,5.2,5.2,5.2,1,0
2013-08-14,408,5.15,5.15,5.15,5.15,1,0
2013-08-16,410,5.1,5.1,5.1,5.1,1,0
2013-08-19,413,4.75,4.75,4.75,4.75,1,0
2013-08-20,414,4.3,4.3,4.3,4.3,1,0
2013-08-21,415,4.5,4.5,4.5,4.5,1,0
2013-08-22,416,5.4,5.4,5.4,5.4,1,0
2013-08-23,417,6.1,6.1,6.1,6.1,1,0
2013-08-26,420,6.1,6.1,6.1,6.1,1,0
2013-08-27,421,5.8,5.8,5.8,5.8,1,0
2013-08-28,422,5.05,5.05,5.05,5.05,1,0
2013-08-29,423,5.0,5.0,5.0,5.0,1,0
2013-08-30,424,5.1,5.1,5.1,5.1,1,0
2013-09-02,427,5.25,5.25,5.25,5.25,1,0
2013-09-03,428,5.15,5.15,5.15,5.15,1,0
2013-09-04,429,5.25,5.25,5.25,5.25,1,0
2013-09-05,430,5.45,5.45,5.45,5.45,1,0
2013-09-06,431,6.1,6.1,6.1,6.1,1,0
2013-09-10,435,6.3,6.3,6.3,6.3,1,0
2013-09-11,436,6.3,6.3,6.3,6.3,1,0
2013-09-12,437,6.2,6.2,6.2,6.2,1,0
2013-09-13,438,6.3,6.3,6.3,6.3,1,0
2013-09-16,441,6.4,6.4,6.4,6.4,1,0
2013-09-17,442,6.25,6.25,6.25,6.25,1,0
2013-09-18,443,6.0,6.0,6.0,6.0,1,0
2013-09-19,444,6.15,6.15,6.15,6.15,1,0
2013-09-20,445,6.0,6.0,6.0,6.0,1,0
2013-09-23,448,5.9,5.9,5.9,5.9,1,0
2013-09-24,449,5.9,5.9,5.9,5.9,1,0
2013-09-25,450,5.65,5.65,5.65,5.65,1,0
2013-09-26,451,5.65,5.65,5.65,5.65,1,0
2013-09-27,452,6.2,6.2,6.2,6.2,1,0
2013-09-30,455,5.85,5.85,5.85,5.85,1,0
2013-10-01,456,6.25,6.25,6.25,6.25,1,0
2013-10-03,458,6.2,6.2,6.2,6.2,1,0
2013-10-04,459,6.0,6.0,6.0,6.0,1,0
2013-10-07,462,6.0,6.0,6.0,6.0,1,0
2013-10-08,463,5.9,5.9,5.9,5.9,1,0
2013-10-09,464,5.95,5.95,5.95,5.95,1,0
2013-10-10,465,6.05,6.05,6.05,6.05,1,0
2013-10-11,466,6.05,6.05,6.05,6.05,1,0
2013-10-14,469,6.2,6.2,6.2,6.2,1,0
2013-10-15,470,6.1,6.1,6.1,6.1,1,0
2013-10-17,472,6.05,6.05,6.05,6.05,1,0
2013-10-18,473,5.9,5.9,5.9,5.9,1,0
2013-10-21,476,7.0,7.0,7.0,7.0,1,0
2013-10-22,477,6.8,6.8,6.8,6.8,1,0
2013-10-23,478,6.7,6.7,6.7,6.7,1,0
2013-10-24,479,6.6,6.6,6.6,6.6,1,0
2013-10-25,480,6.45,6.45,6.45,6.45,1,0
2013-10-28,483,6.4,6.4,6.4,6.4,1,0
2013-10-29,484,6.65,6.65,6.65,6.65,1,0
2013-10-30,485,6.65,6.65,6.65,6.65,1,0
2013-10-31,486,6.65,6.65,6.65,6.65,1,0
2013-11-01,487,6.65,6.65,6.65,6.65,1,0
2013-11-05,491,7.15,7.15,7.15,7.15,1,0
2013-11-06,492,7.25,7.25,7.25,7.25,1,0
2013-11-07,493,7.05,7.05,7.05,7.05,1,0
2013-11-08,494,7.3,7.3,7.3,7.3,1,0
2013-11-11,497,7.15,7.15,7.15,7.15,1,0
2013-11-12,498,7.0,7.0,7.0,7.0,1,0
2013-11-13,499,6.9,6.9,6.9,6.9,1,0
2013-11-15,500,6.65,6.65,6.65,6.65,1,0
2013-11-18,504,6.75,6.75,6.75,6.75,1,0
2013-11-19,505,6.55,6.55,6.55,6.55,1,0
2013-11-20,506,6.45,6.45,6.45,6.45,1,0
2013-11-21,507,6.4,6.4,6.4,6.4,1,0
2013-11-22,508,6.2,6.2,6.2,6.2,1,0
2013-11-25,511,6.2,6.2,6.2,6.2,1,0
2013-11-26,512,6.1,6.1,6.1,6.1,1,0
2013-11-27,513,6.0,6.0,6.0,6.0,1,0
2013-11-28,514,6.05,6.05,6.05,6.05,1,0
2013-11-29,515,6.15,6.15,6.15,6.15,1,0
2013-12-02,518,6.4,6.4,6.4,6.4,1,0
2013-12-03,519,6.2,6.2,6.2,6.2,1,0
2013-12-04,520,6.4,6.4,6.4,6.4,1,0
2013-12-05,521,6.8,6.8,6.8,6.8,1,0
2013-12-06,522,6.95,6.95,6.95,6.95,1,0
2013-12-09,525,7.0,7.0,7.0,7.0,1,0
2013-12-10,526,6.65,6.65,6.65,6.65,1,0
2013-12-11,527,6.8,6.8,6.8,6.8,1,0
2013-12-12,528,6.85,6.85,6.85,6.85,1,0
2013-12-13,529,6.55,6.55,6.55,6.55,1,0
2013-12-16,532,7.2,7.2,7.2,7.2,1,0
2013-12-17,533,6.9,6.9,6.9,6.9,1,0
2013-12-18,534,7.05,7.05,7.05,7.05,1,0
2013-12-19,535,7.6,7.6,7.6,7.6,1,0
2013-12-20,536,8.25,8.25,8.25,8.25,1,0
2013-12-23,539,8.8,8.8,8.8,8.8,1,0
2013-12-24,540,10.55,10.55,10.55,10.55,1,0
2013-12-26,542,11.6,11.6,11.6,11.6,1,0
2013-12-27,543,12.75,12.75,12.75,12.75,1,0
2013-12-30,546,12.35,12.35,12.35,12.35,1,0
2013-12-31,547,11.3,11.3,11.3,11.3,1,0
2014-01-01,548,12.35,12.35,12.35,12.35,1,0
2014-01-02,549,11.75,11.75,11.75,11.75,1,0
2014-01-03,550,11.4,11.4,11.4,11.4,1,0
2014-01-06,553,11.05,11.05,11.05,11.05,1,0
2014-01-07,554,11.6,11.6,11.6,11.6,1,0
2014-01-08,555,11.65,11.65,11.65,11.65,1,0
2014-01-09,556,11.15,11.15,11.15,11.15,1,0
2014-01-10,557,10.85,10.85,10.85,10.85,1,0
2014-01-13,560,10.75,10.75,10.75,10.75,1,0
2014-01-14,561,10.55,10.55,10.55,10.55,1,0
2014-01-15,562,10.2,10.2,10.2,10.2,1,0
2014-01-16,563,9.9,9.9,9.9,9.9,1,0
2014-01-17,564,9.45,9.45,9.45,9.45,1,0
2014-01-20,567,9.05,9.05,9.05,9.05,1,0
2014-01-21,568,9.2,9.2,9.2,9.2,1,0
2014-01-22,569,9.05,9.05,9.05,9.05,1,0
2014-01-23,570,9.5,9.5,9.5,9.5,1,0
2014-01-24,571,9.4,9.4,9.4,9.4,1,0
2014-01-27,574,8.95,8.95,8.95,8.95,1,0
2014-01-28,575,9.05,9.05,9.05,9.05,1,0
2014-01-29,576,9.3,9.3,9.3,9.3,1,0
2014-01-30,577,9.05,9.05,9.05,9.05,1,0
2014-01-31,578,8.8,8.8,8.8,8.8,1,0
2014-02-03,581,8.4,8.4,8.4,8.4,1,0
2014-02-04,582,8.0,8.0,8.0,8.0,1,0
2014-02-05,583,7.75,7.75,7.75,7.75,1,0
2014-02-06,584,8.1,8.1,8.1,8.1,1,0
2014-02-07,585,8.5,8.5,8.5,8.5,1,0
2014-02-10,588,8.9,8.9,8.9,8.9,1,0
2014-02-11,589,9.3,9.3,9.3,9.3,1,0
2014-02-12,590,9.15,9.15,9.15,9.15,1,0
2014-02-13,591,8.85,8.85,8.85,8.85,1,0
2014-02-14,592,9.1,9.1,9.1,9.1,1,0
2014-02-17,595,9.55,9.55,9.55,9.55,1,0
2014-02-18,596,10.0,10.0,10.0,10.0,1,0
2014-02-19,597,10.5,10.5,10.5,10.5,1,0
2014-02-20,598,10.1,10.1,10.1,10.1,1,0
2014-02-21,599,9.65,9.65,9.65,9.65,1,0
2014-02-24,602,9.55,9.55,9.55,9.55,1,0
2014-02-25,603,9.85,9.85,9.85,9.85,1,0
2014-02-26,604,9.55,9.55,9.55,9.55,1,0
2014-02-28,606,10.0,10.0,10.0,10.0,1,0
