Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,53.05,53.05,53.05,53.05,1000000,0
2012-07-03,1,51.55,51.55,51.55,51.55,1000000,0
2012-07-04,2,51.95,51.95,51.95,51.95,1000000,0
2012-07-05,3,51.35,51.35,51.35,51.35,1000000,0
2012-07-06,4,51.0,51.0,51.0,51.0,1000000,0
2012-07-09,7,53.1,53.1,53.1,53.1,1000000,0
2012-07-10,8,57.0,57.0,57.0,57.0,1000000,0
2012-07-11,9,54.7,54.7,54.7,54.7,1000000,0
2012-07-12,10,53.7,53.7,53.7,53.7,1000000,0
2012-07-13,11,54.45,54.45,54.45,54.45,1000000,0
2012-07-16,14,54.15,54.15,54.15,54.15,1000000,0
2012-07-17,15,53.55,53.55,53.55,53.55,1000000,0
2012-07-18,16,52.75,52.75,52.75,52.75,1000000,0
2012-07-19,17,53.15,53.15,53.15,53.15,1000000,0
2012-07-20,18,54.95,54.95,54.95,54.95,1000000,0
2012-07-23,21,54.2,54.2,54.2,54.2,1000000,0
2012-07-24,22,55.2,55.2,55.2,55.2,1000000,0
2012-07-25,23,54.35,54.35,54.35,54.35,1000000,0
2012-07-26,24,54.05,54.05,54.05,54.05,1000000,0
2012-07-27,25,53.35,53.35,53.35,53.35,1000000,0
2012-07-30,28,53.5,53.5,53.5,53.5,1000000,0
2012-07-31,29,53.4,53.4,53.4,53.4,1000000,0
2012-08-01,30,54.1,54.1,54.1,54.1,1000000,0
2012-08-02,31,54.7,54.7,54.7,54.7,1000000,0
2012-08-03,32,54.0,54.0,54.0,54.0,1000000,0
2012-08-06,35,54.5,54.5,54.5,54.5,1000000,0
2012-08-07,36,54.35,54.35,54.35,54.35,1000000,0
2012-08-08,37,54.3,54.3,54.3,54.3,1000000,0
2012-08-09,38,52.8,52.8,52.8,52.8,1000000,0
2012-08-10,39,52.65,52.65,52.65,52.65,1000000,0
2012-08-13,42,52.5,52.5,52.5,52.5,1000000,0
2012-08-14,43,54.2,54.2,54.2,54.2,1000000,0
2012-08-16,45,57.65,57.65,57.65,57.65,1000000,0
2012-08-17,46,59.5,59.5,59.5,59.5,1000000,0
2012-08-21,50,57.1,57.1,57.1,57.1,1000000,0
2012-08-22,51,58.6,58.6,58.6,58.6,1000000,0
2012-08-23,52,57.45,57.45,57.45,57.45,1000000,0
2012-08-24,53,56.85,56.85,56.85,56.85,1000000,0
2012-08-27,56,53.55,53.55,53.55,53.55,1000000,0
2012-08-28,57,52.85,52.85,52.85,52.85,1000000,0
2012-08-29,58,53.6,53.6,53.6,53.6,1000000,0
2012-08-30,59,53.0,53.0,53.0,53.0,1000000,0
2012-08-31,60,53.15,53.15,53.15,53.15,1000000,0
2012-09-03,63,52.6,52.6,52.6,52.6,1000000,0
2012-09-04,64,52.7,52.7,52.7,52.7,1000000,0
2012-09-05,65,50.85,50.85,50.85,50.85,1000000,0
2012-09-06,66,52.1,52.1,52.1,52.1,1000000,0
2012-09-07,67,52.05,52.05,52.05,52.05,1000000,0
2012-09-10,70,52.4,52.4,52.4,52.4,1000000,0
2012-09-11,71,52.9,52.9,52.9,52.9,1000000,0
2012-09-12,72,52.4,52.4,52.4,52.4,1000000,0
2012-09-13,73,52.2,52.2,52.2,52.2,1000000,0
2012-09-14,74,52.05,52.05,52.05,52.05,1000000,0
2012-09-17,77,52.05,52.05,52.05,52.05,1000000,0
2012-09-18,78,52.6,52.6,52.6,52.6,1000000,0
2012-09-20,80,52.45,52.45,52.45,52.45,1000000,0
2012-09-21,81,52.85,52.85,52.85,52.85,1000000,0
2012-09-24,84,53.85,53.85,53.85,53.85,1000000,0
2012-09-25,85,52.8,52.8,52.8,52.8,1000000,0
2012-09-26,86,53.1,53.1,53.1,53.1,1000000,0
2012-09-27,87,56.1,56.1,56.1,56.1,1000000,0
2012-09-28,88,58.35,58.35,58.35,58.35,1000000,0
2012-10-01,91,58.25,58.25,58.25,58.25,1000000,0
2012-10-03,93,60.55,60.55,60.55,60.55,1000000,0
2012-10-04,94,61.05,61.05,61.05,61.05,1000000,0
2012-10-05,95,64.15,64.15,64.15,64.15,1000000,0
2012-10-08,98,62.25,62.25,62.25,62.25,1000000,0
2012-10-09,99,63.95,63.95,63.95,63.95,1000000,0
2012-10-10,100,63.1,63.1,63.1,63.1,1000000,0
2012-10-11,101,62.35,62.35,62.35,62.35,1000000,0
2012-10-12,102,67.5,67.5,67.5,67.5,1000000,0
2012-10-15,105,66.9,66.9,66.9,66.9,1000000,0
2012-10-16,106,65.75,65.75,65.75,65.75,1000000,0
2012-10-17,107,63.9,63.9,63.9,63.9,1000000,0
2012-10-18,108,64.75,64.75,64.75,64.75,1000000,0
2012-10-19,109,64.3,64.3,64.3,64.3,1000000,0
2012-10-22,112,63.6,63.6,63.6,63.6,1000000,0
2012-10-23,113,63.2,63.2,63.2,63.2,1000000,0
2012-10-25,115,64.6,64.6,64.6,64.6,1000000,0
2012-10-26,116,64.65,64.65,64.65,64.65,1000000,0
2012-10-29,119,63.55,63.55,63.55,63.55,1000000,0
2012-10-30,120,64.55,64.55,64.55,64.55,1000000,0
2012-10-31,121,64.05,64.05,64.05,64.05,1000000,0
2012-11-01,122,65.3,65.3,65.3,65.3,1000000,0
2012-11-02,123,67.2,67.2,67.2,67.2,1000000,0
2012-11-05,126,66.4,66.4,66.4,66.4,1000000,0
2012-11-06,127,64.85,64.85,64.85,64.85,1000000,0
2012-11-07,128,64.1,64.1,64.1,64.1,1000000,0
2012-11-08,129,63.15,63.15,63.15,63.15,1000000,0
2012-11-09,130,64.0,64.0,64.0,64.0,1000000,0
2012-11-12,133,64.5,64.5,64.5,64.5,1000000,0
2012-11-13,134,65.85,65.85,65.85,65.85,1000000,0
2012-11-15,136,65.9,65.9,65.9,65.9,1000000,0
2012-11-16,137,65.4,65.4,65.4,65.4,1000000,0
2012-11-19,140,65.25,65.25,65.25,65.25,1000000,0
2012-11-20,141,63.65,63.65,63.65,63.65,1000000,0
2012-11-21,142,62.85,62.85,62.85,62.85,1000000,0
2012-11-22,143,63.0,63.0,63.0,63.0,1000000,0
2012-11-23,144,62.5,62.5,62.5,62.5,1000000,0
2012-11-26,147,61.7,61.7,61.7,61.7,1000000,0
2012-11-27,148,62.45,62.45,62.45,62.45,1000000,0
2012-11-29,150,62.05,62.05,62.05,62.05,1000000,0
2012-11-30,151,61.9,61.9,61.9,61.9,1000000,0
2012-12-03,154,60.9,60.9,60.9,60.9,1000000,0
2012-12-04,155,62.6,62.6,62.6,62.6,1000000,0
2012-12-05,156,66.05,66.05,66.05,66.05,1000000,0
2012-12-06,157,66.75,66.75,66.75,66.75,1000000,0
2012-12-07,158,66.45,66.45,66.45,66.45,1000000,0
2012-12-10,161,69.1,69.1,69.1,69.1,1000000,0
2012-12-11,162,72.95,72.95,72.95,72.95,1000000,0
2012-12-12,163,72.4,72.4,72.4,72.4,1000000,0
2012-12-13,164,69.85,69.85,69.85,69.85,1000000,0
2012-12-14,165,69.85,69.85,69.85,69.85,1000000,0
2012-12-17,168,70.25,70.25,70.25,70.25,1000000,0
2012-12-18,169,70.1,70.1,70.1,70.1,1000000,0
2012-12-19,170,70.55,70.55,70.55,70.55,1000000,0
2012-12-20,171,69.45,69.45,69.45,69.45,1000000,0
2012-12-21,172,69.65,69.65,69.65,69.65,1000000,0
2012-12-24,175,71.85,71.85,71.85,71.85,1000000,0
2012-12-26,177,71.05,71.05,71.05,71.05,1000000,0
2012-12-27,178,70.75,70.75,70.75,70.75,1000000,0
2012-12-28,179,69.55,69.55,69.55,69.55,1000000,0
2012-12-31,182,70.05,70.05,70.05,70.05,1000000,0
2013-01-01,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-02,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-03,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-04,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-07,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-08,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-09,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-10,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-11,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-14,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-15,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-16,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-17,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-18,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-21,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-22,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-23,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-24,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-25,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-28,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-29,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-30,183,71.15,71.15,71.15,71.15,1000000,0
2013-01-31,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-01,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-04,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-05,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-06,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-07,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-08,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-11,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-12,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-13,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-14,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-15,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-18,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-19,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-20,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-21,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-22,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-25,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-26,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-27,183,71.15,71.15,71.15,71.15,1000000,0
2013-02-28,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-01,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-04,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-05,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-06,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-07,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-08,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-11,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-12,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-13,183,71.15,71.15,71.15,71.15,1000000,0
2013-03-14,183,71.15,71.15,71.15,71.15,1000000,0
