Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,58.6,58.6,58.6,58.6,1,0
2012-07-03,1,59.2,59.2,59.2,59.2,1,0
2012-07-04,2,60.7,60.7,60.7,60.7,1,0
2012-07-05,3,61.55,61.55,61.55,61.55,1,0
2012-07-06,4,61.8,61.8,61.8,61.8,1,0
2012-07-09,7,59.65,59.65,59.65,59.65,1,0
2012-07-10,8,60.2,60.2,60.2,60.2,1,0
2012-07-11,9,60.7,60.7,60.7,60.7,1,0
2012-07-12,10,59.0,59.0,59.0,59.0,1,0
2012-07-13,11,58.4,58.4,58.4,58.4,1,0
2012-07-16,14,57.0,57.0,57.0,57.0,1,0
2012-07-17,15,55.9,55.9,55.9,55.9,1,0
2012-07-18,16,56.3,56.3,56.3,56.3,1,0
2012-07-19,17,56.8,56.8,56.8,56.8,1,0
2012-07-20,18,56.35,56.35,56.35,56.35,1,0
2012-07-23,21,54.65,54.65,54.65,54.65,1,0
2012-07-24,22,54.45,54.45,54.45,54.45,1,0
2012-07-25,23,53.9,53.9,53.9,53.9,1,0
2012-07-26,24,51.95,51.95,51.95,51.95,1,0
2012-07-27,25,50.65,50.65,50.65,50.65,1,0
2012-07-30,28,52.4,52.4,52.4,52.4,1,0
2012-07-31,29,53.0,53.0,53.0,53.0,1,0
2012-08-01,30,53.4,53.4,53.4,53.4,1,0
2012-08-02,31,54.35,54.35,54.35,54.35,1,0
2012-08-03,32,53.35,53.35,53.35,53.35,1,0
2012-08-06,35,54.15,54.15,54.15,54.15,1,0
2012-08-07,36,54.7,54.7,54.7,54.7,1,0
2012-08-08,37,56.3,56.3,56.3,56.3,1,0
2012-08-09,38,55.4,55.4,55.4,55.4,1,0
2012-08-10,39,55.2,55.2,55.2,55.2,1,0
2012-08-13,42,55.05,55.05,55.05,55.05,1,0
2012-08-14,43,54.85,54.85,54.85,54.85,1,0
2012-08-16,45,53.25,53.25,53.25,53.25,1,0
2012-08-17,46,52.6,52.6,52.6,52.6,1,0
2012-08-21,50,52.8,52.8,52.8,52.8,1,0
2012-08-22,51,52.75,52.75,52.75,52.75,1,0
2012-08-23,52,52.65,52.65,52.65,52.65,1,0
2012-08-24,53,51.6,51.6,51.6,51.6,1,0
2012-08-27,56,51.55,51.55,51.55,51.55,1,0
2012-08-28,57,49.7,49.7,49.7,49.7,1,0
2012-08-29,58,48.65,48.65,48.65,48.65,1,0
2012-08-30,59,49.25,49.25,49.25,49.25,1,0
2012-08-31,60,50.35,50.35,50.35,50.35,1,0
2012-09-03,63,53.5,53.5,53.5,53.5,1,0
2012-09-04,64,53.2,53.2,53.2,53.2,1,0
2012-09-05,65,51.75,51.75,51.75,51.75,1,0
2012-09-06,66,51.8,51.8,51.8,51.8,1,0
2012-09-07,67,53.05,53.05,53.05,53.05,1,0
2012-09-10,70,52.95,52.95,52.95,52.95,1,0
2012-09-11,71,53.3,53.3,53.3,53.3,1,0
2012-09-12,72,53.3,53.3,53.3,53.3,1,0
2012-09-13,73,53.25,53.25,53.25,53.25,1,0
2012-09-14,74,53.3,53.3,53.3,53.3,1,0
2012-09-17,77,53.75,53.75,53.75,53.75,1,0
2012-09-18,78,55.5,55.5,55.5,55.5,1,0
2012-09-20,80,55.6,55.6,55.6,55.6,1,0
2012-09-21,81,56.75,56.75,56.75,56.75,1,0
2012-09-24,84,58.2,58.2,58.2,58.2,1,0
2012-09-25,85,60.0,60.0,60.0,60.0,1,0
2012-09-26,86,58.4,58.4,58.4,58.4,1,0
2012-09-27,87,61.7,61.7,61.7,61.7,1,0
2012-09-28,88,60.15,60.15,60.15,60.15,1,0
2012-10-01,91,60.6,60.6,60.6,60.6,1,0
2012-10-03,93,60.5,60.5,60.5,60.5,1,0
2012-10-04,94,60.45,60.45,60.45,60.45,1,0
2012-10-05,95,57.0,57.0,57.0,57.0,1,0
2012-10-08,98,57.3,57.3,57.3,57.3,1,0
2012-10-09,99,56.95,56.95,56.95,56.95,1,0
2012-10-10,100,56.45,56.45,56.45,56.45,1,0
2012-10-11,101,58.95,58.95,58.95,58.95,1,0
2012-10-12,102,57.35,57.35,57.35,57.35,1,0
2012-10-15,105,56.65,56.65,56.65,56.65,1,0
2012-10-16,106,55.9,55.9,55.9,55.9,1,0
2012-10-17,107,55.3,55.3,55.3,55.3,1,0
2012-10-18,108,55.85,55.85,55.85,55.85,1,0
2012-10-19,109,55.05,55.05,55.05,55.05,1,0
2012-10-22,112,54.55,54.55,54.55,54.55,1,0
2012-10-23,113,54.9,54.9,54.9,54.9,1,0
2012-10-25,115,54.5,54.5,54.5,54.5,1,0
2012-10-26,116,54.5,54.5,54.5,54.5,1,0
2012-10-29,119,54.85,54.85,54.85,54.85,1,0
2012-10-30,120,53.1,53.1,53.1,53.1,1,0
2012-10-31,121,53.7,53.7,53.7,53.7,1,0
2012-11-01,122,54.1,54.1,54.1,54.1,1,0
2012-11-02,123,55.1,55.1,55.1,55.1,1,0
2012-11-05,126,54.35,54.35,54.35,54.35,1,0
2012-11-06,127,54.3,54.3,54.3,54.3,1,0
2012-11-07,128,54.4,54.4,54.4,54.4,1,0
2012-11-08,129,53.6,53.6,53.6,53.6,1,0
2012-11-09,130,53.05,53.05,53.05,53.05,1,0
2012-11-12,133,53.0,53.0,53.0,53.0,1,0
2012-11-13,134,53.35,53.35,53.35,53.35,1,0
2012-11-15,136,52.85,52.85,52.85,52.85,1,0
2012-11-16,137,52.35,52.35,52.35,52.35,1,0
2012-11-19,140,51.3,51.3,51.3,51.3,1,0
2012-11-20,141,50.35,50.35,50.35,50.35,1,0
2012-11-21,142,50.6,50.6,50.6,50.6,1,0
2012-11-22,143,51.25,51.25,51.25,51.25,1,0
2012-11-23,144,50.95,50.95,50.95,50.95,1,0
2012-11-26,147,52.2,52.2,52.2,52.2,1,0
2012-11-27,148,52.4,52.4,52.4,52.4,1,0
2012-11-29,150,52.45,52.45,52.45,52.45,1,0
2012-11-30,151,53.25,53.25,53.25,53.25,1,0
2012-12-03,154,53.75,53.75,53.75,53.75,1,0
2012-12-04,155,54.7,54.7,54.7,54.7,1,0
2012-12-05,156,54.7,54.7,54.7,54.7,1,0
2012-12-06,157,56.15,56.15,56.15,56.15,1,0
2012-12-07,158,55.2,55.2,55.2,55.2,1,0
2012-12-10,161,55.0,55.0,55.0,55.0,1,0
2012-12-11,162,54.6,54.6,54.6,54.6,1,0
2012-12-12,163,54.35,54.35,54.35,54.35,1,0
2012-12-13,164,54.55,54.55,54.55,54.55,1,0
2012-12-14,165,55.8,55.8,55.8,55.8,1,0
2012-12-17,168,55.85,55.85,55.85,55.85,1,0
2012-12-18,169,55.2,55.2,55.2,55.2,1,0
2012-12-19,170,57.25,57.25,57.25,57.25,1,0
2012-12-20,171,57.9,57.9,57.9,57.9,1,0
2012-12-21,172,56.3,56.3,56.3,56.3,1,0
2012-12-24,175,55.75,55.75,55.75,55.75,1,0
2012-12-26,177,57.7,57.7,57.7,57.7,1,0
2012-12-27,178,55.25,55.25,55.25,55.25,1,0
2012-12-28,179,54.4,54.4,54.4,54.4,1,0
2012-12-31,182,54.6,54.6,54.6,54.6,1,0
2013-01-01,183,55.1,55.1,55.1,55.1,1,0
2013-01-02,183,55.1,55.1,55.1,55.1,1,0
2013-01-03,183,55.1,55.1,55.1,55.1,1,0
2013-01-04,183,55.1,55.1,55.1,55.1,1,0
2013-01-07,183,55.1,55.1,55.1,55.1,1,0
2013-01-08,183,55.1,55.1,55.1,55.1,1,0
2013-01-09,183,55.1,55.1,55.1,55.1,1,0
2013-01-10,183,55.1,55.1,55.1,55.1,1,0
2013-01-11,183,55.1,55.1,55.1,55.1,1,0
2013-01-14,183,55.1,55.1,55.1,55.1,1,0
2013-01-15,183,55.1,55.1,55.1,55.1,1,0
2013-01-16,183,55.1,55.1,55.1,55.1,1,0
2013-01-17,183,55.1,55.1,55.1,55.1,1,0
2013-01-18,183,55.1,55.1,55.1,55.1,1,0
2013-01-21,183,55.1,55.1,55.1,55.1,1,0
2013-01-22,183,55.1,55.1,55.1,55.1,1,0
2013-01-23,183,55.1,55.1,55.1,55.1,1,0
2013-01-24,183,55.1,55.1,55.1,55.1,1,0
2013-01-25,183,55.1,55.1,55.1,55.1,1,0
2013-01-28,183,55.1,55.1,55.1,55.1,1,0
2013-01-29,183,55.1,55.1,55.1,55.1,1,0
2013-01-30,183,55.1,55.1,55.1,55.1,1,0
2013-01-31,183,55.1,55.1,55.1,55.1,1,0
2013-02-01,183,55.1,55.1,55.1,55.1,1,0
2013-02-04,183,55.1,55.1,55.1,55.1,1,0
2013-02-05,183,55.1,55.1,55.1,55.1,1,0
2013-02-06,183,55.1,55.1,55.1,55.1,1,0
2013-02-07,183,55.1,55.1,55.1,55.1,1,0
2013-02-08,183,55.1,55.1,55.1,55.1,1,0
2013-02-11,183,55.1,55.1,55.1,55.1,1,0
2013-02-12,183,55.1,55.1,55.1,55.1,1,0
2013-02-13,183,55.1,55.1,55.1,55.1,1,0
2013-02-14,183,55.1,55.1,55.1,55.1,1,0
2013-02-15,183,55.1,55.1,55.1,55.1,1,0
2013-02-18,183,55.1,55.1,55.1,55.1,1,0
2013-02-19,183,55.1,55.1,55.1,55.1,1,0
2013-02-20,183,55.1,55.1,55.1,55.1,1,0
2013-02-21,183,55.1,55.1,55.1,55.1,1,0
2013-02-22,183,55.1,55.1,55.1,55.1,1,0
2013-02-25,183,55.1,55.1,55.1,55.1,1,0
2013-02-26,183,55.1,55.1,55.1,55.1,1,0
2013-02-27,183,55.1,55.1,55.1,55.1,1,0
2013-02-28,183,55.1,55.1,55.1,55.1,1,0
2013-03-01,183,55.1,55.1,55.1,55.1,1,0
2013-03-04,183,55.1,55.1,55.1,55.1,1,0
2013-03-05,183,55.1,55.1,55.1,55.1,1,0
2013-03-06,183,55.1,55.1,55.1,55.1,1,0
2013-03-07,183,55.1,55.1,55.1,55.1,1,0
2013-03-08,183,55.1,55.1,55.1,55.1,1,0
2013-03-11,183,55.1,55.1,55.1,55.1,1,0
2013-03-12,183,55.1,55.1,55.1,55.1,1,0
2013-03-13,183,55.1,55.1,55.1,55.1,1,0
2013-03-14,183,55.1,55.1,55.1,55.1,1,0
2013-03-15,183,55.1,55.1,55.1,55.1,1,0
2013-03-18,183,55.1,55.1,55.1,55.1,1,0
2013-03-19,183,55.1,55.1,55.1,55.1,1,0
2013-03-20,183,55.1,55.1,55.1,55.1,1,0
2013-03-21,183,55.1,55.1,55.1,55.1,1,0
2013-03-22,183,55.1,55.1,55.1,55.1,1,0
2013-03-25,183,55.1,55.1,55.1,55.1,1,0
2013-03-26,183,55.1,55.1,55.1,55.1,1,0
2013-03-28,183,55.1,55.1,55.1,55.1,1,0
2013-04-01,183,55.1,55.1,55.1,55.1,1,0
2013-04-02,183,55.1,55.1,55.1,55.1,1,0
2013-04-03,183,55.1,55.1,55.1,55.1,1,0
2013-04-04,183,55.1,55.1,55.1,55.1,1,0
2013-04-05,183,55.1,55.1,55.1,55.1,1,0
2013-04-08,183,55.1,55.1,55.1,55.1,1,0
2013-04-09,183,55.1,55.1,55.1,55.1,1,0
2013-04-10,183,55.1,55.1,55.1,55.1,1,0
2013-04-11,183,55.1,55.1,55.1,55.1,1,0
2013-04-12,183,55.1,55.1,55.1,55.1,1,0
2013-04-15,183,55.1,55.1,55.1,55.1,1,0
2013-04-16,183,55.1,55.1,55.1,55.1,1,0
2013-04-17,183,55.1,55.1,55.1,55.1,1,0
2013-04-18,183,55.1,55.1,55.1,55.1,1,0
2013-04-22,183,55.1,55.1,55.1,55.1,1,0
2013-04-23,183,55.1,55.1,55.1,55.1,1,0
2013-04-25,183,55.1,55.1,55.1,55.1,1,0
2013-04-26,183,55.1,55.1,55.1,55.1,1,0
2013-04-29,183,55.1,55.1,55.1,55.1,1,0
