Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,38.525,38.525,38.525,38.525,1,0
2012-07-03,1,38.05,38.05,38.05,38.05,1,0
2012-07-04,2,38.375,38.375,38.375,38.375,1,0
2012-07-05,3,38.475,38.475,38.475,38.475,1,0
2012-07-06,4,38.25,38.25,38.25,38.25,1,0
2012-07-09,7,37.825,37.825,37.825,37.825,1,0
2012-07-10,8,37.65,37.65,37.65,37.65,1,0
2012-07-11,9,37.775,37.775,37.775,37.775,1,0
2012-07-12,10,37.475,37.475,37.475,37.475,1,0
2012-07-13,11,37.525,37.525,37.525,37.525,1,0
2012-07-16,14,37.55,37.55,37.55,37.55,1,0
2012-07-17,15,36.5,36.5,36.5,36.5,1,0
2012-07-18,16,37.45,37.45,37.45,37.45,1,0
2012-07-19,17,36.525,36.525,36.525,36.525,1,0
2012-07-20,18,36.275,36.275,36.275,36.275,1,0
2012-07-23,21,36.0,36.0,36.0,36.0,1,0
2012-07-24,22,35.5,35.5,35.5,35.5,1,0
2012-07-25,23,34.775,34.775,34.775,34.775,1,0
2012-07-26,24,34.4,34.4,34.4,34.4,1,0
2012-07-27,25,34.2,34.2,34.2,34.2,1,0
2012-07-30,28,33.35,33.35,33.35,33.35,1,0
2012-07-31,29,34.05,34.05,34.05,34.05,1,0
2012-08-01,30,34.525,34.525,34.525,34.525,1,0
2012-08-02,31,34.675,34.675,34.675,34.675,1,0
2012-08-03,32,34.75,34.75,34.75,34.75,1,0
2012-08-06,35,35.125,35.125,35.125,35.125,1,0
2012-08-07,36,34.65,34.65,34.65,34.65,1,0
2012-08-08,37,33.975,33.975,33.975,33.975,1,0
2012-08-09,38,33.2,33.2,33.2,33.2,1,0
2012-08-10,39,34.325,34.325,34.325,34.325,1,0
2012-08-13,42,33.775,33.775,33.775,33.775,1,0
2012-08-14,43,33.65,33.65,33.65,33.65,1,0
2012-08-16,45,34.45,34.45,34.45,34.45,1,0
2012-08-17,46,34.55,34.55,34.55,34.55,1,0
2012-08-21,50,35.725,35.725,35.725,35.725,1,0
2012-08-22,51,36.7,36.7,36.7,36.7,1,0
2012-08-23,52,36.725,36.725,36.725,36.725,1,0
2012-08-24,53,36.725,36.725,36.725,36.725,1,0
2012-08-27,56,37.45,37.45,37.45,37.45,1,0
2012-08-28,57,37.575,37.575,37.575,37.575,1,0
2012-08-29,58,37.5,37.5,37.5,37.5,1,0
2012-08-30,59,37.5,37.5,37.5,37.5,1,0
2012-08-31,60,37.55,37.55,37.55,37.55,1,0
2012-09-03,63,36.875,36.875,36.875,36.875,1,0
2012-09-04,64,36.225,36.225,36.225,36.225,1,0
2012-09-05,65,36.0,36.0,36.0,36.0,1,0
2012-09-06,66,35.225,35.225,35.225,35.225,1,0
2012-09-07,67,35.8,35.8,35.8,35.8,1,0
2012-09-10,70,36.375,36.375,36.375,36.375,1,0
2012-09-11,71,35.9,35.9,35.9,35.9,1,0
2012-09-12,72,35.4,35.4,35.4,35.4,1,0
2012-09-13,73,36.575,36.575,36.575,36.575,1,0
2012-09-14,74,37.55,37.55,37.55,37.55,1,0
2012-09-17,77,39.45,39.45,39.45,39.45,1,0
2012-09-18,78,38.925,38.925,38.925,38.925,1,0
2012-09-20,80,37.9,37.9,37.9,37.9,1,0
2012-09-21,81,36.275,36.275,36.275,36.275,1,0
2012-09-24,84,34.975,34.975,34.975,34.975,1,0
2012-09-25,85,36.3,36.3,36.3,36.3,1,0
2012-09-26,86,37.25,37.25,37.25,37.25,1,0
2012-09-27,87,36.975,36.975,36.975,36.975,1,0
2012-09-28,88,39.1,39.1,39.1,39.1,1,0
2012-10-01,91,39.175,39.175,39.175,39.175,1,0
2012-10-03,93,38.35,38.35,38.35,38.35,1,0
2012-10-04,94,38.3,38.3,38.3,38.3,1,0
2012-10-05,95,38.05,38.05,38.05,38.05,1,0
2012-10-08,98,38.275,38.275,38.275,38.275,1,0
2012-10-09,99,37.825,37.825,37.825,37.825,1,0
2012-10-10,100,37.425,37.425,37.425,37.425,1,0
2012-10-11,101,38.225,38.225,38.225,38.225,1,0
2012-10-12,102,38.475,38.475,38.475,38.475,1,0
2012-10-15,105,38.95,38.95,38.95,38.95,1,0
2012-10-16,106,37.925,37.925,37.925,37.925,1,0
2012-10-17,107,37.5,37.5,37.5,37.5,1,0
2012-10-18,108,38.55,38.55,38.55,38.55,1,0
2012-10-19,109,38.925,38.925,38.925,38.925,1,0
2012-10-22,112,39.15,39.15,39.15,39.15,1,0
2012-10-23,113,38.45,38.45,38.45,38.45,1,0
2012-10-25,115,40.6,40.6,40.6,40.6,1,0
2012-10-26,116,40.9,40.9,40.9,40.9,1,0
2012-10-29,119,40.0,40.0,40.0,40.0,1,0
2012-10-30,120,40.275,40.275,40.275,40.275,1,0
2012-10-31,121,40.525,40.525,40.525,40.525,1,0
2012-11-01,122,40.575,40.575,40.575,40.575,1,0
2012-11-02,123,41.35,41.35,41.35,41.35,1,0
2012-11-05,126,42.025,42.025,42.025,42.025,1,0
2012-11-06,127,42.025,42.025,42.025,42.025,1,0
2012-11-07,128,41.875,41.875,41.875,41.875,1,0
2012-11-08,129,42.65,42.65,42.65,42.65,1,0
2012-11-09,130,41.525,41.525,41.525,41.525,1,0
2012-11-12,133,40.525,40.525,40.525,40.525,1,0
2012-11-13,134,41.05,41.05,41.05,41.05,1,0
2012-11-15,136,41.175,41.175,41.175,41.175,1,0
2012-11-16,137,40.9,40.9,40.9,40.9,1,0
2012-11-19,140,40.375,40.375,40.375,40.375,1,0
2012-11-20,141,40.2,40.2,40.2,40.2,1,0
2012-11-21,142,39.475,39.475,39.475,39.475,1,0
2012-11-22,143,40.175,40.175,40.175,40.175,1,0
2012-11-23,144,40.3,40.3,40.3,40.3,1,0
2012-11-26,147,40.3,40.3,40.3,40.3,1,0
2012-11-27,148,40.125,40.125,40.125,40.125,1,0
2012-11-29,150,38.925,38.925,38.925,38.925,1,0
2012-11-30,151,41.3,41.3,41.3,41.3,1,0
2012-12-03,154,40.575,40.575,40.575,40.575,1,0
2012-12-04,155,40.0,40.0,40.0,40.0,1,0
2012-12-05,156,41.25,41.25,41.25,41.25,1,0
2012-12-06,157,41.95,41.95,41.95,41.95,1,0
2012-12-07,158,42.725,42.725,42.725,42.725,1,0
2012-12-10,161,43.575,43.575,43.575,43.575,1,0
2012-12-11,162,44.25,44.25,44.25,44.25,1,0
2012-12-12,163,44.35,44.35,44.35,44.35,1,0
2012-12-13,164,44.4,44.4,44.4,44.4,1,0
2012-12-14,165,44.6,44.6,44.6,44.6,1,0
2012-12-17,168,45.3,45.3,45.3,45.3,1,0
2012-12-18,169,44.775,44.775,44.775,44.775,1,0
2012-12-19,170,45.675,45.675,45.675,45.675,1,0
2012-12-20,171,45.175,45.175,45.175,45.175,1,0
2012-12-21,172,44.925,44.925,44.925,44.925,1,0
2012-12-24,175,43.85,43.85,43.85,43.85,1,0
2012-12-26,177,43.775,43.775,43.775,43.775,1,0
2012-12-27,178,43.125,43.125,43.125,43.125,1,0
2012-12-28,179,44.05,44.05,44.05,44.05,1,0
2012-12-31,182,43.325,43.325,43.325,43.325,1,0
2013-01-01,183,43.4,43.4,43.4,43.4,1,0
2013-01-02,183,43.4,43.4,43.4,43.4,1,0
2013-01-03,183,43.4,43.4,43.4,43.4,1,0
2013-01-04,183,43.4,43.4,43.4,43.4,1,0
2013-01-07,183,43.4,43.4,43.4,43.4,1,0
2013-01-08,183,43.4,43.4,43.4,43.4,1,0
2013-01-09,183,43.4,43.4,43.4,43.4,1,0
2013-01-10,183,43.4,43.4,43.4,43.4,1,0
2013-01-11,183,43.4,43.4,43.4,43.4,1,0
2013-01-14,183,43.4,43.4,43.4,43.4,1,0
2013-01-15,183,43.4,43.4,43.4,43.4,1,0
2013-01-16,183,43.4,43.4,43.4,43.4,1,0
2013-01-17,183,43.4,43.4,43.4,43.4,1,0
2013-01-18,183,43.4,43.4,43.4,43.4,1,0
2013-01-21,183,43.4,43.4,43.4,43.4,1,0
2013-01-22,183,43.4,43.4,43.4,43.4,1,0
2013-01-23,183,43.4,43.4,43.4,43.4,1,0
2013-01-24,183,43.4,43.4,43.4,43.4,1,0
2013-01-25,183,43.4,43.4,43.4,43.4,1,0
2013-01-28,183,43.4,43.4,43.4,43.4,1,0
2013-01-29,183,43.4,43.4,43.4,43.4,1,0
2013-01-30,183,43.4,43.4,43.4,43.4,1,0
2013-01-31,183,43.4,43.4,43.4,43.4,1,0
2013-02-01,183,43.4,43.4,43.4,43.4,1,0
2013-02-04,183,43.4,43.4,43.4,43.4,1,0
2013-02-05,183,43.4,43.4,43.4,43.4,1,0
2013-02-06,183,43.4,43.4,43.4,43.4,1,0
2013-02-07,183,43.4,43.4,43.4,43.4,1,0
2013-02-08,183,43.4,43.4,43.4,43.4,1,0
2013-02-11,183,43.4,43.4,43.4,43.4,1,0
2013-02-12,183,43.4,43.4,43.4,43.4,1,0
2013-02-13,183,43.4,43.4,43.4,43.4,1,0
2013-02-14,183,43.4,43.4,43.4,43.4,1,0
2013-02-15,183,43.4,43.4,43.4,43.4,1,0
2013-02-18,183,43.4,43.4,43.4,43.4,1,0
2013-02-19,183,43.4,43.4,43.4,43.4,1,0
2013-02-20,183,43.4,43.4,43.4,43.4,1,0
2013-02-21,183,43.4,43.4,43.4,43.4,1,0
2013-02-22,183,43.4,43.4,43.4,43.4,1,0
2013-02-25,183,43.4,43.4,43.4,43.4,1,0
2013-02-26,183,43.4,43.4,43.4,43.4,1,0
2013-02-27,183,43.4,43.4,43.4,43.4,1,0
2013-02-28,183,43.4,43.4,43.4,43.4,1,0
2013-03-01,183,43.4,43.4,43.4,43.4,1,0
2013-03-04,183,43.4,43.4,43.4,43.4,1,0
2013-03-05,183,43.4,43.4,43.4,43.4,1,0
2013-03-06,183,43.4,43.4,43.4,43.4,1,0
2013-03-07,183,43.4,43.4,43.4,43.4,1,0
2013-03-08,183,43.4,43.4,43.4,43.4,1,0
2013-03-11,183,43.4,43.4,43.4,43.4,1,0
2013-03-12,183,43.4,43.4,43.4,43.4,1,0
2013-03-13,183,43.4,43.4,43.4,43.4,1,0
2013-03-14,183,43.4,43.4,43.4,43.4,1,0
2013-03-15,183,43.4,43.4,43.4,43.4,1,0
2013-03-18,183,43.4,43.4,43.4,43.4,1,0
2013-03-19,183,43.4,43.4,43.4,43.4,1,0
2013-03-20,183,43.4,43.4,43.4,43.4,1,0
2013-03-21,183,43.4,43.4,43.4,43.4,1,0
2013-03-22,183,43.4,43.4,43.4,43.4,1,0
2013-03-25,183,43.4,43.4,43.4,43.4,1,0
2013-03-26,183,43.4,43.4,43.4,43.4,1,0
2013-03-28,183,43.4,43.4,43.4,43.4,1,0
2013-04-01,183,43.4,43.4,43.4,43.4,1,0
2013-04-02,183,43.4,43.4,43.4,43.4,1,0
2013-04-03,183,43.4,43.4,43.4,43.4,1,0
2013-04-04,183,43.4,43.4,43.4,43.4,1,0
2013-04-05,183,43.4,43.4,43.4,43.4,1,0
2013-04-08,183,43.4,43.4,43.4,43.4,1,0
2013-04-09,183,43.4,43.4,43.4,43.4,1,0
2013-04-10,183,43.4,43.4,43.4,43.4,1,0
2013-04-11,183,43.4,43.4,43.4,43.4,1,0
2013-04-12,183,43.4,43.4,43.4,43.4,1,0
2013-04-15,183,43.4,43.4,43.4,43.4,1,0
2013-04-16,183,43.4,43.4,43.4,43.4,1,0
2013-04-17,183,43.4,43.4,43.4,43.4,1,0
2013-04-18,183,43.4,43.4,43.4,43.4,1,0
2013-04-22,183,43.4,43.4,43.4,43.4,1,0
2013-04-23,183,43.4,43.4,43.4,43.4,1,0
2013-04-25,183,43.4,43.4,43.4,43.4,1,0
2013-04-26,183,43.4,43.4,43.4,43.4,1,0
2013-04-29,183,43.4,43.4,43.4,43.4,1,0
2013-04-30,183,43.4,43.4,43.4,43.4,1,0
2013-05-02,183,43.4,43.4,43.4,43.4,1,0
2013-05-03,183,43.4,43.4,43.4,43.4,1,0
2013-05-06,183,43.4,43.4,43.4,43.4,1,0
2013-05-07,183,43.4,43.4,43.4,43.4,1,0
2013-05-08,183,43.4,43.4,43.4,43.4,1,0
2013-05-09,183,43.4,43.4,43.4,43.4,1,0
2013-05-10,183,43.4,43.4,43.4,43.4,1,0
2013-05-13,183,43.4,43.4,43.4,43.4,1,0
2013-05-14,183,43.4,43.4,43.4,43.4,1,0
2013-05-15,183,43.4,43.4,43.4,43.4,1,0
2013-05-16,183,43.4,43.4,43.4,43.4,1,0
2013-05-17,183,43.4,43.4,43.4,43.4,1,0
2013-05-20,183,43.4,43.4,43.4,43.4,1,0
2013-05-21,183,43.4,43.4,43.4,43.4,1,0
2013-05-22,183,43.4,43.4,43.4,43.4,1,0
2013-05-23,183,43.4,43.4,43.4,43.4,1,0
2013-05-24,183,43.4,43.4,43.4,43.4,1,0
2013-05-27,183,43.4,43.4,43.4,43.4,1,0
2013-05-28,183,43.4,43.4,43.4,43.4,1,0
2013-05-29,183,43.4,43.4,43.4,43.4,1,0
2013-05-30,183,43.4,43.4,43.4,43.4,1,0
2013-05-31,183,43.4,43.4,43.4,43.4,1,0
2013-06-03,183,43.4,43.4,43.4,43.4,1,0
2013-06-04,183,43.4,43.4,43.4,43.4,1,0
2013-06-05,183,43.4,43.4,43.4,43.4,1,0
2013-06-06,183,43.4,43.4,43.4,43.4,1,0
2013-06-07,183,43.4,43.4,43.4,43.4,1,0
2013-06-10,183,43.4,43.4,43.4,43.4,1,0
2013-06-11,183,43.4,43.4,43.4,43.4,1,0
2013-06-12,183,43.4,43.4,43.4,43.4,1,0
2013-06-13,183,43.4,43.4,43.4,43.4,1,0
2013-06-14,183,43.4,43.4,43.4,43.4,1,0
2013-06-17,183,43.4,43.4,43.4,43.4,1,0
2013-06-18,183,43.4,43.4,43.4,43.4,1,0
2013-06-19,183,43.4,43.4,43.4,43.4,1,0
2013-06-20,183,43.4,43.4,43.4,43.4,1,0
2013-06-21,183,43.4,43.4,43.4,43.4,1,0
2013-06-24,183,43.4,43.4,43.4,43.4,1,0
2013-06-25,183,43.4,43.4,43.4,43.4,1,0
2013-06-26,183,43.4,43.4,43.4,43.4,1,0
2013-06-27,183,43.4,43.4,43.4,43.4,1,0
2013-06-28,183,43.4,43.4,43.4,43.4,1,0
2013-07-01,364,35.5,35.5,35.5,35.5,1,0
2013-07-02,365,35.475,35.475,35.475,35.475,1,0
2013-07-03,366,35.05,35.05,35.05,35.05,1,0
2013-07-04,367,35.05,35.05,35.05,35.05,1,0
2013-07-05,368,35.7,35.7,35.7,35.7,1,0
2013-07-08,371,34.875,34.875,34.875,34.875,1,0
2013-07-09,372,34.2,34.2,34.2,34.2,1,0
2013-07-10,373,33.7,33.7,33.7,33.7,1,0
2013-07-11,374,33.175,33.175,33.175,33.175,1,0
2013-07-12,375,32.875,32.875,32.875,32.875,1,0
2013-07-15,378,32.175,32.175,32.175,32.175,1,0
2013-07-16,379,32.0,32.0,32.0,32.0,1,0
2013-07-17,380,31.475,31.475,31.475,31.475,1,0
2013-07-18,381,31.4,31.4,31.4,31.4,1,0
2013-07-19,382,30.45,30.45,30.45,30.45,1,0
2013-07-22,385,29.025,29.025,29.025,29.025,1,0
2013-07-23,386,29.175,29.175,29.175,29.175,1,0
2013-07-24,387,27.775,27.775,27.775,27.775,1,0
2013-07-25,388,28.1,28.1,28.1,28.1,1,0
2013-07-26,389,28.55,28.55,28.55,28.55,1,0
2013-07-29,392,27.65,27.65,27.65,27.65,1,0
2013-07-30,393,28.575,28.575,28.575,28.575,1,0
2013-07-31,394,28.075,28.075,28.075,28.075,1,0
2013-08-01,395,27.85,27.85,27.85,27.85,1,0
2013-08-02,396,29.8,29.8,29.8,29.8,1,0
2013-08-05,399,28.775,28.775,28.775,28.775,1,0
2013-08-06,400,27.675,27.675,27.675,27.675,1,0
2013-08-07,401,27.325,27.325,27.325,27.325,1,0
2013-08-08,402,26.4,26.4,26.4,26.4,1,0
2013-08-12,406,27.05,27.05,27.05,27.05,1,0
2013-08-13,407,27.925,27.925,27.925,27.925,1,0
2013-08-14,408,27.925,27.925,27.925,27.925,1,0
2013-08-16,410,27.1,27.1,27.1,27.1,1,0
2013-08-19,413,26.15,26.15,26.15,26.15,1,0
2013-08-20,414,26.0,26.0,26.0,26.0,1,0
2013-08-21,415,26.85,26.85,26.85,26.85,1,0
2013-08-22,416,28.05,28.05,28.05,28.05,1,0
2013-08-23,417,28.475,28.475,28.475,28.475,1,0
