Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,366.9,366.9,366.9,366.9,1,0
2012-07-03,1,352.85,352.85,352.85,352.85,1,0
2012-07-04,2,346.3,346.3,346.3,346.3,1,0
2012-07-05,3,346.15,346.15,346.15,346.15,1,0
2012-07-06,4,338.8,338.8,338.8,338.8,1,0
2012-07-09,7,330.15,330.15,330.15,330.15,1,0
2012-07-10,8,328.55,328.55,328.55,328.55,1,0
2012-07-11,9,331.5,331.5,331.5,331.5,1,0
2012-07-12,10,338.75,338.75,338.75,338.75,1,0
2012-07-13,11,335.2,335.2,335.2,335.2,1,0
2012-07-16,14,333.75,333.75,333.75,333.75,1,0
2012-07-17,15,330.0,330.0,330.0,330.0,1,0
2012-07-18,16,330.25,330.25,330.25,330.25,1,0
2012-07-19,17,328.9,328.9,328.9,328.9,1,0
2012-07-20,18,339.2,339.2,339.2,339.2,1,0
2012-07-23,21,333.2,333.2,333.2,333.2,1,0
2012-07-24,22,330.25,330.25,330.25,330.25,1,0
2012-07-25,23,331.0,331.0,331.0,331.0,1,0
2012-07-26,24,331.0,331.0,331.0,331.0,1,0
2012-07-27,25,331.0,331.0,331.0,331.0,1,0
2012-07-30,28,331.0,331.0,331.0,331.0,1,0
2012-07-31,29,331.15,331.15,331.15,331.15,1,0
2012-08-01,30,354.25,354.25,354.25,354.25,1,0
2012-08-02,31,346.1,346.1,346.1,346.1,1,0
2012-08-03,32,337.6,337.6,337.6,337.6,1,0
2012-08-06,35,336.8,336.8,336.8,336.8,1,0
2012-08-07,36,340.6,340.6,340.6,340.6,1,0
2012-08-08,37,340.0,340.0,340.0,340.0,1,0
2012-08-09,38,334.15,334.15,334.15,334.15,1,0
2012-08-10,39,331.2,331.2,331.2,331.2,1,0
2012-08-13,42,331.15,331.15,331.15,331.15,1,0
2012-08-14,43,340.3,340.3,340.3,340.3,1,0
2012-08-16,45,333.8,333.8,333.8,333.8,1,0
2012-08-17,46,333.2,333.2,333.2,333.2,1,0
2012-08-21,50,331.15,331.15,331.15,331.15,1,0
2012-08-22,51,335.9,335.9,335.9,335.9,1,0
2012-08-23,52,331.1,331.1,331.1,331.1,1,0
2012-08-24,53,331.2,331.2,331.2,331.2,1,0
2012-08-27,56,331.05,331.05,331.05,331.05,1,0
2012-08-28,57,325.5,325.5,325.5,325.5,1,0
2012-08-29,58,331.1,331.1,331.1,331.1,1,0
2012-08-30,59,320.7,320.7,320.7,320.7,1,0
