Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,35.75,35.75,35.75,35.75,1000000,0
2012-07-03,1,34.5,34.5,34.5,34.5,1000000,0
2012-07-04,2,33.8,33.8,33.8,33.8,1000000,0
2012-07-05,3,34.15,34.15,34.15,34.15,1000000,0
2012-07-06,4,35.25,35.25,35.25,35.25,1000000,0
2012-07-09,7,32.65,32.65,32.65,32.65,1000000,0
2012-07-10,8,33.0,33.0,33.0,33.0,1000000,0
2012-07-11,9,32.85,32.85,32.85,32.85,1000000,0
2012-07-12,10,32.85,32.85,32.85,32.85,1000000,0
2012-07-13,11,32.6,32.6,32.6,32.6,1000000,0
2012-07-16,14,32.15,32.15,32.15,32.15,1000000,0
2012-07-17,15,31.9,31.9,31.9,31.9,1000000,0
2012-07-18,16,31.95,31.95,31.95,31.95,1000000,0
2012-07-19,17,31.95,31.95,31.95,31.95,1000000,0
2012-07-20,18,32.0,32.0,32.0,32.0,1000000,0
2012-07-23,21,31.35,31.35,31.35,31.35,1000000,0
2012-07-24,22,31.55,31.55,31.55,31.55,1000000,0
2012-07-25,23,31.1,31.1,31.1,31.1,1000000,0
2012-07-26,24,31.35,31.35,31.35,31.35,1000000,0
2012-07-27,25,31.0,31.0,31.0,31.0,1000000,0
2012-07-30,28,29.6,29.6,29.6,29.6,1000000,0
2012-07-31,29,29.95,29.95,29.95,29.95,1000000,0
2012-08-01,30,30.6,30.6,30.6,30.6,1000000,0
2012-08-02,31,31.45,31.45,31.45,31.45,1000000,0
2012-08-03,32,30.55,30.55,30.55,30.55,1000000,0
2012-08-06,35,31.65,31.65,31.65,31.65,1000000,0
2012-08-07,36,30.75,30.75,30.75,30.75,1000000,0
2012-08-08,37,30.6,30.6,30.6,30.6,1000000,0
2012-08-09,38,30.3,30.3,30.3,30.3,1000000,0
2012-08-10,39,30.25,30.25,30.25,30.25,1000000,0
2012-08-13,42,30.35,30.35,30.35,30.35,1000000,0
2012-08-14,43,30.05,30.05,30.05,30.05,1000000,0
2012-08-16,45,30.15,30.15,30.15,30.15,1000000,0
2012-08-17,46,30.0,30.0,30.0,30.0,1000000,0
2012-08-21,50,30.0,30.0,30.0,30.0,1000000,0
2012-08-22,51,30.0,30.0,30.0,30.0,1000000,0
2012-08-23,52,29.7,29.7,29.7,29.7,1000000,0
2012-08-24,53,30.35,30.35,30.35,30.35,1000000,0
2012-08-27,56,30.5,30.5,30.5,30.5,1000000,0
2012-08-28,57,29.9,29.9,29.9,29.9,1000000,0
2012-08-29,58,29.8,29.8,29.8,29.8,1000000,0
2012-08-30,59,29.5,29.5,29.5,29.5,1000000,0
2012-08-31,60,29.5,29.5,29.5,29.5,1000000,0
2012-09-03,63,29.35,29.35,29.35,29.35,1000000,0
2012-09-04,64,28.75,28.75,28.75,28.75,1000000,0
2012-09-05,65,29.0,29.0,29.0,29.0,1000000,0
2012-09-06,66,28.75,28.75,28.75,28.75,1000000,0
2012-09-07,67,28.65,28.65,28.65,28.65,1000000,0
2012-09-10,70,28.4,28.4,28.4,28.4,1000000,0
2012-09-11,71,28.55,28.55,28.55,28.55,1000000,0
2012-09-12,72,29.0,29.0,29.0,29.0,1000000,0
2012-09-13,73,32.05,32.05,32.05,32.05,1000000,0
2012-09-14,74,30.35,30.35,30.35,30.35,1000000,0
2012-09-17,77,29.3,29.3,29.3,29.3,1000000,0
2012-09-18,78,29.6,29.6,29.6,29.6,1000000,0
2012-09-20,80,28.95,28.95,28.95,28.95,1000000,0
2012-09-21,81,29.05,29.05,29.05,29.05,1000000,0
2012-09-24,84,29.2,29.2,29.2,29.2,1000000,0
2012-09-25,85,29.3,29.3,29.3,29.3,1000000,0
2012-09-26,86,29.3,29.3,29.3,29.3,1000000,0
2012-09-27,87,29.5,29.5,29.5,29.5,1000000,0
2012-09-28,88,29.2,29.2,29.2,29.2,1000000,0
2012-10-01,91,29.4,29.4,29.4,29.4,1000000,0
2012-10-03,93,29.5,29.5,29.5,29.5,1000000,0
2012-10-04,94,29.9,29.9,29.9,29.9,1000000,0
2012-10-05,95,29.65,29.65,29.65,29.65,1000000,0
2012-10-08,98,30.5,30.5,30.5,30.5,1000000,0
2012-10-09,99,31.0,31.0,31.0,31.0,1000000,0
2012-10-10,100,30.2,30.2,30.2,30.2,1000000,0
2012-10-11,101,29.5,29.5,29.5,29.5,1000000,0
2012-10-12,102,33.55,33.55,33.55,33.55,1000000,0
2012-10-15,105,34.9,34.9,34.9,34.9,1000000,0
