Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,136.7,136.7,136.7,136.7,1000000,0
2012-07-03,1,135.6,135.6,135.6,135.6,1000000,0
2012-07-04,2,137.95,137.95,137.95,137.95,1000000,0
2012-07-05,3,137.9,137.9,137.9,137.9,1000000,0
2012-07-06,4,135.45,135.45,135.45,135.45,1000000,0
2012-07-09,7,134.4,134.4,134.4,134.4,1000000,0
2012-07-10,8,140.6,140.6,140.6,140.6,1000000,0
2012-07-11,9,138.5,138.5,138.5,138.5,1000000,0
2012-07-12,10,132.25,132.25,132.25,132.25,1000000,0
2012-07-13,11,129.65,129.65,129.65,129.65,1000000,0
2012-07-16,14,129.9,129.9,129.9,129.9,1000000,0
2012-07-17,15,128.55,128.55,128.55,128.55,1000000,0
2012-07-18,16,126.15,126.15,126.15,126.15,1000000,0
2012-07-19,17,127.2,127.2,127.2,127.2,1000000,0
2012-07-20,18,127.7,127.7,127.7,127.7,1000000,0
2012-07-23,21,125.2,125.2,125.2,125.2,1000000,0
2012-07-24,22,125.3,125.3,125.3,125.3,1000000,0
2012-07-25,23,125.05,125.05,125.05,125.05,1000000,0
2012-07-26,24,124.05,124.05,124.05,124.05,1000000,0
2012-07-27,25,124.5,124.5,124.5,124.5,1000000,0
2012-07-30,28,130.95,130.95,130.95,130.95,1000000,0
2012-07-31,29,130.2,130.2,130.2,130.2,1000000,0
2012-08-01,30,129.8,129.8,129.8,129.8,1000000,0
2012-08-02,31,128.5,128.5,128.5,128.5,1000000,0
2012-08-03,32,128.3,128.3,128.3,128.3,1000000,0
2012-08-06,35,125.9,125.9,125.9,125.9,1000000,0
2012-08-07,36,126.3,126.3,126.3,126.3,1000000,0
2012-08-08,37,126.75,126.75,126.75,126.75,1000000,0
2012-08-09,38,125.6,125.6,125.6,125.6,1000000,0
2012-08-10,39,125.75,125.75,125.75,125.75,1000000,0
2012-08-13,42,126.55,126.55,126.55,126.55,1000000,0
2012-08-14,43,126.65,126.65,126.65,126.65,1000000,0
2012-08-16,45,125.35,125.35,125.35,125.35,1000000,0
2012-08-17,46,124.45,124.45,124.45,124.45,1000000,0
2012-08-21,50,123.25,123.25,123.25,123.25,1000000,0
2012-08-22,51,124.05,124.05,124.05,124.05,1000000,0
2012-08-23,52,121.65,121.65,121.65,121.65,1000000,0
2012-08-24,53,121.25,121.25,121.25,121.25,1000000,0
2012-08-27,56,118.45,118.45,118.45,118.45,1000000,0
2012-08-28,57,123.55,123.55,123.55,123.55,1000000,0
2012-08-29,58,125.75,125.75,125.75,125.75,1000000,0
2012-08-30,59,123.8,123.8,123.8,123.8,1000000,0
2012-08-31,60,119.55,119.55,119.55,119.55,1000000,0
2012-09-03,63,119.15,119.15,119.15,119.15,1000000,0
2012-09-04,64,124.7,124.7,124.7,124.7,1000000,0
2012-09-05,65,126.6,126.6,126.6,126.6,1000000,0
2012-09-06,66,120.9,120.9,120.9,120.9,1000000,0
2012-09-07,67,119.85,119.85,119.85,119.85,1000000,0
