Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,28.5,28.5,28.5,28.5,1000000,0
2012-07-03,1,28.85,28.85,28.85,28.85,1000000,0
2012-07-04,2,28.4,28.4,28.4,28.4,1000000,0
2012-07-05,3,28.5,28.5,28.5,28.5,1000000,0
2012-07-06,4,27.3,27.3,27.3,27.3,1000000,0
2012-07-09,4,27.3,27.3,27.3,27.3,1000000,0
2012-07-10,8,28.3,28.3,28.3,28.3,1000000,0
2012-07-11,9,26.9,26.9,26.9,26.9,1000000,0
2012-07-12,9,26.9,26.9,26.9,26.9,1000000,0
2012-07-13,11,27.05,27.05,27.05,27.05,1000000,0
2012-07-16,14,26.65,26.65,26.65,26.65,1000000,0
2012-07-17,15,27.05,27.05,27.05,27.05,1000000,0
2012-07-18,16,28.25,28.25,28.25,28.25,1000000,0
2012-07-19,17,26.85,26.85,26.85,26.85,1000000,0
2012-07-20,17,26.85,26.85,26.85,26.85,1000000,0
2012-07-23,21,26.5,26.5,26.5,26.5,1000000,0
2012-07-24,22,27.8,27.8,27.8,27.8,1000000,0
2012-07-25,23,26.5,26.5,26.5,26.5,1000000,0
2012-07-26,24,26.5,26.5,26.5,26.5,1000000,0
2012-07-27,25,26.5,26.5,26.5,26.5,1000000,0
2012-07-30,28,26.5,26.5,26.5,26.5,1000000,0
2012-07-31,29,26.5,26.5,26.5,26.5,1000000,0
2012-08-01,29,26.5,26.5,26.5,26.5,1000000,0
2012-08-02,31,26.6,26.6,26.6,26.6,1000000,0
2012-08-03,32,27.9,27.9,27.9,27.9,1000000,0
2012-08-06,35,26.75,26.75,26.75,26.75,1000000,0
2012-08-07,36,28.0,28.0,28.0,28.0,1000000,0
2012-08-08,37,27.9,27.9,27.9,27.9,1000000,0
2012-08-09,37,27.9,27.9,27.9,27.9,1000000,0
2012-08-10,39,26.55,26.55,26.55,26.55,1000000,0
2012-08-13,39,26.55,26.55,26.55,26.55,1000000,0
2012-08-14,43,26.0,26.0,26.0,26.0,1000000,0
2012-08-16,45,26.65,26.65,26.65,26.65,1000000,0
2012-08-17,46,26.45,26.45,26.45,26.45,1000000,0
2012-08-21,50,27.75,27.75,27.75,27.75,1000000,0
2012-08-22,50,27.75,27.75,27.75,27.75,1000000,0
2012-08-23,52,26.4,26.4,26.4,26.4,1000000,0
2012-08-24,53,26.95,26.95,26.95,26.95,1000000,0
2012-08-27,56,25.65,25.65,25.65,25.65,1000000,0
2012-08-28,57,25.0,25.0,25.0,25.0,1000000,0
2012-08-29,58,24.75,24.75,24.75,24.75,1000000,0
2012-08-30,59,25.0,25.0,25.0,25.0,1000000,0
2012-08-31,59,25.0,25.0,25.0,25.0,1000000,0
2012-09-03,63,25.25,25.25,25.25,25.25,1000000,0
2012-09-04,63,25.25,25.25,25.25,25.25,1000000,0
2012-09-05,65,24.5,24.5,24.5,24.5,1000000,0
2012-09-06,65,24.5,24.5,24.5,24.5,1000000,0
2012-09-07,67,25.15,25.15,25.15,25.15,1000000,0
2012-09-10,68,25.5,25.5,25.5,25.5,1000000,0
2012-09-11,71,26.75,26.75,26.75,26.75,1000000,0
2012-09-12,72,27.05,27.05,27.05,27.05,1000000,0
2012-09-13,72,27.05,27.05,27.05,27.05,1000000,0
2012-09-14,74,27.0,27.0,27.0,27.0,1000000,0
2012-09-17,77,28.35,28.35,28.35,28.35,1000000,0
2012-09-18,78,28.0,28.0,28.0,28.0,1000000,0
2012-09-20,80,29.4,29.4,29.4,29.4,1000000,0
2012-09-21,81,29.0,29.0,29.0,29.0,1000000,0
2012-09-24,84,28.5,28.5,28.5,28.5,1000000,0
2012-09-25,85,29.7,29.7,29.7,29.7,1000000,0
2012-09-26,86,29.8,29.8,29.8,29.8,1000000,0
2012-09-27,87,29.5,29.5,29.5,29.5,1000000,0
2012-09-28,88,29.4,29.4,29.4,29.4,1000000,0
2012-10-01,88,29.4,29.4,29.4,29.4,1000000,0
2012-10-03,93,28.6,28.6,28.6,28.6,1000000,0
2012-10-04,94,29.0,29.0,29.0,29.0,1000000,0
