Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,148.0,148.0,148.0,148.0,1000000,0
2012-07-03,1,147.9,147.9,147.9,147.9,1000000,0
2012-07-04,2,145.45,145.45,145.45,145.45,1000000,0
2012-07-05,3,143.7,143.7,143.7,143.7,1000000,0
2012-07-06,4,140.95,140.95,140.95,140.95,1000000,0
2012-07-09,7,140.25,140.25,140.25,140.25,1000000,0
2012-07-10,8,142.35,142.35,142.35,142.35,1000000,0
2012-07-11,9,142.8,142.8,142.8,142.8,1000000,0
2012-07-12,10,144.15,144.15,144.15,144.15,1000000,0
2012-07-13,11,141.9,141.9,141.9,141.9,1000000,0
2012-07-16,14,138.15,138.15,138.15,138.15,1000000,0
2012-07-17,15,136.4,136.4,136.4,136.4,1000000,0
2012-07-18,16,139.9,139.9,139.9,139.9,1000000,0
2012-07-19,17,141.05,141.05,141.05,141.05,1000000,0
2012-07-20,18,140.5,140.5,140.5,140.5,1000000,0
2012-07-23,21,139.25,139.25,139.25,139.25,1000000,0
2012-07-24,22,139.85,139.85,139.85,139.85,1000000,0
2012-07-25,23,137.15,137.15,137.15,137.15,1000000,0
2012-07-26,24,136.0,136.0,136.0,136.0,1000000,0
2012-07-27,25,136.35,136.35,136.35,136.35,1000000,0
2012-07-30,28,134.25,134.25,134.25,134.25,1000000,0
2012-07-31,29,131.35,131.35,131.35,131.35,1000000,0
2012-08-01,30,131.1,131.1,131.1,131.1,1000000,0
2012-08-02,31,131.0,131.0,131.0,131.0,1000000,0
2012-08-03,32,132.65,132.65,132.65,132.65,1000000,0
2012-08-06,35,133.3,133.3,133.3,133.3,1000000,0
2012-08-07,36,132.7,132.7,132.7,132.7,1000000,0
2012-08-08,37,132.6,132.6,132.6,132.6,1000000,0
2012-08-09,38,132.2,132.2,132.2,132.2,1000000,0
2012-08-10,39,132.1,132.1,132.1,132.1,1000000,0
2012-08-13,42,132.45,132.45,132.45,132.45,1000000,0
2012-08-14,43,133.7,133.7,133.7,133.7,1000000,0
2012-08-16,45,136.8,136.8,136.8,136.8,1000000,0
2012-08-17,46,135.2,135.2,135.2,135.2,1000000,0
2012-08-21,50,136.9,136.9,136.9,136.9,1000000,0
2012-08-22,51,135.05,135.05,135.05,135.05,1000000,0
2012-08-23,52,135.1,135.1,135.1,135.1,1000000,0
2012-08-24,53,135.6,135.6,135.6,135.6,1000000,0
2012-08-27,56,135.05,135.05,135.05,135.05,1000000,0
2012-08-28,57,135.0,135.0,135.0,135.0,1000000,0
2012-08-29,58,129.55,129.55,129.55,129.55,1000000,0
2012-08-30,59,129.85,129.85,129.85,129.85,1000000,0
2012-08-31,60,131.65,131.65,131.65,131.65,1000000,0
2012-09-03,63,129.65,129.65,129.65,129.65,1000000,0
2012-09-04,64,131.75,131.75,131.75,131.75,1000000,0
2012-09-05,65,128.5,128.5,128.5,128.5,1000000,0
2012-09-06,66,129.05,129.05,129.05,129.05,1000000,0
2012-09-07,67,131.2,131.2,131.2,131.2,1000000,0
2012-09-10,70,133.65,133.65,133.65,133.65,1000000,0
2012-09-11,71,131.55,131.55,131.55,131.55,1000000,0
2012-09-12,72,134.4,134.4,134.4,134.4,1000000,0
2012-09-13,73,130.95,130.95,130.95,130.95,1000000,0
2012-09-14,74,139.1,139.1,139.1,139.1,1000000,0
2012-09-17,77,144.0,144.0,144.0,144.0,1000000,0
2012-09-18,78,145.65,145.65,145.65,145.65,1000000,0
2012-09-20,80,144.0,144.0,144.0,144.0,1000000,0
2012-09-21,81,146.8,146.8,146.8,146.8,1000000,0
2012-09-24,84,147.45,147.45,147.45,147.45,1000000,0
2012-09-25,85,144.0,144.0,144.0,144.0,1000000,0
2012-09-26,86,143.0,143.0,143.0,143.0,1000000,0
2012-09-27,87,143.55,143.55,143.55,143.55,1000000,0
2012-09-28,88,147.35,147.35,147.35,147.35,1000000,0
2012-10-01,91,142.4,142.4,142.4,142.4,1000000,0
2012-10-03,93,142.0,142.0,142.0,142.0,1000000,0
2012-10-04,94,149.8,149.8,149.8,149.8,1000000,0
2012-10-05,95,154.0,154.0,154.0,154.0,1000000,0
2012-10-08,98,150.05,150.05,150.05,150.05,1000000,0
2012-10-09,99,150.75,150.75,150.75,150.75,1000000,0
2012-10-10,100,148.1,148.1,148.1,148.1,1000000,0
2012-10-11,101,149.15,149.15,149.15,149.15,1000000,0
2012-10-12,102,146.85,146.85,146.85,146.85,1000000,0
2012-10-15,105,145.0,145.0,145.0,145.0,1000000,0
2012-10-16,106,144.8,144.8,144.8,144.8,1000000,0
2012-10-17,107,144.85,144.85,144.85,144.85,1000000,0
2012-10-18,108,144.25,144.25,144.25,144.25,1000000,0
2012-10-19,109,140.05,140.05,140.05,140.05,1000000,0
2012-10-22,112,143.75,143.75,143.75,143.75,1000000,0
2012-10-23,113,144.4,144.4,144.4,144.4,1000000,0
2012-10-25,115,141.7,141.7,141.7,141.7,1000000,0
2012-10-26,116,143.15,143.15,143.15,143.15,1000000,0
2012-10-29,119,145.25,145.25,145.25,145.25,1000000,0
2012-10-30,120,143.0,143.0,143.0,143.0,1000000,0
2012-10-31,121,145.05,145.05,145.05,145.05,1000000,0
2012-11-01,122,143.4,143.4,143.4,143.4,1000000,0
2012-11-02,123,144.05,144.05,144.05,144.05,1000000,0
2012-11-05,126,141.95,141.95,141.95,141.95,1000000,0
2012-11-06,127,141.0,141.0,141.0,141.0,1000000,0
2012-11-07,128,145.0,145.0,145.0,145.0,1000000,0
2012-11-08,129,141.55,141.55,141.55,141.55,1000000,0
2012-11-09,130,142.8,142.8,142.8,142.8,1000000,0
2012-11-12,133,141.35,141.35,141.35,141.35,1000000,0
2012-11-13,134,141.9,141.9,141.9,141.9,1000000,0
2012-11-15,136,137.55,137.55,137.55,137.55,1000000,0
2012-11-16,137,136.1,136.1,136.1,136.1,1000000,0
2012-11-19,140,138.2,138.2,138.2,138.2,1000000,0
2012-11-20,141,138.75,138.75,138.75,138.75,1000000,0
2012-11-21,142,137.1,137.1,137.1,137.1,1000000,0
2012-11-22,143,136.25,136.25,136.25,136.25,1000000,0
2012-11-23,144,136.15,136.15,136.15,136.15,1000000,0
2012-11-26,147,136.4,136.4,136.4,136.4,1000000,0
2012-11-27,148,136.5,136.5,136.5,136.5,1000000,0
2012-11-29,150,137.6,137.6,137.6,137.6,1000000,0
2012-11-30,151,136.0,136.0,136.0,136.0,1000000,0
2012-12-03,154,136.25,136.25,136.25,136.25,1000000,0
2012-12-04,155,133.35,133.35,133.35,133.35,1000000,0
2012-12-05,156,129.65,129.65,129.65,129.65,1000000,0
2012-12-06,157,129.95,129.95,129.95,129.95,1000000,0
2012-12-07,158,130.2,130.2,130.2,130.2,1000000,0
2012-12-10,161,133.55,133.55,133.55,133.55,1000000,0
2012-12-11,162,132.9,132.9,132.9,132.9,1000000,0
2012-12-12,163,133.35,133.35,133.35,133.35,1000000,0
2012-12-13,164,132.15,132.15,132.15,132.15,1000000,0
2012-12-14,165,133.7,133.7,133.7,133.7,1000000,0
2012-12-17,168,135.15,135.15,135.15,135.15,1000000,0
2012-12-18,169,136.25,136.25,136.25,136.25,1000000,0
2012-12-19,170,134.8,134.8,134.8,134.8,1000000,0
2012-12-20,171,136.0,136.0,136.0,136.0,1000000,0
2012-12-21,172,135.2,135.2,135.2,135.2,1000000,0
2012-12-24,175,136.2,136.2,136.2,136.2,1000000,0
2012-12-26,177,137.1,137.1,137.1,137.1,1000000,0
2012-12-27,178,136.7,136.7,136.7,136.7,1000000,0
2012-12-28,179,136.85,136.85,136.85,136.85,1000000,0
2012-12-31,182,133.55,133.55,133.55,133.55,1000000,0
2013-01-01,183,136.9,136.9,136.9,136.9,1000000,0
2013-01-02,184,138.55,138.55,138.55,138.55,1000000,0
2013-01-03,185,138.6,138.6,138.6,138.6,1000000,0
2013-01-04,186,137.1,137.1,137.1,137.1,1000000,0
2013-01-07,189,137.95,137.95,137.95,137.95,1000000,0
2013-01-08,190,136.9,136.9,136.9,136.9,1000000,0
2013-01-09,191,136.85,136.85,136.85,136.85,1000000,0
2013-01-10,192,135.35,135.35,135.35,135.35,1000000,0
2013-01-11,193,132.8,132.8,132.8,132.8,1000000,0
2013-01-14,196,132.3,132.3,132.3,132.3,1000000,0
2013-01-15,197,130.0,130.0,130.0,130.0,1000000,0
2013-01-16,198,130.2,130.2,130.2,130.2,1000000,0
2013-01-17,199,127.9,127.9,127.9,127.9,1000000,0
2013-01-18,200,129.6,129.6,129.6,129.6,1000000,0
2013-01-21,203,131.4,131.4,131.4,131.4,1000000,0
2013-01-22,204,128.45,128.45,128.45,128.45,1000000,0
2013-01-23,205,128.0,128.0,128.0,128.0,1000000,0
2013-01-24,206,125.2,125.2,125.2,125.2,1000000,0
2013-01-25,207,124.75,124.75,124.75,124.75,1000000,0
2013-01-28,210,126.15,126.15,126.15,126.15,1000000,0
2013-01-29,211,123.95,123.95,123.95,123.95,1000000,0
2013-01-30,212,122.4,122.4,122.4,122.4,1000000,0
2013-01-31,213,121.25,121.25,121.25,121.25,1000000,0
2013-02-01,214,124.3,124.3,124.3,124.3,1000000,0
2013-02-04,217,120.55,120.55,120.55,120.55,1000000,0
2013-02-05,218,120.5,120.5,120.5,120.5,1000000,0
2013-02-06,219,120.0,120.0,120.0,120.0,1000000,0
2013-02-07,220,120.25,120.25,120.25,120.25,1000000,0
2013-02-08,221,121.95,121.95,121.95,121.95,1000000,0
2013-02-11,224,121.8,121.8,121.8,121.8,1000000,0
2013-02-12,225,120.15,120.15,120.15,120.15,1000000,0
2013-02-13,226,121.0,121.0,121.0,121.0,1000000,0
2013-02-14,227,115.05,115.05,115.05,115.05,1000000,0
2013-02-15,228,113.45,113.45,113.45,113.45,1000000,0
2013-02-18,231,114.35,114.35,114.35,114.35,1000000,0
2013-02-19,232,113.95,113.95,113.95,113.95,1000000,0
2013-02-20,233,113.1,113.1,113.1,113.1,1000000,0
2013-02-21,234,109.75,109.75,109.75,109.75,1000000,0
2013-02-22,235,108.4,108.4,108.4,108.4,1000000,0
2013-02-25,238,111.6,111.6,111.6,111.6,1000000,0
2013-02-26,239,110.25,110.25,110.25,110.25,1000000,0
2013-02-27,240,111.4,111.4,111.4,111.4,1000000,0
2013-02-28,241,109.55,109.55,109.55,109.55,1000000,0
2013-03-01,242,108.3,108.3,108.3,108.3,1000000,0
2013-03-04,245,105.75,105.75,105.75,105.75,1000000,0
2013-03-05,246,106.85,106.85,106.85,106.85,1000000,0
2013-03-06,247,110.7,110.7,110.7,110.7,1000000,0
2013-03-07,248,111.45,111.45,111.45,111.45,1000000,0
2013-03-08,249,112.3,112.3,112.3,112.3,1000000,0
2013-03-11,252,112.0,112.0,112.0,112.0,1000000,0
2013-03-12,253,112.2,112.2,112.2,112.2,1000000,0
2013-03-13,254,113.8,113.8,113.8,113.8,1000000,0
2013-03-14,255,115.7,115.7,115.7,115.7,1000000,0
2013-03-15,256,115.5,115.5,115.5,115.5,1000000,0
2013-03-18,259,113.6,113.6,113.6,113.6,1000000,0
2013-03-19,260,115.45,115.45,115.45,115.45,1000000,0
2013-03-20,261,112.25,112.25,112.25,112.25,1000000,0
2013-03-21,262,112.3,112.3,112.3,112.3,1000000,0
2013-03-22,263,111.15,111.15,111.15,111.15,1000000,0
2013-03-25,266,113.1,113.1,113.1,113.1,1000000,0
2013-03-26,267,115.5,115.5,115.5,115.5,1000000,0
2013-03-28,269,119.6,119.6,119.6,119.6,1000000,0
2013-04-01,273,121.35,121.35,121.35,121.35,1000000,0
2013-04-02,274,120.15,120.15,120.15,120.15,1000000,0
2013-04-03,275,119.9,119.9,119.9,119.9,1000000,0
2013-04-04,276,118.0,118.0,118.0,118.0,1000000,0
2013-04-05,277,116.3,116.3,116.3,116.3,1000000,0
2013-04-08,280,112.75,112.75,112.75,112.75,1000000,0
2013-04-09,281,113.85,113.85,113.85,113.85,1000000,0
2013-04-10,282,114.25,114.25,114.25,114.25,1000000,0
2013-04-11,283,115.35,115.35,115.35,115.35,1000000,0
2013-04-12,284,115.05,115.05,115.05,115.05,1000000,0
2013-04-15,287,114.05,114.05,114.05,114.05,1000000,0
2013-04-16,288,114.0,114.0,114.0,114.0,1000000,0
2013-04-17,289,114.15,114.15,114.15,114.15,1000000,0
2013-04-18,290,113.4,113.4,113.4,113.4,1000000,0
2013-04-22,294,115.4,115.4,115.4,115.4,1000000,0
2013-04-23,295,114.2,114.2,114.2,114.2,1000000,0
2013-04-25,297,114.0,114.0,114.0,114.0,1000000,0
2013-04-26,298,114.8,114.8,114.8,114.8,1000000,0
2013-04-29,301,115.9,115.9,115.9,115.9,1000000,0
2013-04-30,302,115.4,115.4,115.4,115.4,1000000,0
2013-05-02,304,114.7,114.7,114.7,114.7,1000000,0
2013-05-03,305,114.2,114.2,114.2,114.2,1000000,0
2013-05-06,308,114.05,114.05,114.05,114.05,1000000,0
2013-05-07,309,114.55,114.55,114.55,114.55,1000000,0
2013-05-08,310,114.25,114.25,114.25,114.25,1000000,0
2013-05-09,311,113.25,113.25,113.25,113.25,1000000,0
2013-05-10,312,112.75,112.75,112.75,112.75,1000000,0
2013-05-13,315,111.15,111.15,111.15,111.15,1000000,0
2013-05-14,316,113.55,113.55,113.55,113.55,1000000,0
2013-05-15,317,113.5,113.5,113.5,113.5,1000000,0
2013-05-16,318,113.2,113.2,113.2,113.2,1000000,0
2013-05-17,319,112.55,112.55,112.55,112.55,1000000,0
2013-05-20,322,113.0,113.0,113.0,113.0,1000000,0
2013-05-21,323,113.0,113.0,113.0,113.0,1000000,0
2013-05-22,324,110.25,110.25,110.25,110.25,1000000,0
2013-05-23,325,107.85,107.85,107.85,107.85,1000000,0
2013-05-24,326,110.25,110.25,110.25,110.25,1000000,0
2013-05-27,329,107.0,107.0,107.0,107.0,1000000,0
2013-05-28,330,107.0,107.0,107.0,107.0,1000000,0
