Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,292.1,292.1,292.1,292.1,1000000,0
2012-07-03,1,294.0,294.0,294.0,294.0,1000000,0
2012-07-04,2,303.76,303.76,303.76,303.76,1000000,0
2012-07-05,3,303.76,303.76,303.76,303.76,1000000,0
2012-07-06,4,304.96,304.96,304.96,304.96,1000000,0
2012-07-09,7,298.91,298.91,298.91,298.91,1000000,0
2012-07-10,8,297.42,297.42,297.42,297.42,1000000,0
2012-07-11,9,294.95,294.95,294.95,294.95,1000000,0
2012-07-12,10,296.15,296.15,296.15,296.15,1000000,0
2012-07-13,11,297.56,297.56,297.56,297.56,1000000,0
2012-07-16,14,299.9,299.9,299.9,299.9,1000000,0
2012-07-17,15,300.59,300.59,300.59,300.59,1000000,0
2012-07-18,16,298.54,298.54,298.54,298.54,1000000,0
2012-07-19,17,298.04,298.04,298.04,298.04,1000000,0
2012-07-20,18,295.13,295.13,295.13,295.13,1000000,0
2012-07-23,21,292.02,292.02,292.02,292.02,1000000,0
2012-07-24,22,289.08,289.08,289.08,289.08,1000000,0
2012-07-25,23,288.69,288.69,288.69,288.69,1000000,0
2012-07-26,24,286.27,286.27,286.27,286.27,1000000,0
2012-07-27,25,290.28,290.28,290.28,290.28,1000000,0
2012-07-30,28,291.83,291.83,291.83,291.83,1000000,0
2012-07-31,29,290.16,290.16,290.16,290.16,1000000,0
2012-08-01,30,296.0,296.0,296.0,296.0,1000000,0
2012-08-02,31,297.41,297.41,297.41,297.41,1000000,0
2012-08-03,32,298.75,298.75,298.75,298.75,1000000,0
2012-08-06,35,303.9,303.9,303.9,303.9,1000000,0
2012-08-07,36,307.35,307.35,307.35,307.35,1000000,0
2012-08-08,37,308.01,308.01,308.01,308.01,1000000,0
2012-08-09,38,313.54,313.54,313.54,313.54,1000000,0
2012-08-10,39,309.92,309.92,309.92,309.92,1000000,0
2012-08-13,42,314.36,314.36,314.36,314.36,1000000,0
2012-08-14,43,316.49,316.49,316.49,316.49,1000000,0
2012-08-16,45,320.94,320.94,320.94,320.94,1000000,0
2012-08-17,46,322.16,322.16,322.16,322.16,1000000,0
2012-08-21,50,324.11,324.11,324.11,324.11,1000000,0
2012-08-22,51,322.33,322.33,322.33,322.33,1000000,0
2012-08-23,52,319.68,319.68,319.68,319.68,1000000,0
2012-08-24,53,317.22,317.22,317.22,317.22,1000000,0
2012-08-27,56,321.9,321.9,321.9,321.9,1000000,0
2012-08-28,57,316.96,316.96,316.96,316.96,1000000,0
2012-08-29,58,314.52,314.52,314.52,314.52,1000000,0
2012-08-30,59,318.14,318.14,318.14,318.14,1000000,0
2012-08-31,60,319.61,319.61,319.61,319.61,1000000,0
2012-09-03,63,320.21,320.21,320.21,320.21,1000000,0
2012-09-04,64,318.16,318.16,318.16,318.16,1000000,0
2012-09-05,65,316.37,316.37,316.37,316.37,1000000,0
2012-09-06,66,317.33,317.33,317.33,317.33,1000000,0
2012-09-07,67,312.27,312.27,312.27,312.27,1000000,0
2012-09-10,70,308.31,308.31,308.31,308.31,1000000,0
2012-09-11,71,306.07,306.07,306.07,306.07,1000000,0
2012-09-12,72,304.51,304.51,304.51,304.51,1000000,0
2012-09-13,73,307.12,307.12,307.12,307.12,1000000,0
2012-09-14,74,308.02,308.02,308.02,308.02,1000000,0
2012-09-17,77,315.97,315.97,315.97,315.97,1000000,0
2012-09-18,78,316.75,316.75,316.75,316.75,1000000,0
2012-09-20,80,318.48,318.48,318.48,318.48,1000000,0
2012-09-21,81,321.37,321.37,321.37,321.37,1000000,0
2012-09-24,84,321.64,321.64,321.64,321.64,1000000,0
2012-09-25,85,321.26,321.26,321.26,321.26,1000000,0
2012-09-26,86,329.42,329.42,329.42,329.42,1000000,0
2012-09-27,87,338.88,338.88,338.88,338.88,1000000,0
2012-09-28,88,354.85,354.85,354.85,354.85,1000000,0
2012-10-01,91,347.13,347.13,347.13,347.13,1000000,0
2012-10-03,93,343.23,343.23,343.23,343.23,1000000,0
2012-10-04,94,342.85,342.85,342.85,342.85,1000000,0
2012-10-05,95,337.21,337.21,337.21,337.21,1000000,0
2012-10-08,98,347.48,347.48,347.48,347.48,1000000,0
2012-10-09,99,352.85,352.85,352.85,352.85,1000000,0
2012-10-10,100,351.03,351.03,351.03,351.03,1000000,0
2012-10-11,101,350.47,350.47,350.47,350.47,1000000,0
2012-10-12,102,354.73,354.73,354.73,354.73,1000000,0
2012-10-15,105,355.14,355.14,355.14,355.14,1000000,0
2012-10-16,106,358.74,358.74,358.74,358.74,1000000,0
2012-10-17,107,355.82,355.82,355.82,355.82,1000000,0
2012-10-18,108,359.95,359.95,359.95,359.95,1000000,0
2012-10-19,109,364.39,364.39,364.39,364.39,1000000,0
2012-10-22,112,363.44,363.44,363.44,363.44,1000000,0
2012-10-23,113,363.65,363.65,363.65,363.65,1000000,0
2012-10-25,115,360.82,360.82,360.82,360.82,1000000,0
2012-10-26,116,357.93,357.93,357.93,357.93,1000000,0
2012-10-29,119,347.61,347.61,347.61,347.61,1000000,0
2012-10-30,120,343.21,343.21,343.21,343.21,1000000,0
2012-10-31,121,346.48,346.48,346.48,346.48,1000000,0
2012-11-01,122,344.08,344.08,344.08,344.08,1000000,0
2012-11-02,123,344.46,344.46,344.46,344.46,1000000,0
2012-11-05,126,342.99,342.99,342.99,342.99,1000000,0
2012-11-06,127,344.66,344.66,344.66,344.66,1000000,0
2012-11-07,128,344.1,344.1,344.1,344.1,1000000,0
2012-11-08,129,346.27,346.27,346.27,346.27,1000000,0
2012-11-09,130,344.71,344.71,344.71,344.71,1000000,0
2012-11-12,133,334.81,334.81,334.81,334.81,1000000,0
2012-11-13,134,334.58,334.58,334.58,334.58,1000000,0
2012-11-15,136,334.9,334.9,334.9,334.9,1000000,0
2012-11-16,137,336.01,336.01,336.01,336.01,1000000,0
2012-11-19,140,336.25,336.25,336.25,336.25,1000000,0
2012-11-20,141,337.98,337.98,337.98,337.98,1000000,0
2012-11-21,142,334.12,334.12,334.12,334.12,1000000,0
2012-11-22,143,330.3,330.3,330.3,330.3,1000000,0
2012-11-23,144,330.15,330.15,330.15,330.15,1000000,0
2012-11-26,147,339.48,339.48,339.48,339.48,1000000,0
2012-11-27,148,336.61,336.61,336.61,336.61,1000000,0
2012-11-29,150,336.5,336.5,336.5,336.5,1000000,0
2012-11-30,151,337.48,337.48,337.48,337.48,1000000,0
2012-12-03,154,337.75,337.75,337.75,337.75,1000000,0
2012-12-04,155,344.13,344.13,344.13,344.13,1000000,0
2012-12-05,156,346.66,346.66,346.66,346.66,1000000,0
2012-12-06,157,341.32,341.32,341.32,341.32,1000000,0
2012-12-07,158,338.57,338.57,338.57,338.57,1000000,0
2012-12-10,161,340.18,340.18,340.18,340.18,1000000,0
2012-12-11,162,338.13,338.13,338.13,338.13,1000000,0
2012-12-12,163,337.42,337.42,337.42,337.42,1000000,0
2012-12-13,164,342.45,342.45,342.45,342.45,1000000,0
2012-12-14,165,345.77,345.77,345.77,345.77,1000000,0
