Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,45.17,45.17,45.17,45.17,1000000,0
2012-07-03,1,45.5,45.5,45.5,45.5,1000000,0
2012-07-04,2,45.16,45.16,45.16,45.16,1000000,0
2012-07-05,3,44.995,44.995,44.995,44.995,1000000,0
2012-07-06,4,43.5,43.5,43.5,43.5,1000000,0
2012-07-09,7,43.5,43.5,43.5,43.5,1000000,0
2012-07-10,8,43.35,43.35,43.35,43.35,1000000,0
2012-07-11,9,44.3,44.3,44.3,44.3,1000000,0
2012-07-12,10,43.8,43.8,43.8,43.8,1000000,0
2012-07-13,11,44.69,44.69,44.69,44.69,1000000,0
2012-07-16,14,45.53,45.53,45.53,45.53,1000000,0
2012-07-17,15,46.5,46.5,46.5,46.5,1000000,0
2012-07-18,16,46.815,46.815,46.815,46.815,1000000,0
2012-07-19,17,46.8,46.8,46.8,46.8,1000000,0
2012-07-20,18,46.0,46.0,46.0,46.0,1000000,0
2012-07-23,21,45.72,45.72,45.72,45.72,1000000,0
2012-07-24,22,46.025,46.025,46.025,46.025,1000000,0
2012-07-25,23,46.0,46.0,46.0,46.0,1000000,0
2012-07-26,24,46.57,46.57,46.57,46.57,1000000,0
2012-07-27,25,45.705,45.705,45.705,45.705,1000000,0
2012-07-30,28,47.83,47.83,47.83,47.83,1000000,0
2012-07-31,29,45.5,45.5,45.5,45.5,1000000,0
2012-08-01,30,45.5,45.5,45.5,45.5,1000000,0
2012-08-02,31,44.04,44.04,44.04,44.04,1000000,0
2012-08-03,32,43.495,43.495,43.495,43.495,1000000,0
2012-08-06,35,44.025,44.025,44.025,44.025,1000000,0
2012-08-07,36,44.135,44.135,44.135,44.135,1000000,0
2012-08-08,37,44.52,44.52,44.52,44.52,1000000,0
2012-08-09,37,44.52,44.52,44.52,44.52,1000000,0
2012-08-10,39,46.54,46.54,46.54,46.54,1000000,0
2012-08-13,42,44.78,44.78,44.78,44.78,1000000,0
2012-08-14,43,44.31,44.31,44.31,44.31,1000000,0
2012-08-16,45,44.305,44.305,44.305,44.305,1000000,0
2012-08-17,46,45.36,45.36,45.36,45.36,1000000,0
2012-08-21,50,46.5,46.5,46.5,46.5,1000000,0
2012-08-22,51,47.5,47.5,47.5,47.5,1000000,0
2012-08-23,52,47.5,47.5,47.5,47.5,1000000,0
2012-08-24,53,47.535,47.535,47.535,47.535,1000000,0
2012-08-27,56,47.565,47.565,47.565,47.565,1000000,0
2012-08-28,57,47.5,47.5,47.5,47.5,1000000,0
2012-08-29,58,49.695,49.695,49.695,49.695,1000000,0
2012-08-30,59,48.495,48.495,48.495,48.495,1000000,0
2012-08-31,60,48.8,48.8,48.8,48.8,1000000,0
2012-09-03,63,46.355,46.355,46.355,46.355,1000000,0
2012-09-04,64,46.775,46.775,46.775,46.775,1000000,0
2012-09-05,65,45.51,45.51,45.51,45.51,1000000,0
2012-09-06,66,46.5,46.5,46.5,46.5,1000000,0
2012-09-07,67,46.0,46.0,46.0,46.0,1000000,0
2012-09-10,70,47.58,47.58,47.58,47.58,1000000,0
2012-09-11,71,47.0,47.0,47.0,47.0,1000000,0
2012-09-12,72,46.925,46.925,46.925,46.925,1000000,0
2012-09-13,73,48.015,48.015,48.015,48.015,1000000,0
2012-09-14,74,47.98,47.98,47.98,47.98,1000000,0
2012-09-17,77,46.56,46.56,46.56,46.56,1000000,0
2012-09-18,78,45.5,45.5,45.5,45.5,1000000,0
2012-09-20,80,45.41,45.41,45.41,45.41,1000000,0
2012-09-21,81,45.35,45.35,45.35,45.35,1000000,0
2012-09-24,84,45.875,45.875,45.875,45.875,1000000,0
2012-09-25,85,45.19,45.19,45.19,45.19,1000000,0
2012-09-26,86,45.49,45.49,45.49,45.49,1000000,0
2012-09-27,87,45.56,45.56,45.56,45.56,1000000,0
2012-09-28,88,45.55,45.55,45.55,45.55,1000000,0
2012-10-01,91,44.65,44.65,44.65,44.65,1000000,0
2012-10-03,93,44.665,44.665,44.665,44.665,1000000,0
2012-10-04,94,46.0,46.0,46.0,46.0,1000000,0
2012-10-05,95,45.695,45.695,45.695,45.695,1000000,0
2012-10-08,98,45.025,45.025,45.025,45.025,1000000,0
2012-10-09,99,44.915,44.915,44.915,44.915,1000000,0
2012-10-10,100,44.94,44.94,44.94,44.94,1000000,0
2012-10-11,101,45.2,45.2,45.2,45.2,1000000,0
2012-10-12,102,45.185,45.185,45.185,45.185,1000000,0
2012-10-15,105,45.285,45.285,45.285,45.285,1000000,0
2012-10-16,106,45.045,45.045,45.045,45.045,1000000,0
2012-10-17,107,45.04,45.04,45.04,45.04,1000000,0
2012-10-18,108,44.63,44.63,44.63,44.63,1000000,0
2012-10-19,109,44.975,44.975,44.975,44.975,1000000,0
2012-10-22,112,45.165,45.165,45.165,45.165,1000000,0
2012-10-23,113,44.39,44.39,44.39,44.39,1000000,0
2012-10-25,115,44.84,44.84,44.84,44.84,1000000,0
2012-10-26,116,44.63,44.63,44.63,44.63,1000000,0
2012-10-29,119,45.0,45.0,45.0,45.0,1000000,0
2012-10-30,120,44.745,44.745,44.745,44.745,1000000,0
2012-10-31,121,44.625,44.625,44.625,44.625,1000000,0
2012-11-01,122,45.15,45.15,45.15,45.15,1000000,0
2012-11-02,123,44.785,44.785,44.785,44.785,1000000,0
2012-11-05,126,42.945,42.945,42.945,42.945,1000000,0
2012-11-06,127,42.0,42.0,42.0,42.0,1000000,0
2012-11-07,128,42.795,42.795,42.795,42.795,1000000,0
2012-11-08,129,44.0,44.0,44.0,44.0,1000000,0
2012-11-09,130,44.475,44.475,44.475,44.475,1000000,0
2012-11-12,133,44.2,44.2,44.2,44.2,1000000,0
2012-11-13,134,45.19,45.19,45.19,45.19,1000000,0
2012-11-15,136,44.0,44.0,44.0,44.0,1000000,0
2012-11-16,137,44.725,44.725,44.725,44.725,1000000,0
2012-11-19,140,45.0,45.0,45.0,45.0,1000000,0
2012-11-20,141,44.0,44.0,44.0,44.0,1000000,0
2012-11-21,142,44.69,44.69,44.69,44.69,1000000,0
2012-11-22,143,44.0,44.0,44.0,44.0,1000000,0
2012-11-23,143,44.0,44.0,44.0,44.0,1000000,0
2012-11-26,147,44.0,44.0,44.0,44.0,1000000,0
2012-11-27,148,44.1,44.1,44.1,44.1,1000000,0
2012-11-29,150,45.0,45.0,45.0,45.0,1000000,0
2012-11-30,151,47.22,47.22,47.22,47.22,1000000,0
2012-12-03,154,47.0,47.0,47.0,47.0,1000000,0
2012-12-04,155,47.0,47.0,47.0,47.0,1000000,0
2012-12-05,156,46.5,46.5,46.5,46.5,1000000,0
2012-12-06,157,47.0,47.0,47.0,47.0,1000000,0
2012-12-07,158,47.0,47.0,47.0,47.0,1000000,0
2012-12-10,161,47.0,47.0,47.0,47.0,1000000,0
2012-12-11,162,47.0,47.0,47.0,47.0,1000000,0
2012-12-12,163,45.045,45.045,45.045,45.045,1000000,0
2012-12-13,164,45.0,45.0,45.0,45.0,1000000,0
2012-12-14,165,45.495,45.495,45.495,45.495,1000000,0
2012-12-17,168,46.115,46.115,46.115,46.115,1000000,0
2012-12-18,169,46.2,46.2,46.2,46.2,1000000,0
2012-12-19,170,46.2,46.2,46.2,46.2,1000000,0
2012-12-20,171,46.2,46.2,46.2,46.2,1000000,0
2012-12-21,172,46.2,46.2,46.2,46.2,1000000,0
2012-12-24,175,46.2,46.2,46.2,46.2,1000000,0
2012-12-26,177,46.2,46.2,46.2,46.2,1000000,0
2012-12-27,178,46.22,46.22,46.22,46.22,1000000,0
2012-12-28,179,46.3,46.3,46.3,46.3,1000000,0
2012-12-31,182,46.995,46.995,46.995,46.995,1000000,0
2013-01-01,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-02,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-03,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-04,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-07,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-08,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-09,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-10,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-11,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-14,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-15,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-16,183,46.2,46.2,46.2,46.2,1000000,0
2013-01-17,183,46.2,46.2,46.2,46.2,1000000,0
