Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,49.95,49.95,49.95,49.95,1000000,0
2012-07-03,1,50.6,50.6,50.6,50.6,1000000,0
2012-07-04,2,50.7,50.7,50.7,50.7,1000000,0
2012-07-05,3,51.35,51.35,51.35,51.35,1000000,0
2012-07-06,4,50.35,50.35,50.35,50.35,1000000,0
2012-07-09,7,49.3,49.3,49.3,49.3,1000000,0
2012-07-10,8,49.15,49.15,49.15,49.15,1000000,0
2012-07-11,9,48.6,48.6,48.6,48.6,1000000,0
2012-07-12,10,48.65,48.65,48.65,48.65,1000000,0
2012-07-13,11,48.85,48.85,48.85,48.85,1000000,0
2012-07-16,14,48.35,48.35,48.35,48.35,1000000,0
2012-07-17,15,48.15,48.15,48.15,48.15,1000000,0
2012-07-18,16,48.9,48.9,48.9,48.9,1000000,0
2012-07-19,17,48.45,48.45,48.45,48.45,1000000,0
2012-07-20,18,48.45,48.45,48.45,48.45,1000000,0
2012-07-23,21,47.4,47.4,47.4,47.4,1000000,0
2012-07-24,22,47.3,47.3,47.3,47.3,1000000,0
2012-07-25,23,47.25,47.25,47.25,47.25,1000000,0
2012-07-26,24,46.15,46.15,46.15,46.15,1000000,0
2012-07-27,25,46.35,46.35,46.35,46.35,1000000,0
2012-07-30,28,45.7,45.7,45.7,45.7,1000000,0
2012-07-31,29,47.9,47.9,47.9,47.9,1000000,0
2012-08-01,30,47.4,47.4,47.4,47.4,1000000,0
2012-08-02,31,48.0,48.0,48.0,48.0,1000000,0
2012-08-03,32,47.55,47.55,47.55,47.55,1000000,0
2012-08-06,35,48.1,48.1,48.1,48.1,1000000,0
2012-08-07,36,49.2,49.2,49.2,49.2,1000000,0
2012-08-08,37,49.25,49.25,49.25,49.25,1000000,0
2012-08-09,38,48.95,48.95,48.95,48.95,1000000,0
2012-08-10,39,48.3,48.3,48.3,48.3,1000000,0
2012-08-13,42,47.9,47.9,47.9,47.9,1000000,0
2012-08-14,43,47.35,47.35,47.35,47.35,1000000,0
2012-08-16,45,46.95,46.95,46.95,46.95,1000000,0
2012-08-17,46,46.25,46.25,46.25,46.25,1000000,0
2012-08-21,50,45.25,45.25,45.25,45.25,1000000,0
2012-08-22,51,43.45,43.45,43.45,43.45,1000000,0
2012-08-23,52,43.0,43.0,43.0,43.0,1000000,0
2012-08-24,53,43.95,43.95,43.95,43.95,1000000,0
2012-08-27,56,43.1,43.1,43.1,43.1,1000000,0
2012-08-28,57,43.55,43.55,43.55,43.55,1000000,0
2012-08-29,58,43.05,43.05,43.05,43.05,1000000,0
2012-08-30,59,42.5,42.5,42.5,42.5,1000000,0
2012-08-31,60,43.05,43.05,43.05,43.05,1000000,0
2012-09-03,63,43.45,43.45,43.45,43.45,1000000,0
2012-09-04,64,43.9,43.9,43.9,43.9,1000000,0
2012-09-05,65,44.65,44.65,44.65,44.65,1000000,0
2012-09-06,66,45.05,45.05,45.05,45.05,1000000,0
2012-09-07,67,45.45,45.45,45.45,45.45,1000000,0
2012-09-10,70,43.05,43.05,43.05,43.05,1000000,0
2012-09-11,71,42.95,42.95,42.95,42.95,1000000,0
2012-09-12,72,43.45,43.45,43.45,43.45,1000000,0
2012-09-13,73,43.15,43.15,43.15,43.15,1000000,0
2012-09-14,74,42.95,42.95,42.95,42.95,1000000,0
2012-09-17,77,43.1,43.1,43.1,43.1,1000000,0
2012-09-18,78,42.55,42.55,42.55,42.55,1000000,0
2012-09-20,80,42.75,42.75,42.75,42.75,1000000,0
2012-09-21,81,43.75,43.75,43.75,43.75,1000000,0
2012-09-24,84,44.55,44.55,44.55,44.55,1000000,0
2012-09-25,85,44.95,44.95,44.95,44.95,1000000,0
2012-09-26,86,45.15,45.15,45.15,45.15,1000000,0
2012-09-27,87,44.9,44.9,44.9,44.9,1000000,0
2012-09-28,88,44.6,44.6,44.6,44.6,1000000,0
2012-10-01,91,47.15,47.15,47.15,47.15,1000000,0
2012-10-03,93,47.25,47.25,47.25,47.25,1000000,0
2012-10-04,94,47.4,47.4,47.4,47.4,1000000,0
2012-10-05,95,47.45,47.45,47.45,47.45,1000000,0
2012-10-08,98,47.1,47.1,47.1,47.1,1000000,0
2012-10-09,99,48.95,48.95,48.95,48.95,1000000,0
2012-10-10,100,50.1,50.1,50.1,50.1,1000000,0
2012-10-11,101,49.5,49.5,49.5,49.5,1000000,0
2012-10-12,102,49.5,49.5,49.5,49.5,1000000,0
2012-10-15,105,49.6,49.6,49.6,49.6,1000000,0
2012-10-16,106,49.45,49.45,49.45,49.45,1000000,0
2012-10-17,107,49.25,49.25,49.25,49.25,1000000,0
2012-10-18,108,48.6,48.6,48.6,48.6,1000000,0
2012-10-19,109,48.15,48.15,48.15,48.15,1000000,0
2012-10-22,112,47.85,47.85,47.85,47.85,1000000,0
2012-10-23,113,47.7,47.7,47.7,47.7,1000000,0
2012-10-25,115,47.45,47.45,47.45,47.45,1000000,0
2012-10-26,116,47.8,47.8,47.8,47.8,1000000,0
2012-10-29,119,48.95,48.95,48.95,48.95,1000000,0
2012-10-30,120,48.05,48.05,48.05,48.05,1000000,0
2012-10-31,121,48.35,48.35,48.35,48.35,1000000,0
2012-11-01,122,47.7,47.7,47.7,47.7,1000000,0
2012-11-02,123,50.05,50.05,50.05,50.05,1000000,0
2012-11-05,126,52.05,52.05,52.05,52.05,1000000,0
2012-11-06,127,53.05,53.05,53.05,53.05,1000000,0
2012-11-07,128,54.0,54.0,54.0,54.0,1000000,0
2012-11-08,129,51.75,51.75,51.75,51.75,1000000,0
2012-11-09,130,51.2,51.2,51.2,51.2,1000000,0
2012-11-12,133,50.9,50.9,50.9,50.9,1000000,0
2012-11-13,134,52.5,52.5,52.5,52.5,1000000,0
2012-11-15,136,51.8,51.8,51.8,51.8,1000000,0
2012-11-16,137,50.85,50.85,50.85,50.85,1000000,0
2012-11-19,140,50.0,50.0,50.0,50.0,1000000,0
2012-11-20,141,49.85,49.85,49.85,49.85,1000000,0
2012-11-21,142,50.05,50.05,50.05,50.05,1000000,0
2012-11-22,143,50.0,50.0,50.0,50.0,1000000,0
2012-11-23,144,50.05,50.05,50.05,50.05,1000000,0
2012-11-26,147,49.5,49.5,49.5,49.5,1000000,0
2012-11-27,148,49.5,49.5,49.5,49.5,1000000,0
2012-11-29,150,50.35,50.35,50.35,50.35,1000000,0
2012-11-30,151,50.35,50.35,50.35,50.35,1000000,0
2012-12-03,154,50.1,50.1,50.1,50.1,1000000,0
2012-12-04,155,50.05,50.05,50.05,50.05,1000000,0
2012-12-05,156,50.2,50.2,50.2,50.2,1000000,0
2012-12-06,157,50.05,50.05,50.05,50.05,1000000,0
2012-12-07,158,50.5,50.5,50.5,50.5,1000000,0
2012-12-10,161,50.0,50.0,50.0,50.0,1000000,0
2012-12-11,162,49.7,49.7,49.7,49.7,1000000,0
2012-12-12,163,50.05,50.05,50.05,50.05,1000000,0
2012-12-13,164,49.85,49.85,49.85,49.85,1000000,0
2012-12-14,165,50.0,50.0,50.0,50.0,1000000,0
2012-12-17,168,50.35,50.35,50.35,50.35,1000000,0
2012-12-18,169,50.05,50.05,50.05,50.05,1000000,0
2012-12-19,170,50.2,50.2,50.2,50.2,1000000,0
2012-12-20,171,50.05,50.05,50.05,50.05,1000000,0
2012-12-21,172,50.25,50.25,50.25,50.25,1000000,0
2012-12-24,175,51.4,51.4,51.4,51.4,1000000,0
2012-12-26,177,51.65,51.65,51.65,51.65,1000000,0
2012-12-27,178,51.95,51.95,51.95,51.95,1000000,0
2012-12-28,179,52.0,52.0,52.0,52.0,1000000,0
2012-12-31,182,50.75,50.75,50.75,50.75,1000000,0
2013-01-01,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-02,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-03,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-04,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-07,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-08,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-09,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-10,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-11,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-14,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-15,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-16,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-17,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-18,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-21,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-22,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-23,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-24,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-25,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-28,183,49.9,49.9,49.9,49.9,1000000,0
2013-01-29,183,49.9,49.9,49.9,49.9,1000000,0
