Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,223.35,223.35,223.35,223.35,1000000,0
2012-07-03,1,226.6,226.6,226.6,226.6,1000000,0
2012-07-04,2,225.05,225.05,225.05,225.05,1000000,0
2012-07-05,3,229.2,229.2,229.2,229.2,1000000,0
2012-07-06,4,229.15,229.15,229.15,229.15,1000000,0
2012-07-09,7,232.85,232.85,232.85,232.85,1000000,0
2012-07-10,8,234.75,234.75,234.75,234.75,1000000,0
2012-07-11,9,228.65,228.65,228.65,228.65,1000000,0
2012-07-12,10,221.15,221.15,221.15,221.15,1000000,0
2012-07-13,11,221.7,221.7,221.7,221.7,1000000,0
2012-07-16,14,227.25,227.25,227.25,227.25,1000000,0
2012-07-17,15,215.0,215.0,215.0,215.0,1000000,0
2012-07-18,16,219.2,219.2,219.2,219.2,1000000,0
2012-07-19,17,216.0,216.0,216.0,216.0,1000000,0
2012-07-20,18,221.7,221.7,221.7,221.7,1000000,0
2012-07-23,21,217.25,217.25,217.25,217.25,1000000,0
2012-07-24,22,213.8,213.8,213.8,213.8,1000000,0
2012-07-25,23,207.35,207.35,207.35,207.35,1000000,0
2012-07-26,24,207.05,207.05,207.05,207.05,1000000,0
2012-07-27,25,207.6,207.6,207.6,207.6,1000000,0
2012-07-30,28,206.3,206.3,206.3,206.3,1000000,0
2012-07-31,29,205.15,205.15,205.15,205.15,1000000,0
2012-08-01,30,206.5,206.5,206.5,206.5,1000000,0
2012-08-02,31,206.55,206.55,206.55,206.55,1000000,0
2012-08-03,32,204.95,204.95,204.95,204.95,1000000,0
2012-08-06,35,204.2,204.2,204.2,204.2,1000000,0
2012-08-07,36,207.7,207.7,207.7,207.7,1000000,0
2012-08-08,37,203.45,203.45,203.45,203.45,1000000,0
2012-08-09,38,201.0,201.0,201.0,201.0,1000000,0
2012-08-10,39,204.6,204.6,204.6,204.6,1000000,0
2012-08-13,42,198.8,198.8,198.8,198.8,1000000,0
2012-08-14,43,204.3,204.3,204.3,204.3,1000000,0
2012-08-16,45,203.55,203.55,203.55,203.55,1000000,0
2012-08-17,46,200.3,200.3,200.3,200.3,1000000,0
2012-08-21,50,208.35,208.35,208.35,208.35,1000000,0
2012-08-22,51,208.5,208.5,208.5,208.5,1000000,0
2012-08-23,52,207.15,207.15,207.15,207.15,1000000,0
2012-08-24,53,204.1,204.1,204.1,204.1,1000000,0
2012-08-27,56,199.35,199.35,199.35,199.35,1000000,0
2012-08-28,57,196.9,196.9,196.9,196.9,1000000,0
2012-08-29,58,193.1,193.1,193.1,193.1,1000000,0
2012-08-30,59,183.45,183.45,183.45,183.45,1000000,0
2012-08-31,60,192.45,192.45,192.45,192.45,1000000,0
2012-09-03,63,194.95,194.95,194.95,194.95,1000000,0
2012-09-04,64,196.1,196.1,196.1,196.1,1000000,0
2012-09-05,65,194.5,194.5,194.5,194.5,1000000,0
2012-09-06,66,191.15,191.15,191.15,191.15,1000000,0
