Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,19.35,19.35,19.35,19.35,1000000,0
2012-07-03,1,19.7,19.7,19.7,19.7,1000000,0
2012-07-04,2,19.7,19.7,19.7,19.7,1000000,0
2012-07-05,3,19.85,19.85,19.85,19.85,1000000,0
2012-07-06,4,19.9,19.9,19.9,19.9,1000000,0
2012-07-09,7,19.9,19.9,19.9,19.9,1000000,0
2012-07-10,8,19.95,19.95,19.95,19.95,1000000,0
2012-07-11,9,19.9,19.9,19.9,19.9,1000000,0
2012-07-12,10,19.7,19.7,19.7,19.7,1000000,0
2012-07-13,11,20.1,20.1,20.1,20.1,1000000,0
2012-07-16,14,20.0,20.0,20.0,20.0,1000000,0
2012-07-17,15,19.95,19.95,19.95,19.95,1000000,0
2012-07-18,16,20.15,20.15,20.15,20.15,1000000,0
2012-07-19,17,20.25,20.25,20.25,20.25,1000000,0
2012-07-20,18,20.25,20.25,20.25,20.25,1000000,0
2012-07-23,21,20.1,20.1,20.1,20.1,1000000,0
2012-07-24,22,19.6,19.6,19.6,19.6,1000000,0
2012-07-25,23,19.5,19.5,19.5,19.5,1000000,0
2012-07-26,24,19.45,19.45,19.45,19.45,1000000,0
2012-07-27,25,19.5,19.5,19.5,19.5,1000000,0
2012-07-30,28,19.75,19.75,19.75,19.75,1000000,0
2012-07-31,29,20.2,20.2,20.2,20.2,1000000,0
2012-08-01,30,20.05,20.05,20.05,20.05,1000000,0
2012-08-02,31,19.85,19.85,19.85,19.85,1000000,0
2012-08-03,32,19.9,19.9,19.9,19.9,1000000,0
2012-08-06,35,19.85,19.85,19.85,19.85,1000000,0
2012-08-07,36,19.95,19.95,19.95,19.95,1000000,0
2012-08-08,37,20.05,20.05,20.05,20.05,1000000,0
2012-08-09,38,20.5,20.5,20.5,20.5,1000000,0
2012-08-10,39,20.45,20.45,20.45,20.45,1000000,0
2012-08-13,42,20.5,20.5,20.5,20.5,1000000,0
2012-08-14,43,20.7,20.7,20.7,20.7,1000000,0
2012-08-16,45,20.75,20.75,20.75,20.75,1000000,0
2012-08-17,46,20.7,20.7,20.7,20.7,1000000,0
2012-08-21,50,20.8,20.8,20.8,20.8,1000000,0
2012-08-22,51,20.8,20.8,20.8,20.8,1000000,0
2012-08-23,52,20.8,20.8,20.8,20.8,1000000,0
2012-08-24,53,19.7,19.7,19.7,19.7,1000000,0
2012-08-27,56,19.2,19.2,19.2,19.2,1000000,0
2012-08-28,57,19.15,19.15,19.15,19.15,1000000,0
2012-08-29,58,19.1,19.1,19.1,19.1,1000000,0
2012-08-30,59,19.1,19.1,19.1,19.1,1000000,0
2012-08-31,60,19.1,19.1,19.1,19.1,1000000,0
2012-09-03,63,19.15,19.15,19.15,19.15,1000000,0
2012-09-04,64,19.15,19.15,19.15,19.15,1000000,0
2012-09-05,65,19.1,19.1,19.1,19.1,1000000,0
2012-09-06,66,19.1,19.1,19.1,19.1,1000000,0
2012-09-07,67,19.15,19.15,19.15,19.15,1000000,0
2012-09-10,70,19.1,19.1,19.1,19.1,1000000,0
2012-09-11,71,19.1,19.1,19.1,19.1,1000000,0
2012-09-12,72,19.1,19.1,19.1,19.1,1000000,0
2012-09-13,73,18.85,18.85,18.85,18.85,1000000,0
2012-09-14,74,18.95,18.95,18.95,18.95,1000000,0
2012-09-17,77,18.95,18.95,18.95,18.95,1000000,0
2012-09-18,78,19.3,19.3,19.3,19.3,1000000,0
2012-09-20,80,20.0,20.0,20.0,20.0,1000000,0
2012-09-21,81,19.55,19.55,19.55,19.55,1000000,0
2012-09-24,84,19.65,19.65,19.65,19.65,1000000,0
2012-09-25,85,19.95,19.95,19.95,19.95,1000000,0
2012-09-26,86,20.05,20.05,20.05,20.05,1000000,0
2012-09-27,87,19.85,19.85,19.85,19.85,1000000,0
2012-09-28,88,20.0,20.0,20.0,20.0,1000000,0
2012-10-01,91,19.95,19.95,19.95,19.95,1000000,0
2012-10-03,93,19.95,19.95,19.95,19.95,1000000,0
2012-10-04,94,19.65,19.65,19.65,19.65,1000000,0
2012-10-05,95,19.45,19.45,19.45,19.45,1000000,0
2012-10-08,98,19.6,19.6,19.6,19.6,1000000,0
2012-10-09,99,20.15,20.15,20.15,20.15,1000000,0
2012-10-10,100,19.6,19.6,19.6,19.6,1000000,0
2012-10-11,101,19.65,19.65,19.65,19.65,1000000,0
2012-10-12,102,19.75,19.75,19.75,19.75,1000000,0
2012-10-15,105,19.95,19.95,19.95,19.95,1000000,0
2012-10-16,106,19.7,19.7,19.7,19.7,1000000,0
2012-10-17,107,19.6,19.6,19.6,19.6,1000000,0
2012-10-18,108,19.95,19.95,19.95,19.95,1000000,0
2012-10-19,109,19.7,19.7,19.7,19.7,1000000,0
2012-10-22,112,19.7,19.7,19.7,19.7,1000000,0
2012-10-23,113,19.6,19.6,19.6,19.6,1000000,0
2012-10-25,115,19.65,19.65,19.65,19.65,1000000,0
2012-10-26,116,19.55,19.55,19.55,19.55,1000000,0
2012-10-29,119,19.6,19.6,19.6,19.6,1000000,0
2012-10-30,120,19.65,19.65,19.65,19.65,1000000,0
2012-10-31,121,19.95,19.95,19.95,19.95,1000000,0
2012-11-01,122,19.85,19.85,19.85,19.85,1000000,0
2012-11-02,123,19.95,19.95,19.95,19.95,1000000,0
2012-11-05,126,19.95,19.95,19.95,19.95,1000000,0
2012-11-06,127,20.0,20.0,20.0,20.0,1000000,0
2012-11-07,128,20.05,20.05,20.05,20.05,1000000,0
2012-11-08,129,19.95,19.95,19.95,19.95,1000000,0
2012-11-09,130,19.7,19.7,19.7,19.7,1000000,0
2012-11-12,133,19.9,19.9,19.9,19.9,1000000,0
2012-11-13,134,20.0,20.0,20.0,20.0,1000000,0
2012-11-15,136,19.95,19.95,19.95,19.95,1000000,0
2012-11-16,137,19.8,19.8,19.8,19.8,1000000,0
2012-11-19,140,19.65,19.65,19.65,19.65,1000000,0
2012-11-20,141,19.55,19.55,19.55,19.55,1000000,0
2012-11-21,142,19.45,19.45,19.45,19.45,1000000,0
2012-11-22,143,19.3,19.3,19.3,19.3,1000000,0
2012-11-23,144,18.75,18.75,18.75,18.75,1000000,0
2012-11-26,147,18.45,18.45,18.45,18.45,1000000,0
