Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-03,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-04,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-05,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-06,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-09,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-10,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-11,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-12,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-13,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-16,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-17,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-18,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-19,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-20,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-23,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-24,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-25,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-26,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-27,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-30,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-07-31,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-01,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-02,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-03,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-06,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-07,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-08,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-09,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-10,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-13,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-14,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-16,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-17,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-21,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-22,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-23,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-24,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-27,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-28,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-29,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-30,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-08-31,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-03,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-04,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-05,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-06,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-07,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-10,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-11,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-12,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-13,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-14,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-17,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-18,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-20,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-21,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-24,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-25,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-26,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-27,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-09-28,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-01,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-03,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-04,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-05,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-08,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-09,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-10,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-11,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-12,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-15,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-16,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-17,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-18,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-19,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-22,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-23,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-25,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-26,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-29,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-30,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-10-31,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-01,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-02,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-05,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-06,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-07,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-08,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-09,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-12,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-13,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-15,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-16,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-19,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-20,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-21,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-22,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-23,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-26,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-27,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-29,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-11-30,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-12-03,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-12-04,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-12-05,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-12-06,802.0,79.8,79.8,79.8,79.8,1.0,0.0
2012-12-07,802.0,79.8,79.8,79.8,79.8,1.0,0.0
