Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,47.2,47.2,47.2,47.2,1000000,0
2012-07-03,1,46.6,46.6,46.6,46.6,1000000,0
2012-07-04,2,47.0,47.0,47.0,47.0,1000000,0
2012-07-05,3,46.65,46.65,46.65,46.65,1000000,0
2012-07-06,4,47.4,47.4,47.4,47.4,1000000,0
2012-07-09,7,47.5,47.5,47.5,47.5,1000000,0
2012-07-10,8,45.9,45.9,45.9,45.9,1000000,0
2012-07-11,9,44.95,44.95,44.95,44.95,1000000,0
2012-07-12,10,45.1,45.1,45.1,45.1,1000000,0
2012-07-13,11,45.1,45.1,45.1,45.1,1000000,0
2012-07-16,14,44.6,44.6,44.6,44.6,1000000,0
2012-07-17,15,44.2,44.2,44.2,44.2,1000000,0
2012-07-18,16,43.45,43.45,43.45,43.45,1000000,0
2012-07-19,17,42.5,42.5,42.5,42.5,1000000,0
2012-07-20,18,41.95,41.95,41.95,41.95,1000000,0
2012-07-23,21,44.0,44.0,44.0,44.0,1000000,0
2012-07-24,22,44.7,44.7,44.7,44.7,1000000,0
2012-07-25,23,43.85,43.85,43.85,43.85,1000000,0
2012-07-26,24,43.15,43.15,43.15,43.15,1000000,0
2012-07-27,25,42.8,42.8,42.8,42.8,1000000,0
2012-07-30,28,41.9,41.9,41.9,41.9,1000000,0
2012-07-31,29,41.65,41.65,41.65,41.65,1000000,0
2012-08-01,30,43.7,43.7,43.7,43.7,1000000,0
2012-08-02,31,43.5,43.5,43.5,43.5,1000000,0
2012-08-03,32,43.0,43.0,43.0,43.0,1000000,0
2012-08-06,35,43.0,43.0,43.0,43.0,1000000,0
2012-08-07,36,41.35,41.35,41.35,41.35,1000000,0
2012-08-08,37,43.5,43.5,43.5,43.5,1000000,0
2012-08-09,38,42.8,42.8,42.8,42.8,1000000,0
2012-08-10,39,42.2,42.2,42.2,42.2,1000000,0
2012-08-13,42,42.0,42.0,42.0,42.0,1000000,0
2012-08-14,43,41.75,41.75,41.75,41.75,1000000,0
2012-08-16,45,43.0,43.0,43.0,43.0,1000000,0
2012-08-17,46,44.4,44.4,44.4,44.4,1000000,0
2012-08-21,50,44.35,44.35,44.35,44.35,1000000,0
2012-08-22,51,45.6,45.6,45.6,45.6,1000000,0
2012-08-23,52,42.15,42.15,42.15,42.15,1000000,0
2012-08-24,53,41.15,41.15,41.15,41.15,1000000,0
2012-08-27,56,41.25,41.25,41.25,41.25,1000000,0
2012-08-28,57,40.5,40.5,40.5,40.5,1000000,0
2012-08-29,58,40.1,40.1,40.1,40.1,1000000,0
2012-08-30,59,40.0,40.0,40.0,40.0,1000000,0
2012-08-31,60,40.8,40.8,40.8,40.8,1000000,0
2012-09-03,63,42.7,42.7,42.7,42.7,1000000,0
2012-09-04,64,42.95,42.95,42.95,42.95,1000000,0
2012-09-05,65,42.35,42.35,42.35,42.35,1000000,0
2012-09-06,66,42.3,42.3,42.3,42.3,1000000,0
2012-09-07,67,42.0,42.0,42.0,42.0,1000000,0
2012-09-10,70,44.4,44.4,44.4,44.4,1000000,0
2012-09-11,71,47.3,47.3,47.3,47.3,1000000,0
2012-09-12,72,51.2,51.2,51.2,51.2,1000000,0
2012-09-13,73,49.95,49.95,49.95,49.95,1000000,0
2012-09-14,74,48.9,48.9,48.9,48.9,1000000,0
2012-09-17,77,49.35,49.35,49.35,49.35,1000000,0
2012-09-18,78,52.9,52.9,52.9,52.9,1000000,0
2012-09-20,80,54.35,54.35,54.35,54.35,1000000,0
2012-09-21,81,56.65,56.65,56.65,56.65,1000000,0
2012-09-24,84,56.45,56.45,56.45,56.45,1000000,0
2012-09-25,85,56.9,56.9,56.9,56.9,1000000,0
2012-09-26,86,55.65,55.65,55.65,55.65,1000000,0
2012-09-27,87,55.85,55.85,55.85,55.85,1000000,0
2012-09-28,88,54.85,54.85,54.85,54.85,1000000,0
2012-10-01,91,55.0,55.0,55.0,55.0,1000000,0
2012-10-03,93,54.1,54.1,54.1,54.1,1000000,0
2012-10-04,94,56.75,56.75,56.75,56.75,1000000,0
2012-10-05,95,55.6,55.6,55.6,55.6,1000000,0
2012-10-08,98,55.8,55.8,55.8,55.8,1000000,0
2012-10-09,99,55.0,55.0,55.0,55.0,1000000,0
2012-10-10,100,54.0,54.0,54.0,54.0,1000000,0
2012-10-11,101,55.0,55.0,55.0,55.0,1000000,0
2012-10-12,102,56.3,56.3,56.3,56.3,1000000,0
2012-10-15,105,57.8,57.8,57.8,57.8,1000000,0
2012-10-16,106,61.0,61.0,61.0,61.0,1000000,0
2012-10-17,107,59.0,59.0,59.0,59.0,1000000,0
2012-10-18,108,68.0,68.0,68.0,68.0,1000000,0
2012-10-19,109,70.75,70.75,70.75,70.75,1000000,0
2012-10-22,112,84.9,84.9,84.9,84.9,1000000,0
2012-10-23,113,90.15,90.15,90.15,90.15,1000000,0
2012-10-25,115,89.35,89.35,89.35,89.35,1000000,0
2012-10-26,116,86.4,86.4,86.4,86.4,1000000,0
2012-10-29,119,82.0,82.0,82.0,82.0,1000000,0
2012-10-30,120,80.1,80.1,80.1,80.1,1000000,0
2012-10-31,121,83.55,83.55,83.55,83.55,1000000,0
2012-11-01,122,81.1,81.1,81.1,81.1,1000000,0
2012-11-02,123,82.15,82.15,82.15,82.15,1000000,0
2012-11-05,126,83.05,83.05,83.05,83.05,1000000,0
2012-11-06,127,84.0,84.0,84.0,84.0,1000000,0
2012-11-07,128,86.9,86.9,86.9,86.9,1000000,0
2012-11-08,129,85.5,85.5,85.5,85.5,1000000,0
2012-11-09,130,86.1,86.1,86.1,86.1,1000000,0
2012-11-12,133,88.95,88.95,88.95,88.95,1000000,0
2012-11-13,134,90.7,90.7,90.7,90.7,1000000,0
2012-11-15,136,88.55,88.55,88.55,88.55,1000000,0
2012-11-16,137,89.0,89.0,89.0,89.0,1000000,0
2012-11-19,140,88.25,88.25,88.25,88.25,1000000,0
2012-11-20,141,88.35,88.35,88.35,88.35,1000000,0
2012-11-21,142,90.7,90.7,90.7,90.7,1000000,0
2012-11-22,143,88.95,88.95,88.95,88.95,1000000,0
2012-11-23,144,90.35,90.35,90.35,90.35,1000000,0
2012-11-26,147,90.45,90.45,90.45,90.45,1000000,0
2012-11-27,148,88.35,88.35,88.35,88.35,1000000,0
2012-11-29,150,91.75,91.75,91.75,91.75,1000000,0
2012-11-30,151,91.15,91.15,91.15,91.15,1000000,0
2012-12-03,154,90.85,90.85,90.85,90.85,1000000,0
2012-12-04,155,91.65,91.65,91.65,91.65,1000000,0
2012-12-05,156,93.5,93.5,93.5,93.5,1000000,0
2012-12-06,157,93.95,93.95,93.95,93.95,1000000,0
2012-12-07,158,97.55,97.55,97.55,97.55,1000000,0
2012-12-10,161,102.4,102.4,102.4,102.4,1000000,0
2012-12-11,162,100.75,100.75,100.75,100.75,1000000,0
2012-12-12,163,99.7,99.7,99.7,99.7,1000000,0
2012-12-13,164,99.1,99.1,99.1,99.1,1000000,0
2012-12-14,165,97.35,97.35,97.35,97.35,1000000,0
2012-12-17,168,97.5,97.5,97.5,97.5,1000000,0
2012-12-18,169,97.0,97.0,97.0,97.0,1000000,0
2012-12-19,170,96.2,96.2,96.2,96.2,1000000,0
2012-12-20,171,95.0,95.0,95.0,95.0,1000000,0
2012-12-21,172,90.5,90.5,90.5,90.5,1000000,0
2012-12-24,175,95.0,95.0,95.0,95.0,1000000,0
2012-12-26,177,97.9,97.9,97.9,97.9,1000000,0
2012-12-27,178,98.75,98.75,98.75,98.75,1000000,0
2012-12-28,179,97.1,97.1,97.1,97.1,1000000,0
2012-12-31,182,95.7,95.7,95.7,95.7,1000000,0
2013-01-01,183,98.65,98.65,98.65,98.65,1000000,0
2013-01-02,184,96.45,96.45,96.45,96.45,1000000,0
2013-01-03,185,98.8,98.8,98.8,98.8,1000000,0
2013-01-04,186,97.95,97.95,97.95,97.95,1000000,0
2013-01-07,189,102.5,102.5,102.5,102.5,1000000,0
2013-01-08,190,107.55,107.55,107.55,107.55,1000000,0
2013-01-09,191,111.75,111.75,111.75,111.75,1000000,0
2013-01-10,192,112.25,112.25,112.25,112.25,1000000,0
2013-01-11,193,109.8,109.8,109.8,109.8,1000000,0
2013-01-14,196,110.05,110.05,110.05,110.05,1000000,0
2013-01-15,197,110.5,110.5,110.5,110.5,1000000,0
2013-01-16,198,105.0,105.0,105.0,105.0,1000000,0
2013-01-17,199,100.8,100.8,100.8,100.8,1000000,0
2013-01-18,200,96.0,96.0,96.0,96.0,1000000,0
2013-01-21,203,98.3,98.3,98.3,98.3,1000000,0
2013-01-22,204,94.45,94.45,94.45,94.45,1000000,0
2013-01-23,205,93.8,93.8,93.8,93.8,1000000,0
2013-01-24,206,89.15,89.15,89.15,89.15,1000000,0
2013-01-25,207,87.7,87.7,87.7,87.7,1000000,0
2013-01-28,210,88.25,88.25,88.25,88.25,1000000,0
2013-01-29,211,87.5,87.5,87.5,87.5,1000000,0
2013-01-30,212,84.8,84.8,84.8,84.8,1000000,0
2013-01-31,213,83.0,83.0,83.0,83.0,1000000,0
2013-02-01,214,85.65,85.65,85.65,85.65,1000000,0
2013-02-04,217,84.6,84.6,84.6,84.6,1000000,0
2013-02-05,218,83.8,83.8,83.8,83.8,1000000,0
2013-02-06,219,83.2,83.2,83.2,83.2,1000000,0
2013-02-07,220,82.9,82.9,82.9,82.9,1000000,0
2013-02-08,221,82.25,82.25,82.25,82.25,1000000,0
2013-02-11,224,83.6,83.6,83.6,83.6,1000000,0
2013-02-12,225,82.0,82.0,82.0,82.0,1000000,0
2013-02-13,226,82.8,82.8,82.8,82.8,1000000,0
2013-02-14,227,80.0,80.0,80.0,80.0,1000000,0
2013-02-15,228,77.1,77.1,77.1,77.1,1000000,0
2013-02-18,231,73.25,73.25,73.25,73.25,1000000,0
2013-02-19,232,73.4,73.4,73.4,73.4,1000000,0
2013-02-20,233,72.15,72.15,72.15,72.15,1000000,0
2013-02-21,234,68.55,68.55,68.55,68.55,1000000,0
2013-02-22,235,69.75,69.75,69.75,69.75,1000000,0
2013-02-25,238,67.45,67.45,67.45,67.45,1000000,0
2013-02-26,239,64.1,64.1,64.1,64.1,1000000,0
2013-02-27,240,64.0,64.0,64.0,64.0,1000000,0
2013-02-28,241,61.85,61.85,61.85,61.85,1000000,0
2013-03-01,242,63.2,63.2,63.2,63.2,1000000,0
2013-03-04,245,62.7,62.7,62.7,62.7,1000000,0
2013-03-05,246,65.8,65.8,65.8,65.8,1000000,0
2013-03-06,247,69.05,69.05,69.05,69.05,1000000,0
2013-03-07,248,72.5,72.5,72.5,72.5,1000000,0
2013-03-08,249,76.1,76.1,76.1,76.1,1000000,0
2013-03-11,252,79.9,79.9,79.9,79.9,1000000,0
2013-03-12,253,80.2,80.2,80.2,80.2,1000000,0
2013-03-13,254,76.2,76.2,76.2,76.2,1000000,0
2013-03-14,255,76.0,76.0,76.0,76.0,1000000,0
2013-03-15,256,74.0,74.0,74.0,74.0,1000000,0
2013-03-18,259,72.0,72.0,72.0,72.0,1000000,0
2013-03-19,260,69.9,69.9,69.9,69.9,1000000,0
2013-03-20,261,67.35,67.35,67.35,67.35,1000000,0
2013-03-21,262,65.3,65.3,65.3,65.3,1000000,0
2013-03-22,263,62.45,62.45,62.45,62.45,1000000,0
2013-03-25,266,62.85,62.85,62.85,62.85,1000000,0
2013-03-26,267,63.9,63.9,63.9,63.9,1000000,0
2013-03-28,269,66.0,66.0,66.0,66.0,1000000,0
2013-04-01,273,69.3,69.3,69.3,69.3,1000000,0
2013-04-02,274,72.5,72.5,72.5,72.5,1000000,0
2013-04-03,275,76.1,76.1,76.1,76.1,1000000,0
2013-04-04,276,72.3,72.3,72.3,72.3,1000000,0
2013-04-05,277,70.05,70.05,70.05,70.05,1000000,0
2013-04-08,280,69.0,69.0,69.0,69.0,1000000,0
2013-04-09,281,71.5,71.5,71.5,71.5,1000000,0
2013-04-10,282,71.35,71.35,71.35,71.35,1000000,0
2013-04-11,283,71.6,71.6,71.6,71.6,1000000,0
2013-04-12,284,72.75,72.75,72.75,72.75,1000000,0
2013-04-15,287,70.6,70.6,70.6,70.6,1000000,0
2013-04-16,288,72.55,72.55,72.55,72.55,1000000,0
2013-04-17,289,69.5,69.5,69.5,69.5,1000000,0
2013-04-18,290,71.05,71.05,71.05,71.05,1000000,0
2013-04-22,294,71.9,71.9,71.9,71.9,1000000,0
2013-04-23,295,70.8,70.8,70.8,70.8,1000000,0
2013-04-25,297,70.5,70.5,70.5,70.5,1000000,0
2013-04-26,298,69.9,69.9,69.9,69.9,1000000,0
2013-04-29,301,73.35,73.35,73.35,73.35,1000000,0
2013-04-30,302,77.0,77.0,77.0,77.0,1000000,0
2013-05-02,304,80.85,80.85,80.85,80.85,1000000,0
2013-05-03,305,77.5,77.5,77.5,77.5,1000000,0
2013-05-06,308,81.0,81.0,81.0,81.0,1000000,0
2013-05-07,309,84.4,84.4,84.4,84.4,1000000,0
2013-05-08,310,84.1,84.1,84.1,84.1,1000000,0
2013-05-09,311,82.0,82.0,82.0,82.0,1000000,0
2013-05-10,312,86.25,86.25,86.25,86.25,1000000,0
2013-05-13,315,86.3,86.3,86.3,86.3,1000000,0
2013-05-14,316,85.0,85.0,85.0,85.0,1000000,0
2013-05-15,317,87.2,87.2,87.2,87.2,1000000,0
2013-05-16,318,86.75,86.75,86.75,86.75,1000000,0
2013-05-17,319,88.0,88.0,88.0,88.0,1000000,0
2013-05-20,322,86.55,86.55,86.55,86.55,1000000,0
2013-05-21,323,84.15,84.15,84.15,84.15,1000000,0
2013-05-22,324,84.25,84.25,84.25,84.25,1000000,0
2013-05-23,325,78.7,78.7,78.7,78.7,1000000,0
2013-05-24,326,78.75,78.75,78.75,78.75,1000000,0
2013-05-27,329,81.8,81.8,81.8,81.8,1000000,0
2013-05-28,330,80.5,80.5,80.5,80.5,1000000,0
2013-05-29,331,80.1,80.1,80.1,80.1,1000000,0
2013-05-30,332,80.75,80.75,80.75,80.75,1000000,0
2013-05-31,333,78.2,78.2,78.2,78.2,1000000,0
2013-06-03,336,79.2,79.2,79.2,79.2,1000000,0
2013-06-04,337,75.35,75.35,75.35,75.35,1000000,0
2013-06-05,338,75.1,75.1,75.1,75.1,1000000,0
2013-06-06,339,75.85,75.85,75.85,75.85,1000000,0
2013-06-07,340,77.95,77.95,77.95,77.95,1000000,0
2013-06-10,343,77.7,77.7,77.7,77.7,1000000,0
2013-06-11,344,73.6,73.6,73.6,73.6,1000000,0
2013-06-12,345,70.65,70.65,70.65,70.65,1000000,0
2013-06-13,346,71.7,71.7,71.7,71.7,1000000,0
2013-06-14,347,74.15,74.15,74.15,74.15,1000000,0
2013-06-17,350,74.9,74.9,74.9,74.9,1000000,0
2013-06-18,351,74.8,74.8,74.8,74.8,1000000,0
2013-06-19,352,75.45,75.45,75.45,75.45,1000000,0
2013-06-20,353,72.55,72.55,72.55,72.55,1000000,0
2013-06-21,354,69.3,69.3,69.3,69.3,1000000,0
2013-06-24,357,67.95,67.95,67.95,67.95,1000000,0
2013-06-25,358,70.9,70.9,70.9,70.9,1000000,0
2013-06-26,359,70.6,70.6,70.6,70.6,1000000,0
2013-06-27,360,71.65,71.65,71.65,71.65,1000000,0
2013-06-28,361,72.0,72.0,72.0,72.0,1000000,0
2013-07-01,364,73.95,73.95,73.95,73.95,1000000,0
2013-07-02,365,75.95,75.95,75.95,75.95,1000000,0
2013-07-03,366,75.45,75.45,75.45,75.45,1000000,0
2013-07-04,367,76.0,76.0,76.0,76.0,1000000,0
2013-07-05,368,74.0,74.0,74.0,74.0,1000000,0
2013-07-08,371,73.5,73.5,73.5,73.5,1000000,0
2013-07-09,372,74.2,74.2,74.2,74.2,1000000,0
2013-07-10,373,74.15,74.15,74.15,74.15,1000000,0
2013-07-11,374,73.8,73.8,73.8,73.8,1000000,0
2013-07-12,375,75.0,75.0,75.0,75.0,1000000,0
2013-07-15,378,77.7,77.7,77.7,77.7,1000000,0
2013-07-16,379,74.95,74.95,74.95,74.95,1000000,0
2013-07-17,380,75.55,75.55,75.55,75.55,1000000,0
2013-07-18,381,77.0,77.0,77.0,77.0,1000000,0
2013-07-19,382,80.5,80.5,80.5,80.5,1000000,0
2013-07-22,385,83.0,83.0,83.0,83.0,1000000,0
2013-07-23,386,81.55,81.55,81.55,81.55,1000000,0
2013-07-24,387,76.05,76.05,76.05,76.05,1000000,0
2013-07-25,388,73.85,73.85,73.85,73.85,1000000,0
2013-07-26,389,72.85,72.85,72.85,72.85,1000000,0
2013-07-29,392,71.0,71.0,71.0,71.0,1000000,0
2013-07-30,393,70.35,70.35,70.35,70.35,1000000,0
2013-07-31,394,68.35,68.35,68.35,68.35,1000000,0
2013-08-01,395,67.3,67.3,67.3,67.3,1000000,0
2013-08-02,396,67.25,67.25,67.25,67.25,1000000,0
2013-08-05,399,67.25,67.25,67.25,67.25,1000000,0
2013-08-06,400,69.45,69.45,69.45,69.45,1000000,0
2013-08-07,401,69.0,69.0,69.0,69.0,1000000,0
2013-08-08,402,72.2,72.2,72.2,72.2,1000000,0
2013-08-12,406,71.35,71.35,71.35,71.35,1000000,0
