Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,289.5,289.5,289.5,289.5,1000000,0
2012-07-03,1,299.35,299.35,299.35,299.35,1000000,0
2012-07-04,2,298.05,298.05,298.05,298.05,1000000,0
2012-07-05,3,290.85,290.85,290.85,290.85,1000000,0
2012-07-06,4,293.65,293.65,293.65,293.65,1000000,0
2012-07-09,7,284.95,284.95,284.95,284.95,1000000,0
2012-07-10,8,288.0,288.0,288.0,288.0,1000000,0
2012-07-11,9,289.2,289.2,289.2,289.2,1000000,0
2012-07-12,10,289.75,289.75,289.75,289.75,1000000,0
2012-07-13,11,294.6,294.6,294.6,294.6,1000000,0
2012-07-16,14,301.0,301.0,301.0,301.0,1000000,0
2012-07-17,15,300.0,300.0,300.0,300.0,1000000,0
2012-07-18,16,300.5,300.5,300.5,300.5,1000000,0
2012-07-19,17,301.5,301.5,301.5,301.5,1000000,0
2012-07-20,18,301.65,301.65,301.65,301.65,1000000,0
2012-07-23,21,298.6,298.6,298.6,298.6,1000000,0
2012-07-24,22,294.05,294.05,294.05,294.05,1000000,0
2012-07-25,23,291.0,291.0,291.0,291.0,1000000,0
2012-07-26,24,294.0,294.0,294.0,294.0,1000000,0
2012-07-27,25,289.55,289.55,289.55,289.55,1000000,0
2012-07-30,28,294.35,294.35,294.35,294.35,1000000,0
2012-07-31,29,289.1,289.1,289.1,289.1,1000000,0
2012-08-01,30,292.55,292.55,292.55,292.55,1000000,0
2012-08-02,31,295.15,295.15,295.15,295.15,1000000,0
2012-08-03,32,297.7,297.7,297.7,297.7,1000000,0
2012-08-06,35,297.65,297.65,297.65,297.65,1000000,0
2012-08-07,36,295.2,295.2,295.2,295.2,1000000,0
2012-08-08,37,290.7,290.7,290.7,290.7,1000000,0
2012-08-09,38,291.5,291.5,291.5,291.5,1000000,0
2012-08-10,39,289.35,289.35,289.35,289.35,1000000,0
2012-08-13,42,290.85,290.85,290.85,290.85,1000000,0
2012-08-14,43,284.8,284.8,284.8,284.8,1000000,0
2012-08-16,45,280.8,280.8,280.8,280.8,1000000,0
2012-08-17,46,278.8,278.8,278.8,278.8,1000000,0
2012-08-21,50,290.05,290.05,290.05,290.05,1000000,0
2012-08-22,51,280.45,280.45,280.45,280.45,1000000,0
2012-08-23,52,280.35,280.35,280.35,280.35,1000000,0
2012-08-24,53,280.35,280.35,280.35,280.35,1000000,0
2012-08-27,56,279.75,279.75,279.75,279.75,1000000,0
2012-08-28,57,280.55,280.55,280.55,280.55,1000000,0
2012-08-29,58,280.0,280.0,280.0,280.0,1000000,0
2012-08-30,59,278.5,278.5,278.5,278.5,1000000,0
2012-08-31,60,277.65,277.65,277.65,277.65,1000000,0
2012-09-03,63,273.7,273.7,273.7,273.7,1000000,0
2012-09-04,64,272.9,272.9,272.9,272.9,1000000,0
2012-09-05,65,269.15,269.15,269.15,269.15,1000000,0
2012-09-06,66,265.25,265.25,265.25,265.25,1000000,0
2012-09-07,67,274.7,274.7,274.7,274.7,1000000,0
2012-09-10,70,274.8,274.8,274.8,274.8,1000000,0
2012-09-11,71,273.5,273.5,273.5,273.5,1000000,0
