Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,3104.05,3104.05,3104.05,3104.05,1,0
2012-07-03,1,3094.45,3094.45,3094.45,3094.45,1,0
2012-07-04,2,3067.4,3067.4,3067.4,3067.4,1,0
2012-07-05,3,3074.3,3074.3,3074.3,3074.3,1,0
2012-07-06,4,2932.0,2932.0,2932.0,2932.0,1,0
2012-07-09,7,2927.35,2927.35,2927.35,2927.35,1,0
2012-07-10,8,2907.2,2907.2,2907.2,2907.2,1,0
2012-07-11,9,2904.7,2904.7,2904.7,2904.7,1,0
2012-07-12,10,2899.65,2899.65,2899.65,2899.65,1,0
2012-07-13,11,2904.25,2904.25,2904.25,2904.25,1,0
2012-07-16,14,2918.65,2918.65,2918.65,2918.65,1,0
2012-07-17,15,2926.0,2926.0,2926.0,2926.0,1,0
2012-07-18,16,2925.75,2925.75,2925.75,2925.75,1,0
2012-07-19,17,2934.9,2934.9,2934.9,2934.9,1,0
2012-07-20,18,2934.65,2934.65,2934.65,2934.65,1,0
2012-07-23,21,2890.35,2890.35,2890.35,2890.35,1,0
2012-07-24,22,2878.0,2878.0,2878.0,2878.0,1,0
2012-07-25,23,3008.2,3008.2,3008.2,3008.2,1,0
2012-07-26,24,3000.3,3000.3,3000.3,3000.3,1,0
2012-07-27,25,3052.75,3052.75,3052.75,3052.75,1,0
2012-07-30,28,3080.65,3080.65,3080.65,3080.65,1,0
2012-07-31,29,3114.65,3114.65,3114.65,3114.65,1,0
2012-08-01,30,3166.4,3166.4,3166.4,3166.4,1,0
2012-08-02,31,3172.95,3172.95,3172.95,3172.95,1,0
2012-08-03,32,3108.25,3108.25,3108.25,3108.25,1,0
2012-08-06,35,3100.1,3100.1,3100.1,3100.1,1,0
2012-08-07,36,3093.5,3093.5,3093.5,3093.5,1,0
2012-08-08,37,3098.65,3098.65,3098.65,3098.65,1,0
2012-08-09,38,3086.05,3086.05,3086.05,3086.05,1,0
