Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,41.48,41.48,41.48,41.48,1000000,0
2012-07-03,1,42.31,42.31,42.31,42.31,1000000,0
2012-07-04,2,43.64,43.64,43.64,43.64,1000000,0
2012-07-05,3,44.46,44.46,44.46,44.46,1000000,0
2012-07-06,4,43.87,43.87,43.87,43.87,1000000,0
2012-07-09,7,42.7,42.7,42.7,42.7,1000000,0
2012-07-10,8,43.4,43.4,43.4,43.4,1000000,0
2012-07-11,9,44.41,44.41,44.41,44.41,1000000,0
2012-07-12,10,44.08,44.08,44.08,44.08,1000000,0
2012-07-13,11,45.82,45.82,45.82,45.82,1000000,0
2012-07-16,14,44.84,44.84,44.84,44.84,1000000,0
2012-07-17,15,43.74,43.74,43.74,43.74,1000000,0
2012-07-18,16,43.79,43.79,43.79,43.79,1000000,0
2012-07-19,17,46.02,46.02,46.02,46.02,1000000,0
2012-07-20,18,47.92,47.92,47.92,47.92,1000000,0
2012-07-23,21,46.73,46.73,46.73,46.73,1000000,0
2012-07-24,22,47.73,47.73,47.73,47.73,1000000,0
2012-07-25,23,45.88,45.88,45.88,45.88,1000000,0
2012-07-26,24,39.98,39.98,39.98,39.98,1000000,0
2012-07-27,25,39.89,39.89,39.89,39.89,1000000,0
2012-07-30,28,40.09,40.09,40.09,40.09,1000000,0
2012-07-31,29,40.5,40.5,40.5,40.5,1000000,0
2012-08-01,30,41.02,41.02,41.02,41.02,1000000,0
2012-08-02,31,41.28,41.28,41.28,41.28,1000000,0
2012-08-03,32,41.22,41.22,41.22,41.22,1000000,0
2012-08-06,35,41.63,41.63,41.63,41.63,1000000,0
2012-08-07,36,41.74,41.74,41.74,41.74,1000000,0
2012-08-08,37,41.36,41.36,41.36,41.36,1000000,0
2012-08-09,38,42.04,42.04,42.04,42.04,1000000,0
2012-08-10,39,42.36,42.36,42.36,42.36,1000000,0
2012-08-13,42,42.95,42.95,42.95,42.95,1000000,0
2012-08-14,43,42.56,42.56,42.56,42.56,1000000,0
2012-08-16,45,42.97,42.97,42.97,42.97,1000000,0
2012-08-17,46,42.79,42.79,42.79,42.79,1000000,0
2012-08-21,50,43.37,43.37,43.37,43.37,1000000,0
2012-08-22,51,43.12,43.12,43.12,43.12,1000000,0
2012-08-23,52,43.3,43.3,43.3,43.3,1000000,0
2012-08-24,53,43.33,43.33,43.33,43.33,1000000,0
2012-08-27,56,42.98,42.98,42.98,42.98,1000000,0
2012-08-28,57,43.0,43.0,43.0,43.0,1000000,0
2012-08-29,58,42.94,42.94,42.94,42.94,1000000,0
2012-08-30,59,42.92,42.92,42.92,42.92,1000000,0
2012-08-31,60,42.82,42.82,42.82,42.82,1000000,0
2012-09-03,63,43.16,43.16,43.16,43.16,1000000,0
2012-09-04,64,43.56,43.56,43.56,43.56,1000000,0
2012-09-05,65,42.91,42.91,42.91,42.91,1000000,0
2012-09-06,66,42.66,42.66,42.66,42.66,1000000,0
2012-09-07,67,43.03,43.03,43.03,43.03,1000000,0
2012-09-10,70,43.01,43.01,43.01,43.01,1000000,0
2012-09-11,71,44.37,44.37,44.37,44.37,1000000,0
2012-09-12,72,44.64,44.64,44.64,44.64,1000000,0
2012-09-13,73,44.06,44.06,44.06,44.06,1000000,0
2012-09-14,74,43.53,43.53,43.53,43.53,1000000,0
2012-09-17,77,44.59,44.59,44.59,44.59,1000000,0
2012-09-18,78,45.42,45.42,45.42,45.42,1000000,0
2012-09-20,80,45.35,45.35,45.35,45.35,1000000,0
2012-09-21,81,45.88,45.88,45.88,45.88,1000000,0
2012-09-24,84,45.48,45.48,45.48,45.48,1000000,0
2012-09-25,85,45.52,45.52,45.52,45.52,1000000,0
2012-09-26,86,44.76,44.76,44.76,44.76,1000000,0
2012-09-27,87,43.73,43.73,43.73,43.73,1000000,0
2012-09-28,88,44.83,44.83,44.83,44.83,1000000,0
2012-10-01,91,46.95,46.95,46.95,46.95,1000000,0
2012-10-03,93,45.95,45.95,45.95,45.95,1000000,0
2012-10-04,94,46.11,46.11,46.11,46.11,1000000,0
2012-10-05,95,45.86,45.86,45.86,45.86,1000000,0
2012-10-08,98,45.55,45.55,45.55,45.55,1000000,0
2012-10-09,99,45.78,45.78,45.78,45.78,1000000,0
2012-10-10,100,44.85,44.85,44.85,44.85,1000000,0
2012-10-11,101,44.5,44.5,44.5,44.5,1000000,0
2012-10-12,102,44.46,44.46,44.46,44.46,1000000,0
2012-10-15,105,44.4,44.4,44.4,44.4,1000000,0
2012-10-16,106,44.27,44.27,44.27,44.27,1000000,0
2012-10-17,107,43.87,43.87,43.87,43.87,1000000,0
2012-10-18,108,44.28,44.28,44.28,44.28,1000000,0
2012-10-19,109,44.18,44.18,44.18,44.18,1000000,0
2012-10-22,112,43.86,43.86,43.86,43.86,1000000,0
2012-10-23,113,43.83,43.83,43.83,43.83,1000000,0
2012-10-25,115,45.4,45.4,45.4,45.4,1000000,0
2012-10-26,116,44.59,44.59,44.59,44.59,1000000,0
2012-10-29,119,44.87,44.87,44.87,44.87,1000000,0
2012-10-30,120,44.05,44.05,44.05,44.05,1000000,0
2012-10-31,121,44.57,44.57,44.57,44.57,1000000,0
2012-11-01,122,45.71,45.71,45.71,45.71,1000000,0
2012-11-02,123,46.73,46.73,46.73,46.73,1000000,0
2012-11-05,126,44.8,44.8,44.8,44.8,1000000,0
2012-11-06,127,45.23,45.23,45.23,45.23,1000000,0
2012-11-07,128,45.06,45.06,45.06,45.06,1000000,0
2012-11-08,129,45.16,45.16,45.16,45.16,1000000,0
2012-11-09,130,44.97,44.97,44.97,44.97,1000000,0
2012-11-12,133,45.13,45.13,45.13,45.13,1000000,0
2012-11-13,134,45.23,45.23,45.23,45.23,1000000,0
2012-11-15,136,43.69,43.69,43.69,43.69,1000000,0
2012-11-16,137,43.5,43.5,43.5,43.5,1000000,0
2012-11-19,140,43.05,43.05,43.05,43.05,1000000,0
2012-11-20,141,42.57,42.57,42.57,42.57,1000000,0
2012-11-21,142,41.91,41.91,41.91,41.91,1000000,0
2012-11-22,143,41.84,41.84,41.84,41.84,1000000,0
2012-11-23,144,41.57,41.57,41.57,41.57,1000000,0
2012-11-26,147,41.06,41.06,41.06,41.06,1000000,0
2012-11-27,148,41.56,41.56,41.56,41.56,1000000,0
2012-11-29,150,41.63,41.63,41.63,41.63,1000000,0
2012-11-30,151,41.65,41.65,41.65,41.65,1000000,0
2012-12-03,154,42.92,42.92,42.92,42.92,1000000,0
2012-12-04,155,43.27,43.27,43.27,43.27,1000000,0
2012-12-05,156,43.15,43.15,43.15,43.15,1000000,0
2012-12-06,157,43.44,43.44,43.44,43.44,1000000,0
2012-12-07,158,43.45,43.45,43.45,43.45,1000000,0
2012-12-10,161,42.92,42.92,42.92,42.92,1000000,0
2012-12-11,162,42.79,42.79,42.79,42.79,1000000,0
2012-12-12,163,42.26,42.26,42.26,42.26,1000000,0
2012-12-13,164,41.65,41.65,41.65,41.65,1000000,0
2012-12-14,165,41.88,41.88,41.88,41.88,1000000,0
2012-12-17,168,40.56,40.56,40.56,40.56,1000000,0
2012-12-18,169,40.49,40.49,40.49,40.49,1000000,0
2012-12-19,170,40.39,40.39,40.39,40.39,1000000,0
2012-12-20,171,40.59,40.59,40.59,40.59,1000000,0
2012-12-21,172,40.01,40.01,40.01,40.01,1000000,0
2012-12-24,175,40.07,40.07,40.07,40.07,1000000,0
2012-12-26,177,40.22,40.22,40.22,40.22,1000000,0
2012-12-27,178,40.29,40.29,40.29,40.29,1000000,0
2012-12-28,179,40.11,40.11,40.11,40.11,1000000,0
2012-12-31,182,40.16,40.16,40.16,40.16,1000000,0
