Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,27.8,27.8,27.8,27.8,1000000,0
2012-07-03,1,28.4,28.4,28.4,28.4,1000000,0
2012-07-04,2,28.3,28.3,28.3,28.3,1000000,0
2012-07-05,3,28.15,28.15,28.15,28.15,1000000,0
2012-07-06,4,27.95,27.95,27.95,27.95,1000000,0
2012-07-09,7,27.6,27.6,27.6,27.6,1000000,0
2012-07-10,8,27.8,27.8,27.8,27.8,1000000,0
2012-07-11,9,27.75,27.75,27.75,27.75,1000000,0
2012-07-12,10,27.35,27.35,27.35,27.35,1000000,0
2012-07-13,11,27.1,27.1,27.1,27.1,1000000,0
2012-07-16,14,26.65,26.65,26.65,26.65,1000000,0
2012-07-17,15,27.25,27.25,27.25,27.25,1000000,0
2012-07-18,16,26.85,26.85,26.85,26.85,1000000,0
2012-07-19,17,26.8,26.8,26.8,26.8,1000000,0
2012-07-20,18,26.95,26.95,26.95,26.95,1000000,0
2012-07-23,21,26.7,26.7,26.7,26.7,1000000,0
2012-07-24,22,26.55,26.55,26.55,26.55,1000000,0
2012-07-25,23,26.55,26.55,26.55,26.55,1000000,0
2012-07-26,24,26.25,26.25,26.25,26.25,1000000,0
2012-07-27,25,24.2,24.2,24.2,24.2,1000000,0
2012-07-30,28,24.5,24.5,24.5,24.5,1000000,0
2012-07-31,29,24.25,24.25,24.25,24.25,1000000,0
2012-08-01,30,24.5,24.5,24.5,24.5,1000000,0
2012-08-02,31,24.4,24.4,24.4,24.4,1000000,0
2012-08-03,32,24.5,24.5,24.5,24.5,1000000,0
2012-08-06,35,24.4,24.4,24.4,24.4,1000000,0
2012-08-07,36,25.25,25.25,25.25,25.25,1000000,0
2012-08-08,37,25.6,25.6,25.6,25.6,1000000,0
2012-08-09,38,25.05,25.05,25.05,25.05,1000000,0
2012-08-10,39,24.55,24.55,24.55,24.55,1000000,0
2012-08-13,42,22.85,22.85,22.85,22.85,1000000,0
2012-08-14,43,22.85,22.85,22.85,22.85,1000000,0
2012-08-16,45,22.6,22.6,22.6,22.6,1000000,0
2012-08-17,46,22.15,22.15,22.15,22.15,1000000,0
2012-08-21,50,22.15,22.15,22.15,22.15,1000000,0
2012-08-22,51,22.15,22.15,22.15,22.15,1000000,0
2012-08-23,52,22.5,22.5,22.5,22.5,1000000,0
2012-08-24,53,22.5,22.5,22.5,22.5,1000000,0
2012-08-27,56,22.2,22.2,22.2,22.2,1000000,0
2012-08-28,57,20.8,20.8,20.8,20.8,1000000,0
2012-08-29,58,20.45,20.45,20.45,20.45,1000000,0
2012-08-30,59,22.4,22.4,22.4,22.4,1000000,0
2012-08-31,60,22.2,22.2,22.2,22.2,1000000,0
2012-09-03,63,22.75,22.75,22.75,22.75,1000000,0
2012-09-04,64,22.55,22.55,22.55,22.55,1000000,0
2012-09-05,65,22.45,22.45,22.45,22.45,1000000,0
2012-09-06,66,22.2,22.2,22.2,22.2,1000000,0
2012-09-07,67,22.3,22.3,22.3,22.3,1000000,0
2012-09-10,70,22.4,22.4,22.4,22.4,1000000,0
2012-09-11,71,23.0,23.0,23.0,23.0,1000000,0
2012-09-12,72,23.3,23.3,23.3,23.3,1000000,0
2012-09-13,73,23.1,23.1,23.1,23.1,1000000,0
2012-09-14,74,22.95,22.95,22.95,22.95,1000000,0
2012-09-17,77,24.3,24.3,24.3,24.3,1000000,0
2012-09-18,78,24.15,24.15,24.15,24.15,1000000,0
