Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,325.0,325.0,325.0,325.0,1000000,0
2012-07-03,1,322.65,322.65,322.65,322.65,1000000,0
2012-07-04,2,324.3,324.3,324.3,324.3,1000000,0
2012-07-05,3,330.0,330.0,330.0,330.0,1000000,0
2012-07-06,4,333.0,333.0,333.0,333.0,1000000,0
2012-07-09,7,323.0,323.0,323.0,323.0,1000000,0
2012-07-10,8,329.9,329.9,329.9,329.9,1000000,0
2012-07-11,9,326.65,326.65,326.65,326.65,1000000,0
2012-07-12,10,334.15,334.15,334.15,334.15,1000000,0
2012-07-13,11,337.95,337.95,337.95,337.95,1000000,0
2012-07-16,14,330.35,330.35,330.35,330.35,1000000,0
2012-07-17,15,325.5,325.5,325.5,325.5,1000000,0
2012-07-18,16,326.15,326.15,326.15,326.15,1000000,0
2012-07-19,17,336.85,336.85,336.85,336.85,1000000,0
2012-07-20,18,343.2,343.2,343.2,343.2,1000000,0
2012-07-23,21,339.65,339.65,339.65,339.65,1000000,0
2012-07-24,22,334.95,334.95,334.95,334.95,1000000,0
2012-07-25,23,337.05,337.05,337.05,337.05,1000000,0
2012-07-26,24,331.9,331.9,331.9,331.9,1000000,0
2012-07-27,25,325.6,325.6,325.6,325.6,1000000,0
2012-07-30,28,326.2,326.2,326.2,326.2,1000000,0
2012-07-31,29,330.0,330.0,330.0,330.0,1000000,0
2012-08-01,30,333.5,333.5,333.5,333.5,1000000,0
2012-08-02,31,341.0,341.0,341.0,341.0,1000000,0
2012-08-03,32,336.0,336.0,336.0,336.0,1000000,0
2012-08-06,35,339.8,339.8,339.8,339.8,1000000,0
2012-08-07,36,338.05,338.05,338.05,338.05,1000000,0
2012-08-08,37,344.95,344.95,344.95,344.95,1000000,0
2012-08-09,38,312.55,312.55,312.55,312.55,1000000,0
2012-08-10,39,307.85,307.85,307.85,307.85,1000000,0
2012-08-13,42,307.9,307.9,307.9,307.9,1000000,0
2012-08-14,43,303.0,303.0,303.0,303.0,1000000,0
2012-08-16,45,300.75,300.75,300.75,300.75,1000000,0
2012-08-17,46,306.6,306.6,306.6,306.6,1000000,0
2012-08-21,50,314.55,314.55,314.55,314.55,1000000,0
2012-08-22,51,319.05,319.05,319.05,319.05,1000000,0
2012-08-23,52,318.45,318.45,318.45,318.45,1000000,0
2012-08-24,53,320.25,320.25,320.25,320.25,1000000,0
2012-08-27,56,322.65,322.65,322.65,322.65,1000000,0
2012-08-28,57,322.0,322.0,322.0,322.0,1000000,0
2012-08-29,58,319.0,319.0,319.0,319.0,1000000,0
2012-08-30,59,318.35,318.35,318.35,318.35,1000000,0
2012-08-31,60,319.95,319.95,319.95,319.95,1000000,0
2012-09-03,63,320.0,320.0,320.0,320.0,1000000,0
2012-09-04,64,319.3,319.3,319.3,319.3,1000000,0
2012-09-05,65,319.5,319.5,319.5,319.5,1000000,0
2012-09-06,66,320.0,320.0,320.0,320.0,1000000,0
2012-09-07,67,321.05,321.05,321.05,321.05,1000000,0
2012-09-10,70,325.8,325.8,325.8,325.8,1000000,0
2012-09-11,71,325.5,325.5,325.5,325.5,1000000,0
2012-09-12,72,325.4,325.4,325.4,325.4,1000000,0
2012-09-13,73,328.6,328.6,328.6,328.6,1000000,0
2012-09-14,74,327.4,327.4,327.4,327.4,1000000,0
2012-09-17,77,323.0,323.0,323.0,323.0,1000000,0
2012-09-18,78,309.0,309.0,309.0,309.0,1000000,0
2012-09-20,80,306.35,306.35,306.35,306.35,1000000,0
2012-09-21,81,306.85,306.85,306.85,306.85,1000000,0
2012-09-24,84,307.85,307.85,307.85,307.85,1000000,0
2012-09-25,85,302.05,302.05,302.05,302.05,1000000,0
2012-09-26,86,302.35,302.35,302.35,302.35,1000000,0
2012-09-27,87,301.3,301.3,301.3,301.3,1000000,0
2012-09-28,88,306.6,306.6,306.6,306.6,1000000,0
2012-10-01,91,306.0,306.0,306.0,306.0,1000000,0
2012-10-03,93,306.1,306.1,306.1,306.1,1000000,0
2012-10-04,94,305.4,305.4,305.4,305.4,1000000,0
2012-10-05,95,308.7,308.7,308.7,308.7,1000000,0
2012-10-08,98,306.85,306.85,306.85,306.85,1000000,0
2012-10-09,99,309.85,309.85,309.85,309.85,1000000,0
2012-10-10,100,309.85,309.85,309.85,309.85,1000000,0
2012-10-11,101,310.35,310.35,310.35,310.35,1000000,0
2012-10-12,102,310.0,310.0,310.0,310.0,1000000,0
2012-10-15,105,313.75,313.75,313.75,313.75,1000000,0
2012-10-16,106,314.8,314.8,314.8,314.8,1000000,0
2012-10-17,107,312.1,312.1,312.1,312.1,1000000,0
2012-10-18,108,314.25,314.25,314.25,314.25,1000000,0
2012-10-19,109,310.0,310.0,310.0,310.0,1000000,0
2012-10-22,112,308.5,308.5,308.5,308.5,1000000,0
2012-10-23,113,308.25,308.25,308.25,308.25,1000000,0
2012-10-25,115,311.0,311.0,311.0,311.0,1000000,0
2012-10-26,116,304.55,304.55,304.55,304.55,1000000,0
2012-10-29,119,295.65,295.65,295.65,295.65,1000000,0
2012-10-30,120,299.35,299.35,299.35,299.35,1000000,0
2012-10-31,121,296.5,296.5,296.5,296.5,1000000,0
2012-11-01,122,297.0,297.0,297.0,297.0,1000000,0
2012-11-02,123,297.05,297.05,297.05,297.05,1000000,0
2012-11-05,126,294.0,294.0,294.0,294.0,1000000,0
2012-11-06,127,302.75,302.75,302.75,302.75,1000000,0
2012-11-07,128,302.0,302.0,302.0,302.0,1000000,0
2012-11-08,129,304.8,304.8,304.8,304.8,1000000,0
2012-11-09,130,304.05,304.05,304.05,304.05,1000000,0
2012-11-12,133,283.1,283.1,283.1,283.1,1000000,0
2012-11-13,134,287.45,287.45,287.45,287.45,1000000,0
2012-11-15,136,288.85,288.85,288.85,288.85,1000000,0
2012-11-16,137,285.2,285.2,285.2,285.2,1000000,0
2012-11-19,140,283.1,283.1,283.1,283.1,1000000,0
2012-11-20,141,285.95,285.95,285.95,285.95,1000000,0
2012-11-21,142,282.5,282.5,282.5,282.5,1000000,0
2012-11-22,143,281.7,281.7,281.7,281.7,1000000,0
2012-11-23,144,271.65,271.65,271.65,271.65,1000000,0
2012-11-26,147,270.25,270.25,270.25,270.25,1000000,0
2012-11-27,148,273.35,273.35,273.35,273.35,1000000,0
2012-11-29,150,249.5,249.5,249.5,249.5,1000000,0
2012-11-30,151,266.2,266.2,266.2,266.2,1000000,0
2012-12-03,154,268.6,268.6,268.6,268.6,1000000,0
2012-12-04,155,263.45,263.45,263.45,263.45,1000000,0
2012-12-05,156,263.3,263.3,263.3,263.3,1000000,0
2012-12-06,157,272.9,272.9,272.9,272.9,1000000,0
2012-12-07,158,280.4,280.4,280.4,280.4,1000000,0
2012-12-10,161,281.55,281.55,281.55,281.55,1000000,0
2012-12-11,162,272.9,272.9,272.9,272.9,1000000,0
2012-12-12,163,271.1,271.1,271.1,271.1,1000000,0
2012-12-13,164,270.0,270.0,270.0,270.0,1000000,0
2012-12-14,165,271.15,271.15,271.15,271.15,1000000,0
2012-12-17,168,272.75,272.75,272.75,272.75,1000000,0
2012-12-18,169,269.35,269.35,269.35,269.35,1000000,0
2012-12-19,170,266.65,266.65,266.65,266.65,1000000,0
2012-12-20,171,271.25,271.25,271.25,271.25,1000000,0
2012-12-21,172,272.85,272.85,272.85,272.85,1000000,0
2012-12-24,175,267.3,267.3,267.3,267.3,1000000,0
2012-12-26,177,270.0,270.0,270.0,270.0,1000000,0
2012-12-27,178,265.0,265.0,265.0,265.0,1000000,0
2012-12-28,179,267.9,267.9,267.9,267.9,1000000,0
2012-12-31,182,265.4,265.4,265.4,265.4,1000000,0
2013-01-01,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-02,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-03,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-04,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-07,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-08,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-09,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-10,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-11,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-14,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-15,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-16,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-17,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-18,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-21,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-22,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-23,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-24,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-25,183,268.05,268.05,268.05,268.05,1000000,0
2013-01-28,183,268.05,268.05,268.05,268.05,1000000,0
