Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-03,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-04,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-05,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-06,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-09,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-10,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-11,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-12,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-13,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-16,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-17,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-18,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-19,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-20,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-23,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-24,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-25,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-26,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-27,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-30,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-07-31,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-01,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-02,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-03,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-06,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-07,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-08,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-09,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-10,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-13,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-14,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-16,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-17,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-21,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-22,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-23,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-24,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-27,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-28,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-29,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-30,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-08-31,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-03,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-04,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-05,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-06,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-07,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-10,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-11,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-12,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-13,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-14,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-17,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-18,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-20,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-21,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
2012-09-24,3448.0,906.85,906.85,906.85,906.85,1000000.0,0.0
