Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,325.85,325.85,325.85,325.85,1000000,0
2012-07-03,1,323.225,323.225,323.225,323.225,1000000,0
2012-07-04,2,325.075,325.075,325.075,325.075,1000000,0
2012-07-05,3,329.975,329.975,329.975,329.975,1000000,0
2012-07-06,4,329.325,329.325,329.325,329.325,1000000,0
2012-07-09,7,325.775,325.775,325.775,325.775,1000000,0
2012-07-10,8,325.55,325.55,325.55,325.55,1000000,0
2012-07-11,9,329.0,329.0,329.0,329.0,1000000,0
2012-07-12,10,332.125,332.125,332.125,332.125,1000000,0
2012-07-13,11,338.45,338.45,338.45,338.45,1000000,0
2012-07-16,14,366.025,366.025,366.025,366.025,1000000,0
2012-07-17,15,366.725,366.725,366.725,366.725,1000000,0
2012-07-18,16,373.925,373.925,373.925,373.925,1000000,0
2012-07-19,17,372.9,372.9,372.9,372.9,1000000,0
2012-07-20,18,365.2,365.2,365.2,365.2,1000000,0
2012-07-23,21,368.425,368.425,368.425,368.425,1000000,0
2012-07-24,22,364.95,364.95,364.95,364.95,1000000,0
2012-07-25,23,365.5,365.5,365.5,365.5,1000000,0
2012-07-26,24,365.425,365.425,365.425,365.425,1000000,0
2012-07-27,25,366.8,366.8,366.8,366.8,1000000,0
2012-07-30,28,367.25,367.25,367.25,367.25,1000000,0
2012-07-31,29,372.0,372.0,372.0,372.0,1000000,0
2012-08-01,30,366.675,366.675,366.675,366.675,1000000,0
2012-08-02,31,369.975,369.975,369.975,369.975,1000000,0
2012-08-03,32,372.9,372.9,372.9,372.9,1000000,0
2012-08-06,35,372.95,372.95,372.95,372.95,1000000,0
2012-08-07,36,396.775,396.775,396.775,396.775,1000000,0
2012-08-08,37,396.425,396.425,396.425,396.425,1000000,0
2012-08-09,38,415.6,415.6,415.6,415.6,1000000,0
2012-08-10,39,412.475,412.475,412.475,412.475,1000000,0
2012-08-13,42,413.15,413.15,413.15,413.15,1000000,0
2012-08-14,43,411.775,411.775,411.775,411.775,1000000,0
2012-08-16,45,411.525,411.525,411.525,411.525,1000000,0
2012-08-17,46,412.625,412.625,412.625,412.625,1000000,0
2012-08-21,50,412.55,412.55,412.55,412.55,1000000,0
2012-08-22,51,419.2,419.2,419.2,419.2,1000000,0
2012-08-23,52,411.125,411.125,411.125,411.125,1000000,0
2012-08-24,53,430.875,430.875,430.875,430.875,1000000,0
2012-08-27,56,430.25,430.25,430.25,430.25,1000000,0
2012-08-28,57,423.35,423.35,423.35,423.35,1000000,0
2012-08-29,58,420.425,420.425,420.425,420.425,1000000,0
2012-08-30,59,414.075,414.075,414.075,414.075,1000000,0
2012-08-31,60,414.425,414.425,414.425,414.425,1000000,0
2012-09-03,63,412.825,412.825,412.825,412.825,1000000,0
2012-09-04,64,411.725,411.725,411.725,411.725,1000000,0
2012-09-05,65,409.425,409.425,409.425,409.425,1000000,0
2012-09-06,66,407.075,407.075,407.075,407.075,1000000,0
2012-09-07,67,416.35,416.35,416.35,416.35,1000000,0
2012-09-10,70,411.575,411.575,411.575,411.575,1000000,0
2012-09-11,71,411.875,411.875,411.875,411.875,1000000,0
2012-09-12,72,407.975,407.975,407.975,407.975,1000000,0
2012-09-13,73,408.95,408.95,408.95,408.95,1000000,0
2012-09-14,74,410.1,410.1,410.1,410.1,1000000,0
2012-09-17,77,411.25,411.25,411.25,411.25,1000000,0
2012-09-18,78,407.875,407.875,407.875,407.875,1000000,0
2012-09-20,80,407.7,407.7,407.7,407.7,1000000,0
2012-09-21,81,405.75,405.75,405.75,405.75,1000000,0
2012-09-24,84,405.6,405.6,405.6,405.6,1000000,0
2012-09-25,85,404.85,404.85,404.85,404.85,1000000,0
2012-09-26,86,409.65,409.65,409.65,409.65,1000000,0
2012-09-27,87,409.9,409.9,409.9,409.9,1000000,0
2012-09-28,88,410.85,410.85,410.85,410.85,1000000,0
2012-10-01,91,421.725,421.725,421.725,421.725,1000000,0
2012-10-03,93,421.875,421.875,421.875,421.875,1000000,0
2012-10-04,94,421.3,421.3,421.3,421.3,1000000,0
2012-10-05,95,421.175,421.175,421.175,421.175,1000000,0
2012-10-08,98,418.725,418.725,418.725,418.725,1000000,0
2012-10-09,99,415.4,415.4,415.4,415.4,1000000,0
2012-10-10,100,410.825,410.825,410.825,410.825,1000000,0
2012-10-11,101,407.825,407.825,407.825,407.825,1000000,0
2012-10-12,102,407.3,407.3,407.3,407.3,1000000,0
2012-10-15,105,414.325,414.325,414.325,414.325,1000000,0
2012-10-16,106,409.025,409.025,409.025,409.025,1000000,0
2012-10-17,107,412.075,412.075,412.075,412.075,1000000,0
2012-10-18,108,412.4,412.4,412.4,412.4,1000000,0
2012-10-19,109,409.5,409.5,409.5,409.5,1000000,0
2012-10-22,112,412.875,412.875,412.875,412.875,1000000,0
2012-10-23,113,414.475,414.475,414.475,414.475,1000000,0
2012-10-25,115,415.25,415.25,415.25,415.25,1000000,0
2012-10-26,116,445.075,445.075,445.075,445.075,1000000,0
2012-10-29,119,447.5,447.5,447.5,447.5,1000000,0
2012-10-30,120,457.125,457.125,457.125,457.125,1000000,0
2012-10-31,121,457.275,457.275,457.275,457.275,1000000,0
2012-11-01,122,459.9,459.9,459.9,459.9,1000000,0
2012-11-02,123,463.975,463.975,463.975,463.975,1000000,0
2012-11-05,126,479.475,479.475,479.475,479.475,1000000,0
2012-11-06,127,478.325,478.325,478.325,478.325,1000000,0
2012-11-07,128,478.4,478.4,478.4,478.4,1000000,0
2012-11-08,129,482.7,482.7,482.7,482.7,1000000,0
2012-11-09,130,479.45,479.45,479.45,479.45,1000000,0
2012-11-12,133,481.675,481.675,481.675,481.675,1000000,0
2012-11-13,134,484.725,484.725,484.725,484.725,1000000,0
2012-11-15,136,493.825,493.825,493.825,493.825,1000000,0
2012-11-16,137,485.25,485.25,485.25,485.25,1000000,0
2012-11-19,140,481.625,481.625,481.625,481.625,1000000,0
2012-11-20,141,493.85,493.85,493.85,493.85,1000000,0
2012-11-21,142,487.75,487.75,487.75,487.75,1000000,0
2012-11-22,143,487.725,487.725,487.725,487.725,1000000,0
2012-11-23,144,489.375,489.375,489.375,489.375,1000000,0
2012-11-26,147,490.225,490.225,490.225,490.225,1000000,0
2012-11-27,148,490.775,490.775,490.775,490.775,1000000,0
2012-11-29,150,496.8,496.8,496.8,496.8,1000000,0
2012-11-30,151,499.8,499.8,499.8,499.8,1000000,0
2012-12-03,154,504.125,504.125,504.125,504.125,1000000,0
2012-12-04,155,503.775,503.775,503.775,503.775,1000000,0
2012-12-05,156,516.65,516.65,516.65,516.65,1000000,0
2012-12-06,157,517.15,517.15,517.15,517.15,1000000,0
2012-12-07,158,526.925,526.925,526.925,526.925,1000000,0
2012-12-10,161,539.0,539.0,539.0,539.0,1000000,0
2012-12-11,162,540.45,540.45,540.45,540.45,1000000,0
2012-12-12,163,528.975,528.975,528.975,528.975,1000000,0
2012-12-13,164,509.95,509.95,509.95,509.95,1000000,0
2012-12-14,165,514.2,514.2,514.2,514.2,1000000,0
2012-12-17,168,502.3,502.3,502.3,502.3,1000000,0
2012-12-18,169,518.35,518.35,518.35,518.35,1000000,0
2012-12-19,170,514.35,514.35,514.35,514.35,1000000,0
2012-12-20,171,520.15,520.15,520.15,520.15,1000000,0
2012-12-21,172,509.1,509.1,509.1,509.1,1000000,0
2012-12-24,175,513.7,513.7,513.7,513.7,1000000,0
2012-12-26,177,513.9,513.9,513.9,513.9,1000000,0
2012-12-27,178,513.85,513.85,513.85,513.85,1000000,0
2012-12-28,179,515.0,515.0,515.0,515.0,1000000,0
2012-12-31,182,514.65,514.65,514.65,514.65,1000000,0
2013-01-01,183,515.15,515.15,515.15,515.15,1000000,0
2013-01-02,184,526.35,526.35,526.35,526.35,1000000,0
2013-01-03,185,532.5,532.5,532.5,532.5,1000000,0
2013-01-04,186,533.0,533.0,533.0,533.0,1000000,0
2013-01-07,189,526.05,526.05,526.05,526.05,1000000,0
2013-01-08,190,514.4,514.4,514.4,514.4,1000000,0
2013-01-09,191,513.15,513.15,513.15,513.15,1000000,0
2013-01-10,192,506.55,506.55,506.55,506.55,1000000,0
2013-01-11,193,500.25,500.25,500.25,500.25,1000000,0
2013-01-14,196,495.25,495.25,495.25,495.25,1000000,0
2013-01-15,197,492.8,492.8,492.8,492.8,1000000,0
2013-01-16,198,486.2,486.2,486.2,486.2,1000000,0
2013-01-17,199,486.55,486.55,486.55,486.55,1000000,0
2013-01-18,200,483.2,483.2,483.2,483.2,1000000,0
2013-01-21,203,480.45,480.45,480.45,480.45,1000000,0
2013-01-22,204,475.4,475.4,475.4,475.4,1000000,0
2013-01-23,205,469.55,469.55,469.55,469.55,1000000,0
2013-01-24,206,459.7,459.7,459.7,459.7,1000000,0
2013-01-25,207,468.8,468.8,468.8,468.8,1000000,0
2013-01-28,210,471.25,471.25,471.25,471.25,1000000,0
2013-01-29,211,487.3,487.3,487.3,487.3,1000000,0
2013-01-30,212,487.55,487.55,487.55,487.55,1000000,0
2013-01-31,213,489.2,489.2,489.2,489.2,1000000,0
2013-02-01,214,480.25,480.25,480.25,480.25,1000000,0
2013-02-04,217,473.3,473.3,473.3,473.3,1000000,0
2013-02-05,218,471.25,471.25,471.25,471.25,1000000,0
2013-02-06,219,470.15,470.15,470.15,470.15,1000000,0
2013-02-07,220,469.95,469.95,469.95,469.95,1000000,0
2013-02-08,221,467.85,467.85,467.85,467.85,1000000,0
2013-02-11,224,469.7,469.7,469.7,469.7,1000000,0
2013-02-12,225,473.35,473.35,473.35,473.35,1000000,0
2013-02-13,226,469.9,469.9,469.9,469.9,1000000,0
2013-02-14,227,473.4,473.4,473.4,473.4,1000000,0
2013-02-15,228,470.9,470.9,470.9,470.9,1000000,0
2013-02-18,231,472.2,472.2,472.2,472.2,1000000,0
2013-02-19,232,488.35,488.35,488.35,488.35,1000000,0
2013-02-20,233,518.3,518.3,518.3,518.3,1000000,0
2013-02-21,234,515.55,515.55,515.55,515.55,1000000,0
2013-02-22,235,510.85,510.85,510.85,510.85,1000000,0
2013-02-25,238,510.75,510.75,510.75,510.75,1000000,0
2013-02-26,239,500.9,500.9,500.9,500.9,1000000,0
2013-02-27,240,500.4,500.4,500.4,500.4,1000000,0
2013-02-28,241,482.05,482.05,482.05,482.05,1000000,0
2013-03-01,242,490.65,490.65,490.65,490.65,1000000,0
2013-03-04,245,476.05,476.05,476.05,476.05,1000000,0
2013-03-05,246,488.7,488.7,488.7,488.7,1000000,0
2013-03-06,247,491.7,491.7,491.7,491.7,1000000,0
2013-03-07,248,491.15,491.15,491.15,491.15,1000000,0
2013-03-08,249,496.55,496.55,496.55,496.55,1000000,0
2013-03-11,252,505.7,505.7,505.7,505.7,1000000,0
2013-03-12,253,505.4,505.4,505.4,505.4,1000000,0
2013-03-13,254,503.55,503.55,503.55,503.55,1000000,0
2013-03-14,255,500.2,500.2,500.2,500.2,1000000,0
2013-03-15,256,500.15,500.15,500.15,500.15,1000000,0
2013-03-18,259,493.9,493.9,493.9,493.9,1000000,0
2013-03-19,260,491.5,491.5,491.5,491.5,1000000,0
2013-03-20,261,490.05,490.05,490.05,490.05,1000000,0
2013-03-21,262,491.45,491.45,491.45,491.45,1000000,0
2013-03-22,263,490.55,490.55,490.55,490.55,1000000,0
2013-03-25,266,482.9,482.9,482.9,482.9,1000000,0
2013-03-26,267,476.15,476.15,476.15,476.15,1000000,0
2013-03-28,269,473.9,473.9,473.9,473.9,1000000,0
2013-04-01,273,485.05,485.05,485.05,485.05,1000000,0
2013-04-02,274,487.9,487.9,487.9,487.9,1000000,0
2013-04-03,275,498.0,498.0,498.0,498.0,1000000,0
2013-04-04,276,492.1,492.1,492.1,492.1,1000000,0
2013-04-05,277,484.2,484.2,484.2,484.2,1000000,0
2013-04-08,280,485.35,485.35,485.35,485.35,1000000,0
2013-04-09,281,480.15,480.15,480.15,480.15,1000000,0
2013-04-10,282,489.1,489.1,489.1,489.1,1000000,0
2013-04-11,283,480.7,480.7,480.7,480.7,1000000,0
2013-04-12,284,481.3,481.3,481.3,481.3,1000000,0
2013-04-15,287,482.65,482.65,482.65,482.65,1000000,0
2013-04-16,288,488.55,488.55,488.55,488.55,1000000,0
2013-04-17,289,481.0,481.0,481.0,481.0,1000000,0
2013-04-18,290,496.0,496.0,496.0,496.0,1000000,0
2013-04-22,294,509.7,509.7,509.7,509.7,1000000,0
2013-04-23,295,500.4,500.4,500.4,500.4,1000000,0
2013-04-25,297,514.5,514.5,514.5,514.5,1000000,0
2013-04-26,298,504.4,504.4,504.4,504.4,1000000,0
2013-04-29,301,519.9,519.9,519.9,519.9,1000000,0
