Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,317.35,317.35,317.35,317.35,1000000,0
2012-07-03,1,314.95,314.95,314.95,314.95,1000000,0
2012-07-04,2,316.85,316.85,316.85,316.85,1000000,0
2012-07-05,3,317.9,317.9,317.9,317.9,1000000,0
2012-07-06,4,316.95,316.95,316.95,316.95,1000000,0
2012-07-09,7,312.6,312.6,312.6,312.6,1000000,0
2012-07-10,8,313.425,313.425,313.425,313.425,1000000,0
2012-07-11,9,311.975,311.975,311.975,311.975,1000000,0
2012-07-12,10,309.925,309.925,309.925,309.925,1000000,0
2012-07-13,11,308.175,308.175,308.175,308.175,1000000,0
2012-07-16,14,310.75,310.75,310.75,310.75,1000000,0
2012-07-17,15,313.9,313.9,313.9,313.9,1000000,0
2012-07-18,16,313.35,313.35,313.35,313.35,1000000,0
2012-07-19,17,312.975,312.975,312.975,312.975,1000000,0
2012-07-20,18,312.475,312.475,312.475,312.475,1000000,0
2012-07-23,21,308.35,308.35,308.35,308.35,1000000,0
2012-07-24,22,304.225,304.225,304.225,304.225,1000000,0
2012-07-25,23,305.625,305.625,305.625,305.625,1000000,0
2012-07-26,24,311.325,311.325,311.325,311.325,1000000,0
2012-07-27,25,316.225,316.225,316.225,316.225,1000000,0
2012-07-30,28,322.75,322.75,322.75,322.75,1000000,0
2012-07-31,29,326.8,326.8,326.8,326.8,1000000,0
2012-08-01,30,329.925,329.925,329.925,329.925,1000000,0
2012-08-02,31,327.95,327.95,327.95,327.95,1000000,0
2012-08-03,32,329.975,329.975,329.975,329.975,1000000,0
2012-08-06,35,335.7,335.7,335.7,335.7,1000000,0
2012-08-07,36,334.85,334.85,334.85,334.85,1000000,0
2012-08-08,37,336.75,336.75,336.75,336.75,1000000,0
2012-08-09,38,338.175,338.175,338.175,338.175,1000000,0
2012-08-10,39,337.725,337.725,337.725,337.725,1000000,0
2012-08-13,42,341.0,341.0,341.0,341.0,1000000,0
2012-08-14,43,333.65,333.65,333.65,333.65,1000000,0
2012-08-16,45,331.225,331.225,331.225,331.225,1000000,0
2012-08-17,46,330.525,330.525,330.525,330.525,1000000,0
2012-08-21,50,332.875,332.875,332.875,332.875,1000000,0
2012-08-22,51,332.1,332.1,332.1,332.1,1000000,0
2012-08-23,52,334.15,334.15,334.15,334.15,1000000,0
2012-08-24,53,332.8,332.8,332.8,332.8,1000000,0
2012-08-27,56,334.975,334.975,334.975,334.975,1000000,0
2012-08-28,57,340.675,340.675,340.675,340.675,1000000,0
2012-08-29,58,338.05,338.05,338.05,338.05,1000000,0
2012-08-30,59,336.025,336.025,336.025,336.025,1000000,0
2012-08-31,60,334.2,334.2,334.2,334.2,1000000,0
2012-09-03,63,333.4,333.4,333.4,333.4,1000000,0
2012-09-04,64,330.85,330.85,330.85,330.85,1000000,0
2012-09-05,65,325.2,325.2,325.2,325.2,1000000,0
2012-09-06,66,325.75,325.75,325.75,325.75,1000000,0
2012-09-07,67,332.3,332.3,332.3,332.3,1000000,0
2012-09-10,70,341.775,341.775,341.775,341.775,1000000,0
2012-09-11,71,342.525,342.525,342.525,342.525,1000000,0
2012-09-12,72,340.8,340.8,340.8,340.8,1000000,0
2012-09-13,73,338.3,338.3,338.3,338.3,1000000,0
2012-09-14,74,339.075,339.075,339.075,339.075,1000000,0
2012-09-17,77,336.45,336.45,336.45,336.45,1000000,0
2012-09-18,78,336.9,336.9,336.9,336.9,1000000,0
2012-09-20,80,335.5,335.5,335.5,335.5,1000000,0
2012-09-21,81,334.75,334.75,334.75,334.75,1000000,0
2012-09-24,84,339.725,339.725,339.725,339.725,1000000,0
2012-09-25,85,338.125,338.125,338.125,338.125,1000000,0
2012-09-26,86,337.85,337.85,337.85,337.85,1000000,0
2012-09-27,87,338.725,338.725,338.725,338.725,1000000,0
2012-09-28,88,347.775,347.775,347.775,347.775,1000000,0
2012-10-01,91,346.575,346.575,346.575,346.575,1000000,0
2012-10-03,93,348.85,348.85,348.85,348.85,1000000,0
2012-10-04,94,349.375,349.375,349.375,349.375,1000000,0
2012-10-05,95,341.275,341.275,341.275,341.275,1000000,0
2012-10-08,98,354.325,354.325,354.325,354.325,1000000,0
2012-10-09,99,361.75,361.75,361.75,361.75,1000000,0
2012-10-10,100,360.575,360.575,360.575,360.575,1000000,0
2012-10-11,101,360.025,360.025,360.025,360.025,1000000,0
2012-10-12,102,356.625,356.625,356.625,356.625,1000000,0
2012-10-15,105,357.4,357.4,357.4,357.4,1000000,0
2012-10-16,106,359.1,359.1,359.1,359.1,1000000,0
2012-10-17,107,355.75,355.75,355.75,355.75,1000000,0
2012-10-18,108,349.9,349.9,349.9,349.9,1000000,0
2012-10-19,109,347.4,347.4,347.4,347.4,1000000,0
2012-10-22,112,349.55,349.55,349.55,349.55,1000000,0
2012-10-23,113,349.0,349.0,349.0,349.0,1000000,0
2012-10-25,115,347.45,347.45,347.45,347.45,1000000,0
2012-10-26,116,342.4,342.4,342.4,342.4,1000000,0
2012-10-29,119,343.9,343.9,343.9,343.9,1000000,0
2012-10-30,120,341.9,341.9,341.9,341.9,1000000,0
2012-10-31,121,347.075,347.075,347.075,347.075,1000000,0
2012-11-01,122,350.725,350.725,350.725,350.725,1000000,0
2012-11-02,123,348.475,348.475,348.475,348.475,1000000,0
2012-11-05,126,348.95,348.95,348.95,348.95,1000000,0
2012-11-06,127,349.2,349.2,349.2,349.2,1000000,0
2012-11-07,128,350.175,350.175,350.175,350.175,1000000,0
2012-11-08,129,348.275,348.275,348.275,348.275,1000000,0
2012-11-09,130,347.1,347.1,347.1,347.1,1000000,0
2012-11-12,133,345.975,345.975,345.975,345.975,1000000,0
2012-11-13,134,344.3,344.3,344.3,344.3,1000000,0
2012-11-15,136,342.1,342.1,342.1,342.1,1000000,0
2012-11-16,137,339.5,339.5,339.5,339.5,1000000,0
2012-11-19,140,340.225,340.225,340.225,340.225,1000000,0
2012-11-20,141,341.55,341.55,341.55,341.55,1000000,0
2012-11-21,142,350.225,350.225,350.225,350.225,1000000,0
2012-11-22,143,349.6,349.6,349.6,349.6,1000000,0
2012-11-23,144,352.65,352.65,352.65,352.65,1000000,0
2012-11-26,147,348.4,348.4,348.4,348.4,1000000,0
2012-11-27,148,349.975,349.975,349.975,349.975,1000000,0
2012-11-29,150,354.975,354.975,354.975,354.975,1000000,0
2012-11-30,151,354.925,354.925,354.925,354.925,1000000,0
2012-12-03,154,352.525,352.525,352.525,352.525,1000000,0
