Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,416.15,416.15,416.15,416.15,1000000,0
2012-07-03,1,420.6,420.6,420.6,420.6,1000000,0
2012-07-04,2,431.05,431.05,431.05,431.05,1000000,0
2012-07-05,3,439.15,439.15,439.15,439.15,1000000,0
2012-07-06,4,449.25,449.25,449.25,449.25,1000000,0
2012-07-09,7,444.6,444.6,444.6,444.6,1000000,0
2012-07-10,8,442.8,442.8,442.8,442.8,1000000,0
2012-07-11,9,447.2,447.2,447.2,447.2,1000000,0
2012-07-12,10,429.0,429.0,429.0,429.0,1000000,0
2012-07-13,11,429.8,429.8,429.8,429.8,1000000,0
2012-07-16,14,425.1,425.1,425.1,425.1,1000000,0
2012-07-17,15,409.0,409.0,409.0,409.0,1000000,0
2012-07-18,16,402.7,402.7,402.7,402.7,1000000,0
2012-07-19,17,410.0,410.0,410.0,410.0,1000000,0
2012-07-20,18,412.75,412.75,412.75,412.75,1000000,0
2012-07-23,21,414.7,414.7,414.7,414.7,1000000,0
2012-07-24,22,411.95,411.95,411.95,411.95,1000000,0
2012-07-25,23,421.4,421.4,421.4,421.4,1000000,0
2012-07-26,24,413.6,413.6,413.6,413.6,1000000,0
2012-07-27,25,409.95,409.95,409.95,409.95,1000000,0
2012-07-30,28,408.65,408.65,408.65,408.65,1000000,0
2012-07-31,29,411.1,411.1,411.1,411.1,1000000,0
2012-08-01,30,401.05,401.05,401.05,401.05,1000000,0
2012-08-02,31,396.45,396.45,396.45,396.45,1000000,0
2012-08-03,32,395.2,395.2,395.2,395.2,1000000,0
2012-08-06,35,391.8,391.8,391.8,391.8,1000000,0
2012-08-07,36,402.3,402.3,402.3,402.3,1000000,0
2012-08-08,37,397.15,397.15,397.15,397.15,1000000,0
2012-08-09,38,398.7,398.7,398.7,398.7,1000000,0
2012-08-10,39,400.95,400.95,400.95,400.95,1000000,0
2012-08-13,42,405.25,405.25,405.25,405.25,1000000,0
2012-08-14,43,406.0,406.0,406.0,406.0,1000000,0
2012-08-16,45,401.6,401.6,401.6,401.6,1000000,0
2012-08-17,46,395.2,395.2,395.2,395.2,1000000,0
2012-08-21,50,397.35,397.35,397.35,397.35,1000000,0
2012-08-22,51,397.0,397.0,397.0,397.0,1000000,0
2012-08-23,52,395.9,395.9,395.9,395.9,1000000,0
2012-08-24,53,398.0,398.0,398.0,398.0,1000000,0
2012-08-27,56,405.15,405.15,405.15,405.15,1000000,0
2012-08-28,57,398.6,398.6,398.6,398.6,1000000,0
2012-08-29,58,399.85,399.85,399.85,399.85,1000000,0
2012-08-30,59,405.9,405.9,405.9,405.9,1000000,0
2012-08-31,60,404.4,404.4,404.4,404.4,1000000,0
2012-09-03,63,405.05,405.05,405.05,405.05,1000000,0
2012-09-04,64,403.0,403.0,403.0,403.0,1000000,0
2012-09-05,65,400.4,400.4,400.4,400.4,1000000,0
2012-09-06,66,401.75,401.75,401.75,401.75,1000000,0
2012-09-07,67,407.0,407.0,407.0,407.0,1000000,0
2012-09-10,70,405.1,405.1,405.1,405.1,1000000,0
2012-09-11,71,409.9,409.9,409.9,409.9,1000000,0
2012-09-12,72,429.35,429.35,429.35,429.35,1000000,0
2012-09-13,73,415.8,415.8,415.8,415.8,1000000,0
2012-09-14,74,416.8,416.8,416.8,416.8,1000000,0
2012-09-17,77,415.95,415.95,415.95,415.95,1000000,0
2012-09-18,78,418.35,418.35,418.35,418.35,1000000,0
2012-09-20,80,417.65,417.65,417.65,417.65,1000000,0
2012-09-21,81,416.1,416.1,416.1,416.1,1000000,0
2012-09-24,84,418.85,418.85,418.85,418.85,1000000,0
2012-09-25,85,424.8,424.8,424.8,424.8,1000000,0
2012-09-26,86,419.0,419.0,419.0,419.0,1000000,0
2012-09-27,87,417.55,417.55,417.55,417.55,1000000,0
2012-09-28,88,422.8,422.8,422.8,422.8,1000000,0
2012-10-01,91,420.2,420.2,420.2,420.2,1000000,0
2012-10-03,93,418.55,418.55,418.55,418.55,1000000,0
2012-10-04,94,419.9,419.9,419.9,419.9,1000000,0
2012-10-05,95,417.9,417.9,417.9,417.9,1000000,0
2012-10-08,98,419.25,419.25,419.25,419.25,1000000,0
2012-10-09,99,416.05,416.05,416.05,416.05,1000000,0
2012-10-10,100,415.95,415.95,415.95,415.95,1000000,0
2012-10-11,101,413.8,413.8,413.8,413.8,1000000,0
2012-10-12,102,417.35,417.35,417.35,417.35,1000000,0
2012-10-15,105,419.35,419.35,419.35,419.35,1000000,0
2012-10-16,106,419.9,419.9,419.9,419.9,1000000,0
2012-10-17,107,434.7,434.7,434.7,434.7,1000000,0
2012-10-18,108,432.65,432.65,432.65,432.65,1000000,0
2012-10-19,109,428.1,428.1,428.1,428.1,1000000,0
2012-10-22,112,432.2,432.2,432.2,432.2,1000000,0
2012-10-23,113,430.8,430.8,430.8,430.8,1000000,0
2012-10-25,115,427.35,427.35,427.35,427.35,1000000,0
2012-10-26,116,440.4,440.4,440.4,440.4,1000000,0
2012-10-29,119,440.4,440.4,440.4,440.4,1000000,0
2012-10-30,120,429.85,429.85,429.85,429.85,1000000,0
2012-10-31,121,429.35,429.35,429.35,429.35,1000000,0
2012-11-01,122,426.9,426.9,426.9,426.9,1000000,0
2012-11-02,123,427.8,427.8,427.8,427.8,1000000,0
2012-11-05,126,424.45,424.45,424.45,424.45,1000000,0
2012-11-06,127,427.4,427.4,427.4,427.4,1000000,0
2012-11-07,128,429.95,429.95,429.95,429.95,1000000,0
2012-11-08,129,426.35,426.35,426.35,426.35,1000000,0
2012-11-09,130,428.85,428.85,428.85,428.85,1000000,0
2012-11-12,133,430.6,430.6,430.6,430.6,1000000,0
2012-11-13,134,446.6,446.6,446.6,446.6,1000000,0
2012-11-15,136,444.85,444.85,444.85,444.85,1000000,0
2012-11-16,137,439.85,439.85,439.85,439.85,1000000,0
2012-11-19,140,431.2,431.2,431.2,431.2,1000000,0
2012-11-20,141,421.45,421.45,421.45,421.45,1000000,0
2012-11-21,142,429.85,429.85,429.85,429.85,1000000,0
2012-11-22,143,430.05,430.05,430.05,430.05,1000000,0
2012-11-23,144,431.9,431.9,431.9,431.9,1000000,0
2012-11-26,147,432.8,432.8,432.8,432.8,1000000,0
2012-11-27,148,430.25,430.25,430.25,430.25,1000000,0
2012-11-29,150,432.6,432.6,432.6,432.6,1000000,0
2012-11-30,151,431.2,431.2,431.2,431.2,1000000,0
2012-12-03,154,446.2,446.2,446.2,446.2,1000000,0
2012-12-04,155,453.7,453.7,453.7,453.7,1000000,0
2012-12-05,156,452.85,452.85,452.85,452.85,1000000,0
2012-12-06,157,480.8,480.8,480.8,480.8,1000000,0
2012-12-07,158,500.05,500.05,500.05,500.05,1000000,0
2012-12-10,161,511.4,511.4,511.4,511.4,1000000,0
2012-12-11,162,502.1,502.1,502.1,502.1,1000000,0
2012-12-12,163,498.2,498.2,498.2,498.2,1000000,0
2012-12-13,164,491.25,491.25,491.25,491.25,1000000,0
2012-12-14,165,487.4,487.4,487.4,487.4,1000000,0
2012-12-17,168,483.35,483.35,483.35,483.35,1000000,0
2012-12-18,169,476.75,476.75,476.75,476.75,1000000,0
2012-12-19,170,488.35,488.35,488.35,488.35,1000000,0
2012-12-20,171,485.85,485.85,485.85,485.85,1000000,0
2012-12-21,172,484.85,484.85,484.85,484.85,1000000,0
2012-12-24,175,484.95,484.95,484.95,484.95,1000000,0
2012-12-26,177,482.15,482.15,482.15,482.15,1000000,0
2012-12-27,178,480.1,480.1,480.1,480.1,1000000,0
2012-12-28,179,478.35,478.35,478.35,478.35,1000000,0
2012-12-31,182,486.3,486.3,486.3,486.3,1000000,0
2013-01-01,183,492.0,492.0,492.0,492.0,1000000,0
2013-01-02,184,497.95,497.95,497.95,497.95,1000000,0
2013-01-03,185,502.95,502.95,502.95,502.95,1000000,0
2013-01-04,186,500.8,500.8,500.8,500.8,1000000,0
2013-01-07,189,489.9,489.9,489.9,489.9,1000000,0
2013-01-08,190,501.2,501.2,501.2,501.2,1000000,0
2013-01-09,191,506.1,506.1,506.1,506.1,1000000,0
2013-01-10,192,505.35,505.35,505.35,505.35,1000000,0
2013-01-11,193,499.0,499.0,499.0,499.0,1000000,0
2013-01-14,196,501.8,501.8,501.8,501.8,1000000,0
2013-01-15,197,499.75,499.75,499.75,499.75,1000000,0
2013-01-16,198,496.85,496.85,496.85,496.85,1000000,0
2013-01-17,199,502.2,502.2,502.2,502.2,1000000,0
2013-01-18,200,498.6,498.6,498.6,498.6,1000000,0
2013-01-21,203,492.5,492.5,492.5,492.5,1000000,0
2013-01-22,204,485.65,485.65,485.65,485.65,1000000,0
2013-01-23,205,481.65,481.65,481.65,481.65,1000000,0
