Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,5.95,5.95,5.95,5.95,1000000,0
2012-07-03,1,6.05,6.05,6.05,6.05,1000000,0
2012-07-04,2,6.65,6.65,6.65,6.65,1000000,0
2012-07-05,3,7.3,7.3,7.3,7.3,1000000,0
2012-07-06,4,7.65,7.65,7.65,7.65,1000000,0
2012-07-09,7,7.25,7.25,7.25,7.25,1000000,0
2012-07-10,8,7.1,7.1,7.1,7.1,1000000,0
2012-07-11,9,7.15,7.15,7.15,7.15,1000000,0
2012-07-12,10,6.95,6.95,6.95,6.95,1000000,0
2012-07-13,11,6.9,6.9,6.9,6.9,1000000,0
2012-07-16,14,6.6,6.6,6.6,6.6,1000000,0
2012-07-17,15,6.25,6.25,6.25,6.25,1000000,0
2012-07-18,16,6.35,6.35,6.35,6.35,1000000,0
2012-07-19,17,6.65,6.65,6.65,6.65,1000000,0
2012-07-20,18,6.5,6.5,6.5,6.5,1000000,0
2012-07-23,21,6.35,6.35,6.35,6.35,1000000,0
2012-07-24,22,6.3,6.3,6.3,6.3,1000000,0
2012-07-25,23,6.2,6.2,6.2,6.2,1000000,0
2012-07-26,24,6.05,6.05,6.05,6.05,1000000,0
2012-07-27,25,5.95,5.95,5.95,5.95,1000000,0
2012-07-30,28,6.1,6.1,6.1,6.1,1000000,0
2012-07-31,29,6.05,6.05,6.05,6.05,1000000,0
2012-08-01,30,6.05,6.05,6.05,6.05,1000000,0
2012-08-02,31,5.95,5.95,5.95,5.95,1000000,0
2012-08-03,32,6.0,6.0,6.0,6.0,1000000,0
2012-08-06,35,6.05,6.05,6.05,6.05,1000000,0
2012-08-07,36,6.1,6.1,6.1,6.1,1000000,0
2012-08-08,37,6.1,6.1,6.1,6.1,1000000,0
2012-08-09,38,5.95,5.95,5.95,5.95,1000000,0
2012-08-10,39,5.9,5.9,5.9,5.9,1000000,0
2012-08-13,42,5.85,5.85,5.85,5.85,1000000,0
2012-08-14,43,5.8,5.8,5.8,5.8,1000000,0
2012-08-16,45,5.8,5.8,5.8,5.8,1000000,0
2012-08-17,46,5.8,5.8,5.8,5.8,1000000,0
2012-08-21,50,5.8,5.8,5.8,5.8,1000000,0
2012-08-22,51,5.8,5.8,5.8,5.8,1000000,0
2012-08-23,52,5.75,5.75,5.75,5.75,1000000,0
2012-08-24,53,5.5,5.5,5.5,5.5,1000000,0
2012-08-27,56,5.45,5.45,5.45,5.45,1000000,0
2012-08-28,57,5.35,5.35,5.35,5.35,1000000,0
2012-08-29,58,5.4,5.4,5.4,5.4,1000000,0
2012-08-30,59,5.45,5.45,5.45,5.45,1000000,0
2012-08-31,60,5.5,5.5,5.5,5.5,1000000,0
2012-09-03,63,5.55,5.55,5.55,5.55,1000000,0
2012-09-04,64,5.5,5.5,5.5,5.5,1000000,0
2012-09-05,65,5.35,5.35,5.35,5.35,1000000,0
2012-09-06,66,5.35,5.35,5.35,5.35,1000000,0
2012-09-07,67,5.4,5.4,5.4,5.4,1000000,0
2012-09-10,70,5.6,5.6,5.6,5.6,1000000,0
2012-09-11,71,5.5,5.5,5.5,5.5,1000000,0
2012-09-12,72,5.65,5.65,5.65,5.65,1000000,0
2012-09-13,73,5.55,5.55,5.55,5.55,1000000,0
2012-09-14,74,5.55,5.55,5.55,5.55,1000000,0
2012-09-17,77,5.75,5.75,5.75,5.75,1000000,0
2012-09-18,78,6.9,6.9,6.9,6.9,1000000,0
2012-09-20,80,6.5,6.5,6.5,6.5,1000000,0
2012-09-21,81,6.6,6.6,6.6,6.6,1000000,0
2012-09-24,84,6.6,6.6,6.6,6.6,1000000,0
2012-09-25,85,6.85,6.85,6.85,6.85,1000000,0
2012-09-26,86,7.15,7.15,7.15,7.15,1000000,0
2012-09-27,87,7.25,7.25,7.25,7.25,1000000,0
2012-09-28,88,7.35,7.35,7.35,7.35,1000000,0
2012-10-01,91,7.35,7.35,7.35,7.35,1000000,0
2012-10-03,93,7.35,7.35,7.35,7.35,1000000,0
2012-10-04,94,7.15,7.15,7.15,7.15,1000000,0
2012-10-05,95,7.0,7.0,7.0,7.0,1000000,0
2012-10-08,98,6.9,6.9,6.9,6.9,1000000,0
2012-10-09,99,6.75,6.75,6.75,6.75,1000000,0
2012-10-10,100,6.55,6.55,6.55,6.55,1000000,0
2012-10-11,101,6.75,6.75,6.75,6.75,1000000,0
2012-10-12,102,6.7,6.7,6.7,6.7,1000000,0
2012-10-15,105,6.6,6.6,6.6,6.6,1000000,0
2012-10-16,106,6.45,6.45,6.45,6.45,1000000,0
2012-10-17,107,6.8,6.8,6.8,6.8,1000000,0
2012-10-18,108,6.7,6.7,6.7,6.7,1000000,0
2012-10-19,109,6.8,6.8,6.8,6.8,1000000,0
2012-10-22,112,6.6,6.6,6.6,6.6,1000000,0
2012-10-23,113,6.45,6.45,6.45,6.45,1000000,0
2012-10-25,115,6.3,6.3,6.3,6.3,1000000,0
2012-10-26,116,6.1,6.1,6.1,6.1,1000000,0
2012-10-29,119,6.45,6.45,6.45,6.45,1000000,0
2012-10-30,120,6.1,6.1,6.1,6.1,1000000,0
2012-10-31,121,6.1,6.1,6.1,6.1,1000000,0
2012-11-01,122,6.1,6.1,6.1,6.1,1000000,0
2012-11-02,123,5.75,5.75,5.75,5.75,1000000,0
2012-11-05,126,5.85,5.85,5.85,5.85,1000000,0
2012-11-06,127,5.85,5.85,5.85,5.85,1000000,0
2012-11-07,128,5.8,5.8,5.8,5.8,1000000,0
2012-11-08,129,5.65,5.65,5.65,5.65,1000000,0
2012-11-09,130,5.65,5.65,5.65,5.65,1000000,0
2012-11-12,133,5.7,5.7,5.7,5.7,1000000,0
2012-11-13,134,5.85,5.85,5.85,5.85,1000000,0
2012-11-15,136,5.8,5.8,5.8,5.8,1000000,0
2012-11-16,137,5.7,5.7,5.7,5.7,1000000,0
2012-11-19,140,5.5,5.5,5.5,5.5,1000000,0
2012-11-20,141,5.45,5.45,5.45,5.45,1000000,0
2012-11-21,142,5.4,5.4,5.4,5.4,1000000,0
2012-11-22,143,5.45,5.45,5.45,5.45,1000000,0
2012-11-23,144,5.45,5.45,5.45,5.45,1000000,0
2012-11-26,147,5.55,5.55,5.55,5.55,1000000,0
2012-11-27,148,5.6,5.6,5.6,5.6,1000000,0
2012-11-29,150,5.75,5.75,5.75,5.75,1000000,0
2012-11-30,151,5.75,5.75,5.75,5.75,1000000,0
2012-12-03,154,5.75,5.75,5.75,5.75,1000000,0
2012-12-04,155,5.8,5.8,5.8,5.8,1000000,0
2012-12-05,156,6.05,6.05,6.05,6.05,1000000,0
2012-12-06,157,6.15,6.15,6.15,6.15,1000000,0
2012-12-07,158,6.0,6.0,6.0,6.0,1000000,0
2012-12-10,161,6.1,6.1,6.1,6.1,1000000,0
2012-12-11,162,6.0,6.0,6.0,6.0,1000000,0
2012-12-12,163,6.05,6.05,6.05,6.05,1000000,0
2012-12-13,164,5.9,5.9,5.9,5.9,1000000,0
2012-12-14,165,5.8,5.8,5.8,5.8,1000000,0
2012-12-17,168,5.8,5.8,5.8,5.8,1000000,0
2012-12-18,169,5.7,5.7,5.7,5.7,1000000,0
2012-12-19,170,6.15,6.15,6.15,6.15,1000000,0
2012-12-20,171,6.15,6.15,6.15,6.15,1000000,0
2012-12-21,172,5.95,5.95,5.95,5.95,1000000,0
2012-12-24,175,5.85,5.85,5.85,5.85,1000000,0
2012-12-26,177,5.75,5.75,5.75,5.75,1000000,0
2012-12-27,178,5.75,5.75,5.75,5.75,1000000,0
2012-12-28,179,5.7,5.7,5.7,5.7,1000000,0
2012-12-31,182,5.7,5.7,5.7,5.7,1000000,0
2013-01-01,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-02,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-03,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-04,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-07,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-08,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-09,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-10,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-11,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-14,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-15,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-16,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-17,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-18,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-21,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-22,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-23,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-24,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-25,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-28,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-29,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-30,183,5.7,5.7,5.7,5.7,1000000,0
2013-01-31,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-01,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-04,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-05,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-06,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-07,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-08,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-11,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-12,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-13,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-14,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-15,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-18,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-19,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-20,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-21,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-22,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-25,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-26,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-27,183,5.7,5.7,5.7,5.7,1000000,0
2013-02-28,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-01,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-04,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-05,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-06,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-07,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-08,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-11,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-12,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-13,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-14,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-15,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-18,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-19,183,5.7,5.7,5.7,5.7,1000000,0
2013-03-20,183,5.7,5.7,5.7,5.7,1000000,0
