Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,63.8,63.8,63.8,63.8,1000000,0
2012-07-03,1,64.4,64.4,64.4,64.4,1000000,0
2012-07-04,2,64.6,64.6,64.6,64.6,1000000,0
2012-07-05,3,64.6,64.6,64.6,64.6,1000000,0
2012-07-06,4,64.75,64.75,64.75,64.75,1000000,0
2012-07-09,7,64.75,64.75,64.75,64.75,1000000,0
2012-07-10,8,64.8,64.8,64.8,64.8,1000000,0
2012-07-11,9,64.85,64.85,64.85,64.85,1000000,0
2012-07-12,10,64.85,64.85,64.85,64.85,1000000,0
2012-07-13,11,64.9,64.9,64.9,64.9,1000000,0
2012-07-16,14,64.9,64.9,64.9,64.9,1000000,0
2012-07-17,15,64.9,64.9,64.9,64.9,1000000,0
2012-07-18,16,64.9,64.9,64.9,64.9,1000000,0
2012-07-19,17,64.9,64.9,64.9,64.9,1000000,0
2012-07-20,18,64.9,64.9,64.9,64.9,1000000,0
2012-07-23,21,64.85,64.85,64.85,64.85,1000000,0
2012-07-24,22,62.35,62.35,62.35,62.35,1000000,0
2012-07-25,23,63.25,63.25,63.25,63.25,1000000,0
2012-07-26,24,62.05,62.05,62.05,62.05,1000000,0
2012-07-27,25,60.3,60.3,60.3,60.3,1000000,0
2012-07-30,28,61.0,61.0,61.0,61.0,1000000,0
2012-07-31,29,61.1,61.1,61.1,61.1,1000000,0
2012-08-01,30,62.55,62.55,62.55,62.55,1000000,0
2012-08-02,31,61.9,61.9,61.9,61.9,1000000,0
2012-08-03,32,61.1,61.1,61.1,61.1,1000000,0
2012-08-06,35,60.8,60.8,60.8,60.8,1000000,0
2012-08-07,36,61.1,61.1,61.1,61.1,1000000,0
2012-08-08,37,60.7,60.7,60.7,60.7,1000000,0
2012-08-09,38,60.4,60.4,60.4,60.4,1000000,0
2012-08-10,39,60.3,60.3,60.3,60.3,1000000,0
2012-08-13,42,60.6,60.6,60.6,60.6,1000000,0
2012-08-14,43,60.65,60.65,60.65,60.65,1000000,0
2012-08-16,45,60.05,60.05,60.05,60.05,1000000,0
2012-08-17,46,59.15,59.15,59.15,59.15,1000000,0
2012-08-21,50,57.9,57.9,57.9,57.9,1000000,0
2012-08-22,51,57.6,57.6,57.6,57.6,1000000,0
2012-08-23,52,57.0,57.0,57.0,57.0,1000000,0
2012-08-24,53,56.1,56.1,56.1,56.1,1000000,0
2012-08-27,56,55.1,55.1,55.1,55.1,1000000,0
2012-08-28,57,54.0,54.0,54.0,54.0,1000000,0
2012-08-29,58,53.05,53.05,53.05,53.05,1000000,0
2012-08-30,59,51.9,51.9,51.9,51.9,1000000,0
2012-08-31,60,58.9,58.9,58.9,58.9,1000000,0
2012-09-03,63,56.15,56.15,56.15,56.15,1000000,0
2012-09-04,64,56.25,56.25,56.25,56.25,1000000,0
2012-09-05,65,57.95,57.95,57.95,57.95,1000000,0
2012-09-06,66,58.65,58.65,58.65,58.65,1000000,0
2012-09-07,67,57.45,57.45,57.45,57.45,1000000,0
2012-09-10,70,56.55,56.55,56.55,56.55,1000000,0
2012-09-11,71,57.65,57.65,57.65,57.65,1000000,0
2012-09-12,72,57.6,57.6,57.6,57.6,1000000,0
2012-09-13,73,57.35,57.35,57.35,57.35,1000000,0
2012-09-14,74,56.55,56.55,56.55,56.55,1000000,0
2012-09-17,77,56.4,56.4,56.4,56.4,1000000,0
2012-09-18,78,56.75,56.75,56.75,56.75,1000000,0
