Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,95.665,95.665,95.665,95.665,1000000,0
2012-07-03,1,95.705,95.705,95.705,95.705,1000000,0
2012-07-04,2,95.46,95.46,95.46,95.46,1000000,0
2012-07-05,3,96.955,96.955,96.955,96.955,1000000,0
2012-07-06,4,94.81,94.81,94.81,94.81,1000000,0
2012-07-09,7,94.275,94.275,94.275,94.275,1000000,0
2012-07-10,8,95.555,95.555,95.555,95.555,1000000,0
2012-07-11,9,94.545,94.545,94.545,94.545,1000000,0
2012-07-12,10,95.4,95.4,95.4,95.4,1000000,0
2012-07-13,11,95.335,95.335,95.335,95.335,1000000,0
2012-07-16,14,94.65,94.65,94.65,94.65,1000000,0
2012-07-17,15,95.745,95.745,95.745,95.745,1000000,0
2012-07-18,16,95.645,95.645,95.645,95.645,1000000,0
2012-07-19,17,95.645,95.645,95.645,95.645,1000000,0
2012-07-20,18,95.4,95.4,95.4,95.4,1000000,0
2012-07-23,21,94.455,94.455,94.455,94.455,1000000,0
2012-07-24,22,94.515,94.515,94.515,94.515,1000000,0
2012-07-25,23,92.875,92.875,92.875,92.875,1000000,0
2012-07-26,24,92.245,92.245,92.245,92.245,1000000,0
2012-07-27,25,91.605,91.605,91.605,91.605,1000000,0
2012-07-30,28,92.59,92.59,92.59,92.59,1000000,0
2012-07-31,29,94.315,94.315,94.315,94.315,1000000,0
2012-08-01,30,94.32,94.32,94.32,94.32,1000000,0
2012-08-02,31,95.24,95.24,95.24,95.24,1000000,0
2012-08-03,32,98.365,98.365,98.365,98.365,1000000,0
2012-08-06,35,97.94,97.94,97.94,97.94,1000000,0
2012-08-07,36,97.99,97.99,97.99,97.99,1000000,0
2012-08-08,37,97.34,97.34,97.34,97.34,1000000,0
2012-08-09,38,97.845,97.845,97.845,97.845,1000000,0
2012-08-10,39,99.525,99.525,99.525,99.525,1000000,0
2012-08-13,42,98.995,98.995,98.995,98.995,1000000,0
2012-08-14,43,99.085,99.085,99.085,99.085,1000000,0
2012-08-16,45,98.025,98.025,98.025,98.025,1000000,0
2012-08-17,46,97.115,97.115,97.115,97.115,1000000,0
2012-08-21,50,97.05,97.05,97.05,97.05,1000000,0
2012-08-22,51,96.37,96.37,96.37,96.37,1000000,0
2012-08-23,52,97.045,97.045,97.045,97.045,1000000,0
2012-08-24,53,96.47,96.47,96.47,96.47,1000000,0
2012-08-27,56,96.835,96.835,96.835,96.835,1000000,0
2012-08-28,57,95.625,95.625,95.625,95.625,1000000,0
2012-08-29,58,95.405,95.405,95.405,95.405,1000000,0
2012-08-30,59,97.175,97.175,97.175,97.175,1000000,0
2012-08-31,60,97.71,97.71,97.71,97.71,1000000,0
2012-09-03,63,97.62,97.62,97.62,97.62,1000000,0
2012-09-04,64,96.71,96.71,96.71,96.71,1000000,0
2012-09-05,65,96.415,96.415,96.415,96.415,1000000,0
2012-09-06,66,96.265,96.265,96.265,96.265,1000000,0
2012-09-07,67,97.935,97.935,97.935,97.935,1000000,0
2012-09-10,70,100.33,100.33,100.33,100.33,1000000,0
2012-09-11,71,99.845,99.845,99.845,99.845,1000000,0
2012-09-12,72,99.31,99.31,99.31,99.31,1000000,0
2012-09-13,73,98.855,98.855,98.855,98.855,1000000,0
2012-09-14,74,98.995,98.995,98.995,98.995,1000000,0
2012-09-17,77,99.04,99.04,99.04,99.04,1000000,0
2012-09-18,78,99.985,99.985,99.985,99.985,1000000,0
2012-09-20,80,98.065,98.065,98.065,98.065,1000000,0
2012-09-21,81,98.43,98.43,98.43,98.43,1000000,0
2012-09-24,84,97.685,97.685,97.685,97.685,1000000,0
2012-09-25,85,96.355,96.355,96.355,96.355,1000000,0
2012-09-26,86,96.545,96.545,96.545,96.545,1000000,0
2012-09-27,87,99.06,99.06,99.06,99.06,1000000,0
2012-09-28,88,100.105,100.105,100.105,100.105,1000000,0
2012-10-01,91,103.275,103.275,103.275,103.275,1000000,0
2012-10-03,93,102.335,102.335,102.335,102.335,1000000,0
2012-10-04,94,101.75,101.75,101.75,101.75,1000000,0
2012-10-05,95,100.165,100.165,100.165,100.165,1000000,0
2012-10-08,98,100.495,100.495,100.495,100.495,1000000,0
2012-10-09,99,101.015,101.015,101.015,101.015,1000000,0
2012-10-10,100,101.5,101.5,101.5,101.5,1000000,0
2012-10-11,101,101.84,101.84,101.84,101.84,1000000,0
2012-10-12,102,101.38,101.38,101.38,101.38,1000000,0
2012-10-15,105,100.54,100.54,100.54,100.54,1000000,0
