Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,235.05,235.05,235.05,235.05,1000000,0
2012-07-03,1,237.5,237.5,237.5,237.5,1000000,0
2012-07-04,2,242.75,242.75,242.75,242.75,1000000,0
2012-07-05,3,240.3,240.3,240.3,240.3,1000000,0
2012-07-06,4,243.45,243.45,243.45,243.45,1000000,0
2012-07-09,7,243.6,243.6,243.6,243.6,1000000,0
2012-07-10,8,248.2,248.2,248.2,248.2,1000000,0
2012-07-11,9,245.45,245.45,245.45,245.45,1000000,0
2012-07-12,10,244.25,244.25,244.25,244.25,1000000,0
2012-07-13,11,244.65,244.65,244.65,244.65,1000000,0
2012-07-16,14,238.7,238.7,238.7,238.7,1000000,0
2012-07-17,15,238.55,238.55,238.55,238.55,1000000,0
2012-07-18,16,251.8,251.8,251.8,251.8,1000000,0
2012-07-19,17,245.75,245.75,245.75,245.75,1000000,0
2012-07-20,18,260.2,260.2,260.2,260.2,1000000,0
2012-07-23,21,257.0,257.0,257.0,257.0,1000000,0
2012-07-24,22,256.5,256.5,256.5,256.5,1000000,0
2012-07-25,23,258.65,258.65,258.65,258.65,1000000,0
2012-07-26,24,253.8,253.8,253.8,253.8,1000000,0
2012-07-27,25,249.45,249.45,249.45,249.45,1000000,0
2012-07-30,28,249.95,249.95,249.95,249.95,1000000,0
2012-07-31,29,246.85,246.85,246.85,246.85,1000000,0
2012-08-01,30,245.0,245.0,245.0,245.0,1000000,0
2012-08-02,31,243.9,243.9,243.9,243.9,1000000,0
2012-08-03,32,244.55,244.55,244.55,244.55,1000000,0
2012-08-06,35,243.15,243.15,243.15,243.15,1000000,0
2012-08-07,36,243.9,243.9,243.9,243.9,1000000,0
2012-08-08,37,239.85,239.85,239.85,239.85,1000000,0
2012-08-09,38,238.95,238.95,238.95,238.95,1000000,0
2012-08-10,39,237.45,237.45,237.45,237.45,1000000,0
2012-08-13,42,237.3,237.3,237.3,237.3,1000000,0
2012-08-14,43,237.0,237.0,237.0,237.0,1000000,0
2012-08-16,45,236.45,236.45,236.45,236.45,1000000,0
2012-08-17,46,234.25,234.25,234.25,234.25,1000000,0
2012-08-21,50,236.55,236.55,236.55,236.55,1000000,0
2012-08-22,51,233.35,233.35,233.35,233.35,1000000,0
2012-08-23,52,234.2,234.2,234.2,234.2,1000000,0
2012-08-24,53,231.6,231.6,231.6,231.6,1000000,0
2012-08-27,56,228.15,228.15,228.15,228.15,1000000,0
2012-08-28,57,227.05,227.05,227.05,227.05,1000000,0
2012-08-29,58,229.1,229.1,229.1,229.1,1000000,0
2012-08-30,59,231.45,231.45,231.45,231.45,1000000,0
2012-08-31,60,229.65,229.65,229.65,229.65,1000000,0
2012-09-03,63,227.8,227.8,227.8,227.8,1000000,0
2012-09-04,64,225.8,225.8,225.8,225.8,1000000,0
2012-09-05,65,224.9,224.9,224.9,224.9,1000000,0
2012-09-06,66,228.5,228.5,228.5,228.5,1000000,0
2012-09-07,67,231.05,231.05,231.05,231.05,1000000,0
2012-09-10,70,232.25,232.25,232.25,232.25,1000000,0
2012-09-11,71,241.15,241.15,241.15,241.15,1000000,0
2012-09-12,72,241.3,241.3,241.3,241.3,1000000,0
