Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,229.15,229.15,229.15,229.15,1,0
2012-07-03,1,226.25,226.25,226.25,226.25,1,0
2012-07-04,2,228.8,228.8,228.8,228.8,1,0
2012-07-05,3,228.5,228.5,228.5,228.5,1,0
2012-07-06,4,227.2,227.2,227.2,227.2,1,0
2012-07-09,7,227.85,227.85,227.85,227.85,1,0
2012-07-10,8,224.9,224.9,224.9,224.9,1,0
2012-07-11,9,219.55,219.55,219.55,219.55,1,0
2012-07-12,10,222.85,222.85,222.85,222.85,1,0
2012-07-13,11,220.3,220.3,220.3,220.3,1,0
2012-07-16,14,222.95,222.95,222.95,222.95,1,0
2012-07-17,15,217.5,217.5,217.5,217.5,1,0
2012-07-18,16,218.1,218.1,218.1,218.1,1,0
2012-07-19,17,215.45,215.45,215.45,215.45,1,0
2012-07-20,18,216.95,216.95,216.95,216.95,1,0
2012-07-23,21,209.05,209.05,209.05,209.05,1,0
2012-07-24,22,209.6,209.6,209.6,209.6,1,0
2012-07-25,23,214.7,214.7,214.7,214.7,1,0
2012-07-26,24,214.3,214.3,214.3,214.3,1,0
2012-07-27,25,218.9,218.9,218.9,218.9,1,0
2012-07-30,28,223.85,223.85,223.85,223.85,1,0
2012-07-31,29,216.15,216.15,216.15,216.15,1,0
2012-08-01,30,224.0,224.0,224.0,224.0,1,0
2012-08-02,31,224.2,224.2,224.2,224.2,1,0
2012-08-03,32,225.85,225.85,225.85,225.85,1,0
2012-08-06,35,231.6,231.6,231.6,231.6,1,0
2012-08-07,36,240.0,240.0,240.0,240.0,1,0
2012-08-08,37,234.8,234.8,234.8,234.8,1,0
2012-08-09,38,235.65,235.65,235.65,235.65,1,0
2012-08-10,39,241.05,241.05,241.05,241.05,1,0
2012-08-13,42,250.8,250.8,250.8,250.8,1,0
2012-08-14,43,247.55,247.55,247.55,247.55,1,0
2012-08-16,45,252.45,252.45,252.45,252.45,1,0
2012-08-17,46,254.2,254.2,254.2,254.2,1,0
2012-08-21,50,256.2,256.2,256.2,256.2,1,0
2012-08-22,51,254.75,254.75,254.75,254.75,1,0
2012-08-23,52,248.4,248.4,248.4,248.4,1,0
2012-08-24,53,247.7,247.7,247.7,247.7,1,0
2012-08-27,56,241.6,241.6,241.6,241.6,1,0
2012-08-28,57,239.25,239.25,239.25,239.25,1,0
2012-08-29,58,234.75,234.75,234.75,234.75,1,0
2012-08-30,59,233.05,233.05,233.05,233.05,1,0
2012-08-31,60,234.35,234.35,234.35,234.35,1,0
2012-09-03,63,236.05,236.05,236.05,236.05,1,0
2012-09-04,64,234.55,234.55,234.55,234.55,1,0
2012-09-05,65,227.9,227.9,227.9,227.9,1,0
2012-09-06,66,225.4,225.4,225.4,225.4,1,0
2012-09-07,67,231.25,231.25,231.25,231.25,1,0
2012-09-10,70,232.4,232.4,232.4,232.4,1,0
2012-09-11,71,229.25,229.25,229.25,229.25,1,0
2012-09-12,72,226.65,226.65,226.65,226.65,1,0
2012-09-13,73,222.45,222.45,222.45,222.45,1,0
2012-09-14,74,221.45,221.45,221.45,221.45,1,0
2012-09-17,77,229.4,229.4,229.4,229.4,1,0
2012-09-18,78,232.0,232.0,232.0,232.0,1,0
2012-09-20,80,230.0,230.0,230.0,230.0,1,0
2012-09-21,81,227.7,227.7,227.7,227.7,1,0
2012-09-24,84,237.05,237.05,237.05,237.05,1,0
2012-09-25,85,234.7,234.7,234.7,234.7,1,0
2012-09-26,86,236.05,236.05,236.05,236.05,1,0
2012-09-27,87,233.85,233.85,233.85,233.85,1,0
2012-09-28,88,234.95,234.95,234.95,234.95,1,0
2012-10-01,91,232.5,232.5,232.5,232.5,1,0
2012-10-03,93,228.45,228.45,228.45,228.45,1,0
2012-10-04,94,225.25,225.25,225.25,225.25,1,0
2012-10-05,95,226.05,226.05,226.05,226.05,1,0
2012-10-08,98,224.0,224.0,224.0,224.0,1,0
2012-10-09,99,223.85,223.85,223.85,223.85,1,0
2012-10-10,100,222.8,222.8,222.8,222.8,1,0
2012-10-11,101,216.9,216.9,216.9,216.9,1,0
2012-10-12,102,214.9,214.9,214.9,214.9,1,0
2012-10-15,105,211.05,211.05,211.05,211.05,1,0
2012-10-16,106,213.55,213.55,213.55,213.55,1,0
2012-10-17,107,209.5,209.5,209.5,209.5,1,0
2012-10-18,108,209.05,209.05,209.05,209.05,1,0
2012-10-19,109,212.05,212.05,212.05,212.05,1,0
2012-10-22,112,214.95,214.95,214.95,214.95,1,0
2012-10-23,113,219.0,219.0,219.0,219.0,1,0
2012-10-25,115,217.75,217.75,217.75,217.75,1,0
2012-10-26,116,215.55,215.55,215.55,215.55,1,0
2012-10-29,119,215.2,215.2,215.2,215.2,1,0
2012-10-30,120,217.0,217.0,217.0,217.0,1,0
2012-10-31,121,215.15,215.15,215.15,215.15,1,0
2012-11-01,122,225.75,225.75,225.75,225.75,1,0
2012-11-02,123,228.3,228.3,228.3,228.3,1,0
2012-11-05,126,227.0,227.0,227.0,227.0,1,0
2012-11-06,127,228.2,228.2,228.2,228.2,1,0
2012-11-07,128,231.85,231.85,231.85,231.85,1,0
2012-11-08,129,228.45,228.45,228.45,228.45,1,0
2012-11-09,130,224.8,224.8,224.8,224.8,1,0
2012-11-12,133,223.85,223.85,223.85,223.85,1,0
2012-11-13,134,225.3,225.3,225.3,225.3,1,0
2012-11-15,136,223.45,223.45,223.45,223.45,1,0
2012-11-16,137,223.05,223.05,223.05,223.05,1,0
2012-11-19,140,220.0,220.0,220.0,220.0,1,0
2012-11-20,141,216.15,216.15,216.15,216.15,1,0
2012-11-21,142,220.7,220.7,220.7,220.7,1,0
2012-11-22,143,216.4,216.4,216.4,216.4,1,0
2012-11-23,144,218.65,218.65,218.65,218.65,1,0
2012-11-26,147,225.55,225.55,225.55,225.55,1,0
2012-11-27,148,230.55,230.55,230.55,230.55,1,0
2012-11-29,150,229.65,229.65,229.65,229.65,1,0
2012-11-30,151,228.95,228.95,228.95,228.95,1,0
2012-12-03,154,233.7,233.7,233.7,233.7,1,0
2012-12-04,155,236.3,236.3,236.3,236.3,1,0
2012-12-05,156,257.7,257.7,257.7,257.7,1,0
2012-12-06,157,264.35,264.35,264.35,264.35,1,0
2012-12-07,158,276.2,276.2,276.2,276.2,1,0
2012-12-10,161,276.8,276.8,276.8,276.8,1,0
2012-12-11,162,270.3,270.3,270.3,270.3,1,0
2012-12-12,163,271.2,271.2,271.2,271.2,1,0
2012-12-13,164,266.7,266.7,266.7,266.7,1,0
2012-12-14,165,273.5,273.5,273.5,273.5,1,0
2012-12-17,168,278.1,278.1,278.1,278.1,1,0
2012-12-18,169,274.65,274.65,274.65,274.65,1,0
2012-12-19,170,274.8,274.8,274.8,274.8,1,0
2012-12-20,171,273.1,273.1,273.1,273.1,1,0
2012-12-21,172,272.45,272.45,272.45,272.45,1,0
2012-12-24,175,276.0,276.0,276.0,276.0,1,0
2012-12-26,177,270.0,270.0,270.0,270.0,1,0
2012-12-27,178,269.85,269.85,269.85,269.85,1,0
2012-12-28,179,269.3,269.3,269.3,269.3,1,0
2012-12-31,182,265.65,265.65,265.65,265.65,1,0
2013-01-01,183,267.65,267.65,267.65,267.65,1,0
2013-01-02,183,267.65,267.65,267.65,267.65,1,0
2013-01-03,183,267.65,267.65,267.65,267.65,1,0
2013-01-04,183,267.65,267.65,267.65,267.65,1,0
2013-01-07,183,267.65,267.65,267.65,267.65,1,0
2013-01-08,183,267.65,267.65,267.65,267.65,1,0
2013-01-09,183,267.65,267.65,267.65,267.65,1,0
2013-01-10,183,267.65,267.65,267.65,267.65,1,0
2013-01-11,183,267.65,267.65,267.65,267.65,1,0
2013-01-14,183,267.65,267.65,267.65,267.65,1,0
2013-01-15,183,267.65,267.65,267.65,267.65,1,0
2013-01-16,183,267.65,267.65,267.65,267.65,1,0
2013-01-17,183,267.65,267.65,267.65,267.65,1,0
2013-01-18,183,267.65,267.65,267.65,267.65,1,0
2013-01-21,183,267.65,267.65,267.65,267.65,1,0
2013-01-22,183,267.65,267.65,267.65,267.65,1,0
2013-01-23,183,267.65,267.65,267.65,267.65,1,0
2013-01-24,183,267.65,267.65,267.65,267.65,1,0
2013-01-25,183,267.65,267.65,267.65,267.65,1,0
2013-01-28,183,267.65,267.65,267.65,267.65,1,0
2013-01-29,183,267.65,267.65,267.65,267.65,1,0
2013-01-30,183,267.65,267.65,267.65,267.65,1,0
2013-01-31,183,267.65,267.65,267.65,267.65,1,0
2013-02-01,183,267.65,267.65,267.65,267.65,1,0
2013-02-04,183,267.65,267.65,267.65,267.65,1,0
2013-02-05,183,267.65,267.65,267.65,267.65,1,0
2013-02-06,183,267.65,267.65,267.65,267.65,1,0
2013-02-07,183,267.65,267.65,267.65,267.65,1,0
2013-02-08,183,267.65,267.65,267.65,267.65,1,0
2013-02-11,183,267.65,267.65,267.65,267.65,1,0
2013-02-12,183,267.65,267.65,267.65,267.65,1,0
2013-02-13,183,267.65,267.65,267.65,267.65,1,0
2013-02-14,183,267.65,267.65,267.65,267.65,1,0
2013-02-15,183,267.65,267.65,267.65,267.65,1,0
2013-02-18,183,267.65,267.65,267.65,267.65,1,0
2013-02-19,183,267.65,267.65,267.65,267.65,1,0
2013-02-20,183,267.65,267.65,267.65,267.65,1,0
2013-02-21,183,267.65,267.65,267.65,267.65,1,0
2013-02-22,183,267.65,267.65,267.65,267.65,1,0
2013-02-25,183,267.65,267.65,267.65,267.65,1,0
2013-02-26,183,267.65,267.65,267.65,267.65,1,0
