Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,46.6,46.6,46.6,46.6,1,0
2012-07-03,1,46.8,46.8,46.8,46.8,1,0
2012-07-04,2,46.2,46.2,46.2,46.2,1,0
2012-07-05,3,46.0,46.0,46.0,46.0,1,0
2012-07-06,4,45.95,45.95,45.95,45.95,1,0
2012-07-09,7,45.85,45.85,45.85,45.85,1,0
2012-07-10,8,45.25,45.25,45.25,45.25,1,0
2012-07-11,9,44.75,44.75,44.75,44.75,1,0
2012-07-12,10,44.95,44.95,44.95,44.95,1,0
2012-07-13,11,44.65,44.65,44.65,44.65,1,0
2012-07-16,14,44.1,44.1,44.1,44.1,1,0
2012-07-17,15,43.8,43.8,43.8,43.8,1,0
2012-07-18,16,43.05,43.05,43.05,43.05,1,0
2012-07-19,17,43.0,43.0,43.0,43.0,1,0
2012-07-20,18,41.7,41.7,41.7,41.7,1,0
2012-07-23,21,42.45,42.45,42.45,42.45,1,0
2012-07-24,22,42.55,42.55,42.55,42.55,1,0
2012-07-25,23,42.0,42.0,42.0,42.0,1,0
2012-07-26,24,42.3,42.3,42.3,42.3,1,0
2012-07-27,25,42.0,42.0,42.0,42.0,1,0
2012-07-30,28,42.5,42.5,42.5,42.5,1,0
2012-07-31,29,44.55,44.55,44.55,44.55,1,0
2012-08-01,30,43.6,43.6,43.6,43.6,1,0
2012-08-02,31,43.7,43.7,43.7,43.7,1,0
2012-08-03,32,43.25,43.25,43.25,43.25,1,0
2012-08-06,35,43.45,43.45,43.45,43.45,1,0
2012-08-07,36,44.5,44.5,44.5,44.5,1,0
2012-08-08,37,43.85,43.85,43.85,43.85,1,0
2012-08-09,38,43.15,43.15,43.15,43.15,1,0
2012-08-10,39,41.9,41.9,41.9,41.9,1,0
2012-08-13,42,41.9,41.9,41.9,41.9,1,0
2012-08-14,43,42.55,42.55,42.55,42.55,1,0
2012-08-16,45,42.35,42.35,42.35,42.35,1,0
