Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,207.0,207.0,207.0,207.0,1,0
2012-07-03,1,207.7,207.7,207.7,207.7,1,0
2012-07-04,2,210.8,210.8,210.8,210.8,1,0
2012-07-05,3,218.0,218.0,218.0,218.0,1,0
2012-07-06,4,213.65,213.65,213.65,213.65,1,0
2012-07-09,7,210.5,210.5,210.5,210.5,1,0
2012-07-10,8,212.7,212.7,212.7,212.7,1,0
2012-07-11,9,213.35,213.35,213.35,213.35,1,0
2012-07-12,10,211.35,211.35,211.35,211.35,1,0
2012-07-13,11,219.35,219.35,219.35,219.35,1,0
2012-07-16,14,228.75,228.75,228.75,228.75,1,0
2012-07-17,15,224.0,224.0,224.0,224.0,1,0
2012-07-18,16,231.85,231.85,231.85,231.85,1,0
2012-07-19,17,222.75,222.75,222.75,222.75,1,0
2012-07-20,18,207.95,207.95,207.95,207.95,1,0
2012-07-23,21,201.9,201.9,201.9,201.9,1,0
2012-07-24,22,202.35,202.35,202.35,202.35,1,0
2012-07-25,23,193.95,193.95,193.95,193.95,1,0
2012-07-26,24,186.9,186.9,186.9,186.9,1,0
2012-07-27,25,185.65,185.65,185.65,185.65,1,0
2012-07-30,28,190.3,190.3,190.3,190.3,1,0
2012-07-31,29,188.55,188.55,188.55,188.55,1,0
2012-08-01,30,191.45,191.45,191.45,191.45,1,0
2012-08-02,31,199.15,199.15,199.15,199.15,1,0
2012-08-03,32,195.7,195.7,195.7,195.7,1,0
2012-08-06,35,202.0,202.0,202.0,202.0,1,0
2012-08-07,36,201.85,201.85,201.85,201.85,1,0
2012-08-08,37,201.65,201.65,201.65,201.65,1,0
2012-08-09,38,198.05,198.05,198.05,198.05,1,0
2012-08-10,39,195.75,195.75,195.75,195.75,1,0
2012-08-13,42,196.95,196.95,196.95,196.95,1,0
2012-08-14,43,197.0,197.0,197.0,197.0,1,0
2012-08-16,45,198.2,198.2,198.2,198.2,1,0
2012-08-17,46,195.25,195.25,195.25,195.25,1,0
2012-08-21,50,195.95,195.95,195.95,195.95,1,0
2012-08-22,51,197.85,197.85,197.85,197.85,1,0
2012-08-23,52,199.1,199.1,199.1,199.1,1,0
2012-08-24,53,196.25,196.25,196.25,196.25,1,0
2012-08-27,56,196.35,196.35,196.35,196.35,1,0
2012-08-28,57,191.75,191.75,191.75,191.75,1,0
2012-08-29,58,188.4,188.4,188.4,188.4,1,0
2012-08-30,59,188.7,188.7,188.7,188.7,1,0
2012-08-31,60,185.75,185.75,185.75,185.75,1,0
2012-09-03,63,186.2,186.2,186.2,186.2,1,0
2012-09-04,64,189.2,189.2,189.2,189.2,1,0
2012-09-05,65,190.8,190.8,190.8,190.8,1,0
2012-09-06,66,196.3,196.3,196.3,196.3,1,0
2012-09-07,67,196.4,196.4,196.4,196.4,1,0
2012-09-10,70,196.7,196.7,196.7,196.7,1,0
2012-09-11,71,204.9,204.9,204.9,204.9,1,0
2012-09-12,72,200.4,200.4,200.4,200.4,1,0
2012-09-13,73,196.6,196.6,196.6,196.6,1,0
2012-09-14,74,196.2,196.2,196.2,196.2,1,0
2012-09-17,77,196.65,196.65,196.65,196.65,1,0
2012-09-18,78,199.15,199.15,199.15,199.15,1,0
2012-09-20,80,197.95,197.95,197.95,197.95,1,0
2012-09-21,81,197.5,197.5,197.5,197.5,1,0
2012-09-24,84,199.15,199.15,199.15,199.15,1,0
2012-09-25,85,200.85,200.85,200.85,200.85,1,0
2012-09-26,86,199.25,199.25,199.25,199.25,1,0
2012-09-27,87,198.1,198.1,198.1,198.1,1,0
2012-09-28,88,197.8,197.8,197.8,197.8,1,0
2012-10-01,91,197.5,197.5,197.5,197.5,1,0
2012-10-03,93,211.45,211.45,211.45,211.45,1,0
2012-10-04,94,214.4,214.4,214.4,214.4,1,0
2012-10-05,95,210.3,210.3,210.3,210.3,1,0
2012-10-08,98,206.25,206.25,206.25,206.25,1,0
2012-10-09,99,214.4,214.4,214.4,214.4,1,0
2012-10-10,100,210.75,210.75,210.75,210.75,1,0
2012-10-11,101,209.7,209.7,209.7,209.7,1,0
2012-10-12,102,207.9,207.9,207.9,207.9,1,0
2012-10-15,105,205.3,205.3,205.3,205.3,1,0
2012-10-16,106,202.3,202.3,202.3,202.3,1,0
2012-10-17,107,200.4,200.4,200.4,200.4,1,0
2012-10-18,108,202.3,202.3,202.3,202.3,1,0
2012-10-19,109,202.55,202.55,202.55,202.55,1,0
2012-10-22,112,199.45,199.45,199.45,199.45,1,0
2012-10-23,113,197.85,197.85,197.85,197.85,1,0
2012-10-25,115,199.35,199.35,199.35,199.35,1,0
2012-10-26,116,198.9,198.9,198.9,198.9,1,0
2012-10-29,119,196.95,196.95,196.95,196.95,1,0
2012-10-30,120,192.95,192.95,192.95,192.95,1,0
2012-10-31,121,193.1,193.1,193.1,193.1,1,0
2012-11-01,122,193.8,193.8,193.8,193.8,1,0
2012-11-02,123,196.35,196.35,196.35,196.35,1,0
2012-11-05,126,200.0,200.0,200.0,200.0,1,0
2012-11-06,127,207.15,207.15,207.15,207.15,1,0
2012-11-07,128,207.15,207.15,207.15,207.15,1,0
2012-11-08,129,209.4,209.4,209.4,209.4,1,0
2012-11-09,130,201.8,201.8,201.8,201.8,1,0
2012-11-12,133,203.7,203.7,203.7,203.7,1,0
2012-11-13,134,202.4,202.4,202.4,202.4,1,0
2012-11-15,136,201.9,201.9,201.9,201.9,1,0
2012-11-16,137,198.9,198.9,198.9,198.9,1,0
2012-11-19,140,198.4,198.4,198.4,198.4,1,0
2012-11-20,141,197.0,197.0,197.0,197.0,1,0
2012-11-21,142,196.1,196.1,196.1,196.1,1,0
2012-11-22,143,193.15,193.15,193.15,193.15,1,0
2012-11-23,144,193.6,193.6,193.6,193.6,1,0
2012-11-26,147,195.1,195.1,195.1,195.1,1,0
2012-11-27,148,195.65,195.65,195.65,195.65,1,0
2012-11-29,150,195.8,195.8,195.8,195.8,1,0
2012-11-30,151,198.35,198.35,198.35,198.35,1,0
2012-12-03,154,197.45,197.45,197.45,197.45,1,0
2012-12-04,155,187.8,187.8,187.8,187.8,1,0
2012-12-05,156,189.7,189.7,189.7,189.7,1,0
2012-12-06,157,190.15,190.15,190.15,190.15,1,0
2012-12-07,158,188.05,188.05,188.05,188.05,1,0
2012-12-10,161,190.15,190.15,190.15,190.15,1,0
2012-12-11,162,189.35,189.35,189.35,189.35,1,0
2012-12-12,163,187.15,187.15,187.15,187.15,1,0
2012-12-13,164,187.55,187.55,187.55,187.55,1,0
2012-12-14,165,187.55,187.55,187.55,187.55,1,0
