Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,63.95,63.95,63.95,63.95,1000000,0
2012-07-03,1,64.5,64.5,64.5,64.5,1000000,0
2012-07-04,2,66.95,66.95,66.95,66.95,1000000,0
2012-07-05,3,67.05,67.05,67.05,67.05,1000000,0
2012-07-06,4,66.0,66.0,66.0,66.0,1000000,0
2012-07-09,7,64.0,64.0,64.0,64.0,1000000,0
2012-07-10,8,65.4,65.4,65.4,65.4,1000000,0
2012-07-11,9,66.9,66.9,66.9,66.9,1000000,0
2012-07-12,10,66.35,66.35,66.35,66.35,1000000,0
2012-07-13,11,65.3,65.3,65.3,65.3,1000000,0
2012-07-16,14,64.9,64.9,64.9,64.9,1000000,0
2012-07-17,15,64.65,64.65,64.65,64.65,1000000,0
2012-07-18,16,64.7,64.7,64.7,64.7,1000000,0
2012-07-19,17,64.6,64.6,64.6,64.6,1000000,0
2012-07-20,18,65.25,65.25,65.25,65.25,1000000,0
2012-07-23,21,64.55,64.55,64.55,64.55,1000000,0
2012-07-24,22,64.45,64.45,64.45,64.45,1000000,0
2012-07-25,23,63.85,63.85,63.85,63.85,1000000,0
2012-07-26,24,62.7,62.7,62.7,62.7,1000000,0
2012-07-27,25,60.95,60.95,60.95,60.95,1000000,0
2012-07-30,28,60.65,60.65,60.65,60.65,1000000,0
2012-07-31,29,60.6,60.6,60.6,60.6,1000000,0
2012-08-01,30,61.0,61.0,61.0,61.0,1000000,0
2012-08-02,31,61.5,61.5,61.5,61.5,1000000,0
2012-08-03,32,59.9,59.9,59.9,59.9,1000000,0
2012-08-06,35,60.2,60.2,60.2,60.2,1000000,0
2012-08-07,36,60.65,60.65,60.65,60.65,1000000,0
2012-08-08,37,60.15,60.15,60.15,60.15,1000000,0
2012-08-09,38,59.55,59.55,59.55,59.55,1000000,0
2012-08-10,39,58.75,58.75,58.75,58.75,1000000,0
2012-08-13,42,58.8,58.8,58.8,58.8,1000000,0
2012-08-14,43,58.2,58.2,58.2,58.2,1000000,0
2012-08-16,45,58.75,58.75,58.75,58.75,1000000,0
2012-08-17,46,58.55,58.55,58.55,58.55,1000000,0
2012-08-21,50,59.35,59.35,59.35,59.35,1000000,0
2012-08-22,51,59.15,59.15,59.15,59.15,1000000,0
2012-08-23,52,59.05,59.05,59.05,59.05,1000000,0
2012-08-24,53,58.45,58.45,58.45,58.45,1000000,0
2012-08-27,56,57.3,57.3,57.3,57.3,1000000,0
2012-08-28,57,56.7,56.7,56.7,56.7,1000000,0
2012-08-29,58,56.2,56.2,56.2,56.2,1000000,0
2012-08-30,59,56.05,56.05,56.05,56.05,1000000,0
2012-08-31,60,55.7,55.7,55.7,55.7,1000000,0
2012-09-03,63,55.7,55.7,55.7,55.7,1000000,0
2012-09-04,64,55.25,55.25,55.25,55.25,1000000,0
2012-09-05,65,56.8,56.8,56.8,56.8,1000000,0
2012-09-06,66,56.95,56.95,56.95,56.95,1000000,0
2012-09-07,67,56.1,56.1,56.1,56.1,1000000,0
2012-09-10,70,57.0,57.0,57.0,57.0,1000000,0
2012-09-11,71,68.4,68.4,68.4,68.4,1000000,0
2012-09-12,72,65.2,65.2,65.2,65.2,1000000,0
2012-09-13,73,65.55,65.55,65.55,65.55,1000000,0
2012-09-14,74,63.9,63.9,63.9,63.9,1000000,0
2012-09-17,77,66.65,66.65,66.65,66.65,1000000,0
2012-09-18,78,67.0,67.0,67.0,67.0,1000000,0
2012-09-20,80,70.35,70.35,70.35,70.35,1000000,0
2012-09-21,81,69.1,69.1,69.1,69.1,1000000,0
2012-09-24,84,67.85,67.85,67.85,67.85,1000000,0
2012-09-25,85,68.6,68.6,68.6,68.6,1000000,0
2012-09-26,86,66.95,66.95,66.95,66.95,1000000,0
2012-09-27,87,66.35,66.35,66.35,66.35,1000000,0
2012-09-28,88,67.05,67.05,67.05,67.05,1000000,0
2012-10-01,91,67.0,67.0,67.0,67.0,1000000,0
2012-10-03,93,66.25,66.25,66.25,66.25,1000000,0
