Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,498.85,498.85,498.85,498.85,1,0
2012-07-03,1,506.9,506.9,506.9,506.9,1,0
2012-07-04,2,502.6,502.6,502.6,502.6,1,0
2012-07-05,3,498.2,498.2,498.2,498.2,1,0
2012-07-06,4,487.1,487.1,487.1,487.1,1,0
2012-07-09,7,485.35,485.35,485.35,485.35,1,0
2012-07-10,8,489.3,489.3,489.3,489.3,1,0
2012-07-11,9,503.2,503.2,503.2,503.2,1,0
2012-07-12,10,497.3,497.3,497.3,497.3,1,0
2012-07-13,11,495.25,495.25,495.25,495.25,1,0
2012-07-16,14,492.6,492.6,492.6,492.6,1,0
2012-07-17,15,489.7,489.7,489.7,489.7,1,0
2012-07-18,16,492.85,492.85,492.85,492.85,1,0
2012-07-19,17,511.35,511.35,511.35,511.35,1,0
2012-07-20,18,519.0,519.0,519.0,519.0,1,0
2012-07-23,21,509.1,509.1,509.1,509.1,1,0
2012-07-24,22,507.2,507.2,507.2,507.2,1,0
2012-07-25,23,512.15,512.15,512.15,512.15,1,0
2012-07-26,24,502.2,502.2,502.2,502.2,1,0
2012-07-27,25,481.1,481.1,481.1,481.1,1,0
2012-07-30,28,486.45,486.45,486.45,486.45,1,0
2012-07-31,29,483.45,483.45,483.45,483.45,1,0
2012-08-01,30,480.0,480.0,480.0,480.0,1,0
2012-08-02,31,490.95,490.95,490.95,490.95,1,0
2012-08-03,32,492.35,492.35,492.35,492.35,1,0
2012-08-06,35,489.55,489.55,489.55,489.55,1,0
2012-08-07,36,507.6,507.6,507.6,507.6,1,0
2012-08-08,37,502.2,502.2,502.2,502.2,1,0
2012-08-09,38,508.2,508.2,508.2,508.2,1,0
2012-08-10,39,500.8,500.8,500.8,500.8,1,0
2012-08-13,42,500.2,500.2,500.2,500.2,1,0
2012-08-14,43,497.05,497.05,497.05,497.05,1,0
2012-08-16,45,493.05,493.05,493.05,493.05,1,0
2012-08-17,46,499.25,499.25,499.25,499.25,1,0
2012-08-21,50,508.75,508.75,508.75,508.75,1,0
2012-08-22,51,497.2,497.2,497.2,497.2,1,0
2012-08-23,52,499.75,499.75,499.75,499.75,1,0
2012-08-24,53,500.0,500.0,500.0,500.0,1,0
2012-08-27,56,499.05,499.05,499.05,499.05,1,0
2012-08-28,57,495.5,495.5,495.5,495.5,1,0
2012-08-29,58,493.25,493.25,493.25,493.25,1,0
2012-08-30,59,485.65,485.65,485.65,485.65,1,0
2012-08-31,60,486.05,486.05,486.05,486.05,1,0
2012-09-03,63,485.35,485.35,485.35,485.35,1,0
2012-09-04,64,489.1,489.1,489.1,489.1,1,0
2012-09-05,65,487.8,487.8,487.8,487.8,1,0
2012-09-06,66,485.35,485.35,485.35,485.35,1,0
2012-09-07,67,497.25,497.25,497.25,497.25,1,0
2012-09-10,70,485.15,485.15,485.15,485.15,1,0
2012-09-11,71,491.8,491.8,491.8,491.8,1,0
2012-09-12,72,494.4,494.4,494.4,494.4,1,0
2012-09-13,73,491.8,491.8,491.8,491.8,1,0
2012-09-14,74,502.6,502.6,502.6,502.6,1,0
2012-09-17,77,510.25,510.25,510.25,510.25,1,0
2012-09-18,78,520.0,520.0,520.0,520.0,1,0
2012-09-20,80,515.75,515.75,515.75,515.75,1,0
2012-09-21,81,555.4,555.4,555.4,555.4,1,0
2012-09-24,84,559.7,559.7,559.7,559.7,1,0
2012-09-25,85,557.3,557.3,557.3,557.3,1,0
2012-09-26,86,567.35,567.35,567.35,567.35,1,0
2012-09-27,87,559.7,559.7,559.7,559.7,1,0
2012-09-28,88,561.45,561.45,561.45,561.45,1,0
2012-10-01,91,560.6,560.6,560.6,560.6,1,0
2012-10-03,93,562.2,562.2,562.2,562.2,1,0
2012-10-04,94,558.9,558.9,558.9,558.9,1,0
2012-10-05,95,579.9,579.9,579.9,579.9,1,0
2012-10-08,98,582.05,582.05,582.05,582.05,1,0
2012-10-09,99,573.95,573.95,573.95,573.95,1,0
2012-10-10,100,562.0,562.0,562.0,562.0,1,0
2012-10-11,101,579.65,579.65,579.65,579.65,1,0
2012-10-12,102,563.75,563.75,563.75,563.75,1,0
2012-10-15,105,565.85,565.85,565.85,565.85,1,0
2012-10-16,106,564.25,564.25,564.25,564.25,1,0
2012-10-17,107,560.9,560.9,560.9,560.9,1,0
2012-10-18,108,565.45,565.45,565.45,565.45,1,0
2012-10-19,109,577.25,577.25,577.25,577.25,1,0
2012-10-22,112,570.45,570.45,570.45,570.45,1,0
2012-10-23,113,567.8,567.8,567.8,567.8,1,0
2012-10-25,115,591.95,591.95,591.95,591.95,1,0
2012-10-26,116,592.1,592.1,592.1,592.1,1,0
2012-10-29,119,586.5,586.5,586.5,586.5,1,0
2012-10-30,120,567.75,567.75,567.75,567.75,1,0
2012-10-31,121,584.85,584.85,584.85,584.85,1,0
2012-11-01,122,582.15,582.15,582.15,582.15,1,0
2012-11-02,123,580.3,580.3,580.3,580.3,1,0
2012-11-05,126,577.5,577.5,577.5,577.5,1,0
2012-11-06,127,573.55,573.55,573.55,573.55,1,0
2012-11-07,128,590.15,590.15,590.15,590.15,1,0
2012-11-08,129,591.4,591.4,591.4,591.4,1,0
2012-11-09,130,595.85,595.85,595.85,595.85,1,0
2012-11-12,133,580.1,580.1,580.1,580.1,1,0
2012-11-13,134,581.05,581.05,581.05,581.05,1,0
2012-11-15,136,579.5,579.5,579.5,579.5,1,0
2012-11-16,137,573.6,573.6,573.6,573.6,1,0
2012-11-19,140,566.1,566.1,566.1,566.1,1,0
2012-11-20,141,559.8,559.8,559.8,559.8,1,0
2012-11-21,142,563.9,563.9,563.9,563.9,1,0
