Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,54.5,54.5,54.5,54.5,1000000,0
2012-07-03,1,54.65,54.65,54.65,54.65,1000000,0
2012-07-04,2,55.0,55.0,55.0,55.0,1000000,0
2012-07-05,3,54.95,54.95,54.95,54.95,1000000,0
2012-07-06,4,55.0,55.0,55.0,55.0,1000000,0
2012-07-09,7,55.05,55.05,55.05,55.05,1000000,0
2012-07-10,8,55.1,55.1,55.1,55.1,1000000,0
2012-07-11,9,55.05,55.05,55.05,55.05,1000000,0
2012-07-12,10,55.1,55.1,55.1,55.1,1000000,0
2012-07-13,11,55.05,55.05,55.05,55.05,1000000,0
2012-07-16,14,55.0,55.0,55.0,55.0,1000000,0
2012-07-17,15,54.9,54.9,54.9,54.9,1000000,0
2012-07-18,16,55.2,55.2,55.2,55.2,1000000,0
2012-07-19,17,55.25,55.25,55.25,55.25,1000000,0
2012-07-20,18,55.25,55.25,55.25,55.25,1000000,0
2012-07-23,21,55.35,55.35,55.35,55.35,1000000,0
2012-07-24,22,55.55,55.55,55.55,55.55,1000000,0
2012-07-25,23,55.35,55.35,55.35,55.35,1000000,0
2012-07-26,24,55.35,55.35,55.35,55.35,1000000,0
2012-07-27,25,55.25,55.25,55.25,55.25,1000000,0
2012-07-30,28,55.65,55.65,55.65,55.65,1000000,0
2012-07-31,29,55.5,55.5,55.5,55.5,1000000,0
2012-08-01,30,55.4,55.4,55.4,55.4,1000000,0
2012-08-02,31,55.35,55.35,55.35,55.35,1000000,0
2012-08-03,32,55.15,55.15,55.15,55.15,1000000,0
2012-08-06,35,55.25,55.25,55.25,55.25,1000000,0
2012-08-07,36,55.45,55.45,55.45,55.45,1000000,0
2012-08-08,37,55.75,55.75,55.75,55.75,1000000,0
2012-08-09,38,55.9,55.9,55.9,55.9,1000000,0
2012-08-10,39,56.0,56.0,56.0,56.0,1000000,0
2012-08-13,42,57.2,57.2,57.2,57.2,1000000,0
2012-08-14,43,57.1,57.1,57.1,57.1,1000000,0
2012-08-16,45,56.95,56.95,56.95,56.95,1000000,0
2012-08-17,46,57.05,57.05,57.05,57.05,1000000,0
2012-08-21,50,54.5,54.5,54.5,54.5,1000000,0
2012-08-22,51,53.15,53.15,53.15,53.15,1000000,0
2012-08-23,52,51.95,51.95,51.95,51.95,1000000,0
2012-08-24,53,50.7,50.7,50.7,50.7,1000000,0
2012-08-27,56,50.55,50.55,50.55,50.55,1000000,0
2012-08-28,57,51.1,51.1,51.1,51.1,1000000,0
2012-08-29,58,50.4,50.4,50.4,50.4,1000000,0
2012-08-30,59,49.75,49.75,49.75,49.75,1000000,0
2012-08-31,60,51.05,51.05,51.05,51.05,1000000,0
2012-09-03,63,48.2,48.2,48.2,48.2,1000000,0
2012-09-04,64,48.75,48.75,48.75,48.75,1000000,0
2012-09-05,65,50.0,50.0,50.0,50.0,1000000,0
2012-09-06,66,54.8,54.8,54.8,54.8,1000000,0
2012-09-07,67,53.4,53.4,53.4,53.4,1000000,0
2012-09-10,70,52.8,52.8,52.8,52.8,1000000,0
2012-09-11,71,54.9,54.9,54.9,54.9,1000000,0
2012-09-12,72,52.85,52.85,52.85,52.85,1000000,0
2012-09-13,73,52.25,52.25,52.25,52.25,1000000,0
2012-09-14,74,52.75,52.75,52.75,52.75,1000000,0
2012-09-17,77,52.1,52.1,52.1,52.1,1000000,0
2012-09-18,78,51.25,51.25,51.25,51.25,1000000,0
2012-09-20,80,52.2,52.2,52.2,52.2,1000000,0
2012-09-21,81,52.15,52.15,52.15,52.15,1000000,0
2012-09-24,84,51.8,51.8,51.8,51.8,1000000,0
2012-09-25,85,51.6,51.6,51.6,51.6,1000000,0
2012-09-26,86,51.95,51.95,51.95,51.95,1000000,0
2012-09-27,87,51.85,51.85,51.85,51.85,1000000,0
2012-09-28,88,51.95,51.95,51.95,51.95,1000000,0
2012-10-01,91,52.15,52.15,52.15,52.15,1000000,0
2012-10-03,93,52.15,52.15,52.15,52.15,1000000,0
2012-10-04,94,52.2,52.2,52.2,52.2,1000000,0
2012-10-05,95,51.95,51.95,51.95,51.95,1000000,0
2012-10-08,98,51.8,51.8,51.8,51.8,1000000,0
2012-10-09,99,51.6,51.6,51.6,51.6,1000000,0
2012-10-10,100,51.05,51.05,51.05,51.05,1000000,0
2012-10-11,101,51.6,51.6,51.6,51.6,1000000,0
2012-10-12,102,51.15,51.15,51.15,51.15,1000000,0
2012-10-15,105,51.2,51.2,51.2,51.2,1000000,0
2012-10-16,106,51.75,51.75,51.75,51.75,1000000,0
2012-10-17,107,52.75,52.75,52.75,52.75,1000000,0
2012-10-18,108,53.05,53.05,53.05,53.05,1000000,0
2012-10-19,109,52.75,52.75,52.75,52.75,1000000,0
2012-10-22,112,52.2,52.2,52.2,52.2,1000000,0
2012-10-23,113,51.95,51.95,51.95,51.95,1000000,0
2012-10-25,115,51.45,51.45,51.45,51.45,1000000,0
2012-10-26,116,51.0,51.0,51.0,51.0,1000000,0
2012-10-29,119,51.45,51.45,51.45,51.45,1000000,0
2012-10-30,120,50.2,50.2,50.2,50.2,1000000,0
2012-10-31,121,50.2,50.2,50.2,50.2,1000000,0
2012-11-01,122,50.2,50.2,50.2,50.2,1000000,0
2012-11-02,123,50.95,50.95,50.95,50.95,1000000,0
2012-11-05,126,52.0,52.0,52.0,52.0,1000000,0
2012-11-06,127,51.9,51.9,51.9,51.9,1000000,0
2012-11-07,128,52.75,52.75,52.75,52.75,1000000,0
2012-11-08,129,52.35,52.35,52.35,52.35,1000000,0
2012-11-09,130,51.9,51.9,51.9,51.9,1000000,0
2012-11-12,133,51.3,51.3,51.3,51.3,1000000,0
2012-11-13,134,51.2,51.2,51.2,51.2,1000000,0
2012-11-15,136,51.15,51.15,51.15,51.15,1000000,0
2012-11-16,137,50.85,50.85,50.85,50.85,1000000,0
2012-11-19,140,52.65,52.65,52.65,52.65,1000000,0
2012-11-20,141,55.05,55.05,55.05,55.05,1000000,0
2012-11-21,142,54.55,54.55,54.55,54.55,1000000,0
2012-11-22,143,53.65,53.65,53.65,53.65,1000000,0
