Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,158.3,158.3,158.3,158.3,1000000,0
2012-07-03,1,155.8,155.8,155.8,155.8,1000000,0
2012-07-04,2,156.65,156.65,156.65,156.65,1000000,0
2012-07-05,3,159.15,159.15,159.15,159.15,1000000,0
2012-07-06,4,156.1,156.1,156.1,156.1,1000000,0
2012-07-09,7,155.25,155.25,155.25,155.25,1000000,0
2012-07-10,8,156.15,156.15,156.15,156.15,1000000,0
2012-07-11,9,154.95,154.95,154.95,154.95,1000000,0
2012-07-12,10,154.95,154.95,154.95,154.95,1000000,0
2012-07-13,11,155.15,155.15,155.15,155.15,1000000,0
2012-07-16,14,156.05,156.05,156.05,156.05,1000000,0
2012-07-17,15,156.0,156.0,156.0,156.0,1000000,0
2012-07-18,16,154.9,154.9,154.9,154.9,1000000,0
2012-07-19,17,155.4,155.4,155.4,155.4,1000000,0
2012-07-20,18,155.05,155.05,155.05,155.05,1000000,0
2012-07-23,21,156.7,156.7,156.7,156.7,1000000,0
2012-07-24,22,157.0,157.0,157.0,157.0,1000000,0
2012-07-25,23,157.6,157.6,157.6,157.6,1000000,0
2012-07-26,24,155.2,155.2,155.2,155.2,1000000,0
2012-07-27,25,158.75,158.75,158.75,158.75,1000000,0
2012-07-30,28,158.65,158.65,158.65,158.65,1000000,0
2012-07-31,29,165.3,165.3,165.3,165.3,1000000,0
2012-08-01,30,169.8,169.8,169.8,169.8,1000000,0
2012-08-02,31,178.75,178.75,178.75,178.75,1000000,0
2012-08-03,32,173.1,173.1,173.1,173.1,1000000,0
2012-08-06,35,175.25,175.25,175.25,175.25,1000000,0
2012-08-07,36,173.5,173.5,173.5,173.5,1000000,0
2012-08-08,37,171.3,171.3,171.3,171.3,1000000,0
2012-08-09,38,171.5,171.5,171.5,171.5,1000000,0
2012-08-10,39,171.1,171.1,171.1,171.1,1000000,0
2012-08-13,42,173.1,173.1,173.1,173.1,1000000,0
2012-08-14,43,174.95,174.95,174.95,174.95,1000000,0
2012-08-16,45,176.8,176.8,176.8,176.8,1000000,0
2012-08-17,46,177.55,177.55,177.55,177.55,1000000,0
2012-08-21,50,180.1,180.1,180.1,180.1,1000000,0
2012-08-22,51,180.15,180.15,180.15,180.15,1000000,0
2012-08-23,52,185.9,185.9,185.9,185.9,1000000,0
2012-08-24,53,189.15,189.15,189.15,189.15,1000000,0
2012-08-27,56,185.45,185.45,185.45,185.45,1000000,0
2012-08-28,57,182.25,182.25,182.25,182.25,1000000,0
2012-08-29,58,179.95,179.95,179.95,179.95,1000000,0
2012-08-30,59,180.1,180.1,180.1,180.1,1000000,0
2012-08-31,60,179.9,179.9,179.9,179.9,1000000,0
2012-09-03,63,183.0,183.0,183.0,183.0,1000000,0
2012-09-04,64,182.5,182.5,182.5,182.5,1000000,0
2012-09-05,65,183.0,183.0,183.0,183.0,1000000,0
2012-09-06,66,182.05,182.05,182.05,182.05,1000000,0
2012-09-07,67,184.75,184.75,184.75,184.75,1000000,0
2012-09-10,70,185.4,185.4,185.4,185.4,1000000,0
2012-09-11,71,182.35,182.35,182.35,182.35,1000000,0
2012-09-12,72,181.3,181.3,181.3,181.3,1000000,0
2012-09-13,73,184.05,184.05,184.05,184.05,1000000,0
2012-09-14,74,182.9,182.9,182.9,182.9,1000000,0
2012-09-17,77,182.5,182.5,182.5,182.5,1000000,0
2012-09-18,78,180.65,180.65,180.65,180.65,1000000,0
2012-09-20,80,177.55,177.55,177.55,177.55,1000000,0
