Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,97.15,97.15,97.15,97.15,1000000,0
2012-07-03,1,95.115,95.115,95.115,95.115,1000000,0
2012-07-04,2,95.73,95.73,95.73,95.73,1000000,0
2012-07-05,3,102.79,102.79,102.79,102.79,1000000,0
2012-07-06,4,105.82,105.82,105.82,105.82,1000000,0
2012-07-09,7,101.48,101.48,101.48,101.48,1000000,0
2012-07-10,8,102.06,102.06,102.06,102.06,1000000,0
2012-07-11,9,101.77,101.77,101.77,101.77,1000000,0
2012-07-12,10,101.1,101.1,101.1,101.1,1000000,0
2012-07-13,11,100.665,100.665,100.665,100.665,1000000,0
2012-07-16,14,102.525,102.525,102.525,102.525,1000000,0
2012-07-17,15,101.42,101.42,101.42,101.42,1000000,0
2012-07-18,16,105.37,105.37,105.37,105.37,1000000,0
2012-07-19,17,105.11,105.11,105.11,105.11,1000000,0
2012-07-20,18,108.08,108.08,108.08,108.08,1000000,0
2012-07-23,21,105.38,105.38,105.38,105.38,1000000,0
2012-07-24,22,104.605,104.605,104.605,104.605,1000000,0
2012-07-25,23,102.76,102.76,102.76,102.76,1000000,0
2012-07-26,24,100.75,100.75,100.75,100.75,1000000,0
2012-07-27,25,98.96,98.96,98.96,98.96,1000000,0
2012-07-30,28,101.185,101.185,101.185,101.185,1000000,0
2012-07-31,29,103.005,103.005,103.005,103.005,1000000,0
2012-08-01,30,104.0,104.0,104.0,104.0,1000000,0
2012-08-02,31,102.285,102.285,102.285,102.285,1000000,0
2012-08-03,32,103.015,103.015,103.015,103.015,1000000,0
2012-08-06,35,102.855,102.855,102.855,102.855,1000000,0
2012-08-07,36,103.155,103.155,103.155,103.155,1000000,0
2012-08-08,37,103.015,103.015,103.015,103.015,1000000,0
2012-08-09,38,105.085,105.085,105.085,105.085,1000000,0
2012-08-10,39,106.245,106.245,106.245,106.245,1000000,0
2012-08-13,42,105.975,105.975,105.975,105.975,1000000,0
2012-08-14,43,104.895,104.895,104.895,104.895,1000000,0
2012-08-16,45,105.83,105.83,105.83,105.83,1000000,0
2012-08-17,46,106.565,106.565,106.565,106.565,1000000,0
2012-08-21,50,108.29,108.29,108.29,108.29,1000000,0
2012-08-22,51,108.08,108.08,108.08,108.08,1000000,0
2012-08-23,52,106.01,106.01,106.01,106.01,1000000,0
2012-08-24,53,105.42,105.42,105.42,105.42,1000000,0
2012-08-27,56,103.88,103.88,103.88,103.88,1000000,0
2012-08-28,57,104.99,104.99,104.99,104.99,1000000,0
2012-08-29,58,102.98,102.98,102.98,102.98,1000000,0
2012-08-30,59,104.015,104.015,104.015,104.015,1000000,0
2012-08-31,60,105.225,105.225,105.225,105.225,1000000,0
2012-09-03,63,103.85,103.85,103.85,103.85,1000000,0
2012-09-04,64,103.945,103.945,103.945,103.945,1000000,0
2012-09-05,65,103.025,103.025,103.025,103.025,1000000,0
2012-09-06,66,102.91,102.91,102.91,102.91,1000000,0
2012-09-07,67,103.52,103.52,103.52,103.52,1000000,0
2012-09-10,70,105.315,105.315,105.315,105.315,1000000,0
2012-09-11,71,105.02,105.02,105.02,105.02,1000000,0
2012-09-12,72,104.81,104.81,104.81,104.81,1000000,0
2012-09-13,73,105.32,105.32,105.32,105.32,1000000,0
2012-09-14,74,108.48,108.48,108.48,108.48,1000000,0
2012-09-17,77,113.55,113.55,113.55,113.55,1000000,0
2012-09-18,78,112.945,112.945,112.945,112.945,1000000,0
2012-09-20,80,109.075,109.075,109.075,109.075,1000000,0
2012-09-21,81,108.925,108.925,108.925,108.925,1000000,0
2012-09-24,84,110.425,110.425,110.425,110.425,1000000,0
2012-09-25,85,113.81,113.81,113.81,113.81,1000000,0
2012-09-26,86,114.43,114.43,114.43,114.43,1000000,0
2012-09-27,87,116.41,116.41,116.41,116.41,1000000,0
2012-09-28,88,117.295,117.295,117.295,117.295,1000000,0
2012-10-01,91,118.69,118.69,118.69,118.69,1000000,0
2012-10-03,93,116.305,116.305,116.305,116.305,1000000,0
2012-10-04,94,115.925,115.925,115.925,115.925,1000000,0
2012-10-05,95,113.98,113.98,113.98,113.98,1000000,0
2012-10-08,98,113.98,113.98,113.98,113.98,1000000,0
2012-10-09,99,113.345,113.345,113.345,113.345,1000000,0
2012-10-10,100,112.38,112.38,112.38,112.38,1000000,0
2012-10-11,101,115.025,115.025,115.025,115.025,1000000,0
2012-10-12,102,114.635,114.635,114.635,114.635,1000000,0
2012-10-15,105,117.15,117.15,117.15,117.15,1000000,0
2012-10-16,106,116.305,116.305,116.305,116.305,1000000,0
2012-10-17,107,114.38,114.38,114.38,114.38,1000000,0
2012-10-18,108,114.23,114.23,114.23,114.23,1000000,0
2012-10-19,109,113.075,113.075,113.075,113.075,1000000,0
2012-10-22,112,114.515,114.515,114.515,114.515,1000000,0
2012-10-23,113,113.825,113.825,113.825,113.825,1000000,0
2012-10-25,115,115.5,115.5,115.5,115.5,1000000,0
2012-10-26,116,112.67,112.67,112.67,112.67,1000000,0
2012-10-29,119,111.695,111.695,111.695,111.695,1000000,0
2012-10-30,120,109.585,109.585,109.585,109.585,1000000,0
2012-10-31,121,111.315,111.315,111.315,111.315,1000000,0
2012-11-01,122,110.835,110.835,110.835,110.835,1000000,0
2012-11-02,123,113.72,113.72,113.72,113.72,1000000,0
2012-11-05,126,114.65,114.65,114.65,114.65,1000000,0
2012-11-06,127,116.35,116.35,116.35,116.35,1000000,0
2012-11-07,128,114.505,114.505,114.505,114.505,1000000,0
2012-11-08,129,115.285,115.285,115.285,115.285,1000000,0
