Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,42.7,42.7,42.7,42.7,1000000,0
2012-07-03,1,45.05,45.05,45.05,45.05,1000000,0
2012-07-04,2,45.05,45.05,45.05,45.05,1000000,0
2012-07-05,3,46.8,46.8,46.8,46.8,1000000,0
2012-07-06,4,47.7,47.7,47.7,47.7,1000000,0
2012-07-09,7,46.0,46.0,46.0,46.0,1000000,0
2012-07-10,8,48.0,48.0,48.0,48.0,1000000,0
2012-07-11,9,48.15,48.15,48.15,48.15,1000000,0
2012-07-12,10,48.1,48.1,48.1,48.1,1000000,0
2012-07-13,11,46.75,46.75,46.75,46.75,1000000,0
2012-07-16,14,47.0,47.0,47.0,47.0,1000000,0
2012-07-17,15,45.45,45.45,45.45,45.45,1000000,0
2012-07-18,16,43.05,43.05,43.05,43.05,1000000,0
2012-07-19,17,43.5,43.5,43.5,43.5,1000000,0
2012-07-20,18,43.9,43.9,43.9,43.9,1000000,0
2012-07-23,21,43.6,43.6,43.6,43.6,1000000,0
2012-07-24,22,45.8,45.8,45.8,45.8,1000000,0
2012-07-25,23,45.25,45.25,45.25,45.25,1000000,0
2012-07-26,24,44.25,44.25,44.25,44.25,1000000,0
2012-07-27,25,43.8,43.8,43.8,43.8,1000000,0
2012-07-30,28,43.25,43.25,43.25,43.25,1000000,0
2012-07-31,29,45.65,45.65,45.65,45.65,1000000,0
2012-08-01,30,45.4,45.4,45.4,45.4,1000000,0
2012-08-02,31,47.05,47.05,47.05,47.05,1000000,0
2012-08-03,32,45.7,45.7,45.7,45.7,1000000,0
2012-08-06,35,47.0,47.0,47.0,47.0,1000000,0
2012-08-07,36,48.1,48.1,48.1,48.1,1000000,0
2012-08-08,37,47.0,47.0,47.0,47.0,1000000,0
2012-08-09,38,46.1,46.1,46.1,46.1,1000000,0
2012-08-10,39,46.7,46.7,46.7,46.7,1000000,0
2012-08-13,42,45.85,45.85,45.85,45.85,1000000,0
2012-08-14,43,44.9,44.9,44.9,44.9,1000000,0
2012-08-16,45,44.05,44.05,44.05,44.05,1000000,0
2012-08-17,46,45.9,45.9,45.9,45.9,1000000,0
2012-08-21,50,46.0,46.0,46.0,46.0,1000000,0
2012-08-22,51,45.35,45.35,45.35,45.35,1000000,0
2012-08-23,52,45.65,45.65,45.65,45.65,1000000,0
2012-08-24,53,44.75,44.75,44.75,44.75,1000000,0
2012-08-27,56,43.15,43.15,43.15,43.15,1000000,0
2012-08-28,57,43.6,43.6,43.6,43.6,1000000,0
2012-08-29,58,43.15,43.15,43.15,43.15,1000000,0
2012-08-30,59,43.1,43.1,43.1,43.1,1000000,0
2012-08-31,60,43.05,43.05,43.05,43.05,1000000,0
2012-09-03,63,42.0,42.0,42.0,42.0,1000000,0
2012-09-04,64,44.3,44.3,44.3,44.3,1000000,0
2012-09-05,65,43.0,43.0,43.0,43.0,1000000,0
2012-09-06,66,42.7,42.7,42.7,42.7,1000000,0
2012-09-07,67,44.2,44.2,44.2,44.2,1000000,0
2012-09-10,70,44.95,44.95,44.95,44.95,1000000,0
2012-09-11,71,44.5,44.5,44.5,44.5,1000000,0
2012-09-12,72,43.8,43.8,43.8,43.8,1000000,0
2012-09-13,73,43.1,43.1,43.1,43.1,1000000,0
2012-09-14,74,43.2,43.2,43.2,43.2,1000000,0
2012-09-17,77,46.3,46.3,46.3,46.3,1000000,0
2012-09-18,78,44.35,44.35,44.35,44.35,1000000,0
2012-09-20,80,46.9,46.9,46.9,46.9,1000000,0
2012-09-21,81,46.1,46.1,46.1,46.1,1000000,0
2012-09-24,84,46.4,46.4,46.4,46.4,1000000,0
2012-09-25,85,47.8,47.8,47.8,47.8,1000000,0
2012-09-26,86,46.35,46.35,46.35,46.35,1000000,0
2012-09-27,87,46.15,46.15,46.15,46.15,1000000,0
2012-09-28,88,46.0,46.0,46.0,46.0,1000000,0
2012-10-01,91,47.3,47.3,47.3,47.3,1000000,0
2012-10-03,93,49.6,49.6,49.6,49.6,1000000,0
2012-10-04,94,49.15,49.15,49.15,49.15,1000000,0
2012-10-05,95,49.7,49.7,49.7,49.7,1000000,0
2012-10-08,98,49.65,49.65,49.65,49.65,1000000,0
2012-10-09,99,49.35,49.35,49.35,49.35,1000000,0
2012-10-10,100,48.55,48.55,48.55,48.55,1000000,0
2012-10-11,101,50.4,50.4,50.4,50.4,1000000,0
2012-10-12,102,49.95,49.95,49.95,49.95,1000000,0
2012-10-15,105,50.0,50.0,50.0,50.0,1000000,0
2012-10-16,106,48.5,48.5,48.5,48.5,1000000,0
2012-10-17,107,48.45,48.45,48.45,48.45,1000000,0
2012-10-18,108,48.4,48.4,48.4,48.4,1000000,0
2012-10-19,109,48.1,48.1,48.1,48.1,1000000,0
2012-10-22,112,47.4,47.4,47.4,47.4,1000000,0
2012-10-23,113,47.75,47.75,47.75,47.75,1000000,0
2012-10-25,115,49.65,49.65,49.65,49.65,1000000,0
2012-10-26,116,48.8,48.8,48.8,48.8,1000000,0
2012-10-29,119,49.7,49.7,49.7,49.7,1000000,0
2012-10-30,120,52.4,52.4,52.4,52.4,1000000,0
2012-10-31,121,55.05,55.05,55.05,55.05,1000000,0
