Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,59.8,59.8,59.8,59.8,1000000,0
2012-07-03,1,61.05,61.05,61.05,61.05,1000000,0
2012-07-04,2,61.6,61.6,61.6,61.6,1000000,0
2012-07-05,3,62.7,62.7,62.7,62.7,1000000,0
2012-07-06,4,62.0,62.0,62.0,62.0,1000000,0
2012-07-09,7,60.45,60.45,60.45,60.45,1000000,0
2012-07-10,8,61.2,61.2,61.2,61.2,1000000,0
2012-07-11,9,61.05,61.05,61.05,61.05,1000000,0
2012-07-12,10,62.05,62.05,62.05,62.05,1000000,0
2012-07-13,11,65.3,65.3,65.3,65.3,1000000,0
2012-07-16,14,67.0,67.0,67.0,67.0,1000000,0
2012-07-17,15,66.3,66.3,66.3,66.3,1000000,0
2012-07-18,16,64.05,64.05,64.05,64.05,1000000,0
2012-07-19,17,64.3,64.3,64.3,64.3,1000000,0
2012-07-20,18,62.15,62.15,62.15,62.15,1000000,0
2012-07-23,21,62.05,62.05,62.05,62.05,1000000,0
2012-07-24,22,61.55,61.55,61.55,61.55,1000000,0
2012-07-25,23,62.0,62.0,62.0,62.0,1000000,0
2012-07-26,24,61.85,61.85,61.85,61.85,1000000,0
2012-07-27,25,61.4,61.4,61.4,61.4,1000000,0
2012-07-30,28,63.3,63.3,63.3,63.3,1000000,0
2012-07-31,29,64.15,64.15,64.15,64.15,1000000,0
2012-08-01,30,66.85,66.85,66.85,66.85,1000000,0
2012-08-02,31,63.65,63.65,63.65,63.65,1000000,0
2012-08-03,32,63.8,63.8,63.8,63.8,1000000,0
2012-08-06,35,63.4,63.4,63.4,63.4,1000000,0
2012-08-07,36,64.0,64.0,64.0,64.0,1000000,0
2012-08-08,37,63.95,63.95,63.95,63.95,1000000,0
2012-08-09,38,63.8,63.8,63.8,63.8,1000000,0
2012-08-10,39,63.8,63.8,63.8,63.8,1000000,0
2012-08-13,42,63.9,63.9,63.9,63.9,1000000,0
2012-08-14,43,63.3,63.3,63.3,63.3,1000000,0
2012-08-16,45,64.25,64.25,64.25,64.25,1000000,0
2012-08-17,46,63.9,63.9,63.9,63.9,1000000,0
2012-08-21,50,66.8,66.8,66.8,66.8,1000000,0
2012-08-22,51,64.8,64.8,64.8,64.8,1000000,0
2012-08-23,52,64.2,64.2,64.2,64.2,1000000,0
2012-08-24,53,63.5,63.5,63.5,63.5,1000000,0
2012-08-27,56,63.65,63.65,63.65,63.65,1000000,0
2012-08-28,57,63.2,63.2,63.2,63.2,1000000,0
2012-08-29,58,63.2,63.2,63.2,63.2,1000000,0
2012-08-30,59,63.75,63.75,63.75,63.75,1000000,0
2012-08-31,60,63.5,63.5,63.5,63.5,1000000,0
2012-09-03,63,63.0,63.0,63.0,63.0,1000000,0
2012-09-04,64,62.05,62.05,62.05,62.05,1000000,0
2012-09-05,65,61.5,61.5,61.5,61.5,1000000,0
2012-09-06,66,60.25,60.25,60.25,60.25,1000000,0
2012-09-07,67,60.05,60.05,60.05,60.05,1000000,0
2012-09-10,70,60.4,60.4,60.4,60.4,1000000,0
2012-09-11,71,59.8,59.8,59.8,59.8,1000000,0
2012-09-12,72,59.8,59.8,59.8,59.8,1000000,0
2012-09-13,73,59.75,59.75,59.75,59.75,1000000,0
2012-09-14,74,59.6,59.6,59.6,59.6,1000000,0
2012-09-17,77,63.0,63.0,63.0,63.0,1000000,0
2012-09-18,78,61.0,61.0,61.0,61.0,1000000,0
2012-09-20,80,58.95,58.95,58.95,58.95,1000000,0
2012-09-21,81,60.05,60.05,60.05,60.05,1000000,0
2012-09-24,84,60.25,60.25,60.25,60.25,1000000,0
2012-09-25,85,60.05,60.05,60.05,60.05,1000000,0
2012-09-26,86,60.4,60.4,60.4,60.4,1000000,0
2012-09-27,87,61.15,61.15,61.15,61.15,1000000,0
2012-09-28,88,62.6,62.6,62.6,62.6,1000000,0
2012-10-01,91,63.1,63.1,63.1,63.1,1000000,0
2012-10-03,93,66.8,66.8,66.8,66.8,1000000,0
2012-10-04,94,65.55,65.55,65.55,65.55,1000000,0
2012-10-05,95,65.0,65.0,65.0,65.0,1000000,0
2012-10-08,98,64.15,64.15,64.15,64.15,1000000,0
2012-10-09,99,64.3,64.3,64.3,64.3,1000000,0
2012-10-10,100,63.15,63.15,63.15,63.15,1000000,0
2012-10-11,101,62.55,62.55,62.55,62.55,1000000,0
2012-10-12,102,62.7,62.7,62.7,62.7,1000000,0
2012-10-15,105,65.2,65.2,65.2,65.2,1000000,0
2012-10-16,106,64.15,64.15,64.15,64.15,1000000,0
2012-10-17,107,63.65,63.65,63.65,63.65,1000000,0
2012-10-18,108,64.25,64.25,64.25,64.25,1000000,0
2012-10-19,109,63.25,63.25,63.25,63.25,1000000,0
2012-10-22,112,64.3,64.3,64.3,64.3,1000000,0
2012-10-23,113,64.6,64.6,64.6,64.6,1000000,0
2012-10-25,115,64.4,64.4,64.4,64.4,1000000,0
2012-10-26,116,65.2,65.2,65.2,65.2,1000000,0
2012-10-29,119,64.5,64.5,64.5,64.5,1000000,0
2012-10-30,120,63.0,63.0,63.0,63.0,1000000,0
2012-10-31,121,63.15,63.15,63.15,63.15,1000000,0
2012-11-01,122,63.45,63.45,63.45,63.45,1000000,0
2012-11-02,123,63.15,63.15,63.15,63.15,1000000,0
2012-11-05,126,63.1,63.1,63.1,63.1,1000000,0
2012-11-06,127,63.25,63.25,63.25,63.25,1000000,0
2012-11-07,128,63.45,63.45,63.45,63.45,1000000,0
2012-11-08,129,63.55,63.55,63.55,63.55,1000000,0
2012-11-09,130,64.55,64.55,64.55,64.55,1000000,0
2012-11-12,133,66.1,66.1,66.1,66.1,1000000,0
