Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,315.5,315.5,315.5,315.5,1,0
2012-07-03,1,317.2,317.2,317.2,317.2,1,0
2012-07-04,2,316.25,316.25,316.25,316.25,1,0
2012-07-05,3,324.4,324.4,324.4,324.4,1,0
2012-07-06,4,321.7,321.7,321.7,321.7,1,0
2012-07-09,7,318.05,318.05,318.05,318.05,1,0
2012-07-10,8,321.65,321.65,321.65,321.65,1,0
2012-07-11,9,320.15,320.15,320.15,320.15,1,0
2012-07-12,10,320.8,320.8,320.8,320.8,1,0
2012-07-13,11,320.8,320.8,320.8,320.8,1,0
2012-07-16,14,319.2,319.2,319.2,319.2,1,0
2012-07-17,15,319.0,319.0,319.0,319.0,1,0
2012-07-18,16,318.0,318.0,318.0,318.0,1,0
2012-07-19,17,318.0,318.0,318.0,318.0,1,0
2012-07-20,18,318.0,318.0,318.0,318.0,1,0
2012-07-23,21,314.25,314.25,314.25,314.25,1,0
2012-07-24,22,316.6,316.6,316.6,316.6,1,0
2012-07-25,23,310.85,310.85,310.85,310.85,1,0
2012-07-26,24,305.45,305.45,305.45,305.45,1,0
2012-07-27,25,305.1,305.1,305.1,305.1,1,0
2012-07-30,28,309.2,309.2,309.2,309.2,1,0
2012-07-31,29,305.9,305.9,305.9,305.9,1,0
2012-08-01,30,310.65,310.65,310.65,310.65,1,0
2012-08-02,31,309.95,309.95,309.95,309.95,1,0
2012-08-03,32,308.85,308.85,308.85,308.85,1,0
2012-08-06,35,310.8,310.8,310.8,310.8,1,0
2012-08-07,36,308.7,308.7,308.7,308.7,1,0
2012-08-08,37,299.25,299.25,299.25,299.25,1,0
2012-08-09,38,302.65,302.65,302.65,302.65,1,0
2012-08-10,39,306.05,306.05,306.05,306.05,1,0
2012-08-13,42,308.25,308.25,308.25,308.25,1,0
2012-08-14,43,310.45,310.45,310.45,310.45,1,0
2012-08-16,45,310.7,310.7,310.7,310.7,1,0
2012-08-17,46,316.1,316.1,316.1,316.1,1,0
2012-08-21,50,312.15,312.15,312.15,312.15,1,0
2012-08-22,51,311.05,311.05,311.05,311.05,1,0
2012-08-23,52,310.0,310.0,310.0,310.0,1,0
2012-08-24,53,314.3,314.3,314.3,314.3,1,0
2012-08-27,56,309.75,309.75,309.75,309.75,1,0
2012-08-28,57,305.2,305.2,305.2,305.2,1,0
2012-08-29,58,305.95,305.95,305.95,305.95,1,0
2012-08-30,59,302.3,302.3,302.3,302.3,1,0
2012-08-31,60,304.9,304.9,304.9,304.9,1,0
2012-09-03,63,304.75,304.75,304.75,304.75,1,0
2012-09-04,64,304.9,304.9,304.9,304.9,1,0
2012-09-05,65,311.0,311.0,311.0,311.0,1,0
2012-09-06,66,313.8,313.8,313.8,313.8,1,0
2012-09-07,67,318.5,318.5,318.5,318.5,1,0
2012-09-10,70,322.85,322.85,322.85,322.85,1,0
2012-09-11,71,324.2,324.2,324.2,324.2,1,0
2012-09-12,72,323.7,323.7,323.7,323.7,1,0
2012-09-13,73,321.45,321.45,321.45,321.45,1,0
2012-09-14,74,319.95,319.95,319.95,319.95,1,0
2012-09-17,77,317.75,317.75,317.75,317.75,1,0
2012-09-18,78,314.5,314.5,314.5,314.5,1,0
2012-09-20,80,315.5,315.5,315.5,315.5,1,0
2012-09-21,81,323.65,323.65,323.65,323.65,1,0
2012-09-24,84,320.25,320.25,320.25,320.25,1,0
2012-09-25,85,318.25,318.25,318.25,318.25,1,0
2012-09-26,86,315.7,315.7,315.7,315.7,1,0
2012-09-27,87,318.5,318.5,318.5,318.5,1,0
2012-09-28,88,320.85,320.85,320.85,320.85,1,0
2012-10-01,91,321.0,321.0,321.0,321.0,1,0
2012-10-03,93,327.0,327.0,327.0,327.0,1,0
2012-10-04,94,326.15,326.15,326.15,326.15,1,0
2012-10-05,95,320.45,320.45,320.45,320.45,1,0
2012-10-08,98,319.95,319.95,319.95,319.95,1,0
2012-10-09,99,318.25,318.25,318.25,318.25,1,0
2012-10-10,100,316.0,316.0,316.0,316.0,1,0
2012-10-11,101,323.15,323.15,323.15,323.15,1,0
2012-10-12,102,325.4,325.4,325.4,325.4,1,0
2012-10-15,105,324.9,324.9,324.9,324.9,1,0
2012-10-16,106,323.9,323.9,323.9,323.9,1,0
2012-10-17,107,325.35,325.35,325.35,325.35,1,0
2012-10-18,108,326.15,326.15,326.15,326.15,1,0
2012-10-19,109,326.9,326.9,326.9,326.9,1,0
2012-10-22,112,326.8,326.8,326.8,326.8,1,0
2012-10-23,113,325.5,325.5,325.5,325.5,1,0
2012-10-25,115,325.05,325.05,325.05,325.05,1,0
2012-10-26,116,324.4,324.4,324.4,324.4,1,0
2012-10-29,119,321.7,321.7,321.7,321.7,1,0
2012-10-30,120,319.3,319.3,319.3,319.3,1,0
2012-10-31,121,316.45,316.45,316.45,316.45,1,0
2012-11-01,122,316.3,316.3,316.3,316.3,1,0
2012-11-02,123,316.75,316.75,316.75,316.75,1,0
2012-11-05,126,318.0,318.0,318.0,318.0,1,0
2012-11-06,127,319.0,319.0,319.0,319.0,1,0
2012-11-07,128,318.35,318.35,318.35,318.35,1,0
2012-11-08,129,318.85,318.85,318.85,318.85,1,0
2012-11-09,130,318.85,318.85,318.85,318.85,1,0
2012-11-12,133,319.5,319.5,319.5,319.5,1,0
2012-11-13,134,320.0,320.0,320.0,320.0,1,0
2012-11-15,136,316.45,316.45,316.45,316.45,1,0
2012-11-16,137,317.25,317.25,317.25,317.25,1,0
2012-11-19,140,312.7,312.7,312.7,312.7,1,0
2012-11-20,141,312.85,312.85,312.85,312.85,1,0
2012-11-21,142,312.55,312.55,312.55,312.55,1,0
2012-11-22,143,311.85,311.85,311.85,311.85,1,0
2012-11-23,144,313.5,313.5,313.5,313.5,1,0
2012-11-26,147,310.9,310.9,310.9,310.9,1,0
2012-11-27,148,310.35,310.35,310.35,310.35,1,0
2012-11-29,150,325.0,325.0,325.0,325.0,1,0
2012-11-30,151,327.2,327.2,327.2,327.2,1,0
2012-12-03,154,334.35,334.35,334.35,334.35,1,0
2012-12-04,155,352.55,352.55,352.55,352.55,1,0
2012-12-05,156,344.95,344.95,344.95,344.95,1,0
2012-12-06,157,350.5,350.5,350.5,350.5,1,0
2012-12-07,158,347.3,347.3,347.3,347.3,1,0
2012-12-10,161,347.4,347.4,347.4,347.4,1,0
2012-12-11,162,341.0,341.0,341.0,341.0,1,0
2012-12-12,163,339.35,339.35,339.35,339.35,1,0
2012-12-13,164,332.9,332.9,332.9,332.9,1,0
2012-12-14,165,337.15,337.15,337.15,337.15,1,0
2012-12-17,168,338.6,338.6,338.6,338.6,1,0
2012-12-18,169,341.05,341.05,341.05,341.05,1,0
2012-12-19,170,348.3,348.3,348.3,348.3,1,0
2012-12-20,171,347.55,347.55,347.55,347.55,1,0
2012-12-21,172,341.05,341.05,341.05,341.05,1,0
2012-12-24,175,339.9,339.9,339.9,339.9,1,0
2012-12-26,177,341.85,341.85,341.85,341.85,1,0
2012-12-27,178,340.3,340.3,340.3,340.3,1,0
2012-12-28,179,349.7,349.7,349.7,349.7,1,0
2012-12-31,182,354.0,354.0,354.0,354.0,1,0
2013-01-01,183,355.65,355.65,355.65,355.65,1,0
2013-01-02,183,355.65,355.65,355.65,355.65,1,0
2013-01-03,183,355.65,355.65,355.65,355.65,1,0
2013-01-04,183,355.65,355.65,355.65,355.65,1,0
2013-01-07,183,355.65,355.65,355.65,355.65,1,0
2013-01-08,183,355.65,355.65,355.65,355.65,1,0
2013-01-09,183,355.65,355.65,355.65,355.65,1,0
2013-01-10,183,355.65,355.65,355.65,355.65,1,0
2013-01-11,183,355.65,355.65,355.65,355.65,1,0
2013-01-14,183,355.65,355.65,355.65,355.65,1,0
2013-01-15,183,355.65,355.65,355.65,355.65,1,0
2013-01-16,183,355.65,355.65,355.65,355.65,1,0
2013-01-17,183,355.65,355.65,355.65,355.65,1,0
2013-01-18,183,355.65,355.65,355.65,355.65,1,0
2013-01-21,183,355.65,355.65,355.65,355.65,1,0
2013-01-22,183,355.65,355.65,355.65,355.65,1,0
2013-01-23,183,355.65,355.65,355.65,355.65,1,0
2013-01-24,183,355.65,355.65,355.65,355.65,1,0
2013-01-25,183,355.65,355.65,355.65,355.65,1,0
2013-01-28,183,355.65,355.65,355.65,355.65,1,0
2013-01-29,183,355.65,355.65,355.65,355.65,1,0
2013-01-30,183,355.65,355.65,355.65,355.65,1,0
2013-01-31,183,355.65,355.65,355.65,355.65,1,0
2013-02-01,183,355.65,355.65,355.65,355.65,1,0
2013-02-04,183,355.65,355.65,355.65,355.65,1,0
2013-02-05,183,355.65,355.65,355.65,355.65,1,0
2013-02-06,183,355.65,355.65,355.65,355.65,1,0
2013-02-07,183,355.65,355.65,355.65,355.65,1,0
2013-02-08,183,355.65,355.65,355.65,355.65,1,0
2013-02-11,183,355.65,355.65,355.65,355.65,1,0
2013-02-12,183,355.65,355.65,355.65,355.65,1,0
2013-02-13,183,355.65,355.65,355.65,355.65,1,0
2013-02-14,183,355.65,355.65,355.65,355.65,1,0
2013-02-15,183,355.65,355.65,355.65,355.65,1,0
2013-02-18,183,355.65,355.65,355.65,355.65,1,0
2013-02-19,183,355.65,355.65,355.65,355.65,1,0
2013-02-20,183,355.65,355.65,355.65,355.65,1,0
2013-02-21,183,355.65,355.65,355.65,355.65,1,0
2013-02-22,183,355.65,355.65,355.65,355.65,1,0
2013-02-25,183,355.65,355.65,355.65,355.65,1,0
2013-02-26,183,355.65,355.65,355.65,355.65,1,0
2013-02-27,183,355.65,355.65,355.65,355.65,1,0
