Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,35.6,35.6,35.6,35.6,1000000,0
2012-07-03,1,35.05,35.05,35.05,35.05,1000000,0
2012-07-04,2,35.4,35.4,35.4,35.4,1000000,0
2012-07-05,3,37.0,37.0,37.0,37.0,1000000,0
2012-07-06,4,36.65,36.65,36.65,36.65,1000000,0
2012-07-09,7,39.5,39.5,39.5,39.5,1000000,0
2012-07-10,8,39.8,39.8,39.8,39.8,1000000,0
2012-07-11,9,41.1,41.1,41.1,41.1,1000000,0
2012-07-12,10,40.75,40.75,40.75,40.75,1000000,0
2012-07-13,11,41.45,41.45,41.45,41.45,1000000,0
2012-07-16,14,40.15,40.15,40.15,40.15,1000000,0
2012-07-17,15,39.2,39.2,39.2,39.2,1000000,0
2012-07-18,16,40.1,40.1,40.1,40.1,1000000,0
2012-07-19,17,39.65,39.65,39.65,39.65,1000000,0
2012-07-20,18,40.0,40.0,40.0,40.0,1000000,0
2012-07-23,21,39.0,39.0,39.0,39.0,1000000,0
2012-07-24,22,39.0,39.0,39.0,39.0,1000000,0
2012-07-25,23,37.95,37.95,37.95,37.95,1000000,0
2012-07-26,24,38.05,38.05,38.05,38.05,1000000,0
2012-07-27,25,37.75,37.75,37.75,37.75,1000000,0
2012-07-30,28,38.4,38.4,38.4,38.4,1000000,0
2012-07-31,29,37.9,37.9,37.9,37.9,1000000,0
2012-08-01,30,38.65,38.65,38.65,38.65,1000000,0
2012-08-02,31,38.1,38.1,38.1,38.1,1000000,0
2012-08-03,32,37.75,37.75,37.75,37.75,1000000,0
2012-08-06,35,38.55,38.55,38.55,38.55,1000000,0
2012-08-07,36,39.0,39.0,39.0,39.0,1000000,0
2012-08-08,37,38.35,38.35,38.35,38.35,1000000,0
2012-08-09,38,39.15,39.15,39.15,39.15,1000000,0
2012-08-10,39,39.35,39.35,39.35,39.35,1000000,0
2012-08-13,42,39.8,39.8,39.8,39.8,1000000,0
2012-08-14,43,40.35,40.35,40.35,40.35,1000000,0
2012-08-16,45,40.45,40.45,40.45,40.45,1000000,0
2012-08-17,46,39.95,39.95,39.95,39.95,1000000,0
2012-08-21,50,39.9,39.9,39.9,39.9,1000000,0
2012-08-22,51,39.4,39.4,39.4,39.4,1000000,0
2012-08-23,52,38.95,38.95,38.95,38.95,1000000,0
2012-08-24,53,40.4,40.4,40.4,40.4,1000000,0
2012-08-27,56,39.75,39.75,39.75,39.75,1000000,0
2012-08-28,57,38.9,38.9,38.9,38.9,1000000,0
2012-08-29,58,38.2,38.2,38.2,38.2,1000000,0
2012-08-30,59,39.6,39.6,39.6,39.6,1000000,0
2012-08-31,60,38.7,38.7,38.7,38.7,1000000,0
2012-09-03,63,36.65,36.65,36.65,36.65,1000000,0
2012-09-04,64,37.65,37.65,37.65,37.65,1000000,0
2012-09-05,65,37.65,37.65,37.65,37.65,1000000,0
2012-09-06,66,38.0,38.0,38.0,38.0,1000000,0
2012-09-07,67,37.75,37.75,37.75,37.75,1000000,0
2012-09-10,70,37.7,37.7,37.7,37.7,1000000,0
2012-09-11,71,37.75,37.75,37.75,37.75,1000000,0
2012-09-12,72,37.75,37.75,37.75,37.75,1000000,0
2012-09-13,73,38.65,38.65,38.65,38.65,1000000,0
2012-09-14,74,39.95,39.95,39.95,39.95,1000000,0
2012-09-17,77,40.05,40.05,40.05,40.05,1000000,0
2012-09-18,78,41.75,41.75,41.75,41.75,1000000,0
2012-09-20,80,42.6,42.6,42.6,42.6,1000000,0
2012-09-21,81,42.7,42.7,42.7,42.7,1000000,0
2012-09-24,84,42.75,42.75,42.75,42.75,1000000,0
2012-09-25,85,43.0,43.0,43.0,43.0,1000000,0
2012-09-26,86,42.5,42.5,42.5,42.5,1000000,0
2012-09-27,87,42.0,42.0,42.0,42.0,1000000,0
2012-09-28,88,42.3,42.3,42.3,42.3,1000000,0
2012-10-01,91,44.35,44.35,44.35,44.35,1000000,0
2012-10-03,93,44.85,44.85,44.85,44.85,1000000,0
2012-10-04,94,46.1,46.1,46.1,46.1,1000000,0
2012-10-05,95,45.3,45.3,45.3,45.3,1000000,0
2012-10-08,98,44.4,44.4,44.4,44.4,1000000,0
2012-10-09,99,43.1,43.1,43.1,43.1,1000000,0
2012-10-10,100,41.4,41.4,41.4,41.4,1000000,0
2012-10-11,101,41.0,41.0,41.0,41.0,1000000,0
2012-10-12,102,41.65,41.65,41.65,41.65,1000000,0
2012-10-15,105,41.85,41.85,41.85,41.85,1000000,0
2012-10-16,106,40.5,40.5,40.5,40.5,1000000,0
2012-10-17,107,40.9,40.9,40.9,40.9,1000000,0
2012-10-18,108,41.05,41.05,41.05,41.05,1000000,0
2012-10-19,109,42.7,42.7,42.7,42.7,1000000,0
2012-10-22,112,41.7,41.7,41.7,41.7,1000000,0
2012-10-23,113,40.95,40.95,40.95,40.95,1000000,0
2012-10-25,115,40.3,40.3,40.3,40.3,1000000,0
2012-10-26,116,41.25,41.25,41.25,41.25,1000000,0
2012-10-29,119,41.1,41.1,41.1,41.1,1000000,0
