Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,63.6,63.6,63.6,63.6,1000000,0
2012-07-03,1,64.35,64.35,64.35,64.35,1000000,0
2012-07-04,2,63.85,63.85,63.85,63.85,1000000,0
2012-07-05,3,65.15,65.15,65.15,65.15,1000000,0
2012-07-06,4,66.15,66.15,66.15,66.15,1000000,0
2012-07-09,7,64.0,64.0,64.0,64.0,1000000,0
2012-07-10,8,63.75,63.75,63.75,63.75,1000000,0
2012-07-11,9,63.35,63.35,63.35,63.35,1000000,0
2012-07-12,10,62.3,62.3,62.3,62.3,1000000,0
2012-07-13,11,63.45,63.45,63.45,63.45,1000000,0
2012-07-16,14,61.95,61.95,61.95,61.95,1000000,0
2012-07-17,15,60.6,60.6,60.6,60.6,1000000,0
2012-07-18,16,60.1,60.1,60.1,60.1,1000000,0
2012-07-19,17,59.9,59.9,59.9,59.9,1000000,0
2012-07-20,18,60.8,60.8,60.8,60.8,1000000,0
2012-07-23,21,59.05,59.05,59.05,59.05,1000000,0
2012-07-24,22,58.85,58.85,58.85,58.85,1000000,0
2012-07-25,23,58.95,58.95,58.95,58.95,1000000,0
2012-07-26,24,58.15,58.15,58.15,58.15,1000000,0
2012-07-27,25,56.95,56.95,56.95,56.95,1000000,0
2012-07-30,28,59.3,59.3,59.3,59.3,1000000,0
2012-07-31,29,59.9,59.9,59.9,59.9,1000000,0
2012-08-01,30,64.7,64.7,64.7,64.7,1000000,0
2012-08-02,31,64.8,64.8,64.8,64.8,1000000,0
2012-08-03,32,64.4,64.4,64.4,64.4,1000000,0
2012-08-06,35,62.0,62.0,62.0,62.0,1000000,0
2012-08-07,36,61.6,61.6,61.6,61.6,1000000,0
2012-08-08,37,60.75,60.75,60.75,60.75,1000000,0
2012-08-09,38,63.65,63.65,63.65,63.65,1000000,0
2012-08-10,39,62.4,62.4,62.4,62.4,1000000,0
2012-08-13,42,61.15,61.15,61.15,61.15,1000000,0
2012-08-14,43,61.0,61.0,61.0,61.0,1000000,0
2012-08-16,45,60.75,60.75,60.75,60.75,1000000,0
2012-08-17,46,60.8,60.8,60.8,60.8,1000000,0
2012-08-21,50,63.4,63.4,63.4,63.4,1000000,0
2012-08-22,51,63.0,63.0,63.0,63.0,1000000,0
2012-08-23,52,60.8,60.8,60.8,60.8,1000000,0
2012-08-24,53,60.3,60.3,60.3,60.3,1000000,0
2012-08-27,56,59.85,59.85,59.85,59.85,1000000,0
2012-08-28,57,59.45,59.45,59.45,59.45,1000000,0
2012-08-29,58,59.8,59.8,59.8,59.8,1000000,0
2012-08-30,59,59.35,59.35,59.35,59.35,1000000,0
2012-08-31,60,59.05,59.05,59.05,59.05,1000000,0
2012-09-03,63,58.55,58.55,58.55,58.55,1000000,0
2012-09-04,64,59.25,59.25,59.25,59.25,1000000,0
2012-09-05,65,59.15,59.15,59.15,59.15,1000000,0
2012-09-06,66,59.75,59.75,59.75,59.75,1000000,0
2012-09-07,67,60.05,60.05,60.05,60.05,1000000,0
2012-09-10,70,59.75,59.75,59.75,59.75,1000000,0
2012-09-11,71,60.0,60.0,60.0,60.0,1000000,0
2012-09-12,72,61.4,61.4,61.4,61.4,1000000,0
2012-09-13,73,62.45,62.45,62.45,62.45,1000000,0
2012-09-14,74,61.4,61.4,61.4,61.4,1000000,0
2012-09-17,77,62.65,62.65,62.65,62.65,1000000,0
2012-09-18,78,62.4,62.4,62.4,62.4,1000000,0
2012-09-20,80,60.6,60.6,60.6,60.6,1000000,0
2012-09-21,81,63.2,63.2,63.2,63.2,1000000,0
2012-09-24,84,67.5,67.5,67.5,67.5,1000000,0
2012-09-25,85,67.8,67.8,67.8,67.8,1000000,0
2012-09-26,86,66.9,66.9,66.9,66.9,1000000,0
2012-09-27,87,68.6,68.6,68.6,68.6,1000000,0
2012-09-28,88,72.25,72.25,72.25,72.25,1000000,0
2012-10-01,91,74.25,74.25,74.25,74.25,1000000,0
2012-10-03,93,73.6,73.6,73.6,73.6,1000000,0
2012-10-04,94,71.7,71.7,71.7,71.7,1000000,0
2012-10-05,95,70.3,70.3,70.3,70.3,1000000,0
2012-10-08,98,72.05,72.05,72.05,72.05,1000000,0
2012-10-09,99,71.8,71.8,71.8,71.8,1000000,0
2012-10-10,100,69.3,69.3,69.3,69.3,1000000,0
2012-10-11,101,70.3,70.3,70.3,70.3,1000000,0
2012-10-12,102,69.5,69.5,69.5,69.5,1000000,0
2012-10-15,105,69.5,69.5,69.5,69.5,1000000,0
2012-10-16,106,68.85,68.85,68.85,68.85,1000000,0
2012-10-17,107,73.7,73.7,73.7,73.7,1000000,0
2012-10-18,108,74.0,74.0,74.0,74.0,1000000,0
2012-10-19,109,78.7,78.7,78.7,78.7,1000000,0
2012-10-22,112,77.8,77.8,77.8,77.8,1000000,0
2012-10-23,113,77.3,77.3,77.3,77.3,1000000,0
2012-10-25,115,77.1,77.1,77.1,77.1,1000000,0
2012-10-26,116,75.4,75.4,75.4,75.4,1000000,0
2012-10-29,119,75.0,75.0,75.0,75.0,1000000,0
2012-10-30,120,73.2,73.2,73.2,73.2,1000000,0
2012-10-31,121,83.8,83.8,83.8,83.8,1000000,0
2012-11-01,122,80.95,80.95,80.95,80.95,1000000,0
2012-11-02,123,78.85,78.85,78.85,78.85,1000000,0
