Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,82.0,82.0,82.0,82.0,1000000,0
2012-07-03,1,81.7,81.7,81.7,81.7,1000000,0
2012-07-04,2,81.5,81.5,81.5,81.5,1000000,0
2012-07-05,3,82.95,82.95,82.95,82.95,1000000,0
2012-07-06,4,81.9,81.9,81.9,81.9,1000000,0
2012-07-09,7,79.45,79.45,79.45,79.45,1000000,0
2012-07-10,8,81.05,81.05,81.05,81.05,1000000,0
2012-07-11,9,80.25,80.25,80.25,80.25,1000000,0
2012-07-12,10,78.95,78.95,78.95,78.95,1000000,0
2012-07-13,11,79.15,79.15,79.15,79.15,1000000,0
2012-07-16,14,78.45,78.45,78.45,78.45,1000000,0
2012-07-17,15,77.15,77.15,77.15,77.15,1000000,0
2012-07-18,16,77.5,77.5,77.5,77.5,1000000,0
2012-07-19,17,77.3,77.3,77.3,77.3,1000000,0
2012-07-20,18,75.95,75.95,75.95,75.95,1000000,0
2012-07-23,21,74.15,74.15,74.15,74.15,1000000,0
2012-07-24,22,74.8,74.8,74.8,74.8,1000000,0
2012-07-25,23,74.65,74.65,74.65,74.65,1000000,0
2012-07-26,24,69.65,69.65,69.65,69.65,1000000,0
2012-07-27,25,67.3,67.3,67.3,67.3,1000000,0
2012-07-30,28,69.95,69.95,69.95,69.95,1000000,0
2012-07-31,29,69.65,69.65,69.65,69.65,1000000,0
2012-08-01,30,70.7,70.7,70.7,70.7,1000000,0
2012-08-02,31,69.65,69.65,69.65,69.65,1000000,0
2012-08-03,32,70.1,70.1,70.1,70.1,1000000,0
2012-08-06,35,70.3,70.3,70.3,70.3,1000000,0
2012-08-07,36,70.3,70.3,70.3,70.3,1000000,0
2012-08-08,37,69.1,69.1,69.1,69.1,1000000,0
2012-08-09,38,67.55,67.55,67.55,67.55,1000000,0
2012-08-10,39,67.9,67.9,67.9,67.9,1000000,0
2012-08-13,42,67.15,67.15,67.15,67.15,1000000,0
2012-08-14,43,69.1,69.1,69.1,69.1,1000000,0
2012-08-16,45,69.4,69.4,69.4,69.4,1000000,0
2012-08-17,46,68.75,68.75,68.75,68.75,1000000,0
2012-08-21,50,68.45,68.45,68.45,68.45,1000000,0
2012-08-22,51,68.25,68.25,68.25,68.25,1000000,0
2012-08-23,52,67.15,67.15,67.15,67.15,1000000,0
2012-08-24,53,66.45,66.45,66.45,66.45,1000000,0
2012-08-27,56,64.0,64.0,64.0,64.0,1000000,0
2012-08-28,57,63.85,63.85,63.85,63.85,1000000,0
2012-08-29,58,62.7,62.7,62.7,62.7,1000000,0
2012-08-30,59,63.7,63.7,63.7,63.7,1000000,0
2012-08-31,60,63.75,63.75,63.75,63.75,1000000,0
2012-09-03,63,63.65,63.65,63.65,63.65,1000000,0
2012-09-04,64,65.1,65.1,65.1,65.1,1000000,0
2012-09-05,65,63.9,63.9,63.9,63.9,1000000,0
2012-09-06,66,63.8,63.8,63.8,63.8,1000000,0
2012-09-07,67,64.95,64.95,64.95,64.95,1000000,0
2012-09-10,70,65.4,65.4,65.4,65.4,1000000,0
2012-09-11,71,65.2,65.2,65.2,65.2,1000000,0
2012-09-12,72,65.95,65.95,65.95,65.95,1000000,0
2012-09-13,73,66.25,66.25,66.25,66.25,1000000,0
2012-09-14,74,68.95,68.95,68.95,68.95,1000000,0
2012-09-17,77,71.7,71.7,71.7,71.7,1000000,0
2012-09-18,78,75.15,75.15,75.15,75.15,1000000,0
2012-09-20,80,75.35,75.35,75.35,75.35,1000000,0
2012-09-21,81,77.35,77.35,77.35,77.35,1000000,0
2012-09-24,84,75.9,75.9,75.9,75.9,1000000,0
2012-09-25,85,75.8,75.8,75.8,75.8,1000000,0
2012-09-26,86,75.3,75.3,75.3,75.3,1000000,0
2012-09-27,87,77.0,77.0,77.0,77.0,1000000,0
2012-09-28,88,76.9,76.9,76.9,76.9,1000000,0
2012-10-01,91,79.5,79.5,79.5,79.5,1000000,0
2012-10-03,93,79.3,79.3,79.3,79.3,1000000,0
2012-10-04,94,79.05,79.05,79.05,79.05,1000000,0
2012-10-05,95,77.45,77.45,77.45,77.45,1000000,0
2012-10-08,98,76.45,76.45,76.45,76.45,1000000,0
2012-10-09,99,75.95,75.95,75.95,75.95,1000000,0
2012-10-10,100,74.65,74.65,74.65,74.65,1000000,0
2012-10-11,101,77.25,77.25,77.25,77.25,1000000,0
2012-10-12,102,77.1,77.1,77.1,77.1,1000000,0
2012-10-15,105,78.2,78.2,78.2,78.2,1000000,0
2012-10-16,106,76.15,76.15,76.15,76.15,1000000,0
2012-10-17,107,76.15,76.15,76.15,76.15,1000000,0
2012-10-18,108,78.9,78.9,78.9,78.9,1000000,0
2012-10-19,109,78.55,78.55,78.55,78.55,1000000,0
2012-10-22,112,77.95,77.95,77.95,77.95,1000000,0
2012-10-23,113,76.55,76.55,76.55,76.55,1000000,0
2012-10-25,115,77.85,77.85,77.85,77.85,1000000,0
2012-10-26,116,75.75,75.75,75.75,75.75,1000000,0
2012-10-29,119,75.2,75.2,75.2,75.2,1000000,0
2012-10-30,120,72.0,72.0,72.0,72.0,1000000,0
2012-10-31,121,72.85,72.85,72.85,72.85,1000000,0
2012-11-01,122,73.55,73.55,73.55,73.55,1000000,0
2012-11-02,123,76.05,76.05,76.05,76.05,1000000,0
2012-11-05,126,74.35,74.35,74.35,74.35,1000000,0
2012-11-06,127,73.7,73.7,73.7,73.7,1000000,0
2012-11-07,128,74.45,74.45,74.45,74.45,1000000,0
2012-11-08,129,75.05,75.05,75.05,75.05,1000000,0
2012-11-09,130,73.6,73.6,73.6,73.6,1000000,0
2012-11-12,133,73.7,73.7,73.7,73.7,1000000,0
2012-11-13,134,73.5,73.5,73.5,73.5,1000000,0
2012-11-15,136,74.1,74.1,74.1,74.1,1000000,0
2012-11-16,137,71.6,71.6,71.6,71.6,1000000,0
2012-11-19,140,71.25,71.25,71.25,71.25,1000000,0
2012-11-20,141,69.85,69.85,69.85,69.85,1000000,0
2012-11-21,142,71.1,71.1,71.1,71.1,1000000,0
2012-11-22,143,71.15,71.15,71.15,71.15,1000000,0
2012-11-23,144,71.05,71.05,71.05,71.05,1000000,0
2012-11-26,147,71.45,71.45,71.45,71.45,1000000,0
2012-11-27,148,72.0,72.0,72.0,72.0,1000000,0
2012-11-29,150,73.5,73.5,73.5,73.5,1000000,0
2012-11-30,151,75.4,75.4,75.4,75.4,1000000,0
2012-12-03,154,76.55,76.55,76.55,76.55,1000000,0
2012-12-04,155,77.45,77.45,77.45,77.45,1000000,0
2012-12-05,156,78.2,78.2,78.2,78.2,1000000,0
2012-12-06,157,79.45,79.45,79.45,79.45,1000000,0
2012-12-07,158,79.1,79.1,79.1,79.1,1000000,0
2012-12-10,161,81.7,81.7,81.7,81.7,1000000,0
2012-12-11,162,79.15,79.15,79.15,79.15,1000000,0
2012-12-12,163,80.25,80.25,80.25,80.25,1000000,0
2012-12-13,164,77.4,77.4,77.4,77.4,1000000,0
2012-12-14,165,79.1,79.1,79.1,79.1,1000000,0
2012-12-17,168,79.2,79.2,79.2,79.2,1000000,0
2012-12-18,169,80.2,80.2,80.2,80.2,1000000,0
2012-12-19,170,79.65,79.65,79.65,79.65,1000000,0
2012-12-20,171,79.45,79.45,79.45,79.45,1000000,0
2012-12-21,172,77.5,77.5,77.5,77.5,1000000,0
2012-12-24,175,76.85,76.85,76.85,76.85,1000000,0
2012-12-26,177,78.1,78.1,78.1,78.1,1000000,0
2012-12-27,178,77.35,77.35,77.35,77.35,1000000,0
2012-12-28,179,78.15,78.15,78.15,78.15,1000000,0
2012-12-31,182,78.8,78.8,78.8,78.8,1000000,0
2013-01-01,183,81.9,81.9,81.9,81.9,1000000,0
2013-01-02,184,82.35,82.35,82.35,82.35,1000000,0
2013-01-03,185,83.25,83.25,83.25,83.25,1000000,0
2013-01-04,186,84.8,84.8,84.8,84.8,1000000,0
2013-01-07,189,84.55,84.55,84.55,84.55,1000000,0
2013-01-08,190,86.0,86.0,86.0,86.0,1000000,0
2013-01-09,191,84.5,84.5,84.5,84.5,1000000,0
2013-01-10,192,84.1,84.1,84.1,84.1,1000000,0
2013-01-11,193,82.35,82.35,82.35,82.35,1000000,0
2013-01-14,196,84.75,84.75,84.75,84.75,1000000,0
2013-01-15,197,85.15,85.15,85.15,85.15,1000000,0
2013-01-16,198,82.45,82.45,82.45,82.45,1000000,0
2013-01-17,199,82.6,82.6,82.6,82.6,1000000,0
2013-01-18,200,82.35,82.35,82.35,82.35,1000000,0
2013-01-21,203,82.05,82.05,82.05,82.05,1000000,0
2013-01-22,204,80.4,80.4,80.4,80.4,1000000,0
2013-01-23,205,78.2,78.2,78.2,78.2,1000000,0
2013-01-24,206,74.95,74.95,74.95,74.95,1000000,0
2013-01-25,207,77.95,77.95,77.95,77.95,1000000,0
2013-01-28,210,77.55,77.55,77.55,77.55,1000000,0
2013-01-29,211,76.3,76.3,76.3,76.3,1000000,0
2013-01-30,212,74.6,74.6,74.6,74.6,1000000,0
2013-01-31,213,75.85,75.85,75.85,75.85,1000000,0
2013-02-01,214,74.55,74.55,74.55,74.55,1000000,0
2013-02-04,217,71.4,71.4,71.4,71.4,1000000,0
2013-02-05,218,67.85,67.85,67.85,67.85,1000000,0
2013-02-06,219,67.85,67.85,67.85,67.85,1000000,0
2013-02-07,220,67.75,67.75,67.75,67.75,1000000,0
2013-02-08,221,66.5,66.5,66.5,66.5,1000000,0
2013-02-11,224,66.95,66.95,66.95,66.95,1000000,0
2013-02-12,225,67.2,67.2,67.2,67.2,1000000,0
2013-02-13,226,65.25,65.25,65.25,65.25,1000000,0
2013-02-14,227,64.3,64.3,64.3,64.3,1000000,0
2013-02-15,228,64.7,64.7,64.7,64.7,1000000,0
2013-02-18,231,66.1,66.1,66.1,66.1,1000000,0
2013-02-19,232,67.1,67.1,67.1,67.1,1000000,0
2013-02-20,233,66.8,66.8,66.8,66.8,1000000,0
2013-02-21,234,65.0,65.0,65.0,65.0,1000000,0
2013-02-22,235,65.3,65.3,65.3,65.3,1000000,0
2013-02-25,238,64.5,64.5,64.5,64.5,1000000,0
2013-02-26,239,62.85,62.85,62.85,62.85,1000000,0
2013-02-27,240,63.55,63.55,63.55,63.55,1000000,0
2013-02-28,241,57.15,57.15,57.15,57.15,1000000,0
2013-03-01,242,59.05,59.05,59.05,59.05,1000000,0
2013-03-04,245,57.95,57.95,57.95,57.95,1000000,0
2013-03-05,246,60.7,60.7,60.7,60.7,1000000,0
2013-03-06,247,62.55,62.55,62.55,62.55,1000000,0
2013-03-07,248,62.6,62.6,62.6,62.6,1000000,0
2013-03-08,249,62.95,62.95,62.95,62.95,1000000,0
2013-03-11,252,62.7,62.7,62.7,62.7,1000000,0
2013-03-12,253,61.7,61.7,61.7,61.7,1000000,0
2013-03-13,254,59.35,59.35,59.35,59.35,1000000,0
2013-03-14,255,60.85,60.85,60.85,60.85,1000000,0
2013-03-15,256,60.6,60.6,60.6,60.6,1000000,0
2013-03-18,259,60.9,60.9,60.9,60.9,1000000,0
2013-03-19,260,59.35,59.35,59.35,59.35,1000000,0
2013-03-20,261,57.2,57.2,57.2,57.2,1000000,0
2013-03-21,262,55.6,55.6,55.6,55.6,1000000,0
2013-03-22,263,55.35,55.35,55.35,55.35,1000000,0
2013-03-25,266,55.15,55.15,55.15,55.15,1000000,0
2013-03-26,267,55.15,55.15,55.15,55.15,1000000,0
2013-03-28,269,55.75,55.75,55.75,55.75,1000000,0
2013-04-01,273,57.8,57.8,57.8,57.8,1000000,0
2013-04-02,274,60.05,60.05,60.05,60.05,1000000,0
2013-04-03,275,58.45,58.45,58.45,58.45,1000000,0
2013-04-04,276,57.9,57.9,57.9,57.9,1000000,0
2013-04-05,277,59.5,59.5,59.5,59.5,1000000,0
2013-04-08,280,59.2,59.2,59.2,59.2,1000000,0
2013-04-09,281,57.85,57.85,57.85,57.85,1000000,0
2013-04-10,282,59.0,59.0,59.0,59.0,1000000,0
2013-04-11,283,58.75,58.75,58.75,58.75,1000000,0
2013-04-12,284,60.1,60.1,60.1,60.1,1000000,0
2013-04-15,287,62.15,62.15,62.15,62.15,1000000,0
2013-04-16,288,63.4,63.4,63.4,63.4,1000000,0
2013-04-17,289,62.6,62.6,62.6,62.6,1000000,0
2013-04-18,290,64.05,64.05,64.05,64.05,1000000,0
2013-04-22,294,66.15,66.15,66.15,66.15,1000000,0
2013-04-23,295,65.95,65.95,65.95,65.95,1000000,0
2013-04-25,297,67.7,67.7,67.7,67.7,1000000,0
2013-04-26,298,67.15,67.15,67.15,67.15,1000000,0
2013-04-29,301,68.95,68.95,68.95,68.95,1000000,0
2013-04-30,302,69.65,69.65,69.65,69.65,1000000,0
2013-05-02,304,71.0,71.0,71.0,71.0,1000000,0
2013-05-03,305,71.7,71.7,71.7,71.7,1000000,0
2013-05-06,308,73.25,73.25,73.25,73.25,1000000,0
2013-05-07,309,73.5,73.5,73.5,73.5,1000000,0
2013-05-08,310,70.65,70.65,70.65,70.65,1000000,0
2013-05-09,311,71.0,71.0,71.0,71.0,1000000,0
2013-05-10,312,73.9,73.9,73.9,73.9,1000000,0
2013-05-13,315,71.7,71.7,71.7,71.7,1000000,0
2013-05-14,316,74.95,74.95,74.95,74.95,1000000,0
2013-05-15,317,81.65,81.65,81.65,81.65,1000000,0
2013-05-16,318,80.8,80.8,80.8,80.8,1000000,0
2013-05-17,319,80.95,80.95,80.95,80.95,1000000,0
2013-05-20,322,81.1,81.1,81.1,81.1,1000000,0
2013-05-21,323,78.95,78.95,78.95,78.95,1000000,0
2013-05-22,324,77.2,77.2,77.2,77.2,1000000,0
2013-05-23,325,75.0,75.0,75.0,75.0,1000000,0
2013-05-24,326,76.35,76.35,76.35,76.35,1000000,0
2013-05-27,329,78.5,78.5,78.5,78.5,1000000,0
2013-05-28,330,78.55,78.55,78.55,78.55,1000000,0
2013-05-29,331,76.8,76.8,76.8,76.8,1000000,0
2013-05-30,332,78.65,78.65,78.65,78.65,1000000,0
2013-05-31,333,75.75,75.75,75.75,75.75,1000000,0
2013-06-03,336,77.35,77.35,77.35,77.35,1000000,0
2013-06-04,337,75.4,75.4,75.4,75.4,1000000,0
2013-06-05,338,77.95,77.95,77.95,77.95,1000000,0
2013-06-06,339,81.9,81.9,81.9,81.9,1000000,0
2013-06-07,340,78.5,78.5,78.5,78.5,1000000,0
2013-06-10,343,77.25,77.25,77.25,77.25,1000000,0
2013-06-11,344,76.0,76.0,76.0,76.0,1000000,0
2013-06-12,345,76.7,76.7,76.7,76.7,1000000,0
2013-06-13,346,76.2,76.2,76.2,76.2,1000000,0
2013-06-14,347,77.55,77.55,77.55,77.55,1000000,0
2013-06-17,350,76.85,76.85,76.85,76.85,1000000,0
2013-06-18,351,76.8,76.8,76.8,76.8,1000000,0
2013-06-19,352,76.8,76.8,76.8,76.8,1000000,0
2013-06-20,353,71.7,71.7,71.7,71.7,1000000,0
2013-06-21,354,66.65,66.65,66.65,66.65,1000000,0
2013-06-24,357,63.05,63.05,63.05,63.05,1000000,0
2013-06-25,358,60.15,60.15,60.15,60.15,1000000,0
2013-06-26,359,58.6,58.6,58.6,58.6,1000000,0
2013-06-27,360,58.1,58.1,58.1,58.1,1000000,0
2013-06-28,361,61.75,61.75,61.75,61.75,1000000,0
2013-07-01,364,64.95,64.95,64.95,64.95,1000000,0
2013-07-02,365,62.9,62.9,62.9,62.9,1000000,0
2013-07-03,366,59.6,59.6,59.6,59.6,1000000,0
2013-07-04,367,65.15,65.15,65.15,65.15,1000000,0
2013-07-05,368,65.15,65.15,65.15,65.15,1000000,0
2013-07-08,371,66.9,66.9,66.9,66.9,1000000,0
2013-07-09,372,68.9,68.9,68.9,68.9,1000000,0
2013-07-10,373,66.75,66.75,66.75,66.75,1000000,0
2013-07-11,374,67.7,67.7,67.7,67.7,1000000,0
2013-07-12,375,67.3,67.3,67.3,67.3,1000000,0
2013-07-15,378,69.65,69.65,69.65,69.65,1000000,0
2013-07-16,379,64.5,64.5,64.5,64.5,1000000,0
2013-07-17,380,64.0,64.0,64.0,64.0,1000000,0
2013-07-18,381,73.6,73.6,73.6,73.6,1000000,0
2013-07-19,382,69.5,69.5,69.5,69.5,1000000,0
2013-07-22,385,69.05,69.05,69.05,69.05,1000000,0
2013-07-23,386,68.85,68.85,68.85,68.85,1000000,0
2013-07-24,387,65.45,65.45,65.45,65.45,1000000,0
2013-07-25,388,63.75,63.75,63.75,63.75,1000000,0
2013-07-26,389,62.45,62.45,62.45,62.45,1000000,0
2013-07-29,392,61.35,61.35,61.35,61.35,1000000,0
2013-07-30,393,58.25,58.25,58.25,58.25,1000000,0
2013-07-31,394,60.05,60.05,60.05,60.05,1000000,0
2013-08-01,395,58.65,58.65,58.65,58.65,1000000,0
2013-08-02,396,57.6,57.6,57.6,57.6,1000000,0
2013-08-05,399,57.8,57.8,57.8,57.8,1000000,0
2013-08-06,400,54.3,54.3,54.3,54.3,1000000,0
2013-08-07,401,56.2,56.2,56.2,56.2,1000000,0
2013-08-08,402,55.95,55.95,55.95,55.95,1000000,0
2013-08-12,406,55.75,55.75,55.75,55.75,1000000,0
2013-08-13,407,57.05,57.05,57.05,57.05,1000000,0
2013-08-14,408,56.4,56.4,56.4,56.4,1000000,0
2013-08-16,410,53.5,53.5,53.5,53.5,1000000,0
2013-08-19,413,52.1,52.1,52.1,52.1,1000000,0
2013-08-20,414,53.35,53.35,53.35,53.35,1000000,0
2013-08-21,415,52.45,52.45,52.45,52.45,1000000,0
2013-08-22,416,53.45,53.45,53.45,53.45,1000000,0
2013-08-23,417,53.5,53.5,53.5,53.5,1000000,0
2013-08-26,420,53.35,53.35,53.35,53.35,1000000,0
2013-08-27,421,50.2,50.2,50.2,50.2,1000000,0
2013-08-28,422,50.75,50.75,50.75,50.75,1000000,0
2013-08-29,423,52.8,52.8,52.8,52.8,1000000,0
2013-08-30,424,51.85,51.85,51.85,51.85,1000000,0
2013-09-02,427,52.4,52.4,52.4,52.4,1000000,0
2013-09-03,428,50.0,50.0,50.0,50.0,1000000,0
2013-09-04,429,50.55,50.55,50.55,50.55,1000000,0
2013-09-05,430,54.0,54.0,54.0,54.0,1000000,0
2013-09-06,431,53.2,53.2,53.2,53.2,1000000,0
2013-09-10,435,53.95,53.95,53.95,53.95,1000000,0
2013-09-11,436,59.4,59.4,59.4,59.4,1000000,0
2013-09-12,437,58.25,58.25,58.25,58.25,1000000,0
2013-09-13,438,61.2,61.2,61.2,61.2,1000000,0
2013-09-16,441,62.9,62.9,62.9,62.9,1000000,0
2013-09-17,442,63.2,63.2,63.2,63.2,1000000,0
2013-09-18,443,63.95,63.95,63.95,63.95,1000000,0
2013-09-19,444,67.5,67.5,67.5,67.5,1000000,0
2013-09-20,445,63.3,63.3,63.3,63.3,1000000,0
2013-09-23,448,60.0,60.0,60.0,60.0,1000000,0
2013-09-24,449,60.6,60.6,60.6,60.6,1000000,0
2013-09-25,450,60.9,60.9,60.9,60.9,1000000,0
2013-09-26,451,60.55,60.55,60.55,60.55,1000000,0
2013-09-27,452,60.2,60.2,60.2,60.2,1000000,0
2013-09-30,455,57.95,57.95,57.95,57.95,1000000,0
2013-10-01,456,59.05,59.05,59.05,59.05,1000000,0
2013-10-03,458,62.2,62.2,62.2,62.2,1000000,0
2013-10-04,459,62.3,62.3,62.3,62.3,1000000,0
2013-10-07,462,62.25,62.25,62.25,62.25,1000000,0
2013-10-08,463,62.85,62.85,62.85,62.85,1000000,0
2013-10-09,464,64.25,64.25,64.25,64.25,1000000,0
2013-10-10,465,64.45,64.45,64.45,64.45,1000000,0
2013-10-11,466,67.6,67.6,67.6,67.6,1000000,0
2013-10-14,469,69.4,69.4,69.4,69.4,1000000,0
2013-10-15,470,66.4,66.4,66.4,66.4,1000000,0
2013-10-17,472,65.25,65.25,65.25,65.25,1000000,0
2013-10-18,473,67.15,67.15,67.15,67.15,1000000,0
2013-10-21,476,68.15,68.15,68.15,68.15,1000000,0
2013-10-22,477,68.2,68.2,68.2,68.2,1000000,0
2013-10-23,478,68.7,68.7,68.7,68.7,1000000,0
2013-10-24,479,67.85,67.85,67.85,67.85,1000000,0
2013-10-25,480,66.75,66.75,66.75,66.75,1000000,0
2013-10-28,483,64.2,64.2,64.2,64.2,1000000,0
2013-10-29,484,67.6,67.6,67.6,67.6,1000000,0
2013-10-30,485,66.6,66.6,66.6,66.6,1000000,0
2013-10-31,486,72.25,72.25,72.25,72.25,1000000,0
2013-11-01,487,73.6,73.6,73.6,73.6,1000000,0
2013-11-05,491,75.65,75.65,75.65,75.65,1000000,0
2013-11-06,492,73.75,73.75,73.75,73.75,1000000,0
2013-11-07,493,71.05,71.05,71.05,71.05,1000000,0
2013-11-08,494,74.75,74.75,74.75,74.75,1000000,0
2013-11-11,497,72.75,72.75,72.75,72.75,1000000,0
2013-11-12,498,72.85,72.85,72.85,72.85,1000000,0
2013-11-13,499,71.5,71.5,71.5,71.5,1000000,0
2013-11-15,500,73.65,73.65,73.65,73.65,1000000,0
2013-11-18,504,77.7,77.7,77.7,77.7,1000000,0
2013-11-19,505,78.55,78.55,78.55,78.55,1000000,0
2013-11-20,506,76.7,76.7,76.7,76.7,1000000,0
2013-11-21,507,74.1,74.1,74.1,74.1,1000000,0
2013-11-22,508,72.55,72.55,72.55,72.55,1000000,0
2013-11-25,511,74.8,74.8,74.8,74.8,1000000,0
2013-11-26,512,72.45,72.45,72.45,72.45,1000000,0
2013-11-27,513,74.0,74.0,74.0,74.0,1000000,0
2013-11-28,514,74.65,74.65,74.65,74.65,1000000,0
2013-11-29,515,75.65,75.65,75.65,75.65,1000000,0
2013-12-02,518,76.25,76.25,76.25,76.25,1000000,0
2013-12-03,519,74.75,74.75,74.75,74.75,1000000,0
2013-12-04,520,73.5,73.5,73.5,73.5,1000000,0
2013-12-05,521,75.3,75.3,75.3,75.3,1000000,0
2013-12-06,522,79.2,79.2,79.2,79.2,1000000,0
2013-12-09,525,80.55,80.55,80.55,80.55,1000000,0
2013-12-10,526,79.7,79.7,79.7,79.7,1000000,0
2013-12-11,527,78.95,78.95,78.95,78.95,1000000,0
2013-12-12,528,77.15,77.15,77.15,77.15,1000000,0
2013-12-13,529,75.0,75.0,75.0,75.0,1000000,0
2013-12-16,532,73.9,73.9,73.9,73.9,1000000,0
2013-12-17,533,73.0,73.0,73.0,73.0,1000000,0
2013-12-18,534,76.0,76.0,76.0,76.0,1000000,0
2013-12-19,535,73.65,73.65,73.65,73.65,1000000,0
2013-12-20,536,75.3,75.3,75.3,75.3,1000000,0
2013-12-23,539,76.95,76.95,76.95,76.95,1000000,0
2013-12-24,540,76.55,76.55,76.55,76.55,1000000,0
2013-12-26,542,76.2,76.2,76.2,76.2,1000000,0
2013-12-27,543,76.9,76.9,76.9,76.9,1000000,0
2013-12-30,546,75.35,75.35,75.35,75.35,1000000,0
2013-12-31,547,75.5,75.5,75.5,75.5,1000000,0
2014-01-01,548,80.1,80.1,80.1,80.1,1000000,0
2014-01-02,549,75.8,75.8,75.8,75.8,1000000,0
2014-01-03,550,77.6,77.6,77.6,77.6,1000000,0
2014-01-06,553,76.4,76.4,76.4,76.4,1000000,0
2014-01-07,554,76.2,76.2,76.2,76.2,1000000,0
2014-01-08,555,77.95,77.95,77.95,77.95,1000000,0
2014-01-09,556,75.35,75.35,75.35,75.35,1000000,0
2014-01-10,557,74.45,74.45,74.45,74.45,1000000,0
2014-01-13,560,76.3,76.3,76.3,76.3,1000000,0
2014-01-14,561,76.0,76.0,76.0,76.0,1000000,0
2014-01-15,562,78.3,78.3,78.3,78.3,1000000,0
2014-01-16,563,77.4,77.4,77.4,77.4,1000000,0
2014-01-17,564,75.55,75.55,75.55,75.55,1000000,0
2014-01-20,567,75.2,75.2,75.2,75.2,1000000,0
2014-01-21,568,75.65,75.65,75.65,75.65,1000000,0
2014-01-22,569,76.15,76.15,76.15,76.15,1000000,0
2014-01-23,570,77.55,77.55,77.55,77.55,1000000,0
2014-01-24,571,75.85,75.85,75.85,75.85,1000000,0
2014-01-27,574,69.7,69.7,69.7,69.7,1000000,0
2014-01-28,575,69.05,69.05,69.05,69.05,1000000,0
2014-01-29,576,66.95,66.95,66.95,66.95,1000000,0
2014-01-30,577,64.5,64.5,64.5,64.5,1000000,0
2014-01-31,578,66.05,66.05,66.05,66.05,1000000,0
2014-02-03,581,64.05,64.05,64.05,64.05,1000000,0
2014-02-04,582,65.1,65.1,65.1,65.1,1000000,0
2014-02-05,583,64.75,64.75,64.75,64.75,1000000,0
2014-02-06,584,64.2,64.2,64.2,64.2,1000000,0
2014-02-07,585,64.85,64.85,64.85,64.85,1000000,0
2014-02-10,588,64.8,64.8,64.8,64.8,1000000,0
2014-02-11,589,65.05,65.05,65.05,65.05,1000000,0
2014-02-12,590,64.6,64.6,64.6,64.6,1000000,0
2014-02-13,591,62.9,62.9,62.9,62.9,1000000,0
2014-02-14,592,63.3,63.3,63.3,63.3,1000000,0
2014-02-17,595,63.0,63.0,63.0,63.0,1000000,0
2014-02-18,596,64.9,64.9,64.9,64.9,1000000,0
