Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,209.3,209.3,209.3,209.3,1,0
2012-07-03,1,210.85,210.85,210.85,210.85,1,0
2012-07-04,2,212.05,212.05,212.05,212.05,1,0
2012-07-05,3,213.0,213.0,213.0,213.0,1,0
2012-07-06,4,212.25,212.25,212.25,212.25,1,0
2012-07-09,7,210.05,210.05,210.05,210.05,1,0
2012-07-10,8,210.65,210.65,210.65,210.65,1,0
2012-07-11,9,212.85,212.85,212.85,212.85,1,0
2012-07-12,10,212.85,212.85,212.85,212.85,1,0
2012-07-13,11,212.45,212.45,212.45,212.45,1,0
2012-07-16,14,207.7,207.7,207.7,207.7,1,0
2012-07-17,15,202.1,202.1,202.1,202.1,1,0
2012-07-18,16,196.25,196.25,196.25,196.25,1,0
2012-07-19,17,193.0,193.0,193.0,193.0,1,0
2012-07-20,18,191.9,191.9,191.9,191.9,1,0
2012-07-23,21,188.85,188.85,188.85,188.85,1,0
2012-07-24,22,187.2,187.2,187.2,187.2,1,0
2012-07-25,23,184.15,184.15,184.15,184.15,1,0
2012-07-26,24,177.95,177.95,177.95,177.95,1,0
2012-07-27,25,164.1,164.1,164.1,164.1,1,0
2012-07-30,28,169.85,169.85,169.85,169.85,1,0
2012-07-31,29,167.8,167.8,167.8,167.8,1,0
2012-08-01,30,173.35,173.35,173.35,173.35,1,0
2012-08-02,31,174.7,174.7,174.7,174.7,1,0
2012-08-03,32,171.25,171.25,171.25,171.25,1,0
2012-08-06,35,171.05,171.05,171.05,171.05,1,0
2012-08-07,36,170.45,170.45,170.45,170.45,1,0
2012-08-08,37,169.95,169.95,169.95,169.95,1,0
2012-08-09,38,163.4,163.4,163.4,163.4,1,0
2012-08-10,39,163.5,163.5,163.5,163.5,1,0
2012-08-13,42,162.45,162.45,162.45,162.45,1,0
2012-08-14,43,165.6,165.6,165.6,165.6,1,0
2012-08-16,45,165.9,165.9,165.9,165.9,1,0
2012-08-17,46,163.9,163.9,163.9,163.9,1,0
2012-08-21,50,165.55,165.55,165.55,165.55,1,0
2012-08-22,51,164.3,164.3,164.3,164.3,1,0
2012-08-23,52,163.4,163.4,163.4,163.4,1,0
2012-08-24,53,158.65,158.65,158.65,158.65,1,0
2012-08-27,56,154.85,154.85,154.85,154.85,1,0
2012-08-28,57,153.4,153.4,153.4,153.4,1,0
2012-08-29,58,151.8,151.8,151.8,151.8,1,0
2012-08-30,59,152.5,152.5,152.5,152.5,1,0
2012-08-31,60,156.75,156.75,156.75,156.75,1,0
2012-09-03,63,158.9,158.9,158.9,158.9,1,0
2012-09-04,64,158.15,158.15,158.15,158.15,1,0
2012-09-05,65,157.8,157.8,157.8,157.8,1,0
2012-09-06,66,156.35,156.35,156.35,156.35,1,0
2012-09-07,67,158.6,158.6,158.6,158.6,1,0
2012-09-10,70,159.55,159.55,159.55,159.55,1,0
2012-09-11,71,162.8,162.8,162.8,162.8,1,0
2012-09-12,72,162.55,162.55,162.55,162.55,1,0
2012-09-13,73,159.55,159.55,159.55,159.55,1,0
2012-09-14,74,164.6,164.6,164.6,164.6,1,0
2012-09-17,77,176.95,176.95,176.95,176.95,1,0
2012-09-18,78,193.95,193.95,193.95,193.95,1,0
2012-09-20,80,195.25,195.25,195.25,195.25,1,0
2012-09-21,81,200.5,200.5,200.5,200.5,1,0
2012-09-24,84,204.05,204.05,204.05,204.05,1,0
2012-09-25,85,202.45,202.45,202.45,202.45,1,0
2012-09-26,86,201.45,201.45,201.45,201.45,1,0
2012-09-27,87,204.35,204.35,204.35,204.35,1,0
2012-09-28,88,207.85,207.85,207.85,207.85,1,0
2012-10-01,91,207.45,207.45,207.45,207.45,1,0
2012-10-03,93,204.75,204.75,204.75,204.75,1,0
2012-10-04,94,205.9,205.9,205.9,205.9,1,0
2012-10-05,95,200.35,200.35,200.35,200.35,1,0
2012-10-08,98,196.2,196.2,196.2,196.2,1,0
2012-10-09,99,197.05,197.05,197.05,197.05,1,0
2012-10-10,100,193.05,193.05,193.05,193.05,1,0
2012-10-11,101,202.55,202.55,202.55,202.55,1,0
2012-10-12,102,203.1,203.1,203.1,203.1,1,0
2012-10-15,105,204.15,204.15,204.15,204.15,1,0
2012-10-16,106,199.65,199.65,199.65,199.65,1,0
2012-10-17,107,199.4,199.4,199.4,199.4,1,0
2012-10-18,108,209.5,209.5,209.5,209.5,1,0
2012-10-19,109,209.45,209.45,209.45,209.45,1,0
2012-10-22,112,208.8,208.8,208.8,208.8,1,0
2012-10-23,113,204.75,204.75,204.75,204.75,1,0
2012-10-25,115,208.3,208.3,208.3,208.3,1,0
2012-10-26,116,206.35,206.35,206.35,206.35,1,0
2012-10-29,119,200.95,200.95,200.95,200.95,1,0
2012-10-30,120,192.9,192.9,192.9,192.9,1,0
2012-10-31,121,195.65,195.65,195.65,195.65,1,0
2012-11-01,122,206.4,206.4,206.4,206.4,1,0
2012-11-02,123,223.1,223.1,223.1,223.1,1,0
2012-11-05,126,221.65,221.65,221.65,221.65,1,0
2012-11-06,127,217.9,217.9,217.9,217.9,1,0
2012-11-07,128,231.9,231.9,231.9,231.9,1,0
2012-11-08,129,237.45,237.45,237.45,237.45,1,0
2012-11-09,130,228.85,228.85,228.85,228.85,1,0
2012-11-12,133,230.85,230.85,230.85,230.85,1,0
2012-11-13,134,228.45,228.45,228.45,228.45,1,0
2012-11-15,136,230.25,230.25,230.25,230.25,1,0
2012-11-16,137,222.6,222.6,222.6,222.6,1,0
2012-11-19,140,218.5,218.5,218.5,218.5,1,0
2012-11-20,141,216.4,216.4,216.4,216.4,1,0
2012-11-21,142,226.55,226.55,226.55,226.55,1,0
2012-11-22,143,231.2,231.2,231.2,231.2,1,0
2012-11-23,144,226.95,226.95,226.95,226.95,1,0
2012-11-26,147,225.45,225.45,225.45,225.45,1,0
2012-11-27,148,234.05,234.05,234.05,234.05,1,0
2012-11-29,150,233.9,233.9,233.9,233.9,1,0
2012-11-30,151,242.65,242.65,242.65,242.65,1,0
2012-12-03,154,237.9,237.9,237.9,237.9,1,0
2012-12-04,155,245.95,245.95,245.95,245.95,1,0
2012-12-05,156,247.2,247.2,247.2,247.2,1,0
2012-12-06,157,252.9,252.9,252.9,252.9,1,0
2012-12-07,158,252.25,252.25,252.25,252.25,1,0
2012-12-10,161,262.1,262.1,262.1,262.1,1,0
2012-12-11,162,255.5,255.5,255.5,255.5,1,0
2012-12-12,163,257.7,257.7,257.7,257.7,1,0
2012-12-13,164,256.35,256.35,256.35,256.35,1,0
2012-12-14,165,265.65,265.65,265.65,265.65,1,0
2012-12-17,168,274.3,274.3,274.3,274.3,1,0
2012-12-18,169,274.85,274.85,274.85,274.85,1,0
2012-12-19,170,270.1,270.1,270.1,270.1,1,0
2012-12-20,171,273.1,273.1,273.1,273.1,1,0
2012-12-21,172,263.25,263.25,263.25,263.25,1,0
2012-12-24,175,263.75,263.75,263.75,263.75,1,0
2012-12-26,177,268.95,268.95,268.95,268.95,1,0
2012-12-27,178,270.65,270.65,270.65,270.65,1,0
2012-12-28,179,274.75,274.75,274.75,274.75,1,0
2012-12-31,182,274.35,274.35,274.35,274.35,1,0
2013-01-01,183,281.3,281.3,281.3,281.3,1,0
2013-01-02,183,281.3,281.3,281.3,281.3,1,0
2013-01-03,183,281.3,281.3,281.3,281.3,1,0
2013-01-04,183,281.3,281.3,281.3,281.3,1,0
2013-01-07,183,281.3,281.3,281.3,281.3,1,0
