Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,142.57,142.57,142.57,142.57,1,0
2012-07-03,1,148.84,148.84,148.84,148.84,1,0
2012-07-04,2,145.67,145.67,145.67,145.67,1,0
2012-07-05,3,148.08,148.08,148.08,148.08,1,0
2012-07-06,4,151.48,151.48,151.48,151.48,1,0
2012-07-09,7,145.48,145.48,145.48,145.48,1,0
2012-07-10,8,143.55,143.55,143.55,143.55,1,0
2012-07-11,9,144.24,144.24,144.24,144.24,1,0
2012-07-12,10,153.16,153.16,153.16,153.16,1,0
2012-07-13,11,154.99,154.99,154.99,154.99,1,0
2012-07-16,14,155.59,155.59,155.59,155.59,1,0
2012-07-17,15,157.62,157.62,157.62,157.62,1,0
2012-07-18,16,155.81,155.81,155.81,155.81,1,0
2012-07-19,17,161.38,161.38,161.38,161.38,1,0
2012-07-20,18,163.58,163.58,163.58,163.58,1,0
2012-07-23,21,161.11,161.11,161.11,161.11,1,0
2012-07-24,22,157.07,157.07,157.07,157.07,1,0
2012-07-25,23,157.72,157.72,157.72,157.72,1,0
2012-07-26,24,149.09,149.09,149.09,149.09,1,0
2012-07-27,25,144.24,144.24,144.24,144.24,1,0
2012-07-30,28,154.22,154.22,154.22,154.22,1,0
2012-07-31,29,161.84,161.84,161.84,161.84,1,0
2012-08-01,30,160.6,160.6,160.6,160.6,1,0
2012-08-02,31,169.79,169.79,169.79,169.79,1,0
2012-08-03,32,172.29,172.29,172.29,172.29,1,0
2012-08-06,35,173.22,173.22,173.22,173.22,1,0
2012-08-07,36,168.57,168.57,168.57,168.57,1,0
2012-08-08,37,166.0,166.0,166.0,166.0,1,0
2012-08-09,38,166.99,166.99,166.99,166.99,1,0
2012-08-10,39,165.01,165.01,165.01,165.01,1,0
2012-08-13,42,184.2,184.2,184.2,184.2,1,0
2012-08-14,43,177.59,177.59,177.59,177.59,1,0
2012-08-16,45,181.82,181.82,181.82,181.82,1,0
2012-08-17,46,184.34,184.34,184.34,184.34,1,0
2012-08-21,50,196.43,196.43,196.43,196.43,1,0
2012-08-22,51,189.15,189.15,189.15,189.15,1,0
2012-08-23,52,187.42,187.42,187.42,187.42,1,0
2012-08-24,53,187.19,187.19,187.19,187.19,1,0
2012-08-27,56,186.36,186.36,186.36,186.36,1,0
2012-08-28,57,185.47,185.47,185.47,185.47,1,0
2012-08-29,58,195.7,195.7,195.7,195.7,1,0
2012-08-30,59,195.84,195.84,195.84,195.84,1,0
2012-08-31,60,193.83,193.83,193.83,193.83,1,0
2012-09-03,63,197.38,197.38,197.38,197.38,1,0
2012-09-04,64,201.91,201.91,201.91,201.91,1,0
2012-09-05,65,202.79,202.79,202.79,202.79,1,0
2012-09-06,66,197.98,197.98,197.98,197.98,1,0
2012-09-07,67,188.11,188.11,188.11,188.11,1,0
2012-09-10,70,189.06,189.06,189.06,189.06,1,0
2012-09-11,71,186.12,186.12,186.12,186.12,1,0
2012-09-12,72,183.09,183.09,183.09,183.09,1,0
2012-09-13,73,190.39,190.39,190.39,190.39,1,0
2012-09-14,74,185.53,185.53,185.53,185.53,1,0
2012-09-17,77,186.84,186.84,186.84,186.84,1,0
2012-09-18,78,193.85,193.85,193.85,193.85,1,0
2012-09-20,80,188.45,188.45,188.45,188.45,1,0
2012-09-21,81,198.74,198.74,198.74,198.74,1,0
2012-09-24,84,210.88,210.88,210.88,210.88,1,0
2012-09-25,85,229.74,229.74,229.74,229.74,1,0
2012-09-26,86,231.45,231.45,231.45,231.45,1,0
2012-09-27,87,255.05,255.05,255.05,255.05,1,0
2012-09-28,88,243.22,243.22,243.22,243.22,1,0
2012-10-01,91,247.81,247.81,247.81,247.81,1,0
2012-10-03,93,250.16,250.16,250.16,250.16,1,0
2012-10-04,94,250.93,250.93,250.93,250.93,1,0
2012-10-05,95,252.22,252.22,252.22,252.22,1,0
2012-10-08,98,236.22,236.22,236.22,236.22,1,0
2012-10-09,99,252.0,252.0,252.0,252.0,1,0
2012-10-10,100,252.3,252.3,252.3,252.3,1,0
2012-10-11,101,252.12,252.12,252.12,252.12,1,0
2012-10-12,102,247.12,247.12,247.12,247.12,1,0
2012-10-15,105,244.91,244.91,244.91,244.91,1,0
2012-10-16,106,255.29,255.29,255.29,255.29,1,0
2012-10-17,107,257.03,257.03,257.03,257.03,1,0
2012-10-18,108,253.54,253.54,253.54,253.54,1,0
2012-10-19,109,254.77,254.77,254.77,254.77,1,0
2012-10-22,112,258.35,258.35,258.35,258.35,1,0
