Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,70.5,70.5,70.5,70.5,1000000,0
2012-07-03,1,70.95,70.95,70.95,70.95,1000000,0
2012-07-04,2,75.7,75.7,75.7,75.7,1000000,0
2012-07-05,3,74.2,74.2,74.2,74.2,1000000,0
2012-07-06,4,72.35,72.35,72.35,72.35,1000000,0
2012-07-09,7,72.1,72.1,72.1,72.1,1000000,0
2012-07-10,8,72.9,72.9,72.9,72.9,1000000,0
2012-07-11,9,72.65,72.65,72.65,72.65,1000000,0
2012-07-12,10,71.35,71.35,71.35,71.35,1000000,0
2012-07-13,11,71.6,71.6,71.6,71.6,1000000,0
2012-07-16,14,70.0,70.0,70.0,70.0,1000000,0
2012-07-17,15,68.65,68.65,68.65,68.65,1000000,0
2012-07-18,16,68.7,68.7,68.7,68.7,1000000,0
2012-07-19,17,69.05,69.05,69.05,69.05,1000000,0
2012-07-20,18,68.4,68.4,68.4,68.4,1000000,0
2012-07-23,21,65.75,65.75,65.75,65.75,1000000,0
2012-07-24,22,65.95,65.95,65.95,65.95,1000000,0
2012-07-25,23,64.55,64.55,64.55,64.55,1000000,0
2012-07-26,24,62.65,62.65,62.65,62.65,1000000,0
2012-07-27,25,62.25,62.25,62.25,62.25,1000000,0
2012-07-30,28,63.45,63.45,63.45,63.45,1000000,0
2012-07-31,29,65.15,65.15,65.15,65.15,1000000,0
2012-08-01,30,65.7,65.7,65.7,65.7,1000000,0
2012-08-02,31,66.6,66.6,66.6,66.6,1000000,0
2012-08-03,32,66.15,66.15,66.15,66.15,1000000,0
2012-08-06,35,66.65,66.65,66.65,66.65,1000000,0
2012-08-07,36,67.65,67.65,67.65,67.65,1000000,0
2012-08-08,37,70.4,70.4,70.4,70.4,1000000,0
2012-08-09,38,70.3,70.3,70.3,70.3,1000000,0
2012-08-10,39,67.3,67.3,67.3,67.3,1000000,0
2012-08-13,42,66.9,66.9,66.9,66.9,1000000,0
2012-08-14,43,67.05,67.05,67.05,67.05,1000000,0
2012-08-16,45,66.05,66.05,66.05,66.05,1000000,0
2012-08-17,46,65.2,65.2,65.2,65.2,1000000,0
2012-08-21,50,65.4,65.4,65.4,65.4,1000000,0
2012-08-22,51,64.7,64.7,64.7,64.7,1000000,0
2012-08-23,52,64.55,64.55,64.55,64.55,1000000,0
2012-08-24,53,64.35,64.35,64.35,64.35,1000000,0
2012-08-27,56,62.4,62.4,62.4,62.4,1000000,0
2012-08-28,57,61.2,61.2,61.2,61.2,1000000,0
2012-08-29,58,59.7,59.7,59.7,59.7,1000000,0
2012-08-30,59,58.2,58.2,58.2,58.2,1000000,0
2012-08-31,60,58.0,58.0,58.0,58.0,1000000,0
2012-09-03,63,57.95,57.95,57.95,57.95,1000000,0
2012-09-04,64,58.35,58.35,58.35,58.35,1000000,0
2012-09-05,65,58.0,58.0,58.0,58.0,1000000,0
2012-09-06,66,58.1,58.1,58.1,58.1,1000000,0
2012-09-07,67,59.05,59.05,59.05,59.05,1000000,0
2012-09-10,70,59.3,59.3,59.3,59.3,1000000,0
2012-09-11,71,58.8,58.8,58.8,58.8,1000000,0
2012-09-12,72,60.85,60.85,60.85,60.85,1000000,0
2012-09-13,73,59.65,59.65,59.65,59.65,1000000,0
2012-09-14,74,60.45,60.45,60.45,60.45,1000000,0
2012-09-17,77,61.95,61.95,61.95,61.95,1000000,0
2012-09-18,78,61.5,61.5,61.5,61.5,1000000,0
2012-09-20,80,59.75,59.75,59.75,59.75,1000000,0
2012-09-21,81,61.3,61.3,61.3,61.3,1000000,0
2012-09-24,84,62.65,62.65,62.65,62.65,1000000,0
2012-09-25,85,61.9,61.9,61.9,61.9,1000000,0
2012-09-26,86,61.9,61.9,61.9,61.9,1000000,0
2012-09-27,87,62.9,62.9,62.9,62.9,1000000,0
2012-09-28,88,63.95,63.95,63.95,63.95,1000000,0
2012-10-01,91,64.15,64.15,64.15,64.15,1000000,0
2012-10-03,93,65.65,65.65,65.65,65.65,1000000,0
2012-10-04,94,65.35,65.35,65.35,65.35,1000000,0
2012-10-05,95,64.15,64.15,64.15,64.15,1000000,0
2012-10-08,98,67.45,67.45,67.45,67.45,1000000,0
2012-10-09,99,67.35,67.35,67.35,67.35,1000000,0
2012-10-10,100,65.55,65.55,65.55,65.55,1000000,0
2012-10-11,101,65.8,65.8,65.8,65.8,1000000,0
2012-10-12,102,65.75,65.75,65.75,65.75,1000000,0
2012-10-15,105,66.15,66.15,66.15,66.15,1000000,0
2012-10-16,106,64.2,64.2,64.2,64.2,1000000,0
2012-10-17,107,63.35,63.35,63.35,63.35,1000000,0
2012-10-18,108,63.8,63.8,63.8,63.8,1000000,0
2012-10-19,109,63.25,63.25,63.25,63.25,1000000,0
2012-10-22,112,63.05,63.05,63.05,63.05,1000000,0
2012-10-23,113,62.8,62.8,62.8,62.8,1000000,0
2012-10-25,115,61.8,61.8,61.8,61.8,1000000,0
2012-10-26,116,61.15,61.15,61.15,61.15,1000000,0
2012-10-29,119,60.35,60.35,60.35,60.35,1000000,0
2012-10-30,120,59.55,59.55,59.55,59.55,1000000,0
2012-10-31,121,61.85,61.85,61.85,61.85,1000000,0
2012-11-01,122,61.15,61.15,61.15,61.15,1000000,0
2012-11-02,123,61.2,61.2,61.2,61.2,1000000,0
2012-11-05,126,61.1,61.1,61.1,61.1,1000000,0
2012-11-06,127,61.4,61.4,61.4,61.4,1000000,0
2012-11-07,128,63.3,63.3,63.3,63.3,1000000,0
2012-11-08,129,62.45,62.45,62.45,62.45,1000000,0
2012-11-09,130,61.95,61.95,61.95,61.95,1000000,0
2012-11-12,133,61.45,61.45,61.45,61.45,1000000,0
2012-11-13,134,61.7,61.7,61.7,61.7,1000000,0
2012-11-15,136,60.4,60.4,60.4,60.4,1000000,0
2012-11-16,137,60.05,60.05,60.05,60.05,1000000,0
2012-11-19,140,62.2,62.2,62.2,62.2,1000000,0
2012-11-20,141,60.9,60.9,60.9,60.9,1000000,0
2012-11-21,142,60.1,60.1,60.1,60.1,1000000,0
2012-11-22,143,59.9,59.9,59.9,59.9,1000000,0
2012-11-23,144,58.8,58.8,58.8,58.8,1000000,0
2012-11-26,147,58.25,58.25,58.25,58.25,1000000,0
2012-11-27,148,57.6,57.6,57.6,57.6,1000000,0
2012-11-29,150,57.85,57.85,57.85,57.85,1000000,0
2012-11-30,151,57.05,57.05,57.05,57.05,1000000,0
2012-12-03,154,58.15,58.15,58.15,58.15,1000000,0
2012-12-04,155,60.6,60.6,60.6,60.6,1000000,0
2012-12-05,156,60.75,60.75,60.75,60.75,1000000,0
2012-12-06,157,60.6,60.6,60.6,60.6,1000000,0
2012-12-07,158,60.25,60.25,60.25,60.25,1000000,0
2012-12-10,161,63.85,63.85,63.85,63.85,1000000,0
2012-12-11,162,63.3,63.3,63.3,63.3,1000000,0
2012-12-12,163,61.6,61.6,61.6,61.6,1000000,0
2012-12-13,164,60.25,60.25,60.25,60.25,1000000,0
