Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,9.07,9.07,9.07,9.07,1,0
2012-07-03,1,9.24,9.24,9.24,9.24,1,0
2012-07-04,2,9.34,9.34,9.34,9.34,1,0
2012-07-05,3,9.1,9.1,9.1,9.1,1,0
2012-07-06,4,9.05,9.05,9.05,9.05,1,0
2012-07-09,7,9.04,9.04,9.04,9.04,1,0
2012-07-10,8,9.01,9.01,9.01,9.01,1,0
2012-07-11,9,9.01,9.01,9.01,9.01,1,0
2012-07-12,10,8.91,8.91,8.91,8.91,1,0
2012-07-13,11,8.93,8.93,8.93,8.93,1,0
2012-07-16,14,9.0,9.0,9.0,9.0,1,0
2012-07-17,15,9.25,9.25,9.25,9.25,1,0
2012-07-18,16,8.96,8.96,8.96,8.96,1,0
2012-07-19,17,8.97,8.97,8.97,8.97,1,0
2012-07-20,18,9.06,9.06,9.06,9.06,1,0
2012-07-23,21,8.92,8.92,8.92,8.92,1,0
2012-07-24,22,8.76,8.76,8.76,8.76,1,0
2012-07-25,23,8.8,8.8,8.8,8.8,1,0
2012-07-26,24,8.77,8.77,8.77,8.77,1,0
2012-07-27,25,8.8,8.8,8.8,8.8,1,0
2012-07-30,28,9.0,9.0,9.0,9.0,1,0
2012-07-31,29,9.23,9.23,9.23,9.23,1,0
2012-08-01,30,9.22,9.22,9.22,9.22,1,0
2012-08-02,31,9.02,9.02,9.02,9.02,1,0
2012-08-03,32,9.0,9.0,9.0,9.0,1,0
2012-08-06,35,9.0,9.0,9.0,9.0,1,0
2012-08-07,36,9.1,9.1,9.1,9.1,1,0
2012-08-08,37,9.38,9.38,9.38,9.38,1,0
2012-08-09,38,9.14,9.14,9.14,9.14,1,0
2012-08-10,39,9.58,9.58,9.58,9.58,1,0
2012-08-13,42,9.68,9.68,9.68,9.68,1,0
2012-08-14,43,10.15,10.15,10.15,10.15,1,0
2012-08-16,45,10.4,10.4,10.4,10.4,1,0
2012-08-17,46,10.59,10.59,10.59,10.59,1,0
2012-08-21,50,12.38,12.38,12.38,12.38,1,0
2012-08-22,51,12.75,12.75,12.75,12.75,1,0
2012-08-23,52,12.36,12.36,12.36,12.36,1,0
2012-08-24,53,12.65,12.65,12.65,12.65,1,0
2012-08-27,56,12.65,12.65,12.65,12.65,1,0
2012-08-28,57,11.53,11.53,11.53,11.53,1,0
2012-08-29,58,11.9,11.9,11.9,11.9,1,0
2012-08-30,59,11.95,11.95,11.95,11.95,1,0
2012-08-31,60,11.32,11.32,11.32,11.32,1,0
2012-09-03,63,10.81,10.81,10.81,10.81,1,0
2012-09-04,64,9.82,9.82,9.82,9.82,1,0
2012-09-05,65,10.14,10.14,10.14,10.14,1,0
2012-09-06,66,10.56,10.56,10.56,10.56,1,0
2012-09-07,67,10.76,10.76,10.76,10.76,1,0
2012-09-10,70,11.27,11.27,11.27,11.27,1,0
2012-09-11,71,11.53,11.53,11.53,11.53,1,0
2012-09-12,72,11.35,11.35,11.35,11.35,1,0
2012-09-13,73,11.36,11.36,11.36,11.36,1,0
2012-09-14,74,11.24,11.24,11.24,11.24,1,0
2012-09-17,77,11.29,11.29,11.29,11.29,1,0
2012-09-18,78,11.4,11.4,11.4,11.4,1,0
2012-09-20,80,11.34,11.34,11.34,11.34,1,0
2012-09-21,81,11.41,11.41,11.41,11.41,1,0
2012-09-24,84,12.94,12.94,12.94,12.94,1,0
2012-09-25,85,12.61,12.61,12.61,12.61,1,0
2012-09-26,86,12.82,12.82,12.82,12.82,1,0
2012-09-27,87,12.93,12.93,12.93,12.93,1,0
2012-09-28,88,13.15,13.15,13.15,13.15,1,0
2012-10-01,91,13.38,13.38,13.38,13.38,1,0
2012-10-03,93,14.56,14.56,14.56,14.56,1,0
2012-10-04,94,14.33,14.33,14.33,14.33,1,0
2012-10-05,95,14.59,14.59,14.59,14.59,1,0
2012-10-08,98,14.57,14.57,14.57,14.57,1,0
2012-10-09,99,14.17,14.17,14.17,14.17,1,0
2012-10-10,100,13.63,13.63,13.63,13.63,1,0
2012-10-11,101,14.15,14.15,14.15,14.15,1,0
2012-10-12,102,13.67,13.67,13.67,13.67,1,0
2012-10-15,105,13.79,13.79,13.79,13.79,1,0
2012-10-16,106,14.0,14.0,14.0,14.0,1,0
2012-10-17,107,13.8,13.8,13.8,13.8,1,0
2012-10-18,108,13.95,13.95,13.95,13.95,1,0
2012-10-19,109,15.63,15.63,15.63,15.63,1,0
2012-10-22,112,15.59,15.59,15.59,15.59,1,0
2012-10-23,113,15.24,15.24,15.24,15.24,1,0
2012-10-25,115,14.9,14.9,14.9,14.9,1,0
2012-10-26,116,14.83,14.83,14.83,14.83,1,0
2012-10-29,119,14.63,14.63,14.63,14.63,1,0
2012-10-30,120,14.58,14.58,14.58,14.58,1,0
2012-10-31,121,15.6,15.6,15.6,15.6,1,0
2012-11-01,122,15.24,15.24,15.24,15.24,1,0
2012-11-02,123,15.47,15.47,15.47,15.47,1,0
2012-11-05,126,15.86,15.86,15.86,15.86,1,0
2012-11-06,127,18.4,18.4,18.4,18.4,1,0
2012-11-07,128,17.92,17.92,17.92,17.92,1,0
2012-11-08,129,17.73,17.73,17.73,17.73,1,0
2012-11-09,130,17.62,17.62,17.62,17.62,1,0
2012-11-12,133,17.61,17.61,17.61,17.61,1,0
2012-11-13,134,17.58,17.58,17.58,17.58,1,0
2012-11-15,136,17.0,17.0,17.0,17.0,1,0
2012-11-16,137,18.06,18.06,18.06,18.06,1,0
2012-11-19,140,18.66,18.66,18.66,18.66,1,0
2012-11-20,141,22.16,22.16,22.16,22.16,1,0
2012-11-21,142,22.99,22.99,22.99,22.99,1,0
2012-11-22,143,20.35,20.35,20.35,20.35,1,0
2012-11-23,144,20.17,20.17,20.17,20.17,1,0
2012-11-26,147,20.16,20.16,20.16,20.16,1,0
2012-11-27,148,19.58,19.58,19.58,19.58,1,0
2012-11-29,150,19.13,19.13,19.13,19.13,1,0
2012-11-30,151,18.52,18.52,18.52,18.52,1,0
2012-12-03,154,17.6,17.6,17.6,17.6,1,0
2012-12-04,155,16.98,16.98,16.98,16.98,1,0
2012-12-05,156,17.82,17.82,17.82,17.82,1,0
2012-12-06,157,18.22,18.22,18.22,18.22,1,0
2012-12-07,158,17.52,17.52,17.52,17.52,1,0
2012-12-10,161,17.57,17.57,17.57,17.57,1,0
2012-12-11,162,16.9,16.9,16.9,16.9,1,0
2012-12-12,163,16.4,16.4,16.4,16.4,1,0
2012-12-13,164,16.25,16.25,16.25,16.25,1,0
2012-12-14,165,16.0,16.0,16.0,16.0,1,0
2012-12-17,168,16.79,16.79,16.79,16.79,1,0
