Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,20.1,20.1,20.1,20.1,1000000,0
2012-07-03,1,19.775,19.775,19.775,19.775,1000000,0
2012-07-04,2,20.05,20.05,20.05,20.05,1000000,0
2012-07-05,3,20.0,20.0,20.0,20.0,1000000,0
2012-07-06,4,19.725,19.725,19.725,19.725,1000000,0
2012-07-09,7,20.125,20.125,20.125,20.125,1000000,0
2012-07-10,8,19.975,19.975,19.975,19.975,1000000,0
2012-07-11,9,19.725,19.725,19.725,19.725,1000000,0
2012-07-12,10,19.675,19.675,19.675,19.675,1000000,0
2012-07-13,11,19.575,19.575,19.575,19.575,1000000,0
2012-07-16,14,19.675,19.675,19.675,19.675,1000000,0
2012-07-17,15,19.925,19.925,19.925,19.925,1000000,0
2012-07-18,16,19.975,19.975,19.975,19.975,1000000,0
2012-07-19,17,20.05,20.05,20.05,20.05,1000000,0
2012-07-20,18,19.9,19.9,19.9,19.9,1000000,0
2012-07-23,21,19.8,19.8,19.8,19.8,1000000,0
2012-07-24,22,19.875,19.875,19.875,19.875,1000000,0
2012-07-25,23,19.625,19.625,19.625,19.625,1000000,0
2012-07-26,24,19.5,19.5,19.5,19.5,1000000,0
2012-07-27,25,19.65,19.65,19.65,19.65,1000000,0
2012-07-30,28,19.775,19.775,19.775,19.775,1000000,0
2012-07-31,29,19.75,19.75,19.75,19.75,1000000,0
2012-08-01,30,19.725,19.725,19.725,19.725,1000000,0
2012-08-02,31,19.65,19.65,19.65,19.65,1000000,0
2012-08-03,32,19.575,19.575,19.575,19.575,1000000,0
2012-08-06,35,19.525,19.525,19.525,19.525,1000000,0
2012-08-07,36,19.7,19.7,19.7,19.7,1000000,0
2012-08-08,37,20.2,20.2,20.2,20.2,1000000,0
2012-08-09,38,20.025,20.025,20.025,20.025,1000000,0
2012-08-10,39,19.875,19.875,19.875,19.875,1000000,0
2012-08-13,42,19.75,19.75,19.75,19.75,1000000,0
2012-08-14,43,20.0,20.0,20.0,20.0,1000000,0
2012-08-16,45,20.3,20.3,20.3,20.3,1000000,0
2012-08-17,46,20.325,20.325,20.325,20.325,1000000,0
2012-08-21,50,20.875,20.875,20.875,20.875,1000000,0
2012-08-22,51,21.225,21.225,21.225,21.225,1000000,0
2012-08-23,52,21.025,21.025,21.025,21.025,1000000,0
2012-08-24,53,21.225,21.225,21.225,21.225,1000000,0
2012-08-27,56,21.125,21.125,21.125,21.125,1000000,0
2012-08-28,57,21.3,21.3,21.3,21.3,1000000,0
2012-08-29,58,21.225,21.225,21.225,21.225,1000000,0
2012-08-30,59,21.25,21.25,21.25,21.25,1000000,0
2012-08-31,60,21.25,21.25,21.25,21.25,1000000,0
2012-09-03,63,21.25,21.25,21.25,21.25,1000000,0
2012-09-04,64,21.225,21.225,21.225,21.225,1000000,0
2012-09-05,65,21.15,21.15,21.15,21.15,1000000,0
2012-09-06,66,21.2,21.2,21.2,21.2,1000000,0
2012-09-07,67,21.425,21.425,21.425,21.425,1000000,0
2012-09-10,70,21.6,21.6,21.6,21.6,1000000,0
2012-09-11,71,22.125,22.125,22.125,22.125,1000000,0
2012-09-12,72,22.375,22.375,22.375,22.375,1000000,0
2012-09-13,73,23.025,23.025,23.025,23.025,1000000,0
2012-09-14,74,23.125,23.125,23.125,23.125,1000000,0
2012-09-17,77,23.1,23.1,23.1,23.1,1000000,0
2012-09-18,78,23.0,23.0,23.0,23.0,1000000,0
2012-09-20,80,23.0,23.0,23.0,23.0,1000000,0
2012-09-21,81,24.7,24.7,24.7,24.7,1000000,0
2012-09-24,84,26.225,26.225,26.225,26.225,1000000,0
2012-09-25,85,26.95,26.95,26.95,26.95,1000000,0
2012-09-26,86,27.45,27.45,27.45,27.45,1000000,0
2012-09-27,87,27.825,27.825,27.825,27.825,1000000,0
2012-09-28,88,29.95,29.95,29.95,29.95,1000000,0
2012-10-01,91,31.55,31.55,31.55,31.55,1000000,0
2012-10-03,93,31.15,31.15,31.15,31.15,1000000,0
2012-10-04,94,28.25,28.25,28.25,28.25,1000000,0
2012-10-05,95,26.0,26.0,26.0,26.0,1000000,0
2012-10-08,98,25.85,25.85,25.85,25.85,1000000,0
2012-10-09,99,26.05,26.05,26.05,26.05,1000000,0
2012-10-10,100,26.0,26.0,26.0,26.0,1000000,0
2012-10-11,101,26.825,26.825,26.825,26.825,1000000,0
2012-10-12,102,26.65,26.65,26.65,26.65,1000000,0
2012-10-15,105,26.325,26.325,26.325,26.325,1000000,0
2012-10-16,106,26.25,26.25,26.25,26.25,1000000,0
2012-10-17,107,26.175,26.175,26.175,26.175,1000000,0
2012-10-18,108,26.15,26.15,26.15,26.15,1000000,0
2012-10-19,109,26.075,26.075,26.075,26.075,1000000,0
2012-10-22,112,26.025,26.025,26.025,26.025,1000000,0
2012-10-23,113,26.0,26.0,26.0,26.0,1000000,0
2012-10-25,115,26.175,26.175,26.175,26.175,1000000,0
2012-10-26,116,26.15,26.15,26.15,26.15,1000000,0
2012-10-29,119,26.6,26.6,26.6,26.6,1000000,0
2012-10-30,120,27.575,27.575,27.575,27.575,1000000,0
2012-10-31,121,28.875,28.875,28.875,28.875,1000000,0
2012-11-01,122,28.5,28.5,28.5,28.5,1000000,0
