Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-03,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-04,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-05,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-06,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-09,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-10,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-11,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-12,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-13,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-16,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-17,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-18,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-19,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-20,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-23,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-24,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-25,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-26,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-27,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-30,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-07-31,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-01,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-02,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-03,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-06,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-07,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-08,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-09,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-10,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-13,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-14,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-16,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-17,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-21,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-22,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-23,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-24,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-27,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-28,364.0,138.25,138.25,138.25,138.25,1.0,0.0
2012-08-29,364.0,138.25,138.25,138.25,138.25,1.0,0.0
