Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,107.2,107.2,107.2,107.2,1000000,0
2012-07-03,1,107.35,107.35,107.35,107.35,1000000,0
2012-07-04,2,115.2,115.2,115.2,115.2,1000000,0
2012-07-05,3,116.75,116.75,116.75,116.75,1000000,0
2012-07-06,4,114.4,114.4,114.4,114.4,1000000,0
2012-07-09,7,109.75,109.75,109.75,109.75,1000000,0
2012-07-10,8,115.0,115.0,115.0,115.0,1000000,0
2012-07-11,9,113.0,113.0,113.0,113.0,1000000,0
2012-07-12,10,113.4,113.4,113.4,113.4,1000000,0
2012-07-13,11,113.2,113.2,113.2,113.2,1000000,0
2012-07-16,14,111.7,111.7,111.7,111.7,1000000,0
2012-07-17,15,108.95,108.95,108.95,108.95,1000000,0
2012-07-18,16,113.7,113.7,113.7,113.7,1000000,0
2012-07-19,17,115.65,115.65,115.65,115.65,1000000,0
2012-07-20,18,113.8,113.8,113.8,113.8,1000000,0
2012-07-23,21,109.2,109.2,109.2,109.2,1000000,0
2012-07-24,22,107.25,107.25,107.25,107.25,1000000,0
2012-07-25,23,105.9,105.9,105.9,105.9,1000000,0
2012-07-26,24,101.0,101.0,101.0,101.0,1000000,0
2012-07-27,25,99.95,99.95,99.95,99.95,1000000,0
2012-07-30,28,104.7,104.7,104.7,104.7,1000000,0
2012-07-31,29,106.3,106.3,106.3,106.3,1000000,0
2012-08-01,30,104.15,104.15,104.15,104.15,1000000,0
2012-08-02,31,107.05,107.05,107.05,107.05,1000000,0
2012-08-03,32,105.0,105.0,105.0,105.0,1000000,0
2012-08-06,35,107.15,107.15,107.15,107.15,1000000,0
2012-08-07,36,109.4,109.4,109.4,109.4,1000000,0
2012-08-08,37,108.75,108.75,108.75,108.75,1000000,0
2012-08-09,38,107.25,107.25,107.25,107.25,1000000,0
2012-08-10,39,105.15,105.15,105.15,105.15,1000000,0
2012-08-13,42,108.85,108.85,108.85,108.85,1000000,0
2012-08-14,43,111.3,111.3,111.3,111.3,1000000,0
2012-08-16,45,111.75,111.75,111.75,111.75,1000000,0
2012-08-17,46,112.7,112.7,112.7,112.7,1000000,0
2012-08-21,50,112.6,112.6,112.6,112.6,1000000,0
