Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,302.766666666667,302.766666666667,302.766666666667,302.766666666667,1000000,0
2012-07-03,1,298.866666666667,298.866666666667,298.866666666667,298.866666666667,1000000,0
2012-07-04,2,299.333333333333,299.333333333333,299.333333333333,299.333333333333,1000000,0
2012-07-05,3,299.833333333333,299.833333333333,299.833333333333,299.833333333333,1000000,0
2012-07-06,4,295.5,295.5,295.5,295.5,1000000,0
2012-07-09,7,291.833333333333,291.833333333333,291.833333333333,291.833333333333,1000000,0
2012-07-10,8,295.6,295.6,295.6,295.6,1000000,0
2012-07-11,9,296.033333333333,296.033333333333,296.033333333333,296.033333333333,1000000,0
2012-07-12,10,298.0,298.0,298.0,298.0,1000000,0
2012-07-13,11,299.8,299.8,299.8,299.8,1000000,0
2012-07-16,14,300.2,300.2,300.2,300.2,1000000,0
2012-07-17,15,300.066666666667,300.066666666667,300.066666666667,300.066666666667,1000000,0
2012-07-18,16,306.1,306.1,306.1,306.1,1000000,0
2012-07-19,17,302.733333333333,302.733333333333,302.733333333333,302.733333333333,1000000,0
2012-07-20,18,298.866666666667,298.866666666667,298.866666666667,298.866666666667,1000000,0
2012-07-23,21,289.333333333333,289.333333333333,289.333333333333,289.333333333333,1000000,0
2012-07-24,22,293.4,293.4,293.4,293.4,1000000,0
2012-07-25,23,291.0,291.0,291.0,291.0,1000000,0
2012-07-26,24,287.066666666667,287.066666666667,287.066666666667,287.066666666667,1000000,0
2012-07-27,25,280.366666666667,280.366666666667,280.366666666667,280.366666666667,1000000,0
2012-07-30,28,279.633333333333,279.633333333333,279.633333333333,279.633333333333,1000000,0
2012-07-31,29,284.266666666667,284.266666666667,284.266666666667,284.266666666667,1000000,0
2012-08-01,30,284.3,284.3,284.3,284.3,1000000,0
2012-08-02,31,286.433333333333,286.433333333333,286.433333333333,286.433333333333,1000000,0
2012-08-03,32,292.233333333333,292.233333333333,292.233333333333,292.233333333333,1000000,0
2012-08-06,35,294.166666666667,294.166666666667,294.166666666667,294.166666666667,1000000,0
2012-08-07,36,298.266666666667,298.266666666667,298.266666666667,298.266666666667,1000000,0
2012-08-08,37,300.6,300.6,300.6,300.6,1000000,0
2012-08-09,38,344.433333333333,344.433333333333,344.433333333333,344.433333333333,1000000,0
2012-08-10,39,340.066666666667,340.066666666667,340.066666666667,340.066666666667,1000000,0
2012-08-13,42,368.766666666667,368.766666666667,368.766666666667,368.766666666667,1000000,0
2012-08-14,43,375.7,375.7,375.7,375.7,1000000,0
2012-08-16,45,358.233333333333,358.233333333333,358.233333333333,358.233333333333,1000000,0
2012-08-17,46,355.3,355.3,355.3,355.3,1000000,0
2012-08-21,50,337.9,337.9,337.9,337.9,1000000,0
2012-08-22,51,346.3,346.3,346.3,346.3,1000000,0
2012-08-23,52,338.6,338.6,338.6,338.6,1000000,0
2012-08-24,53,338.8,338.8,338.8,338.8,1000000,0
2012-08-27,56,343.7,343.7,343.7,343.7,1000000,0
2012-08-28,57,340.866666666667,340.866666666667,340.866666666667,340.866666666667,1000000,0
2012-08-29,58,332.433333333333,332.433333333333,332.433333333333,332.433333333333,1000000,0
