Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,200.5,200.5,200.5,200.5,1000000,0
2012-07-03,1,200.2,200.2,200.2,200.2,1000000,0
2012-07-04,2,219.95,219.95,219.95,219.95,1000000,0
2012-07-05,3,221.4,221.4,221.4,221.4,1000000,0
2012-07-06,4,227.45,227.45,227.45,227.45,1000000,0
2012-07-09,7,224.7,224.7,224.7,224.7,1000000,0
2012-07-10,8,228.9,228.9,228.9,228.9,1000000,0
2012-07-11,9,230.4,230.4,230.4,230.4,1000000,0
2012-07-12,10,219.45,219.45,219.45,219.45,1000000,0
2012-07-13,11,218.45,218.45,218.45,218.45,1000000,0
2012-07-16,14,220.85,220.85,220.85,220.85,1000000,0
2012-07-17,15,216.7,216.7,216.7,216.7,1000000,0
2012-07-18,16,215.45,215.45,215.45,215.45,1000000,0
2012-07-19,17,214.5,214.5,214.5,214.5,1000000,0
2012-07-20,18,215.15,215.15,215.15,215.15,1000000,0
2012-07-23,21,209.7,209.7,209.7,209.7,1000000,0
2012-07-24,22,209.5,209.5,209.5,209.5,1000000,0
2012-07-25,23,212.3,212.3,212.3,212.3,1000000,0
2012-07-26,24,215.15,215.15,215.15,215.15,1000000,0
2012-07-27,25,219.8,219.8,219.8,219.8,1000000,0
2012-07-30,28,220.15,220.15,220.15,220.15,1000000,0
2012-07-31,29,222.95,222.95,222.95,222.95,1000000,0
2012-08-01,30,224.45,224.45,224.45,224.45,1000000,0
2012-08-02,31,220.4,220.4,220.4,220.4,1000000,0
2012-08-03,32,221.3,221.3,221.3,221.3,1000000,0
2012-08-06,35,229.8,229.8,229.8,229.8,1000000,0
2012-08-07,36,236.5,236.5,236.5,236.5,1000000,0
2012-08-08,37,245.0,245.0,245.0,245.0,1000000,0
2012-08-09,38,239.35,239.35,239.35,239.35,1000000,0
2012-08-10,39,241.95,241.95,241.95,241.95,1000000,0
2012-08-13,42,253.7,253.7,253.7,253.7,1000000,0
2012-08-14,43,257.85,257.85,257.85,257.85,1000000,0
2012-08-16,45,256.5,256.5,256.5,256.5,1000000,0
2012-08-17,46,263.4,263.4,263.4,263.4,1000000,0
2012-08-21,50,259.4,259.4,259.4,259.4,1000000,0
2012-08-22,51,261.15,261.15,261.15,261.15,1000000,0
