Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,118.9,118.9,118.9,118.9,1000000,0
2012-07-03,1,119.45,119.45,119.45,119.45,1000000,0
2012-07-04,2,120.05,120.05,120.05,120.05,1000000,0
2012-07-05,3,119.8,119.8,119.8,119.8,1000000,0
2012-07-06,4,118.75,118.75,118.75,118.75,1000000,0
2012-07-09,7,115.15,115.15,115.15,115.15,1000000,0
2012-07-10,8,117.5,117.5,117.5,117.5,1000000,0
2012-07-11,9,117.65,117.65,117.65,117.65,1000000,0
2012-07-12,10,116.95,116.95,116.95,116.95,1000000,0
2012-07-13,11,116.55,116.55,116.55,116.55,1000000,0
2012-07-16,14,113.8,113.8,113.8,113.8,1000000,0
2012-07-17,15,112.6,112.6,112.6,112.6,1000000,0
2012-07-18,16,112.9,112.9,112.9,112.9,1000000,0
2012-07-19,17,112.8,112.8,112.8,112.8,1000000,0
2012-07-20,18,111.95,111.95,111.95,111.95,1000000,0
2012-07-23,21,110.1,110.1,110.1,110.1,1000000,0
2012-07-24,22,113.0,113.0,113.0,113.0,1000000,0
2012-07-25,23,108.7,108.7,108.7,108.7,1000000,0
2012-07-26,24,106.7,106.7,106.7,106.7,1000000,0
2012-07-27,25,103.95,103.95,103.95,103.95,1000000,0
2012-07-30,28,105.35,105.35,105.35,105.35,1000000,0
2012-07-31,29,102.1,102.1,102.1,102.1,1000000,0
2012-08-01,30,102.65,102.65,102.65,102.65,1000000,0
2012-08-02,31,102.1,102.1,102.1,102.1,1000000,0
2012-08-03,32,100.8,100.8,100.8,100.8,1000000,0
2012-08-06,35,99.95,99.95,99.95,99.95,1000000,0
2012-08-07,36,99.5,99.5,99.5,99.5,1000000,0
2012-08-08,37,99.7,99.7,99.7,99.7,1000000,0
2012-08-09,38,99.85,99.85,99.85,99.85,1000000,0
2012-08-10,39,102.95,102.95,102.95,102.95,1000000,0
2012-08-13,42,101.95,101.95,101.95,101.95,1000000,0
2012-08-14,43,100.1,100.1,100.1,100.1,1000000,0
2012-08-16,45,102.0,102.0,102.0,102.0,1000000,0
2012-08-17,46,99.6,99.6,99.6,99.6,1000000,0
2012-08-21,50,99.3,99.3,99.3,99.3,1000000,0
2012-08-22,51,98.85,98.85,98.85,98.85,1000000,0
2012-08-23,52,97.0,97.0,97.0,97.0,1000000,0
2012-08-24,53,96.3,96.3,96.3,96.3,1000000,0
2012-08-27,56,95.9,95.9,95.9,95.9,1000000,0
2012-08-28,57,86.7,86.7,86.7,86.7,1000000,0
2012-08-29,58,91.55,91.55,91.55,91.55,1000000,0
2012-08-30,59,94.0,94.0,94.0,94.0,1000000,0
2012-08-31,60,94.2,94.2,94.2,94.2,1000000,0
2012-09-03,63,93.9,93.9,93.9,93.9,1000000,0
2012-09-04,64,93.95,93.95,93.95,93.95,1000000,0
2012-09-05,65,96.0,96.0,96.0,96.0,1000000,0
2012-09-06,66,97.3,97.3,97.3,97.3,1000000,0
2012-09-07,67,102.55,102.55,102.55,102.55,1000000,0
2012-09-10,70,103.15,103.15,103.15,103.15,1000000,0
2012-09-11,71,102.8,102.8,102.8,102.8,1000000,0
2012-09-12,72,100.65,100.65,100.65,100.65,1000000,0
2012-09-13,73,100.05,100.05,100.05,100.05,1000000,0
2012-09-14,74,101.1,101.1,101.1,101.1,1000000,0
2012-09-17,77,101.5,101.5,101.5,101.5,1000000,0
2012-09-18,78,102.55,102.55,102.55,102.55,1000000,0
2012-09-20,80,101.6,101.6,101.6,101.6,1000000,0
2012-09-21,81,101.5,101.5,101.5,101.5,1000000,0
2012-09-24,84,102.0,102.0,102.0,102.0,1000000,0
2012-09-25,85,101.1,101.1,101.1,101.1,1000000,0
2012-09-26,86,100.65,100.65,100.65,100.65,1000000,0
2012-09-27,87,100.0,100.0,100.0,100.0,1000000,0
2012-09-28,88,101.35,101.35,101.35,101.35,1000000,0
2012-10-01,91,100.75,100.75,100.75,100.75,1000000,0
2012-10-03,93,100.2,100.2,100.2,100.2,1000000,0
2012-10-04,94,100.3,100.3,100.3,100.3,1000000,0
2012-10-05,95,100.15,100.15,100.15,100.15,1000000,0
2012-10-08,98,99.95,99.95,99.95,99.95,1000000,0
2012-10-09,99,100.0,100.0,100.0,100.0,1000000,0
2012-10-10,100,98.7,98.7,98.7,98.7,1000000,0
2012-10-11,101,99.65,99.65,99.65,99.65,1000000,0
2012-10-12,102,99.4,99.4,99.4,99.4,1000000,0
2012-10-15,105,98.95,98.95,98.95,98.95,1000000,0
2012-10-16,106,97.25,97.25,97.25,97.25,1000000,0
2012-10-17,107,97.05,97.05,97.05,97.05,1000000,0
2012-10-18,108,98.1,98.1,98.1,98.1,1000000,0
2012-10-19,109,98.05,98.05,98.05,98.05,1000000,0
2012-10-22,112,98.0,98.0,98.0,98.0,1000000,0
2012-10-23,113,97.3,97.3,97.3,97.3,1000000,0
2012-10-25,115,97.55,97.55,97.55,97.55,1000000,0
2012-10-26,116,98.05,98.05,98.05,98.05,1000000,0
2012-10-29,119,97.6,97.6,97.6,97.6,1000000,0
2012-10-30,120,97.0,97.0,97.0,97.0,1000000,0
2012-10-31,121,96.7,96.7,96.7,96.7,1000000,0
2012-11-01,122,98.1,98.1,98.1,98.1,1000000,0
2012-11-02,123,97.5,97.5,97.5,97.5,1000000,0
2012-11-05,126,96.95,96.95,96.95,96.95,1000000,0
2012-11-06,127,100.4,100.4,100.4,100.4,1000000,0
2012-11-07,128,101.45,101.45,101.45,101.45,1000000,0
2012-11-08,129,103.05,103.05,103.05,103.05,1000000,0
2012-11-09,130,100.65,100.65,100.65,100.65,1000000,0
