Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,1505.85,1505.85,1505.85,1505.85,1,0
2012-07-03,1,1488.2,1488.2,1488.2,1488.2,1,0
2012-07-04,2,1474.4,1474.4,1474.4,1474.4,1,0
2012-07-05,3,1500.8,1500.8,1500.8,1500.8,1,0
2012-07-06,4,1481.15,1481.15,1481.15,1481.15,1,0
2012-07-09,7,1491.5,1491.5,1491.5,1491.5,1,0
2012-07-10,8,1507.15,1507.15,1507.15,1507.15,1,0
2012-07-11,9,1492.2,1492.2,1492.2,1492.2,1,0
2012-07-12,10,1480.4,1480.4,1480.4,1480.4,1,0
2012-07-13,11,1481.0,1481.0,1481.0,1481.0,1,0
2012-07-16,14,1450.2,1450.2,1450.2,1450.2,1,0
2012-07-17,15,1459.75,1459.75,1459.75,1459.75,1,0
2012-07-18,16,1466.4,1466.4,1466.4,1466.4,1,0
2012-07-19,17,1489.45,1489.45,1489.45,1489.45,1,0
2012-07-20,18,1476.9,1476.9,1476.9,1476.9,1,0
2012-07-23,21,1454.55,1454.55,1454.55,1454.55,1,0
2012-07-24,22,1459.75,1459.75,1459.75,1459.75,1,0
2012-07-25,23,1477.0,1477.0,1477.0,1477.0,1,0
2012-07-26,24,1504.3,1504.3,1504.3,1504.3,1,0
2012-07-27,25,1539.7,1539.7,1539.7,1539.7,1,0
2012-07-30,28,1545.45,1545.45,1545.45,1545.45,1,0
2012-07-31,29,1519.75,1519.75,1519.75,1519.75,1,0
2012-08-01,30,1510.45,1510.45,1510.45,1510.45,1,0
2012-08-02,31,1517.5,1517.5,1517.5,1517.5,1,0
2012-08-03,32,1509.9,1509.9,1509.9,1509.9,1,0
2012-08-06,35,1507.0,1507.0,1507.0,1507.0,1,0
2012-08-07,36,1528.95,1528.95,1528.95,1528.95,1,0
2012-08-08,37,1521.0,1521.0,1521.0,1521.0,1,0
2012-08-09,38,1515.7,1515.7,1515.7,1515.7,1,0
2012-08-10,39,1510.3,1510.3,1510.3,1510.3,1,0
2012-08-13,42,1500.95,1500.95,1500.95,1500.95,1,0
2012-08-14,43,1487.2,1487.2,1487.2,1487.2,1,0
2012-08-16,45,1539.25,1539.25,1539.25,1539.25,1,0
2012-08-17,46,1568.9,1568.9,1568.9,1568.9,1,0
2012-08-21,50,1594.85,1594.85,1594.85,1594.85,1,0
2012-08-22,51,1578.8,1578.8,1578.8,1578.8,1,0
2012-08-23,52,1558.35,1558.35,1558.35,1558.35,1,0
2012-08-24,53,1561.0,1561.0,1561.0,1561.0,1,0
2012-08-27,56,1605.35,1605.35,1605.35,1605.35,1,0
2012-08-28,57,1599.85,1599.85,1599.85,1599.85,1,0
2012-08-29,58,1600.1,1600.1,1600.1,1600.1,1,0
2012-08-30,59,1590.95,1590.95,1590.95,1590.95,1,0
2012-08-31,60,1579.65,1579.65,1579.65,1579.65,1,0
2012-09-03,63,1599.4,1599.4,1599.4,1599.4,1,0
2012-09-04,64,1585.75,1585.75,1585.75,1585.75,1,0
2012-09-05,65,1581.9,1581.9,1581.9,1581.9,1,0
2012-09-06,66,1599.65,1599.65,1599.65,1599.65,1,0
2012-09-07,67,1600.2,1600.2,1600.2,1600.2,1,0
2012-09-10,70,1593.4,1593.4,1593.4,1593.4,1,0
2012-09-11,71,1571.95,1571.95,1571.95,1571.95,1,0
2012-09-12,72,1603.0,1603.0,1603.0,1603.0,1,0
2012-09-13,73,1601.8,1601.8,1601.8,1601.8,1,0
2012-09-14,74,1579.9,1579.9,1579.9,1579.9,1,0
2012-09-17,77,1577.05,1577.05,1577.05,1577.05,1,0
2012-09-18,78,1573.35,1573.35,1573.35,1573.35,1,0
2012-09-20,80,1564.6,1564.6,1564.6,1564.6,1,0
2012-09-21,81,1557.25,1557.25,1557.25,1557.25,1,0
2012-09-24,84,1621.35,1621.35,1621.35,1621.35,1,0
2012-09-25,85,1660.1,1660.1,1660.1,1660.1,1,0
2012-09-26,86,1618.0,1618.0,1618.0,1618.0,1,0
2012-09-27,87,1631.5,1631.5,1631.5,1631.5,1,0
2012-09-28,88,1616.7,1616.7,1616.7,1616.7,1,0
2012-10-01,91,1649.65,1649.65,1649.65,1649.65,1,0
2012-10-03,93,1634.65,1634.65,1634.65,1634.65,1,0
2012-10-04,94,1633.3,1633.3,1633.3,1633.3,1,0
2012-10-05,95,1629.25,1629.25,1629.25,1629.25,1,0
2012-10-08,98,1629.65,1629.65,1629.65,1629.65,1,0
2012-10-09,99,1625.7,1625.7,1625.7,1625.7,1,0
2012-10-10,100,1610.4,1610.4,1610.4,1610.4,1,0
2012-10-11,101,1607.0,1607.0,1607.0,1607.0,1,0
2012-10-12,102,1616.15,1616.15,1616.15,1616.15,1,0
2012-10-15,105,1598.35,1598.35,1598.35,1598.35,1,0
2012-10-16,106,1615.45,1615.45,1615.45,1615.45,1,0
2012-10-17,107,1633.25,1633.25,1633.25,1633.25,1,0
2012-10-18,108,1624.95,1624.95,1624.95,1624.95,1,0
2012-10-19,109,1635.65,1635.65,1635.65,1635.65,1,0
2012-10-22,112,1655.35,1655.35,1655.35,1655.35,1,0
2012-10-23,113,1673.15,1673.15,1673.15,1673.15,1,0
2012-10-25,115,1612.95,1612.95,1612.95,1612.95,1,0
2012-10-26,116,1616.7,1616.7,1616.7,1616.7,1,0
2012-10-29,119,1612.05,1612.05,1612.05,1612.05,1,0
2012-10-30,120,1589.8,1589.8,1589.8,1589.8,1,0
2012-10-31,121,1603.85,1603.85,1603.85,1603.85,1,0
2012-11-01,122,1626.95,1626.95,1626.95,1626.95,1,0
2012-11-02,123,1606.85,1606.85,1606.85,1606.85,1,0
2012-11-05,126,1602.5,1602.5,1602.5,1602.5,1,0
2012-11-06,127,1590.95,1590.95,1590.95,1590.95,1,0
2012-11-07,128,1562.95,1562.95,1562.95,1562.95,1,0
2012-11-08,129,1580.75,1580.75,1580.75,1580.75,1,0
2012-11-09,130,1574.05,1574.05,1574.05,1574.05,1,0
2012-11-12,133,1557.25,1557.25,1557.25,1557.25,1,0
2012-11-13,134,1575.9,1575.9,1575.9,1575.9,1,0
2012-11-15,136,1536.15,1536.15,1536.15,1536.15,1,0
2012-11-16,137,1539.05,1539.05,1539.05,1539.05,1,0
2012-11-19,140,1562.85,1562.85,1562.85,1562.85,1,0
2012-11-20,141,1556.4,1556.4,1556.4,1556.4,1,0
2012-11-21,142,1536.4,1536.4,1536.4,1536.4,1,0
2012-11-22,143,1571.45,1571.45,1571.45,1571.45,1,0
2012-11-23,144,1547.3,1547.3,1547.3,1547.3,1,0
2012-11-26,147,1560.25,1560.25,1560.25,1560.25,1,0
2012-11-27,148,1580.2,1580.2,1580.2,1580.2,1,0
2012-11-29,150,1581.25,1581.25,1581.25,1581.25,1,0
2012-11-30,151,1582.05,1582.05,1582.05,1582.05,1,0
2012-12-03,154,1573.6,1573.6,1573.6,1573.6,1,0
2012-12-04,155,1600.6,1600.6,1600.6,1600.6,1,0
2012-12-05,156,1590.6,1590.6,1590.6,1590.6,1,0
2012-12-06,157,1591.0,1591.0,1591.0,1591.0,1,0
2012-12-07,158,1590.55,1590.55,1590.55,1590.55,1,0
2012-12-10,161,1610.5,1610.5,1610.5,1610.5,1,0
2012-12-11,162,1607.25,1607.25,1607.25,1607.25,1,0
2012-12-12,163,1715.95,1715.95,1715.95,1715.95,1,0
2012-12-13,164,1710.0,1710.0,1710.0,1710.0,1,0
