Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,154.59,154.59,154.59,154.59,1,0
2012-07-03,1,151.03,151.03,151.03,151.03,1,0
2012-07-04,2,152.36,152.36,152.36,152.36,1,0
2012-07-05,3,153.0,153.0,153.0,153.0,1,0
2012-07-06,4,153.59,153.59,153.59,153.59,1,0
2012-07-09,7,154.85,154.85,154.85,154.85,1,0
2012-07-10,8,152.69,152.69,152.69,152.69,1,0
2012-07-11,9,153.02,153.02,153.02,153.02,1,0
2012-07-12,10,156.0,156.0,156.0,156.0,1,0
2012-07-13,11,156.54,156.54,156.54,156.54,1,0
2012-07-16,14,159.96,159.96,159.96,159.96,1,0
2012-07-17,15,166.56,166.56,166.56,166.56,1,0
2012-07-18,16,174.06,174.06,174.06,174.06,1,0
2012-07-19,17,174.73,174.73,174.73,174.73,1,0
2012-07-20,18,176.21,176.21,176.21,176.21,1,0
2012-07-23,21,172.1,172.1,172.1,172.1,1,0
2012-07-24,22,170.88,170.88,170.88,170.88,1,0
2012-07-25,23,172.02,172.02,172.02,172.02,1,0
2012-07-26,24,174.05,174.05,174.05,174.05,1,0
2012-07-27,25,172.11,172.11,172.11,172.11,1,0
2012-07-30,28,173.53,173.53,173.53,173.53,1,0
2012-07-31,29,176.36,176.36,176.36,176.36,1,0
2012-08-01,30,180.64,180.64,180.64,180.64,1,0
2012-08-02,31,179.23,179.23,179.23,179.23,1,0
2012-08-03,32,179.54,179.54,179.54,179.54,1,0
2012-08-06,35,180.61,180.61,180.61,180.61,1,0
2012-08-07,36,177.09,177.09,177.09,177.09,1,0
2012-08-08,37,179.44,179.44,179.44,179.44,1,0
2012-08-09,38,174.62,174.62,174.62,174.62,1,0
2012-08-10,39,175.23,175.23,175.23,175.23,1,0
2012-08-13,42,175.98,175.98,175.98,175.98,1,0
2012-08-14,43,173.81,173.81,173.81,173.81,1,0
2012-08-16,45,172.83,172.83,172.83,172.83,1,0
2012-08-17,46,175.15,175.15,175.15,175.15,1,0
2012-08-21,50,172.57,172.57,172.57,172.57,1,0
2012-08-22,51,175.55,175.55,175.55,175.55,1,0
2012-08-23,52,174.19,174.19,174.19,174.19,1,0
2012-08-24,53,175.11,175.11,175.11,175.11,1,0
2012-08-27,56,176.6,176.6,176.6,176.6,1,0
2012-08-28,57,176.29,176.29,176.29,176.29,1,0
2012-08-29,58,176.28,176.28,176.28,176.28,1,0
2012-08-30,59,179.0,179.0,179.0,179.0,1,0
2012-08-31,60,181.4,181.4,181.4,181.4,1,0
2012-09-03,63,180.9,180.9,180.9,180.9,1,0
2012-09-04,64,180.51,180.51,180.51,180.51,1,0
2012-09-05,65,180.52,180.52,180.52,180.52,1,0
2012-09-06,66,177.19,177.19,177.19,177.19,1,0
2012-09-07,67,179.54,179.54,179.54,179.54,1,0
2012-09-10,70,183.06,183.06,183.06,183.06,1,0
2012-09-11,71,189.26,189.26,189.26,189.26,1,0
2012-09-12,72,187.67,187.67,187.67,187.67,1,0
2012-09-13,73,183.91,183.91,183.91,183.91,1,0
2012-09-14,74,179.44,179.44,179.44,179.44,1,0
2012-09-17,77,173.69,173.69,173.69,173.69,1,0
2012-09-18,78,168.26,168.26,168.26,168.26,1,0
2012-09-20,80,167.31,167.31,167.31,167.31,1,0
2012-09-21,81,172.21,172.21,172.21,172.21,1,0
2012-09-24,84,165.73,165.73,165.73,165.73,1,0
2012-09-25,85,166.53,166.53,166.53,166.53,1,0
2012-09-26,86,169.32,169.32,169.32,169.32,1,0
2012-09-27,87,168.84,168.84,168.84,168.84,1,0
2012-09-28,88,174.72,174.72,174.72,174.72,1,0
2012-10-01,91,170.06,170.06,170.06,170.06,1,0
2012-10-03,93,171.95,171.95,171.95,171.95,1,0
2012-10-04,94,166.07,166.07,166.07,166.07,1,0
2012-10-05,95,163.88,163.88,163.88,163.88,1,0
2012-10-08,98,168.19,168.19,168.19,168.19,1,0
2012-10-09,99,170.91,170.91,170.91,170.91,1,0
2012-10-10,100,171.42,171.42,171.42,171.42,1,0
2012-10-11,101,165.05,165.05,165.05,165.05,1,0
2012-10-12,102,168.4,168.4,168.4,168.4,1,0
2012-10-15,105,170.11,170.11,170.11,170.11,1,0
2012-10-16,106,170.04,170.04,170.04,170.04,1,0
2012-10-17,107,173.02,173.02,173.02,173.02,1,0
2012-10-18,108,173.6,173.6,173.6,173.6,1,0
2012-10-19,109,170.18,170.18,170.18,170.18,1,0
2012-10-22,112,172.07,172.07,172.07,172.07,1,0
2012-10-23,113,173.06,173.06,173.06,173.06,1,0
2012-10-25,115,175.18,175.18,175.18,175.18,1,0
2012-10-26,116,173.3,173.3,173.3,173.3,1,0
2012-10-29,119,171.49,171.49,171.49,171.49,1,0
2012-10-30,120,171.91,171.91,171.91,171.91,1,0
2012-10-31,121,174.24,174.24,174.24,174.24,1,0
2012-11-01,122,172.94,172.94,172.94,172.94,1,0
2012-11-02,123,173.74,173.74,173.74,173.74,1,0
2012-11-05,126,177.93,177.93,177.93,177.93,1,0
2012-11-06,127,177.56,177.56,177.56,177.56,1,0
2012-11-07,128,171.98,171.98,171.98,171.98,1,0
2012-11-08,129,165.78,165.78,165.78,165.78,1,0
2012-11-09,130,168.73,168.73,168.73,168.73,1,0
2012-11-12,133,166.38,166.38,166.38,166.38,1,0
2012-11-13,134,168.35,168.35,168.35,168.35,1,0
2012-11-15,136,165.64,165.64,165.64,165.64,1,0
2012-11-16,137,163.84,163.84,163.84,163.84,1,0
2012-11-19,140,159.11,159.11,159.11,159.11,1,0
2012-11-20,141,160.06,160.06,160.06,160.06,1,0
2012-11-21,142,159.07,159.07,159.07,159.07,1,0
2012-11-22,143,163.44,163.44,163.44,163.44,1,0
2012-11-23,144,164.28,164.28,164.28,164.28,1,0
2012-11-26,147,164.77,164.77,164.77,164.77,1,0
2012-11-27,148,164.03,164.03,164.03,164.03,1,0
2012-11-29,150,164.44,164.44,164.44,164.44,1,0
2012-11-30,151,167.37,167.37,167.37,167.37,1,0
2012-12-03,154,169.4,169.4,169.4,169.4,1,0
2012-12-04,155,170.66,170.66,170.66,170.66,1,0
2012-12-05,156,169.6,169.6,169.6,169.6,1,0
2012-12-06,157,167.76,167.76,167.76,167.76,1,0
2012-12-07,158,169.74,169.74,169.74,169.74,1,0
2012-12-10,161,168.68,168.68,168.68,168.68,1,0
2012-12-11,162,169.18,169.18,169.18,169.18,1,0
2012-12-12,163,169.41,169.41,169.41,169.41,1,0
2012-12-13,164,171.85,171.85,171.85,171.85,1,0
2012-12-14,165,172.44,172.44,172.44,172.44,1,0
2012-12-17,168,174.08,174.08,174.08,174.08,1,0
2012-12-18,169,174.62,174.62,174.62,174.62,1,0
2012-12-19,170,177.46,177.46,177.46,177.46,1,0
2012-12-20,171,177.33,177.33,177.33,177.33,1,0
2012-12-21,172,177.35,177.35,177.35,177.35,1,0
2012-12-24,175,175.89,175.89,175.89,175.89,1,0
2012-12-26,177,177.02,177.02,177.02,177.02,1,0
2012-12-27,178,178.15,178.15,178.15,178.15,1,0
2012-12-28,179,180.31,180.31,180.31,180.31,1,0
2012-12-31,182,180.39,180.39,180.39,180.39,1,0
2013-01-01,183,179.82,179.82,179.82,179.82,1,0
2013-01-02,183,179.82,179.82,179.82,179.82,1,0
2013-01-03,183,179.82,179.82,179.82,179.82,1,0
2013-01-04,183,179.82,179.82,179.82,179.82,1,0
2013-01-07,183,179.82,179.82,179.82,179.82,1,0
2013-01-08,183,179.82,179.82,179.82,179.82,1,0
2013-01-09,183,179.82,179.82,179.82,179.82,1,0
2013-01-10,183,179.82,179.82,179.82,179.82,1,0
2013-01-11,183,179.82,179.82,179.82,179.82,1,0
2013-01-14,183,179.82,179.82,179.82,179.82,1,0
2013-01-15,183,179.82,179.82,179.82,179.82,1,0
2013-01-16,183,179.82,179.82,179.82,179.82,1,0
2013-01-17,183,179.82,179.82,179.82,179.82,1,0
2013-01-18,183,179.82,179.82,179.82,179.82,1,0
2013-01-21,183,179.82,179.82,179.82,179.82,1,0
2013-01-22,183,179.82,179.82,179.82,179.82,1,0
2013-01-23,183,179.82,179.82,179.82,179.82,1,0
2013-01-24,183,179.82,179.82,179.82,179.82,1,0
2013-01-25,183,179.82,179.82,179.82,179.82,1,0
2013-01-28,183,179.82,179.82,179.82,179.82,1,0
2013-01-29,183,179.82,179.82,179.82,179.82,1,0
2013-01-30,183,179.82,179.82,179.82,179.82,1,0
2013-01-31,183,179.82,179.82,179.82,179.82,1,0
2013-02-01,183,179.82,179.82,179.82,179.82,1,0
2013-02-04,183,179.82,179.82,179.82,179.82,1,0
2013-02-05,183,179.82,179.82,179.82,179.82,1,0
2013-02-06,183,179.82,179.82,179.82,179.82,1,0
2013-02-07,183,179.82,179.82,179.82,179.82,1,0
2013-02-08,183,179.82,179.82,179.82,179.82,1,0
2013-02-11,183,179.82,179.82,179.82,179.82,1,0
2013-02-12,183,179.82,179.82,179.82,179.82,1,0
2013-02-13,183,179.82,179.82,179.82,179.82,1,0
2013-02-14,183,179.82,179.82,179.82,179.82,1,0
2013-02-15,183,179.82,179.82,179.82,179.82,1,0
2013-02-18,183,179.82,179.82,179.82,179.82,1,0
2013-02-19,183,179.82,179.82,179.82,179.82,1,0
2013-02-20,183,179.82,179.82,179.82,179.82,1,0
2013-02-21,183,179.82,179.82,179.82,179.82,1,0
2013-02-22,183,179.82,179.82,179.82,179.82,1,0
2013-02-25,183,179.82,179.82,179.82,179.82,1,0
2013-02-26,183,179.82,179.82,179.82,179.82,1,0
2013-02-27,183,179.82,179.82,179.82,179.82,1,0
2013-02-28,183,179.82,179.82,179.82,179.82,1,0
2013-03-01,183,179.82,179.82,179.82,179.82,1,0
2013-03-04,183,179.82,179.82,179.82,179.82,1,0
2013-03-05,183,179.82,179.82,179.82,179.82,1,0
2013-03-06,183,179.82,179.82,179.82,179.82,1,0
2013-03-07,183,179.82,179.82,179.82,179.82,1,0
2013-03-08,183,179.82,179.82,179.82,179.82,1,0
2013-03-11,183,179.82,179.82,179.82,179.82,1,0
2013-03-12,183,179.82,179.82,179.82,179.82,1,0
2013-03-13,183,179.82,179.82,179.82,179.82,1,0
2013-03-14,183,179.82,179.82,179.82,179.82,1,0
2013-03-15,183,179.82,179.82,179.82,179.82,1,0
2013-03-18,183,179.82,179.82,179.82,179.82,1,0
2013-03-19,183,179.82,179.82,179.82,179.82,1,0
2013-03-20,183,179.82,179.82,179.82,179.82,1,0
2013-03-21,183,179.82,179.82,179.82,179.82,1,0
2013-03-22,183,179.82,179.82,179.82,179.82,1,0
2013-03-25,183,179.82,179.82,179.82,179.82,1,0
2013-03-26,183,179.82,179.82,179.82,179.82,1,0
2013-03-28,183,179.82,179.82,179.82,179.82,1,0
2013-04-01,183,179.82,179.82,179.82,179.82,1,0
2013-04-02,183,179.82,179.82,179.82,179.82,1,0
2013-04-03,183,179.82,179.82,179.82,179.82,1,0
2013-04-04,183,179.82,179.82,179.82,179.82,1,0
2013-04-05,183,179.82,179.82,179.82,179.82,1,0
2013-04-08,183,179.82,179.82,179.82,179.82,1,0
2013-04-09,183,179.82,179.82,179.82,179.82,1,0
2013-04-10,183,179.82,179.82,179.82,179.82,1,0
2013-04-11,183,179.82,179.82,179.82,179.82,1,0
2013-04-12,183,179.82,179.82,179.82,179.82,1,0
