Date,Days Since Start,close,open,high,low,volume,dividend
2012-07-02,0,410.0,410.0,410.0,410.0,1000000,0
2012-07-03,1,407.6,407.6,407.6,407.6,1000000,0
2012-07-04,2,404.6,404.6,404.6,404.6,1000000,0
2012-07-05,3,408.85,408.85,408.85,408.85,1000000,0
2012-07-06,4,411.05,411.05,411.05,411.05,1000000,0
2012-07-09,7,423.8,423.8,423.8,423.8,1000000,0
2012-07-10,8,433.2,433.2,433.2,433.2,1000000,0
2012-07-11,9,433.35,433.35,433.35,433.35,1000000,0
2012-07-12,10,430.2,430.2,430.2,430.2,1000000,0
2012-07-13,11,454.85,454.85,454.85,454.85,1000000,0
2012-07-16,14,447.65,447.65,447.65,447.65,1000000,0
2012-07-17,15,436.2,436.2,436.2,436.2,1000000,0
2012-07-18,16,436.4,436.4,436.4,436.4,1000000,0
2012-07-19,17,438.2,438.2,438.2,438.2,1000000,0
2012-07-20,18,435.45,435.45,435.45,435.45,1000000,0
2012-07-23,21,423.0,423.0,423.0,423.0,1000000,0
2012-07-24,22,429.35,429.35,429.35,429.35,1000000,0
2012-07-25,23,432.3,432.3,432.3,432.3,1000000,0
2012-07-26,24,434.2,434.2,434.2,434.2,1000000,0
2012-07-27,25,429.7,429.7,429.7,429.7,1000000,0
2012-07-30,28,420.0,420.0,420.0,420.0,1000000,0
2012-07-31,29,416.15,416.15,416.15,416.15,1000000,0
2012-08-01,30,417.9,417.9,417.9,417.9,1000000,0
2012-08-02,31,425.9,425.9,425.9,425.9,1000000,0
2012-08-03,32,419.35,419.35,419.35,419.35,1000000,0
2012-08-06,35,418.9,418.9,418.9,418.9,1000000,0
2012-08-07,36,418.65,418.65,418.65,418.65,1000000,0
2012-08-08,37,416.9,416.9,416.9,416.9,1000000,0
2012-08-09,38,419.0,419.0,419.0,419.0,1000000,0
2012-08-10,39,424.5,424.5,424.5,424.5,1000000,0
2012-08-13,42,419.6,419.6,419.6,419.6,1000000,0
2012-08-14,43,404.5,404.5,404.5,404.5,1000000,0
2012-08-16,45,398.65,398.65,398.65,398.65,1000000,0
2012-08-17,46,389.95,389.95,389.95,389.95,1000000,0
2012-08-21,50,394.35,394.35,394.35,394.35,1000000,0
2012-08-22,51,403.25,403.25,403.25,403.25,1000000,0
2012-08-23,52,399.3,399.3,399.3,399.3,1000000,0
2012-08-24,53,393.2,393.2,393.2,393.2,1000000,0
2012-08-27,56,393.7,393.7,393.7,393.7,1000000,0
2012-08-28,57,404.0,404.0,404.0,404.0,1000000,0
2012-08-29,58,392.0,392.0,392.0,392.0,1000000,0
2012-08-30,59,391.95,391.95,391.95,391.95,1000000,0
2012-08-31,60,391.8,391.8,391.8,391.8,1000000,0
2012-09-03,63,393.7,393.7,393.7,393.7,1000000,0
2012-09-04,64,394.2,394.2,394.2,394.2,1000000,0
2012-09-05,65,394.25,394.25,394.25,394.25,1000000,0
2012-09-06,66,394.55,394.55,394.55,394.55,1000000,0
2012-09-07,67,396.7,396.7,396.7,396.7,1000000,0
2012-09-10,70,393.65,393.65,393.65,393.65,1000000,0
2012-09-11,71,393.7,393.7,393.7,393.7,1000000,0
2012-09-12,72,393.45,393.45,393.45,393.45,1000000,0
2012-09-13,73,412.3,412.3,412.3,412.3,1000000,0
2012-09-14,74,409.9,409.9,409.9,409.9,1000000,0
2012-09-17,77,404.25,404.25,404.25,404.25,1000000,0
2012-09-18,78,404.15,404.15,404.15,404.15,1000000,0
2012-09-20,80,398.8,398.8,398.8,398.8,1000000,0
2012-09-21,81,405.35,405.35,405.35,405.35,1000000,0
2012-09-24,84,398.9,398.9,398.9,398.9,1000000,0
2012-09-25,85,397.9,397.9,397.9,397.9,1000000,0
2012-09-26,86,402.0,402.0,402.0,402.0,1000000,0
2012-09-27,87,409.45,409.45,409.45,409.45,1000000,0
2012-09-28,88,413.45,413.45,413.45,413.45,1000000,0
2012-10-01,91,413.0,413.0,413.0,413.0,1000000,0
2012-10-03,93,415.85,415.85,415.85,415.85,1000000,0
2012-10-04,94,419.9,419.9,419.9,419.9,1000000,0
2012-10-05,95,423.05,423.05,423.05,423.05,1000000,0
2012-10-08,98,425.5,425.5,425.5,425.5,1000000,0
2012-10-09,99,428.55,428.55,428.55,428.55,1000000,0
2012-10-10,100,426.8,426.8,426.8,426.8,1000000,0
2012-10-11,101,428.4,428.4,428.4,428.4,1000000,0
2012-10-12,102,436.05,436.05,436.05,436.05,1000000,0
2012-10-15,105,447.9,447.9,447.9,447.9,1000000,0
2012-10-16,106,455.8,455.8,455.8,455.8,1000000,0
2012-10-17,107,458.0,458.0,458.0,458.0,1000000,0
2012-10-18,108,460.15,460.15,460.15,460.15,1000000,0
2012-10-19,109,456.2,456.2,456.2,456.2,1000000,0
2012-10-22,112,463.2,463.2,463.2,463.2,1000000,0
2012-10-23,113,466.2,466.2,466.2,466.2,1000000,0
2012-10-25,115,459.9,459.9,459.9,459.9,1000000,0
2012-10-26,116,456.85,456.85,456.85,456.85,1000000,0
2012-10-29,119,457.5,457.5,457.5,457.5,1000000,0
2012-10-30,120,446.75,446.75,446.75,446.75,1000000,0
2012-10-31,121,438.6,438.6,438.6,438.6,1000000,0
